,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1164588,.NET开发,珠海,今天 11:07,5k-10k,50830,广东飞企互联科技股份有限公司,珠海飞企软件有限公司
1,871365,.NET开发工程师,杭州,今天 08:47,6k-12k,65313,浙江保融,浙江保融科技有限公司
2,2081089,ASP.NET,上海,昨天 16:26,15k-25k,49527,路路由,上海路路由信息技术有限公司
3,3007896,.NET开发工程师,上海,昨天 13:36,15k-20k,35179,东方财富,东方财富信息股份有限公司
4,662359,.NET,成都,今天 09:45,5k-8k,69471,NCS,新电信息科技（成都）有限公司
5,3051455,.net开发,深圳,昨天 18:09,10k-15k,25317,金证股份,深圳市金证科技股份有限公司
6,2950853,.Net研发工程师,成都,昨天 15:41,8K-16K,87488,思源时代,北京思源时代科技有限公司
7,3016124,.NET工程师,海口,今天 09:32,5k-10k,40852,齐数科技（上海）有限公司,齐数科技（上海）有限公司
8,2578609,.net开发工程师,武汉,今天 09:09,8k-15k,55021,坚果云,上海亦存网络科技有限公司
9,2651708,ASP.NET开发工程师,北京,今天 10:25,10k-17k,40835,壁虎车险,北京易天正诚信息技术有限公司
10,2584712,.NET,广州,昨天 15:42,5k-10k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
11,2798264,net应用开发工程师,成都,今天 10:12,6k-8k,171142,成都国铁电气设备有限公司,成都国铁电气设备有限公司
12,3067720,.net开发工程师（武汉）,武汉,今天 08:48,7k-10k,87913,中兴微品,深圳微品致远信息科技有限公司
13,1907681,.NET,北京,今天 08:34,5k-10k,71684,资质管家,伯乐通（北京）教育咨询有限公司
14,2467882,.NET开发工程师,上海,昨天 09:53,10k-15k,39394,飞天联合,飞天联合（北京）系统技术有限公司
15,1348788,.NET开发工程师,杭州,今天 08:47,2k-3k,65313,浙江保融,浙江保融科技有限公司
16,3057888,.NET,上海,昨天 16:26,15k-25k,49527,路路由,上海路路由信息技术有限公司
17,1787548,.NET,成都,今天 09:45,6k-12k,69471,NCS,新电信息科技（成都）有限公司
18,2727029,.NET开发工程师.,成都,昨天 15:41,6k-12k,87488,思源时代,北京思源时代科技有限公司
19,2944405,asp.net软件工程师,上海,昨天 16:09,8k-15k,84387,运去哪,上海汇航捷讯网络科技有限公司
20,2996877,.Net开发工程师,重庆,今天 10:00,9k-18k,395,猪八戒网,重庆猪八戒网络有限公司
21,3015406,.net开发工程师,西安,今天 09:48,6k-10k,5672,易流,深圳市易流科技有限公司
22,2911791,.net开发,南京,今天 09:20,10k-15k,156748,Altenchina,欧立腾（北京）技术咨询有限公司上海分公司
23,2615827,.NET开发工程师,广州,昨天 11:03,8k-15k,46076,南方数码,广东南方数码科技股份有限公司
24,2697860,.net,杭州,昨天 09:38,6k-10k,163169,文思海辉,文思海辉技术有限公司
25,3030785,.net开发工程师,杭州,今天 09:28,8k-15k,81377,潘朵,杭州潘朵信息科技有限公司
26,2421337,.net,东莞,今天 08:46,12k-15k,93701,东莞团诚自动化设备有限公司,东莞团诚自动化设备有限公司
27,2922371,.Net开发工程师,海口,昨天 17:40,8k-15k,30148,海南航空,海南航空股份有限公司
28,2768774,.NET中高级开发工程师,杭州,今天 09:10,6k-12k,35514,纳里健康,浙江纳里健康科技有限公司
29,2790864,.NET,珠海,今天 09:05,8k-10k,89467,南方IT学院,广东南方职业培训学院
30,2793343,.Net研发工程师,成都,昨天 15:42,8k-16k,87488,思源时代,北京思源时代科技有限公司
31,2421394,.net开发,东莞,今天 08:46,12k-15k,93701,东莞团诚自动化设备有限公司,东莞团诚自动化设备有限公司
32,2939603,高薪急聘.NET研发工程师,杭州,今天 09:58,15k-25k,28742,车点点,杭州网兰科技有限公司
33,2103821,.NET,杭州,今天 09:21,8k-16k,113466,备胎金服,浙江备胎金融信息服务有限公司
34,2879973,.net软件工程师,惠州,2017-04-27,5k-10k,23563,广东道一,广东道一信息技术股份有限公司
35,2187578,.NET,临沂,今天 11:28,4k-8k,142239,微启通,湖南微启通网络科技有限公司
36,2724276,.NET工程师,杭州,今天 10:07,15k-25k,144290,美矣云计算,杭州美矣云计算有限公司
37,886294,.NET,北京,昨天 08:46,6k-12k,71684,资质管家,伯乐通（北京）教育咨询有限公司
38,2916481,.net开发工程师,厦门,今天 09:25,4k-8k,96050,蓝斯股份,厦门蓝斯通信股份有限公司
39,2968868,.NET软件开发工程师,武汉,今天 09:03,6k-10k,131610,杭州伊柯夫,杭州伊柯夫科技有限公司
40,1341995,.net研发工程师,南京,今天 09:05,5k-8k,31945,孩子王,孩子王儿童用品股份有限公司
41,2474282,.NET工程师,天津,今天 08:41,8k-16k,75575,友邦软件,江苏友邦软件有限公司
42,2902649,.NET工程师,成都,今天 08:28,8k-15k,63836,东方闻道,成都东方闻道科技发展有限公司
43,3034250,.net开发工程师,呼和浩特,昨天 10:33,8k-15k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
44,3075501,.net开发工程师,上海,昨天 18:21,15k-25k,194776,东朔集团,上海东朔实业集团
45,2793572,.Net开发工程师,成都,昨天 15:42,7k-12k,87488,思源时代,北京思源时代科技有限公司
46,3077739,.net开发工程师,深圳,今天 11:59,6k-12k,25323,深圳市图派科技有限公司,深圳市图派科技有限公司
47,2977753,.net(济南),济南,今天 10:35,10k-15k,112666,浙江远图互联科技股份有限公司,浙江远图互联科技股份有限公司
48,1787594,.NET,成都,今天 09:45,7k-14k,69471,NCS,新电信息科技（成都）有限公司
49,1270380,.NET软件开发工程师,广州,昨天 16:12,7k-14k,10189,趣运动,广州柠蜜信息科技有限公司
50,2442154,.NET开发工程师,长沙,今天 09:46,8k-12k,78650,拜仑集团,湖南拜伦网络科技有限公司
51,2916530,C#/.net开发工程师,成都,今天 10:12,6k-10k,171142,成都国铁电气设备有限公司,成都国铁电气设备有限公司
52,784164,.NET,北京,今天 08:34,8k-16k,71684,资质管家,伯乐通（北京）教育咨询有限公司
53,2204532,.NET/C# 软件工程师,上海,昨天 17:25,15k-25k,7907,华住酒店集团,华住酒店集团
54,2478889,.NET,深圳,今天 10:01,9k-12k,63383,博彦科技,博彦科技股份有限公司
55,458406,.NET开发工程师,成都,今天 08:49,5k-10k,19825,任我行软件,成都任我行软件股份有限公司
56,3076558,.net开发工程师,上海,今天 10:04,10k-15k,97280,上海博辕信息,上海博辕信息技术有限公司
57,3067634,.net高级开发工程师,西安,今天 08:58,8k-16k,168072,zkkj,陕西中矿科技有限公司
58,2145239,.NET工程师,成都,昨天 11:14,10k-15k,82349,飞牛巴士,四川易达飞牛交通科技有限公司
59,2454689,.NET软件开发工程师,杭州,昨天 17:35,7k-12k,131610,杭州伊柯夫,杭州伊柯夫科技有限公司
60,2803906,.net程序员,成都,昨天 15:42,7k-12k,87488,思源时代,北京思源时代科技有限公司
61,1738309,ASP.NET,北京,今天 08:34,6k-10k,71684,资质管家,伯乐通（北京）教育咨询有限公司
62,2520869,.NET,天津,昨天 09:24,10k-20k,63383,博彦科技,博彦科技股份有限公司
63,3077671,.Net开发工程师,上海,今天 11:50,8k-12k,138578,铁炉堡,无锡铁炉堡科技有限公司
64,2854168,.NET,武汉,今天 10:35,10k-15k,112666,浙江远图互联科技股份有限公司,浙江远图互联科技股份有限公司
65,1612140,.net开发工程师,苏州,今天 09:48,8k-15k,3564,同程旅游,同程网络科技股份有限公司
66,3053106,.net开发工程师,北京,今天 09:02,10k-18k,53658,踏浪者,北京踏浪者科技有限公司
67,2754499,.NET开发工程师,深圳,今天 08:32,10k-15k,28443,鹏海运,深圳市鹏海运电子数据交换有限公司
68,3077142,.NET,上海,今天 11:02,10k-14k,27906,惠普,上海惠普有限公司
69,2834082,.NET软件工程师,南京,今天 09:47,6k-10k,166140,鼎捷软件,鼎捷软件股份有限公司
70,1952149,中级.NET开发工程师,广州,昨天 15:36,8k-15k,82664,北大医信-健迅,广州健迅科技有限公司
71,2819892,.net开发工程师,杭州,昨天 08:04,6k-10k,172243,房趣公司,杭州房趣科技有限公司
72,1638545,.NET开发工程师,北京,2017-05-01,10k-15k,3038,Gridsum 国双,北京国双科技有限公司
73,3004282,.net开发工程师,广州,今天 10:32,10k-15k,80442,省广诺时信息服务有限公司,省广诺时（广东）信息服务有限公司
74,3076317,.net开发工程师,长春,今天 09:43,20K-30K,199831,中讯汉扬,北京中讯汉扬科技发展有限公司
75,2838245,.NET,重庆,今天 10:35,10k-15k,112666,浙江远图互联科技股份有限公司,浙江远图互联科技股份有限公司
76,2624304,.NET工程师,深圳,昨天 15:50,13k-20k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
77,2631101,.net开发工程师,北京,昨天 11:58,6k-8k,4518,裂帛服饰,北京心物裂帛电子商务股份有限公司
78,2698209,.net,北京,昨天 11:14,10k-15k,163169,文思海辉,文思海辉技术有限公司
79,2992233,.NET开发工程师,上海,2017-04-25,10k-15k,179248,远成集团,远成集团有限公司
80,3062759,.Net,北京,今天 09:45,8k-15k,125525,文脉互动,北京文脉互动科技有限公司
81,1188744,.NET开发工程师,广州,今天 09:30,8k-15k,12195,要出发,广州酷旅旅行社有限公司
82,1686814,.NET高级,杭州,今天 09:16,10k-20k,10323,畅唐网络,浙江畅唐网络股份有限公司
83,2386800,.Net,杭州,今天 09:11,5k-8k,51290,妮素,浙江妮素网络科技有限公司
84,2856438,.net工程师,厦门,2017-04-26,4k-8k,159226,巴萨迪软件,巴萨迪软件（厦门）有限公司
85,2973419,.net程序员,临沂,今天 11:28,4k-8k,142239,微启通,湖南微启通网络科技有限公司
86,50659,.NET,青岛,2017-05-01,5k-10k,7535,什么值得买,北京值得买科技股份有限公司
87,2385771,.NET开发,深圳,今天 09:06,6k-10k,145609,深圳莱特金科技发展有限公司,深圳莱特金科技发展有限公司
88,2896611,.NET资深开发工程师,深圳,今天 08:59,10k-20k,49403,源中瑞科技,深圳源中瑞科技有限公司
89,3076183,.net开发工程师（苏州）,苏州,今天 09:26,5k-8k,127417,新点软件,江苏国泰新点软件有限公司
90,2854132,.NET,郑州,今天 10:35,10k-15k,112666,浙江远图互联科技股份有限公司,浙江远图互联科技股份有限公司
91,2687020,.net,深圳,昨天 11:14,10k-15k,163169,文思海辉,文思海辉技术有限公司
