,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2968709,Asp中级工程师,北京,昨天 10:21,10k-20k,9995,北京天融信公司,北京天融信网络安全
1,2785620,ASP程序员,江门,2017-04-25,6K-8K,170112,清风网络,开平市清风网络科技有限公司
2,2664788,ASP程序开发,重庆,昨天 08:35,6k-12k,162527,零刻度科技,重庆市零刻度科技有限公司
3,3005370,asp程序员,杭州,2017-04-27,6K-10K,149714,至讯科技,浙江至讯科技有限公司
4,747768,ASP,珠海,2017-04-17,4k-7k,74476,商御百晋,珠海商御百晋科技有限公司
5,2834094,ASP,广州,2017-04-24,3k-6k,87846,碧辉腾乐,广州碧辉腾乐软件科技有限公司
6,2861302,asp开发工程师,成都,2017-04-10,8k-15k,98968,凌盟科技,深圳市凌盟科技有限公司成都分公司
7,1802161,ASP .net 软件工程师,深圳,昨天 18:37,8k-15k,104617,爱虎保,深圳市前海艾虎科技有限公司
8,3045400,ASP.NET 软件开发实习生,上海,今天 10:27,2k-3k,3764,VML SOCIAL,上海胜思广告有限公司
9,2799486,asp.net讲师,郑州,2017-04-27,6k-12k,161055,厚溥科技,河南厚溥教育科技有限公司
10,2081089,ASP.NET,上海,昨天 16:26,15k-25k,49527,路路由,上海路路由信息技术有限公司
11,2651708,ASP.NET开发工程师,北京,今天 10:25,10k-17k,40835,壁虎车险,北京易天正诚信息技术有限公司
12,3074734,asp.net 高级程序员,北京,昨天 16:47,7k-12k,101865,万法通,万法通（北京）法律咨询有限公司
13,3054694,asp.net core,深圳,2017-04-28,10k-15k,121697,富士智能,深圳市富士智能系统有限公司
14,2944405,asp.net软件工程师,上海,昨天 16:09,8k-15k,84387,运去哪,上海汇航捷讯网络科技有限公司
15,2664854,ASP开发助理,重庆,昨天 08:35,2k-3k,162527,零刻度科技,重庆市零刻度科技有限公司
16,2989077,ASP.NET中级研发工程师,北京,今天 10:25,10k-17k,40835,壁虎车险,北京易天正诚信息技术有限公司
17,1738309,ASP.NET,北京,今天 08:34,6k-10k,71684,资质管家,伯乐通（北京）教育咨询有限公司
18,2338988,asp.net c# MVC 程序员,厦门,今天 09:32,4k-8k,141140,西皇科技,厦门西皇科技有限公司
19,3006170,Asp.Net开发,武汉,2017-04-28,8k-15k,184058,中软云科技,深圳市中软云科技有限公司
20,631484,Asp.net后台开发,北京,2017-05-01,4k-8k,54013,比特恒旺,北京比特恒旺信息技术有限公司
21,1441688,Asp.net工程师,深圳,今天 09:10,8k-15k,83025,环球易购,深圳市环球易购电子商务有限公司
22,3051470,中高级/ASP.net开发工程师,深圳,昨天 18:05,10k-18k,5972,4PX,深圳市递四方信息科技有限公司
23,2864644,asp.net开发工程师,广州,昨天 16:42,10k-15k,80442,省广诺时信息服务有限公司,省广诺时（广东）信息服务有限公司
24,2738126,ASP.NET开发工程师,杭州,今天 11:05,5k-10k,24322,开启网络,杭州开启网络科技有限公司
25,634515,C#（Asp.net）开发,厦门,今天 10:05,6k-11k,21089,叮咚钱包,富银金融信息服务（北京）有限公司
26,2956599,ASP.NET 软件工程师,深圳,昨天 11:53,8k-16k,92951,艾姆诗,深圳艾姆诗数码科技有限公司
27,2650451,asp.net程序员,深圳,昨天 09:47,6k-9k,160672,创冠,深圳市创冠新媒体网络传媒有限公司
28,2844649,asp.net软件工程师,上海,2017-04-28,8k-15k,84387,运去哪,上海汇航捷讯网络科技有限公司
29,1851945,MES高级软件工程师（asp.net/c#）,杭州,今天 11:43,10k-20k,122877,艾希科技,杭州艾希计算机科技有限公司
30,3020462,ASP.NET高级工程师,北京,今天 10:25,15k-20k,40835,壁虎车险,北京易天正诚信息技术有限公司
31,2845334,ASP.net开发工程师+CL,北京,昨天 08:54,8k-15k,71684,资质管家,伯乐通（北京）教育咨询有限公司
32,2338998,asp.net c# MVC 程序员,厦门,今天 09:32,8k-12k,141140,西皇科技,厦门西皇科技有限公司
33,2923285,asp.net软件工程师,上海,昨天 16:09,8k-15k,84387,运去哪,上海汇航捷讯网络科技有限公司
34,3063450,asp.net程序员,深圳,昨天 09:47,6k-9k,160672,创冠,深圳市创冠新媒体网络传媒有限公司
35,2967776,ASP.NET高级程序员,杭州,2017-05-01,15K-30K,10323,畅唐网络,浙江畅唐网络股份有限公司
36,2915283,ASP.NET C#,北京,今天 08:49,10k-15k,63720,IVT,艾威梯科技（北京）有限公司
37,2910479,Asp.net软件开发,成都,今天 09:16,6k-11k,91936,蒙想,成都柠檬树科技有限公司
38,3073506,asp.net开发工程师,杭州,昨天 14:36,8k-12k,72489,弘通网络,安徽弘通网络科技有限公司
39,1094356,ASP.net开发工程师,杭州,2017-04-27,8k-12k,11501,天鸽互动,天格科技（杭州）有限公司
40,1664048,ASP.NET开发工程师,杭州,今天 11:05,5k-9k,24322,开启网络,杭州开启网络科技有限公司
41,2772661,ASP.NET实习生（3名）,珠海,昨天 13:59,1k-2k,169520,埃帝尔软件,珠海市埃帝尔软件技术有限公司
42,1710710,ASP.NET高级工程师,杭州,今天 11:43,10k-16k,122877,艾希科技,杭州艾希计算机科技有限公司
43,3038482,asp.net开发工程师,广州,2017-04-20,10k-15k,80442,省广诺时信息服务有限公司,省广诺时（广东）信息服务有限公司
44,2624700,高级ASP.Net软件开发工程师,武汉,昨天 11:12,10k-18k,119829,天恒集团,武汉天恒信息技术有限公司
45,3020464,ASP.NET中级工程师,北京,今天 10:25,10k-17k,40835,壁虎车险,北京易天正诚信息技术有限公司
46,2478099,ASP.NET,北京,2017-04-27,7k-14k,71684,资质管家,伯乐通（北京）教育咨询有限公司
47,2827162,ASP.Net开发工程师,广州,今天 09:10,9k-18k,171993,数夫软件,广州数夫软件科技有限公司
48,3070658,Asp.Net高级开发工程师,北京,昨天 11:21,10K-15K,199191,兴泰明远,北京兴泰明远科技有限公司
49,3003898,ASP.NET 软件开发,成都,昨天 14:26,7k-10k,38037,实盈集团,实盈管理集团有限公司
50,2123136,asp.NET开发,广州,2017-04-20,8k-15k,138534,商搜,广州商搜网络科技有限公司
51,3027568,ASP.NET工程师,深圳,昨天 17:13,8k-15k,86070,洋货栈,深圳市洋货栈电子商务有限公司
52,392046,.NET/C#/ASP.NET/软件开发工程师,长沙,昨天 11:35,8k-12k,47839,微象科技,微象科技有限公司
53,2974839,Asp.Net MVC开发工程师（.N Core）,北京,2017-04-26,8K-11K,141960,创执科技,创执科技（北京）有限公司
54,2858882,ASP.NET程序员,珠海,今天 09:09,5k-10k,108887,易奇,珠海易奇科技有限公司
55,3045118,ASP.NET高级软件工程师（对日）,苏州,2017-04-27,8k-13k,148764,华信富融,华信富融（苏州工业园区）软件技术有限公司
56,3027683,asp.net core开发工程师(WebAPI),北京,今天 11:16,12k-20k,145450,上海水道,上海水道电子商务有限公司
57,2832914,asp.net微信开发,成都,今天 08:59,5k-9k,167216,辣妈科技,成都辣妈帮科技有限公司
58,2853365,ASP.Net研发工程师,合肥,昨天 15:27,9k-18k,134155,恒生皖美,安徽恒生皖美网络科技有限公司
59,3043160,ASP.NET 软件工程师,深圳,2017-04-24,10k-15k,196184,延保服务公司,深圳市托普思维商业服务有限公司
60,1588462,ASP.NET开发,北京,2017-04-27,6k-10k,71684,资质管家,伯乐通（北京）教育咨询有限公司
61,1499028,ASP.NET程序员,合肥,昨天 14:46,4k-6k,32348,助跑电商,合肥助跑网络科技有限公司
62,993907,asp.NET,南通,2017-04-12,5k-8k,89500,成天软件,南通成天软件科技有限公司
63,2877853,ASP.NET MVC开发工程师（朝阳行业+双休+,深圳,昨天 09:09,7k-14k,57475,深圳市二一教育股份有限公司,深圳市二一教育股份有限公司
64,3063578,ASP.NET开发工程师,杭州,昨天 09:41,4k-8k,173633,杭州锐达,杭州锐达数字技术有限公司
65,2671466,ASP.NET高级开发工程师,南京,昨天 13:11,9k-18k,86913,巨美婚礼,南京婚尚信息技术有限公司
66,2986423,ASP.NET高级软件工程师,厦门,昨天 11:10,10k-20k,189031,乐域互联（互联网+航运）,厦门乐域网络科技有限公司
67,2824703,asp.net工程师,西安,昨天 08:59,4k-7k,151027,软易科技,陕西软易信息科技有限公司
68,2476206,ASP.NET开发工程师,北京,2017-04-26,8k-12k,86464,极晨智道信息技术有限公司,极晨智道信息技术（北京）有限公司
69,957101,ASP.NET高级开发工程师,杭州,今天 10:31,10k-20k,33573,wifisong,杭州微飞胜科技有限公司
70,3068935,ASP.NET Architect -MBZ,北京,2017-04-28,30k-50k,12577,奔步,广州奔步电脑有限公司
71,2279263,asp.NET开发工程师,南京,昨天 19:04,10k-20k,120779,基蛋生物,基蛋生物科技股份有限公司
72,2839201,ASP.NET网站工程师,济南,2017-04-12,3k-5k,173923,山东科华,山东科华电力技术有限公司
73,3033822,ASP.NET MVC开发,上海,2017-04-19,10k-18k,194522,上海伽一,上海伽一网络科技有限公司
74,2994662,Asp.net信息化软件工程师,深圳,昨天 11:22,6k-10k,24885,伊爱高新,深圳市伊爱高新技术开发有限公司
75,3038324,ASP.NET 程序员,玉林,2017-04-20,4K-6K,195741,壹点零网络科技,北流市壹点零网络科技有限公司
76,1147991,asp.net软件工程师,广州,2017-04-25,8k-15k,589,多益网络,广州多益网络股份有限公司
77,3054026,ASP.NET高级开发工程师,广州,昨天 13:22,6k-10k,22069,骆驼服饰,广东骆驼服饰有限公司
78,3064784,ASP.NET开发工程师,武汉,今天 09:41,4k-8k,33201,金百瑞,武汉金百瑞科技有限公司
