,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1076474,Android应用开发工程师,深圳,今天 10:41,10k-20k,76769,云智易联,深圳市云智易联科技有限公司
1,3073217,Android开发工程师,北京,昨天 14:05,10k-20k,155952,百诚源,百诚源科技有限公司
2,1469055,Android工程师,北京,今天 10:03,20k-35k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
3,2984849,Android开发,上海,昨天 16:26,15k-30k,49527,路路由,上海路路由信息技术有限公司
4,1871752,Android开发工程师,北京,今天 11:55,20k-30k,9895,动动,北京慢点生活科技有限公司
5,1523076,Android高级（资深）工程师,北京,昨天 10:46,25k-40k,106474,谱思,北京谱思科技有限公司
6,2909888,android开发工程师,北京,今天 10:09,15k-25k,61249,云鸟科技,北京云鸟科技有限公司
7,2653000,安卓工程师【9188】,上海,今天 09:14,15k-28k,1738,有鱼金融科技,上海彩亿信息技术有限公司
8,2154535,Android,北京,昨天 10:34,15K-30K,131071,小圈科技,北京小圈科技有限公司
9,2737310,Android开发工程师,成都,今天 09:41,20k-25k,166084,新网银行,四川新网银行股份有限公司
10,3074860,Android开发工程师,西安,今天 10:03,4k-8k,21864,即特网络,西安即特网络信息科技有限公司
11,3075606,资深Android开发,上海,昨天 18:41,22k-28k,47993,鱼泡泡,上海鱼泡泡信息科技有限公司
12,1781692,Android开发,武汉,昨天 09:03,8k-15k,99901,卓翰科技,武汉卓翰网络科技有限公司
13,2718012,Android工程师,西安,今天 10:18,8k-15k,3950,销售易,仁科互动（北京）信息科技有限公司
14,2885375,Android 高级工程师,北京,昨天 09:36,15k-25k,103900,你我他科技,北京你我他互学数据科技股份有限公司
15,2097206,Android,北京,今天 10:03,20k-35k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
16,3047685,Android,上海,昨天 16:26,15k-30k,49527,路路由,上海路路由信息技术有限公司
17,1809459,Android系统开发,深圳,今天 10:41,10k-20k,76769,云智易联,深圳市云智易联科技有限公司
18,2841390,Android工程师【徐汇】,上海,今天 09:14,15k-25k,1738,有鱼金融科技,上海彩亿信息技术有限公司
19,1831407,Android高级工程师,北京,昨天 10:46,15k-30k,106474,谱思,北京谱思科技有限公司
20,2897517,Android工程师,北京,今天 10:18,10k-20k,3950,销售易,仁科互动（北京）信息科技有限公司
21,2866768,资深android开发工程师,杭州,昨天 09:42,17k-30k,7443,数游软件科技,杭州数游软件科技有限公司
22,2766260,Android开发工程师,北京,2017-05-01,15k-25k,356,捷通华声,北京捷通华声科技股份有限公司
23,2699594,安卓开发工程师,南昌,今天 11:56,8k-15k,135089,澳洲最大的华人互联网媒体,南昌市潘达奇科技有限责任公司
24,2335961,Android 工程师,上海,今天 11:50,15k-30k,58635,即刻,上海即果信息技术有限公司
25,3077522,android开发工程师,广州,今天 11:36,7k-14k,54727,有车以后,广州市有车以后信息科技有限公司
26,577355,Android开发工程师,北京,今天 10:17,15k-30k,26508,iHandy,北京汉迪世纪科技有限公司
27,3075889,Android开发工程师,珠海,昨天 20:51,4k-8k,199494,凡人科技,珠海市香洲凡仁日用品批發行
28,1000074,Android开发工程师,杭州,昨天 15:09,15k-20k,35359,爱客仕,爱客仕网络科技有限公司
29,2294315,Android,重庆,昨天 13:19,7k-12k,94092,重庆优启科技有限公司,重庆优启科技有限公司
30,1908307,Android,北京,今天 10:03,20k-35k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
31,857080,Android系统开发工程师,深圳,今天 10:41,13k-20k,76769,云智易联,深圳市云智易联科技有限公司
32,1331780,Android开发工程师,上海,今天 09:14,13k-26k,1738,有鱼金融科技,上海彩亿信息技术有限公司
33,2908524,Android开发工程师,上海,昨天 09:08,12k-18k,24995,泛微,上海泛微网络科技股份有限公司
34,2931417,安卓开发工程师,上海,今天 10:17,15k-25k,110754,滚球信息,上海滚球信息科技有限公司
35,2917534,Android开发工程师,北京,今天 13:04,15k-25k,84329,好好住,家宅融智（北京）科技有限公司
36,3027636,Android开发工程师,北京,昨天 09:36,18k-32k,99089,美利金融,天道计然（北京）信息科技有限责任公司
37,3032550,Android,深圳,今天 10:15,15k-30k,33627,乐易网络,深圳市乐易网络有限公司
38,2743432,Android高级开发,广州,今天 08:59,12k-24k,67777,快批KP,广州快批信息科技有限公司
39,2892229,Android工程师,北京,今天 09:00,10k-18k,178037,方正手迹,天津方正手迹数字技术有限公司
40,2529027,Android开发工程师,武汉,昨天 15:46,8k-12k,5016,宏途科技,武汉宏途科技有限公司
41,2966350,高级Android开发工程师,深圳,昨天 10:04,18k-24k,47993,鱼泡泡,上海鱼泡泡信息科技有限公司
42,2757252,Android开发工程师,成都,今天 10:07,10k-15k,40328,成都市米彩科技有限公司,成都市米彩科技有限公司
43,3042687,Android工程师,北京,今天 09:34,15k-25k,53137,家园网,金色家园网络科技有限公司
44,988500,Android开发工程师,珠海,今天 09:05,8k-12k,89467,南方IT学院,广东南方职业培训学院
45,2635298,Android工程师,北京,今天 10:03,20k-35k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
46,2867156,Android,上海,今天 09:14,13k-26k,1738,有鱼金融科技,上海彩亿信息技术有限公司
47,2952647,Android工程师,杭州,昨天 16:43,12k-24k,33618,微贷网,微贷（杭州）金融信息服务有限公司
48,3032427,Android工程师,北京,昨天 09:45,15k-25k,53137,家园网,金色家园网络科技有限公司
49,3026595,Android系统开发工程师,北京,昨天 09:04,18k-25k,27175,九五智驾,北京九五智驾信息技术股份有限公司
50,989326,Android,北京,今天 12:34,25k-50k,63714,粉笔网,北京粉笔蓝天科技有限公司
51,2798753,Android开发工程师,北京,2017-04-27,25k-35k,62,今日头条,北京字节跳动科技有限公司
52,2951872,Android开发工程师,北京,今天 10:57,20k-35k,37446,APUS Group,北京麒麟合盛科技有限公司
53,2201114,Android,无锡,今天 10:54,15k-25k,3246,帆软软件,南京帆软软件有限公司
54,2742812,Android开发工程师,北京,今天 09:19,20k-35k,73653,奇点机智,北京奇点机智信息技术有限公司
55,2759557,Android开发工程师,北京,2017-05-01,15k-25k,356,捷通华声,北京捷通华声科技股份有限公司
56,2896684,Android开发,北京,昨天 10:07,20k-40k,29496,闪银奇异,北京闪银奇异科技有限公司
