,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2411983,BI工程师,深圳,今天 10:01,8k-15k,117217,博悦科创,深圳市博悦科创科技有限公司
1,2473383,BI工程师,北京,今天 10:57,15k-30k,3786,宜信,普信恒业科技发展（北京）有限公司
2,1993562,BI工程师,深圳,今天 10:10,7k-14k,4184,思特奇Si-tech,北京思特奇信息技术股份有限公司
3,1534551,BI工程师,北京,昨天 14:58,15k-30k,43016,美菜网,北京云杉世界信息技术有限公司
4,3031933,BI工程师,北京,今天 10:27,12k-21k,118287,信和财富,信和惠民投资管理（北京）有限公司
5,3013069,BI工程师,上海,今天 09:13,15k-25k,193076,川石道征信,川石道企业信用征信（上海）有限公司
6,2462459,BI工程师,上海,今天 10:18,15k-25k,34683,买单侠,上海秦苍信息科技有限公司
7,2845062,BI工程师,广州,今天 10:54,10k-20k,135626,飞特物流,广州飞特物流有限公司
8,2835610,BI工程师,珠海,今天 10:49,8k-16k,32979,小源科技,珠海市小源科技有限公司
9,747794,BI工程师,深圳,昨天 16:00,10k-15k,25317,金证股份,深圳市金证科技股份有限公司
10,2771484,BI工程师,深圳,今天 09:20,15k-30k,123723,佰仟金融,深圳市佰仟金融服务有限公司
11,2807040,BI工程师,杭州,昨天 15:54,10k-20k,71931,车国,浙江车果网络科技有限公司
12,3023490,BI工程师,北京,今天 09:52,8k-15k,90101,易安财产保险股份有限公司,易安财产保险股份有限公司
13,3076155,BI工程师,深圳,今天 09:20,4k-8k,175393,览众科技,深圳市览众科技股份有限公司
14,2873017,BI工程师,上海,今天 10:19,15k-30k,26250,musical.ly,蜜柚网络科技（上海）有限公司
15,1675881,BI工程师,深圳,今天 10:00,8k-12k,117217,博悦科创,深圳市博悦科创科技有限公司
16,2965524,BI工程师,深圳,今天 09:56,15k-25k,15175,分期乐,深圳市分期乐网络科技有限公司
17,2781440,BI工程师,上海,今天 13:49,10k-20k,25011,真旅网,真旅网计算机软件开发（上海）有限公司
18,3039615,BI工程师,上海,今天 13:20,12k-20k,63383,博彦科技,博彦科技股份有限公司
19,190701,BI工程师【北京】,北京,今天 09:58,6k-12k,21863,安硕信息（amarsoft）,上海安硕信息技术股份有限公司
20,2499954,BI工程师,上海,昨天 09:19,8k-15k,129673,南京融泰信息技术有限公司,南京融泰信息技术有限公司
21,2537010,BI工程师,深圳,2017-04-24,14k-20k,43545,雁联计算,深圳市雁联计算系统有限公司
22,3023575,BI工程师,上海,今天 10:22,15k-25k,4428,恺英网络,上海恺英网络科技有限公司
23,1702242,BI工程师,杭州,2017-04-26,10k-15k,41984,爱财集团,爱财科技有限公司
24,1993591,BI高级工程师,深圳,今天 10:10,12k-20k,4184,思特奇Si-tech,北京思特奇信息技术股份有限公司
25,2918867,BI工程师,深圳,昨天 09:36,17k-26k,99089,美利金融,天道计然（北京）信息科技有限责任公司
26,2630975,BI工程师,上海,昨天 16:51,15k-30k,7988,海鼎,上海海鼎信息工程股份有限公司
27,3042165,BI工程师,上海,今天 10:04,15k-20k,187648,海雕网络科技,海雕（上海）网络科技有限公司
28,2898830,BI工程师,北京,今天 10:08,7k-13k,78889,博易智软,博易智软（北京）技术股份有限公司
29,1712647,BI工程师,北京,今天 09:52,10k-15k,90101,易安财产保险股份有限公司,易安财产保险股份有限公司
30,2758993,BI工程师/数据库工程师,深圳,今天 14:08,9k-18k,117217,博悦科创,深圳市博悦科创科技有限公司
31,2588109,BI开发工程师,深圳,今天 10:24,8k-12k,43545,雁联计算,深圳市雁联计算系统有限公司
32,2427402,BI工程师,上海,今天 09:09,15k-20k,63383,博彦科技,博彦科技股份有限公司
33,3017172,BI工程师,北京,昨天 11:04,15k-25k,39934,每日优鲜,北京每日优鲜电子商务有限公司
34,2886008,Bi工程师,北京,昨天 10:14,10k-20k,62831,明略数据,北京明略软件系统有限公司
35,2992517,bi,广州,今天 10:54,10k-20k,135626,飞特物流,广州飞特物流有限公司
36,1967641,BI工程师,北京,昨天 11:38,20k-40k,50702,美团点评,北京三快在线科技有限公司
37,2290283,BI工程师,武汉,昨天 10:11,9k-18k,37236,斗鱼直播,武汉斗鱼网络科技有限公司
38,3069407,高级BI工程师,成都,昨天 09:18,12k-16k,42511,丹露成都网络技术有限公司,丹露成都网络技术有限公司
39,2960842,BI工程师,上海,昨天 09:49,15k-25k,15281,上海晨之科,上海晨之科信息技术有限公司
40,3010496,BI工程师,上海,今天 10:42,12k-22k,47956,厚本金融,上海厚本金融信息服务有限公司
41,3057096,BI开发工程师,上海,昨天 10:07,20k-35k,4760,唯品会,唯品会（中国）有限公司
42,2898831,BI工程师/数据分析师,北京,今天 10:08,15k-20k,78889,博易智软,博易智软（北京）技术股份有限公司
43,2975601,BI工程师实习生,嘉兴,昨天 14:30,2k-3k,97604,太美医疗科技,嘉兴太美医疗科技有限公司
44,2967738,高级BI工程师,杭州,今天 11:03,10k-20k,50354,百世物流,浙江百世技术有限公司
45,2971621,BI,深圳,昨天 08:59,10k-13k,117217,博悦科创,深圳市博悦科创科技有限公司
46,601730,BI工程师,深圳,昨天 08:36,9k-15k,63500,紫川软件,深圳市紫川软件有限公司
47,2655284,产品经理（BI）,杭州,今天 09:49,20k-35k,37974,传化物流集团,传化物流集团有限公司
48,3036578,BI工程师,上海,2017-04-19,25k-37k,139965,shybs,上海伊碧思电子科技有限公司
49,2689688,BI工程师,北京,今天 11:16,10k-16k,59178,泛华金融控股集团,泛华保险服务销售集团有限公司
50,2068953,BI工程师,北京,今天 09:20,20k-30k,51835,e代驾,北京亿心宜行汽车技术开发服务有限公司
51,3029625,高级BI工程师,北京,今天 08:54,25k-35k,50476,盈泰财富云,北京盈泰财富云电子商务有限公司
52,2731313,BI,深圳,今天 11:35,10k-20k,131846,Shopee,冬竞投资有限公司深圳分公司
53,2575436,Bi工程师,北京,今天 14:16,16k-22k,141803,高思教育集团,北京高思博乐教育科技股份有限公司
54,2887179,资深BI工程师,上海,今天 14:23,20k-30k,16975,大象金服,上海大象平泰金融信息服务有限公司
55,3008810,BI工程师,北京,昨天 10:34,10k-20k,14563,有信网络,深圳市有信网络技术有限公司
56,2829767,BI高级工程师,北京,今天 10:57,15k-30k,37446,APUS Group,北京麒麟合盛科技有限公司
57,1571588,BI工程师,杭州,2017-04-24,12k-15k,13163,个推,浙江每日互动网络科技股份有限公司
58,2918508,BI开发工程师,深圳,昨天 08:45,10k-18k,43545,雁联计算,深圳市雁联计算系统有限公司
59,2896314,BI,上海,昨天 15:36,8k-15k,29894,麦博游戏 MYBO,上海麦博文化传播有限公司
60,1809798,BI,深圳,今天 10:00,6k-12k,117217,博悦科创,深圳市博悦科创科技有限公司
61,2727733,BI开发工程师,深圳,昨天 08:36,10k-18k,63500,紫川软件,深圳市紫川软件有限公司
62,2932999,BI工程师,上海,2017-04-26,10k-20k,32464,上海元轼信息咨询有限公司，,上海元轼信息咨询有限公司
63,891478,BI工程师,深圳,今天 09:27,8k-16k,15265,我来贷WeLab,深圳卫盈智信科技有限公司
64,3042336,BI,深圳,今天 13:55,10k-20k,63383,博彦科技,博彦科技股份有限公司
65,2363030,产品经理（BI+财经）,深圳,今天 09:27,10k-20k,11885,世联行,深圳世联行地产顾问股份有限公司
66,3039573,BI 工程师,广州,2017-04-20,10k-15k,92039,epam,亿磐系统科技（苏州）有限公司
