,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2981498,C#开发工程师,石家庄,今天 09:16,6k-10k,133697,品智科技,石家庄品智科技有限公司
1,3060778,C#工程师,深圳,今天 10:15,8k-15k,33627,乐易网络,深圳市乐易网络有限公司
2,2916530,C#/.net开发工程师,成都,今天 10:12,6k-10k,171142,成都国铁电气设备有限公司,成都国铁电气设备有限公司
3,3073749,C#软件开发工程师,深圳,昨天 15:05,15k-25k,1720,万兴科技股份有限公司,万兴科技股份有限公司
4,2799596,C#软件开发工程师,深圳,今天 11:23,14k-28k,164,平安证券,平安证券股份有限公司
5,2943737,C#开发工程师,南京,昨天 09:46,10k-20k,86978,百望,百望股份有限公司
6,3019140,C#开发工程师,北京,今天 09:13,10k-15k,30605,赢时胜软件,深圳市赢时胜信息技术股份有限公司
7,2888283,C#开发工程师,成都,昨天 16:40,8k-12k,140103,优学天下,深圳市优学天下教育发展股份有限公司
8,2204532,.NET/C# 软件工程师,上海,昨天 17:25,15k-25k,7907,华住酒店集团,华住酒店集团
9,1952244,C#开发工程师,广州,昨天 15:36,6k-12k,82664,北大医信-健迅,广州健迅科技有限公司
10,3047245,C#软件开发工程师,成都,昨天 10:04,5k-10k,68176,大大财经,上海大大文化传播有限公司成都分公司
11,2801191,C# 开发工程师,深圳,今天 10:54,8k-15k,171318,深圳市松大科技有限公司,深圳市松大科技有限公司
12,2237625,C#开发工程师,北京,今天 10:42,5k-10k,36513,微创,上海微创软件股份有限公司北京分公司
13,3061869,C#,北京,今天 09:45,8k-15k,125525,文脉互动,北京文脉互动科技有限公司
14,2283512,C#软件工程师,广州,昨天 16:48,8k-15k,92138,黑格科技,广州黑格智能科技有限公司
15,3061574,C#开发工程师,石家庄,今天 09:16,6k-10k,133697,品智科技,石家庄品智科技有限公司
16,1665998,C#开发工程师,广州,昨天 15:36,6k-12k,82664,北大医信-健迅,广州健迅科技有限公司
17,2141983,.NET/C# 工程师,上海,昨天 17:25,15k-25k,7907,华住酒店集团,华住酒店集团
18,2859452,c#开发工程师,广州,昨天 15:00,9k-13k,11891,伊的家,广州伊的家网络科技有限公司
19,2015709,C#开发工程师,广州,今天 00:18,8k-12k,47524,Deepmind,广州多普网络科技有限公司
20,2532658,C# 开发,上海,今天 09:09,12k-16k,63383,博彦科技,博彦科技股份有限公司
21,2843358,C#软件开发工程师,上海,昨天 16:09,8k-15k,84387,运去哪,上海汇航捷讯网络科技有限公司
22,2905412,C#,苏州,昨天 08:23,10k-20k,3564,同程旅游,同程网络科技股份有限公司
23,2406107,C#程序员,南昌,2017-05-01,5k-8k,25060,逐浪软件,江西逐浪软科技有限公司
24,2915285,C#,南京,今天 10:18,15k-18k,34683,买单侠,上海秦苍信息科技有限公司
25,2759028,C#工程师,北京,今天 09:02,8k-12k,62802,灵伴科技,北京灵伴未来科技有限公司
26,2017501,C#开发工程师,杭州,昨天 09:23,8k-16k,21658,信领达,信领达（杭州）软件有限公司
27,2792129,.net(C#)软件开发,杭州,今天 11:51,13K-20K,169022,诚泰科技,杭州诚泰科技有限公司
28,2902172,C#工程师,天津,今天 08:41,8k-16k,75575,友邦软件,江苏友邦软件有限公司
29,2230874,C#开发工程师,杭州,今天 11:09,10k-20k,134795,每天健康,杭州每天健康管理有限公司
30,3061598,C#开发工程师,石家庄,今天 09:16,6k-10k,133697,品智科技,石家庄品智科技有限公司
31,2778488,C#开发工程师-智能考试事业部,深圳,昨天 19:35,10k-20k,94153,海云天科技,深圳市海云天科技股份有限公司
32,1563649,C#,深圳,昨天 13:58,6k-12k,80590,易仓,深圳市易仓科技有限公司
33,3062740,C#开发,北京,今天 09:45,8k-12k,125525,文脉互动,北京文脉互动科技有限公司
34,2905640,C#开发工程师（onsite Microsoft）,苏州,今天 10:42,5k-10k,36513,微创,上海微创软件股份有限公司北京分公司
35,3002735,软件开发工程师_C#,东莞,今天 09:10,8k-15k,171993,数夫软件,广州数夫软件科技有限公司
36,3076985,c#,杭州,今天 10:48,6k-8k,199513,嘉付通,杭州嘉付通智能科技有限公司
37,2938552,C#高级工程师,深圳,今天 10:15,15k-30k,33627,乐易网络,深圳市乐易网络有限公司
38,3033120,C#工程师,广州,昨天 14:03,8k-10k,50215,尚途商旅,广州尚途商旅信息技术有限公司
39,2646469,C#开发工程师,北京,今天 11:41,10k-20k,71494,北大医信,北大医疗信息技术有限公司
40,3077373,C#软件工程师,深圳,今天 11:24,8k-15k,179665,中集天达,深圳中集天达空港设备有限公司
41,2873725,C#开发工程师,深圳,昨天 18:57,10k-15k,8559,美联教育集团,深圳市美联国际教育科技有限公司
42,3042659,C#工程师,成都,昨天 09:23,6k-10k,148918,易田电商,四川易田电子商务有限公司
43,3077324,c#开发工程师,郑州,今天 11:19,6k-9k,174889,游戏啦,郑州游戏啦网络科技有限公司
