,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2795421,C++软件开发工程师,成都,今天 10:12,6k-8k,171142,成都国铁电气设备有限公司,成都国铁电气设备有限公司
1,3075336,C++开发工程师,杭州,今天 09:35,8k-15k,20337,会搜股份,杭州会搜科技有限公司
2,2884454,C++开发,苏州,昨天 16:57,8k-15k,31775,若水网络,苏州市若水网络科技股份有限公司
3,3075513,C++,上海,昨天 18:23,13k-20k,25317,金证股份,深圳市金证科技股份有限公司
4,3073281,C++研发工程师,北京,昨天 14:13,15k-25k,24561,国美互联网,国美在线电子商务有限公司
5,2540455,C++开发工程师,北京,今天 12:34,25K-50K,63714,粉笔网,北京粉笔蓝天科技有限公司
6,2789280,C++,南京,今天 09:06,10k-20k,31945,孩子王,孩子王儿童用品股份有限公司
7,2816740,C++开发工程师,深圳,昨天 15:05,15k-30k,1720,万兴科技股份有限公司,万兴科技股份有限公司
8,3046969,C++软件工程师,广州,昨天 09:31,9k-18k,196544,思勘,广州思勘测绘技术有限公司
9,2957727,C++开发工程师,北京,今天 12:16,18k-30k,2964,购阿购,北京购阿购技术服务有限公司
10,2342732,C++开发工程师,上海,今天 09:42,10k-20k,1313,爱福窝,上海爱福窝云技术有限公司
11,3045290,C++开发工程师,上海,昨天 10:04,15k-25k,5680,2144游戏网,上海光雨网络科技有限公司
12,1878291,C++开发,金华,今天 11:11,13k-26k,108691,码虫网络,金华市亿博网络科技有限公司
13,2177035,C++,北京,昨天 09:42,15k-25k,1686,爱奇艺,北京爱奇艺科技有限公司
14,2824880,C++开发工程师,成都,昨天 11:16,15k-30k,6868,tap4fun,成都尼毕鲁科技股份有限公司
15,3011973,C++开发工程师（上海）,上海,昨天 16:00,12k-19k,25317,金证股份,深圳市金证科技股份有限公司
16,1285253,C++,成都,今天 09:49,12k-22k,101861,宜高美,宜高美信息服务（成都）有限公司
17,2893312,C++高级开发工程师,上海,昨天 09:15,18k-25k,18233,智慧树网,上海卓越睿新数码科技有限公司
18,2980623,C++开发工程师,苏州,昨天 08:23,12k-20k,3564,同程旅游,同程网络科技股份有限公司
19,3044064,C++软件开发工程师,北京,今天 10:53,15k-25k,69146,北京辰森世纪科技股份有限公司,北京辰森世纪科技股份有限公司
20,3057501,C++开发工程师,杭州,今天 09:16,10k-20k,10323,畅唐网络,浙江畅唐网络股份有限公司
21,598004,C++,福州,今天 09:03,8k-15k,64988,顶点软件,福建顶点软件股份有限公司
22,2826627,C++开发工程师,北京,昨天 16:10,8k-15k,58971,北京安高盟,北京安高盟科技服务有限公司
23,2902508,C++开发工程师,杭州,昨天 13:37,8k-12k,31544,睿琪软件,杭州睿琪软件有限公司
24,1114389,C++,南京,今天 09:05,13k-26k,31945,孩子王,孩子王儿童用品股份有限公司
25,3023965,c++研发工程师,南通,昨天 17:27,6k-12k,11823,帝联科技,上海帝联信息科技股份有限公司
