,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2816831,系统研发工程师（偏 CDN 方向）,广州,今天 13:09,10k-20k,171609,蛮蛮云计算,蛮蛮天下（北京）网络科技有限公司
1,2985285,CDN软件开发,成都,今天 14:18,12k-17k,129806,都纳信息科技,上海都纳信息科技有限公司
2,3074739,腾讯云高级后台开发（CDN方向）,深圳,昨天 16:48,20k-40k,451,腾讯,腾讯科技(深圳)有限公司
3,1899072,后端研发工程师（CDN）,上海,昨天 09:32,15k-30k,4832,七牛云,上海七牛信息技术有限公司
4,2780760,CDN开发工程师,上海,2017-04-26,20K-30K,143200,媒迪雅,金华媒迪雅网络股份有限公司
5,2063033,CDN开发工程师,上海,昨天 09:04,15k-25k,23694,云盾,上海云盾信息技术有限公司
6,2873803,融合 CDN 及域名服务研发工程师（武汉/北京）,北京,昨天 17:48,15k-25k,31164,青云,北京优帆科技有限公司
7,1764962,CDN研发工程师,北京,昨天 10:00,15k-30k,956,金山云,北京金山云网络技术有限公司
8,3011395,Java开发工程师-厦门CDN,厦门,昨天 08:47,10k-15k,19313,网宿科技,网宿科技股份有限公司北京分公司
9,3069166,基础架构研发工程师-接入与CDN,北京,2017-04-28,20k-40k,62,今日头条,北京字节跳动科技有限公司
10,1816900,运维工程师（CDN方向）,上海,今天 11:05,12k-24k,30830,哔哩哔哩,上海幻电信息科技有限公司
11,2931656,WX-大客户销售经理（CDN）,北京,今天 09:56,10k-20k,101,迅雷,深圳市迅雷网络技术有限公司
12,2947816,高级运维工程师(CDN),北京,2017-04-28,20k-30k,8103,汽车之家,北京车之家信息技术有限公司
13,3034187,CDN研发工程师,北京,2017-04-19,15k-30k,106303,搜狐媒体,搜狐媒体
14,2860336,CDN缓存研发,上海,2017-04-20,18k-30k,156748,Altenchina,欧立腾（北京）技术咨询有限公司上海分公司
15,2997266,CDN＆IDC销售经理,广州,今天 13:09,10k-15k,171609,蛮蛮云计算,蛮蛮天下（北京）网络科技有限公司
16,2323630,CDN开发工程师,北京,昨天 10:00,18k-35k,956,金山云,北京金山云网络技术有限公司
17,2552925,WX-CDN系统工程师,北京,今天 09:58,15k-30k,101,迅雷,深圳市迅雷网络技术有限公司
18,2143134,CDN缓存系统开发工程师,北京,今天 11:01,15k-30k,4832,七牛云,上海七牛信息技术有限公司
19,2782299,CDN运维工程师,上海,2017-04-26,15k-30k,143200,媒迪雅,金华媒迪雅网络股份有限公司
20,2619063,CDN研发工程师,北京,2017-04-16,20k-40k,50702,美团点评,北京三快在线科技有限公司
21,3044872,cdn开发工程师,杭州,昨天 08:48,15k-25k,17803,趣看,杭州趣看科技有限公司
22,2651109,CDN后台开发工程师（深圳）,深圳,今天 12:14,10k-20k,165,UCloud,上海优刻得信息科技有限公司
23,2860324,CDN调度研发,上海,2017-04-20,18k-30k,156748,Altenchina,欧立腾（北京）技术咨询有限公司上海分公司
24,3046461,CDN运维工程师,北京,2017-04-22,15k-20k,36873,翼鸥教育,北京翼鸥教育科技有限公司
25,1204365,CDN研发工程师,北京,今天 10:20,15k-30k,1686,爱奇艺,北京爱奇艺科技有限公司
