,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3055537,cocos2d-x开发工程师,深圳,今天 09:06,15k-30k,136833,史蒂夫软件,史蒂夫软件（深圳）有限公司
1,2991345,cocos2d-x,成都,今天 09:51,7k-12k,21537,聚梦,成都聚梦科技有限公司
2,2843704,COCOS2DX,北京,昨天 16:54,15k-30k,159108,桃子游戏,北京棋开德胜科技有限公司
3,2863675,COCOS2D-X,北京,昨天 15:11,12k-24k,35939,博乐科技,北京博乐科技有限公司
4,2320528,COCOS2D-X,成都,昨天 10:05,8k-12k,114978,世纪阳天,成都世纪阳天科技有限公司
5,2950172,COCOS2D-X开发工程师,广州,今天 08:35,10k-20k,95703,嘉米游戏,广州汶颢信息技术有限公司
6,2348398,COCOS2D-X,北京,昨天 15:52,20k-40k,124192,闲徕互娱,北京闲徕互娱网络科技有限公司
7,2874735,Cocos2d-x开发工程师,杭州,昨天 15:02,10k-20k,53981,七月科技,杭州七月科技有限公司
8,889024,COCOS2D-X,北京,昨天 09:48,15k-25k,4798,创新工场-同趣游戏,北京同趣同趣科技有限公司
9,2591266,COCOS2D-X开发工程师,成都,昨天 09:24,5k-10k,57400,NEXA,昊盈信息技术（成都）有限公司
10,3006797,COCOS2DX,深圳,今天 09:30,12k-20k,137601,大树下网络科技,深圳大树下网络科技有限公司
11,2936837,COCOS2D-X开发工程师,深圳,今天 08:50,6k-12k,53957,迅龙创威,深圳市迅龙创威网络技术有限公司
12,2934085,Cocos2d-X,深圳,昨天 16:00,20k-30k,34164,DoMobile,深圳市度摩科技开发有限公司
13,2123064,COCOS2D-X,上海,今天 09:50,8k-16k,58442,蜂果网络,上海蜂果网络科技有限公司
14,2912161,COCOS2D-X,北京,今天 09:38,15k-25k,120576,燃烧游戏,北京燃烧互动网络科技有限公司
15,3067992,COCOS2DX,北京,昨天 16:54,15k-30k,159108,桃子游戏,北京棋开德胜科技有限公司
16,2781274,cocos2d-x开发工程师,成都,昨天 10:05,8k-12k,114978,世纪阳天,成都世纪阳天科技有限公司
17,2558499,急招COCOS2D-X工程师,北京,昨天 15:52,18k-36k,124192,闲徕互娱,北京闲徕互娱网络科技有限公司
18,3062506,COCOS2D-X,深圳,今天 10:11,8k-15k,33627,乐易网络,深圳市乐易网络有限公司
19,1872686,COCOS2D-X开发工程师,成都,今天 10:07,5k-10k,24024,Mokitech,四川摩奇信息技术有限公司
20,2133025,COCOS2D-X,成都,昨天 10:42,10k-15k,134300,成都卓杭,成都卓杭网络科技股份有限公司
21,2970931,cocos2d-x工程师,北京,今天 11:59,15k-25k,53308,妙健康,北京妙医佳信息技术有限公司
22,2546790,COCOS2D-X,北京,今天 10:59,20k-40k,4286,竞技世界,竞技世界（北京）网络技术有限公司
23,32448,COCOS2D-X,北京,今天 10:10,15k-25k,7094,The ONE,小叶子（北京）科技有限公司
24,2949423,Cocos2d-x开发工程师,广州,昨天 14:26,10k-20k,36852,艾美网络科技,广州艾美网络科技有限公司
25,2820595,cocos2d-x工程师,广州,今天 10:04,8k-15k,44165,亿牛科技,广州亿牛信息科技有限公司
26,1562652,COCOS2D-X,杭州,今天 11:05,10k-15k,24322,开启网络,杭州开启网络科技有限公司
27,2848414,cocos2d-x开发工程师,深圳,昨天 17:58,10k-20k,173617,火星人互动娱乐,深圳市火星人互动娱乐有限公司
28,2813554,Cocos2d-x开发工程师,杭州,昨天 11:50,10k-20k,10323,畅唐网络,浙江畅唐网络股份有限公司
29,3073322,COCOS2D-X,杭州,昨天 14:18,7k-13k,72489,弘通网络,安徽弘通网络科技有限公司
30,2546780,COCOS2D-X,北京,今天 10:59,13k-25k,4286,竞技世界,竞技世界（北京）网络技术有限公司
31,2647914,急招-cocos2dx工程师,北京,昨天 15:52,15k-30k,124192,闲徕互娱,北京闲徕互娱网络科技有限公司
32,531940,COCOS2D-X工程师,深圳,昨天 10:23,8k-16k,16589,禅游,深圳市禅游科技股份有限公司
33,3063192,cocos2d-x开发工程师,深圳,2017-04-28,8k-13k,172435,正易龙,深圳市正易龙科技有限公司
34,3049233,cocos2d-x,杭州,今天 13:13,15k-25k,183551,升飞网络,杭州升飞网络科技有限公司
35,2859220,COCOS2D-X,深圳,今天 09:48,15k-20k,106768,515游戏,深圳市五一五游戏网络有限公司
36,2753833,cocos2d-x工程师,上海,今天 11:05,15k-25k,30830,哔哩哔哩,上海幻电信息科技有限公司
37,3076843,Cocos2d-X开发工程师,武汉,今天 10:34,6k-10k,27885,纵索科技,武汉纵索科技发展有限公司
38,2085023,COCOS2D-X,上海,今天 10:22,15k-30k,138115,巨人网络,上海巨人网络科技有限公司
39,2524279,COCOS2D-X,广州,今天 09:47,15k-30k,132585,古藤动漫,广州古藤动漫科技有限公司
40,1547595,COCOS2D-X,长沙,今天 08:59,8k-15k,117767,联盛网络,湖南联盛网络科技股份有限公司
41,2598196,cocos2d-x,杭州,2017-04-27,10k-15k,132188,盛锋游戏,杭州盛锋网络科技有限公司
42,2983934,cocos2d-x,深圳,昨天 17:58,10k-20k,173617,火星人互动娱乐,深圳市火星人互动娱乐有限公司
43,3007839,Cocos2d-x开发工程师,北京,昨天 18:20,10k-20k,59740,水木智娱,北京水木智娱科技有限公司
44,2869053,Cocos2D-X,上海,2017-04-27,10k-15k,175774,岳游网络,上海岳游网络科技有限公司
45,2717568,cocos2d-x,北京,昨天 09:36,15k-30k,4286,竞技世界,竞技世界（北京）网络技术有限公司
46,2888916,cocos2dx,北京,昨天 15:52,15k-30k,124192,闲徕互娱,北京闲徕互娱网络科技有限公司
47,2920048,COCOS2D-X,北京,2017-04-26,15K-20K,35939,博乐科技,北京博乐科技有限公司
48,2499264,COCOS2D-X,成都,今天 10:26,8k-15k,148596,动点网络,成都动点网络科技有限公司
49,319686,Cocos2d-x开发工程师,杭州,2017-04-27,10k-15k,11501,天鸽互动,天格科技（杭州）有限公司
50,3075888,cocos2d-x开发工程师,深圳,昨天 20:50,20k-40k,196767,大旺科技,深圳市大旺网络科技有限公司
51,1595183,COCOS2D-X,杭州,昨天 09:34,10k-15k,58320,汇玩科技,杭州汇玩科技有限公司
52,2815964,cocos2d-x开发工程师,深圳,2017-04-28,10k-15k,172435,正易龙,深圳市正易龙科技有限公司
53,2435215,COCOS2DX,北京,2017-04-28,15k-30k,82211,卿烨科技,卿烨科技（北京）有限责任公司
