,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2920635,CTO,深圳,2017-04-27,25k-50k,151474,炜度门窗VR,深圳市巡航创新科技有限公司
1,2228989,CTO,深圳,昨天 10:18,30k-40k,130566,全球蛙,山西全球蛙电子商务有限公司
2,2959046,CTO,杭州,2017-04-27,40k-70k,168150,钱咚咚,杭州钱咚咚投资管理有限公司
3,1679093,CTO,重庆,今天 14:06,70k-100k,101632,小雨点,重庆小雨点小额贷款有限公司
4,3067981,美店CTO/技术总监,杭州,今天 11:59,20k-40k,89553,美登科技,杭州美登科技有限公司
5,2824546,CTO/技术开发管理,杭州,今天 11:51,15k-30k,169022,诚泰科技,杭州诚泰科技有限公司
6,2774186,首席架构师,上海,昨天 09:46,50k-80k,63922,麦子金服,上海麦子资产管理有限公司
7,3070351,CTO,成都,2017-04-29,20k-40k,170788,掌控者,成都掌控者网络科技有限公司
8,2502015,CTO,深圳,今天 08:57,30k-50k,148452,布谷鸟科技,深圳布谷鸟信息科技有限公司
9,3060642,CTO,杭州,昨天 15:54,30k-60k,71931,车国,浙江车果网络科技有限公司
10,2929624,CTO助理,杭州,昨天 10:21,8k-16k,10593,亿方云科技,杭州亿方云网络科技有限公司
11,2744766,CTO,上海,昨天 09:40,40k-50k,139645,河姆渡电子商务有限公司,上海河姆渡实业发展有限公司
12,2989078,CTO,北京,今天 10:51,30k-50k,175470,酷骑单车,酷骑（北京）科技有限公司
13,3052570,CTO,上海,今天 08:34,80k-100k,172914,锐雅网络科技,上海锐雅网络科技有限公司
14,1421919,CTO,上海,2017-04-27,30k-50k,51807,一米好地 房产众筹,上海米地信息科技有限公司
15,2919616,CTO/技术总监,成都,今天 14:25,20k-40k,83904,海谱科技,成都海谱科技有限公司
16,1924410,CTO,杭州,昨天 10:53,30k-50k,110359,爱拼机,杭州爱拼机网络科技有限公司
17,3007356,CTO,上海,2017-04-25,35k-50k,130226,娃哈哈赋礼,上海娃哈哈赋礼网络科技有限公司
18,2895441,首席架构师,南京,昨天 11:06,30k-60k,23344,汇通达,汇通达网络有限公司
19,2799420,CTO,深圳,2017-04-26,25k-35k,105458,道网科技,深圳市道网科技有限公司
20,2934964,CTO,广州,2017-04-24,15k-20k,58004,爸爸我要,深圳市爸爸我要科技发展有限公司
21,2963244,CTO,深圳,2017-04-27,40k-60k,51491,PKFARE,深圳马可孛罗科技有限公司
22,3013299,技术总监/CTO,广州,今天 09:53,35k-70k,165926,大圣live,海南大圣娱乐有限公司
23,2723167,CTO,深圳,2017-04-26,50k-100k,29682,人人聚财,深圳市人人聚财金融信息服务有限公司
24,2338612,CTO,上海,2017-04-24,20k-40k,101010,小狗在家,上海乙豆信息科技有限公司
25,2891243,CTO,上海,今天 10:03,45k-70k,137205,乐至科技,乐至（上海）科技有限公司
26,2917859,助理CTO,深圳,今天 09:23,40k-60k,1209,魔线科技公司,魔线科技（深圳）有限公司
27,2440477,CTO,北京,2017-04-20,40k-60k,56720,北京医未科技,北京医未科技有限公司
28,3076005,技术总监（CTO）,东莞,今天 00:33,13K-26K,124719,天宏创投,深圳天宏创业投资有限公司
29,2814124,CTO,北京,2017-04-28,20k-30k,117332,氢广网络,北京氢广网络技术有限公司
30,2790771,CTO,广州,2017-04-24,20k-40k,58004,爸爸我要,深圳市爸爸我要科技发展有限公司
31,2967415,技术研发副总/CTO,成都,今天 09:30,12k-20k,179046,亿盟恒信,成都亿盟恒信科技有限公司
32,2849933,cto,广州,2017-04-26,25k-50k,164112,齐建店,广州齐建店信息科技有限公司
33,3075973,CTO总监,南京,昨天 23:07,10k-20k,197919,点线面文化,南京点线面文化发展有限公司
34,2901178,首席架构师,北京,昨天 18:53,80k-100k,3786,宜信,普信恒业科技发展（北京）有限公司
35,3061469,CTO助理,上海,今天 09:13,5k-9k,64584,平安付,平安付智能技术有限公司
36,2374639,CTO,北京,昨天 09:20,90k-100k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
37,3015413,技术合伙人（CTO）,杭州,今天 10:56,10k-15k,164591,销大侠,杭州网致科技有限公司
38,2976393,CTO/技术总监,深圳,今天 11:02,25k-35k,99273,粤港云电商集团,深圳粤港云电子商务有限公司
39,2442389,CTO,重庆,昨天 09:47,15k-30k,65732,重庆市美可梦科技有限责任公司,重庆市美可梦科技有限责任公司
40,3067869,家网CTO/技术总监-家装家居O2O,上海,2017-04-28,40k-60k,134053,城市地产,上海城市地产控股有限公司
41,3050173,CTO,北京,今天 10:10,30k-60k,140172,云帐房,南京云帐房网络科技有限公司北京分公司
42,2570172,首席架构师,西安,2017-04-20,20k-25k,89524,天彩电子（深圳）有限公司,天彩电子（深圳）有限公司
43,3021610,CTO,北京,昨天 15:07,15k-20k,18365,基层医联网,紫竹源上（北京）信息技术有限公司
44,3070610,CTO,广州,2017-04-29,8k-15k,199121,凌高云,深圳市凌高云信息科技有限公司
45,1726345,CTO,南京,2017-04-27,10k-20k,83766,小鸟安家,南京小鸟安家网络科技有限公司
46,3061439,CTO助理,上海,2017-04-26,5k-9k,64584,平安付,平安付智能技术有限公司
47,3060940,首席架构师,北京,2017-04-26,15k-25k,6364,新华网,新华网股份有限公司
48,2823244,首席架构师/CTO,北京,今天 09:46,90k-100k,104947,国美控股集团,国美控股集团有限公司
49,2830263,首席技术执行官（CTO）,杭州,2017-04-28,50k-100k,56234,小泰科技,浙江小泰科技有限公司
50,2899154,技术总监（CTO）,上海,2017-04-19,20k-40k,162521,果冻,嘉兴果冻网络科技有限公司
51,3045877,CTO,深圳,昨天 09:45,25k-50k,159165,深圳吉才神网络科技有限公司,深圳吉才神网络科技有限公司
52,2736634,技术合伙人/CTO,郑州,昨天 10:27,3k-6k,139653,Bucgoo布谷互联,郑州布谷互联网络科技有限公司
53,2410467,CTO,长沙,昨天 09:07,25k-50k,89842,志常信息,志常（上海）金融信息服务中心（有限合伙）
54,2946185,首席技术官,深圳,2017-04-13,30k-60k,127044,瓦力泰克,深圳瓦力泰克智能机器人科技有限公司
55,3022226,CTO,广州,2017-04-27,70k-90k,164601,真知码,广州真知码信息科技有限公司
56,2901094,合伙人/CTO/技术总监,杭州,今天 12:50,20k-40k,136168,杭州线条科技,杭州线条科技有限公司
57,2943586,CTO/技术总监,武汉,昨天 11:07,15k-25k,184582,智教云,智教云（北京）信息技术有限公司
58,3060288,首席架构师,深圳,2017-04-26,40k-80k,153651,一方咨询,深圳市一方企业管理咨询有限公司
59,2129289,CTO／技术VP／技术总监,上海,2017-04-26,40k-70k,86312,再惠,再惠（上海）网络科技有限公司
60,3020837,CTO,杭州,2017-04-16,20k-39k,62734,杭州简学,杭州简学科技有限公司
61,2952507,高级技术总监/事业部CTO,北京,今天 06:17,40k-50k,151117,玖富集团,玖富互金控股集团有限责任公司
62,2770996,CTO（首席技术官）,上海,2017-05-01,80k-100k,78482,云腾,上海云腾自动化科技有限公司
63,3054066,CTO,深圳,昨天 16:18,30k-50k,83577,科盾,深圳市科盾科技有限公司
64,3020532,技术总监（CTO）,中山,2017-04-15,30k-50k,190547,立之创信息科技,中山市立之创信息科技有限公司
65,3070577,首席技术官CTO（支付）,杭州,今天 08:49,30k-60k,114555,PingPong金融,杭州呯嘭智能技术有限公司
66,3051205,CTO,北京,昨天 09:03,20k-30k,181488,国盈金服,豆比科技（北京）有限公司
67,2869078,技术总监（CTO）,广州,2017-04-24,15k-18k,61683,保易科技,广州保易信息科技有限公司
68,3047104,cto,深圳,2017-04-23,15K-25K,196095,爱陌科技,北京爱陌科技有限公司
69,3012221,CTO,深圳,今天 09:32,30k-60k,67546,风景网,深圳市风景智联科技有限公司
70,2732128,CTO首席技术官,北京,2017-04-14,60k-100k,164089,新氧盒子,北京新氧盒子科技有限公司
71,2296164,CTO,杭州,2017-04-24,30k-40k,127576,好机惠,杭州好机惠信息技术有限公司
72,2840966,首席架构师,西安,2017-04-10,20K-25K,167029,翰特商贸,西安竟伯商贸有限公司
73,3052434,技术合伙人（CTO）,深圳,2017-04-24,18k-30k,62298,医时空,深圳市医时空健康养生服务有限公司
74,2533839,首席技术官,深圳,2017-04-10,50K-100K,155323,爱哆哆,北京爱哆哆科技有限公司
75,2937760,CTO/技术总监/技术合伙人,武汉,昨天 12:07,15k-25k,90579,海南智联邦,海南智联邦科技有限公司
76,3069051,CTO,上海,2017-04-28,25k-35k,132341,上海浔矿电子商务有限公司,上海浔矿电子商务有限公司
77,2686287,CTO,广州,2017-04-21,15K-25K,163741,艾特互动,广州艾特互动网络有限公司
78,2801683,技术总监（CTO）,广州,昨天 09:45,20k-40k,143974,东德科技,广州市东德网络科技有限公司
79,2835731,CTO,北京,昨天 16:07,80k-100k,109840,华亨资本管理集团,广西中沃房地产有限公司
80,3047599,高级PHP工程师/架构师/CTO/技术总监/合伙人,广州,今天 11:27,3k-6k,118827,广州汇润信息科技有限公司,广州汇润信息科技有限公司
81,2743027,CTO,深圳,昨天 18:09,40k-80k,107636,萧乔网络,深圳市萧乔网络科技有限公司
82,2603647,CTO,深圳,昨天 13:56,20k-30k,74957,多度科技,深圳市多度科技有公司
83,2673894,CTO/全栈工程师,北京,今天 12:58,26k以上,47287,奇步互动,北京奇步互动技术有限公司
84,3049554,CTO/技术总监,杭州,2017-04-24,10k-15k,117022,杭州米若,杭州米若网络科技有限公司
85,3078544,CTO技术合伙人,深圳,今天 14:33,50k-80k,174113,微回收,深圳市兵马科技有限公司
86,1586519,CTO/技术合伙人/技术总监/资深JAVA架构师,杭州,今天 11:31,15k-30k,104608,好德软件,海宁好德软件科技有限公司
87,2952747,CTO,深圳,2017-04-25,15k-25k,85272,声活科技,深圳市声活科技文化有限公司
88,2947273,手游技术总监/CTO,杭州,2017-04-25,15k-30k,83000,魔域,杭州魔域网络科技有限公司
