,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2898578,DBA,北京,今天 10:09,18k-25k,61249,云鸟科技,北京云鸟科技有限公司
1,3074956,DBA,上海,今天 14:21,9k-18k,5918,驴妈妈旅游网,上海景域文化传播股份有限公司
2,3056425,DBA,上海,今天 09:14,15k-25k,1738,有鱼金融科技,上海彩亿信息技术有限公司
3,2974633,DBA,杭州,昨天 14:55,10k-20k,56234,小泰科技,浙江小泰科技有限公司
4,2704389,高级DBA,杭州,今天 10:56,10k-15k,51881,浙江小融网络科技股份有限公司,浙江小融网络科技股份有限公司
5,2870769,DBA,上海,今天 10:11,12k-18k,117258,Alading Bank,上海亮昕网络科技有限公司
6,2068325,DBA,上海,今天 10:18,15k-30k,34683,买单侠,上海秦苍信息科技有限公司
7,1621763,DBA,深圳,今天 09:27,10k-20k,11885,世联行,深圳世联行地产顾问股份有限公司
8,3014963,DBA,杭州,今天 13:51,15k-25k,105386,喜泊客,上海喜泊客信息技术有限公司
9,3058925,DBA,上海,今天 13:20,8k-15k,43378,趣医网,上海趣医网络科技有限公司
10,2770275,DBA,杭州,今天 13:05,15k-20k,75593,吉利招聘,浙江吉利控股集团有限公司
11,2280480,DBA,合肥,今天 10:01,15k-25k,36272,飞常准,合肥飞友网络科技有限公司
12,2878003,DBA,上海,昨天 14:30,20k-30k,97604,太美医疗科技,嘉兴太美医疗科技有限公司
13,2374164,DBA,上海,今天 10:04,15k-30k,113723,上海拿米金服,上海拿米金融信息服务有限公司
14,2680716,DBA,上海,昨天 16:45,15k-25k,87314,景源金服,上海景源金融信息服务有限公司
15,1604305,DBA,上海,今天 10:18,20k-35k,34683,买单侠,上海秦苍信息科技有限公司
16,3042642,DBA,杭州,2017-04-27,12k-18k,16319,电魂网络,杭州电魂网络科技股份有限公司
17,2026813,DBA,厦门,今天 10:57,10k-15k,95617,乐商云集,乐商云集（厦门）供应链有限公司
18,2995749,DBA,北京,今天 09:11,8k-15k,6764,AbleSky,能力天空科技（北京）有限公司
19,2752385,DBA,上海,今天 09:32,10k-20k,64597,乂学,上海乂学教育科技有限公司
20,3070353,DBA,成都,2017-04-29,7k-14k,170788,掌控者,成都掌控者网络科技有限公司
21,2550610,DBA（重庆）,重庆,今天 10:00,8k-16k,395,猪八戒网,重庆猪八戒网络有限公司
22,3021449,DBA/数据库工程师,南京,今天 09:40,15k-20k,11971,天玑科技,上海天玑科技股份有限公司
23,2854939,DBA,西安,今天 09:48,8k-15k,5672,易流,深圳市易流科技有限公司
24,2921988,DBA,上海,今天 09:12,10k-18k,43378,趣医网,上海趣医网络科技有限公司
25,2711000,DBA,上海,昨天 09:08,15k-25k,24995,泛微,上海泛微网络科技股份有限公司
26,2851461,DBA,成都,今天 08:55,8k-15k,157160,玖玖游,深圳市九五玖玖网络科技有限公司四川分公司
27,2669195,DBA,深圳,昨天 14:56,9k-18k,6566,金蝶,金蝶软件（中国）有限公司
28,3029833,DBA,上海,今天 09:58,18k-25k,83249,帜讯信息,上海帜讯信息技术股份有限公司
29,2860197,DBA,上海,2017-04-18,15k-30k,86068,壹米滴答,上海壹米滴答供应链管理有限公司
30,2870008,DBA,北京,今天 09:23,13k-25k,6764,AbleSky,能力天空科技（北京）有限公司
31,3019224,数据库管理员/DBA,深圳,今天 13:35,18k-25k,50285,众禄金融,深圳众禄金融控股股份有限公司
32,3069078,DBA,北京,昨天 11:19,15k-25k,21225,和创金服,北京和创未来网络科技有限公司
33,2920889,DBA,杭州,今天 10:32,14k-25k,22013,二维火,杭州迪火科技有限公司
34,2183183,DBA,杭州,今天 09:41,7k-14k,120673,网竞科技,浙江网竞网络科技有限公司
35,3023980,DBA,上海,昨天 21:10,15k-30k,50574,宝付网络科技（上海）有限公司,宝付网络科技（上海）有限公司
36,3070555,DBA,东莞,2017-04-29,15k-25k,26277,步步高教育电子有限公司,步步高教育电子有限公司
37,3056412,数据管理员（DBA）,上海,今天 09:14,15k-25k,1738,有鱼金融科技,上海彩亿信息技术有限公司
38,2420427,DBA,长沙,2017-04-28,8k-15k,29579,辰运软件,长沙辰运软件有限公司
39,2780035,DBA,杭州,2017-04-28,10k-15k,69091,浙报集团,浙江日报报业集团
40,2193347,DBA,北京,今天 09:52,15k-30k,90101,易安财产保险股份有限公司,易安财产保险股份有限公司
41,2885839,DBA,武汉,昨天 09:35,7k-14k,13153,优品财富管理有限公司,优品财富管理有限公司
42,2828284,DBA,上海,今天 10:42,15k-28k,47956,厚本金融,上海厚本金融信息服务有限公司
43,2892430,数据工程师（DBA）,上海,昨天 09:47,15k-25k,63922,麦子金服,上海麦子资产管理有限公司
44,3010103,DBA经理,深圳,今天 09:20,15k-30k,123723,佰仟金融,深圳市佰仟金融服务有限公司
45,3065436,数据库管理员（DBA）,上海,今天 09:14,15k-25k,1738,有鱼金融科技,上海彩亿信息技术有限公司
46,2985487,DBA,北京,今天 09:52,15k-30k,90101,易安财产保险股份有限公司,易安财产保险股份有限公司
47,2736740,DBA,成都,昨天 17:40,8k-15k,30148,海南航空,海南航空股份有限公司
48,2951535,DBA,杭州,昨天 15:54,10k-20k,71931,车国,浙江车果网络科技有限公司
49,2253507,DBA,北京,今天 12:08,20k-40k,104715,信美相互人寿,信美人寿相互保险社（筹）
50,3077696,数据库工程师（DBA）,上海,今天 11:53,15k-25k,5918,驴妈妈旅游网,上海景域文化传播股份有限公司
51,2774946,DBA,深圳,今天 09:22,18k-30k,44982,友金所,深圳前海用友力合金融服务有限公司
52,2758596,DBA,深圳,今天 08:56,10k-20k,112346,鹏元数据技术,深圳前海鹏元数据技术有限公司
53,2928183,高级Oracle数据库管理员（DBA）,深圳,今天 09:56,18k-30k,15175,分期乐,深圳市分期乐网络科技有限公司
54,1620216,DBA,深圳,今天 09:27,15k-30k,15265,我来贷WeLab,深圳卫盈智信科技有限公司
55,2815901,资深DBA,北京,昨天 10:56,20k-35k,61249,云鸟科技,北京云鸟科技有限公司
56,2917120,DBA,杭州,2017-04-25,8k-15k,46796,小鸟推送,杭州诺霖互动科技股份有限公司
57,2642404,DBA,上海,今天 08:57,10k-20k,142324,旭胜金融信息服务股份有限公司,上海旭胜金融信息服务股份有限公司
58,2931437,DBA,上海,昨天 10:13,14k-17k,121222,易居中国-创新研发中心,上海克而瑞软件技术有限公司
59,2347011,数据管理员（DBA）,杭州,昨天 08:53,10k-20k,45150,杭州施强教育科技有限公司,杭州施强网络科技有限公司
60,2692646,DBA,苏州,2017-04-24,8k-15k,51527,朗动网络科技,苏州朗动网络科技有限公司
61,2906292,DBA,成都,今天 11:52,9k-18k,95921,雅堂控股集团,深圳市雅堂控股投资股份有限公司
62,2503282,资深DBA,北京,今天 10:33,20k-40k,61921,人人行(借贷宝),人人行科技有限公司
63,2341949,高级数据库管理(DBA),广州,今天 09:02,20k-30k,658,三七互娱,三七互娱（上海）科技有限公司
