,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2910513,Delphi开发工程师,广州,昨天 18:36,8k-12k,123829,易达科技,广州易达建信科技开发有限公司
1,3000740,delphi开发,成都,今天 09:09,4k-8k,33798,四川汽车票务网,四川倍施特科技股份有限公司
2,2377449,delphi开发工程师,北京,今天 10:27,8k-15k,56462,好价网,北京好价网络科技有限公司
3,2958872,Delphi开发工程师,深圳,今天 10:29,10k-15k,25317,金证股份,深圳市金证科技股份有限公司
4,2999164,Delphi软件工程师,成都,今天 09:22,6k-10k,19825,任我行软件,成都任我行软件股份有限公司
5,39128,软件工程师-Delphi方向,上海,昨天 16:51,7k-14k,7988,海鼎,上海海鼎信息工程股份有限公司
6,3014096,Delphi工程师,杭州,2017-04-28,8k-10k,42264,吉利集团（易云科技）,杭州吉利易云科技有限公司
7,2944289,delphi开发工程师,成都,2017-04-25,4k-7k,112405,欣阳科技,四川欣阳科技有限公司
8,2754572,Delphi开发工程师,深圳,今天 08:32,6k-12k,28443,鹏海运,深圳市鹏海运电子数据交换有限公司
9,2738010,软件工程师（DELPHI语言）,南京,今天 09:47,4k-8k,166140,鼎捷软件,鼎捷软件股份有限公司
10,1672387,Delphi,上海,2017-04-18,10k-18k,18739,东普科技,上海东普信息科技有限公司
11,3037675,Delphi开发工程师,武汉,今天 10:25,4k-6k,30885,纬创软件,纬创软件（北京）有限公司武汉分公司
12,2960196,Delphi开发工程师,广州,2017-04-25,10k-16k,67439,方图智能,珠海方图智能科技有限公司
13,2780803,Delphi开发工程师,深圳,今天 08:37,8k-15k,115672,智慧药师,深圳智慧药师科技股份有限公司
14,3013840,Delphi开发工程师,杭州,昨天 08:03,7k-10k,156795,金杭印业,杭州金杭包装印业有限公司
15,2813138,Delphi开发工程师,广州,昨天 18:36,8k-15k,123829,易达科技,广州易达建信科技开发有限公司
16,498029,Delphi开发工程师-广州,广州,昨天 16:51,8k-16k,7988,海鼎,上海海鼎信息工程股份有限公司
17,2961698,Delphi开发【广州】,广州,2017-04-14,8k-15k,21980,科大讯飞,科大讯飞股份有限公司
18,2964645,Delphi开发工程师,深圳,今天 10:56,7k-14k,161581,丰速科技,深圳丰速科技有限公司
19,3006373,DELPHI软件开发工程师,成都,今天 09:31,6k-10k,19825,任我行软件,成都任我行软件股份有限公司
20,3022274,Delphi开发工程师,北京,昨天 09:24,8k-12k,24972,竞业达,北京竞业达数码科技有限公司
21,1994781,PB/Delphi/C# 开发工程师,广州,2017-04-24,6k-12k,26311,金蝶医疗 移动互联网医院领航者,金蝶医疗软件科技有限公司
