,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2237376,ETL,深圳,昨天 10:38,10k-15k,11885,世联行,深圳世联行地产顾问股份有限公司
1,248247,ETL工程师,上海,昨天 17:26,10k-20k,35713,链家上海研发中心,德佑房地产经纪有限公司
2,1683196,ETL,成都,今天 09:35,6k-8k,105563,博智信息,成都博智维讯信息技术有限公司
3,2501881,ETL,上海,昨天 10:12,15k-20k,151036,群星金融,鼎必程（上海）信息技术有限公司
4,1217496,ETL,上海,今天 10:18,25k-35k,34683,买单侠,上海秦苍信息科技有限公司
5,2661002,ETL工程师,广州,今天 14:32,10k-20k,20473,广州棒谷网络科技有限公司,广州棒谷网络科技有限公司
6,1241527,ETL,北京,昨天 10:14,16k-24k,62831,明略数据,北京明略软件系统有限公司
7,2778985,ETL工程师,厦门,昨天 18:23,6k-12k,84086,笨鸟社交,厦门笨鸟电子商务有限公司
8,2511127,ETL开发工程师,上海,昨天 17:13,6k-8k,22182,安正软件,广州安正软件股份有限公司
9,1537370,数据开发工程师（ETL）,上海,昨天 17:22,10k-20k,5330,齐家网,上海齐家网信息科技股份有限公司
10,2706722,ETL工程师,北京,昨天 09:25,15k-25k,4188,INK 银客集团,银客未来科技（北京）有限公司
11,2299618,中间件开发工程师（ETL/BI）,上海,昨天 10:21,15k以上,27962,星环科技,星环信息科技（上海）有限公司
12,2728993,ETL工程师,杭州,昨天 08:49,8k-15k,93448,览众数据,杭州览众数据科技有限公司
13,2334667,研发工程师（ETL开发）,南京,今天 14:19,8k-12k,35347,新智认知,新智认知数据服务有限公司
14,1479162,数据开发工程师（ETL）,上海,今天 10:10,15k-25k,41802,THE BEAST 野兽派,上海布鲁爱电子商务有限公司
15,2563373,ETL,北京,昨天 10:13,20k-30k,128115,爱狄特,北京爱狄特信息科技有限公司
16,3075112,ETL开发工程师,佛山,昨天 17:28,15k-25k,149167,美云智数,深圳美云智数科技有限公司
17,2799742,ETL工程师,上海,昨天 09:46,15k-25k,63922,麦子金服,上海麦子资产管理有限公司
18,2917265,ETL/BI 大数据运维工程师,广州,昨天 10:21,8k-15k,27962,星环科技,星环信息科技（上海）有限公司
19,2416698,ETL,北京,2017-04-28,14k-18k,22862,上海华腾软件系统有限公司,上海华腾软件系统有限公司
20,1334567,ETL工程师,上海,昨天 18:29,10k-15k,35713,链家上海研发中心,德佑房地产经纪有限公司
21,3026345,数据研发工程师(ETL),上海,今天 13:20,8k-10k,7907,华住酒店集团,华住酒店集团
22,2511097,ETL开发工程师,深圳,昨天 17:13,5k-10k,22182,安正软件,广州安正软件股份有限公司
23,2694123,ETL工程师,厦门,今天 10:57,10k-20k,95617,乐商云集,乐商云集（厦门）供应链有限公司
24,2018380,ETL,南京,2017-04-25,9k-16k,32179,南京领添,南京领添信息技术有限公司
25,2955651,ETL工程师,北京,今天 10:25,10k-20k,21455,天子星,北京普照天星科技有限公司
26,3052148,大数据开发工程师（ETL）,深圳,今天 14:15,13k-25k,34543,FORMAX金融圈,深圳福迈斯科技有限公司
27,2755645,ETL开发工程师,上海,昨天 09:58,10k-20k,14693,亿通国际,上海亿通国际股份有限公司
28,3041533,数据仓库工程师(ETL),北京,昨天 09:25,15k-25k,4188,INK 银客集团,银客未来科技（北京）有限公司
29,2967208,ETL工程师,北京,2017-04-26,10k-18k,78889,博易智软,博易智软（北京）技术股份有限公司
30,2416727,ETL,北京,2017-04-28,15k-25k,22862,上海华腾软件系统有限公司,上海华腾软件系统有限公司
31,2773930,ETL工程师,上海,昨天 09:45,15k-25k,63922,麦子金服,上海麦子资产管理有限公司
32,2445726,ETL研发工程师,上海,今天 09:36,13k-25k,70718,返利网,上海中彦信息科技有限公司
33,3027427,ETL工程师,深圳,昨天 09:36,17k-26k,99089,美利金融,天道计然（北京）信息科技有限责任公司
34,2833117,ETL工程师,上海,今天 14:33,15k-25k,31696,赢了网,上海法和信息科技有限公司
35,2852800,ETL Engineer,上海,2017-04-24,15k-25k,35384,智慧芽,智慧芽信息科技（苏州）有限公司
36,2954698,ETL工程师,上海,今天 09:59,15k-30k,16659,蘑菇租房,上海墨果资产管理有限公司
37,2780479,ETL开发工程师,成都,今天 09:35,6k-8k,105563,博智信息,成都博智维讯信息技术有限公司
38,2976501,ETL开发,西安,2017-04-28,6k-10k,26980,上海华腾软件系统有限公司,上海华腾软件系统有限公司
39,2005585,ETL工程师,上海,2017-04-21,10k-20k,15083,寄云科技,北京寄云鼎城科技有限公司
40,2699274,ETL开发工程师,上海,今天 10:18,15k-25k,34683,买单侠,上海秦苍信息科技有限公司
41,2680217,ETL开发工程师,深圳,今天 09:22,10k-20k,44982,友金所,深圳前海用友力合金融服务有限公司
42,2726761,高级数据开发工程师-ETL(J10613),上海,昨天 20:15,15k-30k,3112,沪江,沪江教育科技（上海）股份有限公司
43,2814171,ETL工程师,深圳,2017-04-28,10k-15k,28967,康拓普,深圳市康拓普信息技术有限公司
44,2659391,ETL工程师,深圳,2017-04-27,12k-24k,15175,分期乐,深圳市分期乐网络科技有限公司
45,2416686,ETL,北京,2017-04-28,14k-18k,22862,上海华腾软件系统有限公司,上海华腾软件系统有限公司
46,2631017,ETL研发工程师,上海,今天 10:23,13k-25k,70718,返利网,上海中彦信息科技有限公司
47,2990342,ETL开发工程师,杭州,今天 09:55,7k-10k,91954,求是同创,杭州求是同创网络科技有限公司
48,2666975,ETL开发工程师,广州,昨天 17:13,8k-15k,22182,安正软件,广州安正软件股份有限公司
49,1711350,ETL工程师,上海,2017-04-25,12k-16k,85407,通善金融,上海通善互联网金融信息服务有限公司
50,3002721,ETL开发工程师,上海,今天 11:13,10k-20k,26962,上海你我贷互联网金融信息服务,嘉银（上海）金融信息服务有限公司
51,2368300,ETL工程师,上海,2017-04-25,15k-25k,63922,麦子金服,上海麦子资产管理有限公司
52,3024200,ETL开发工程师,深圳,昨天 09:31,10k-15k,9149,新浪爱彩,深圳市中网彩网络技术有限公司
53,3053397,ETL开发工程师,深圳,昨天 20:04,10k-20k,28121,Klook 客路旅行,深圳市客路网络科技有限公司
54,1669545,ETL,上海,2017-04-18,10k-20k,18739,东普科技,上海东普信息科技有限公司
55,3077133,ETL工程师,杭州,今天 11:01,8k-15k,65322,中奥科技,杭州中奥科技有限公司
56,2901808,数据仓库工程师（ETL）,上海,2017-04-29,10k-20k,97789,永辉超市股份有限公司,永辉超市股份有限公司
57,2992902,ETL开发工程师,上海,今天 10:22,12k-18k,4428,恺英网络,上海恺英网络科技有限公司
58,2446513,ETL工程师,北京,今天 10:53,10k-15k,136219,北京凯峰数据科技有限公司,北京凯峰数据科技有限公司
59,804624,ETL（急聘）,北京,今天 09:13,8k-16k,30605,赢时胜软件,深圳市赢时胜信息技术股份有限公司
60,2706152,数据库开发工程师（ETL）,上海,昨天 17:50,10k-20k,22862,上海华腾软件系统有限公司,上海华腾软件系统有限公司
61,2819815,资深ETL工程师,上海,今天 11:12,10k-15k,26962,上海你我贷互联网金融信息服务,嘉银（上海）金融信息服务有限公司
62,2700098,ETL/数仓开发工程师,上海,今天 08:51,12k-24k,109625,还呗-智能信贷领先者,上海数禾信息科技有限公司
