,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1800952,FPGA开发,深圳,今天 09:17,10k-20k,128547,超节点,深圳市超节点网络科技有限公司
1,2722824,FPGA开发工程师,北京,今天 11:28,10k-15k,8390,源仪迅驰科技,北京源仪迅驰科技有限公司
2,2802146,高级FPGA开发,北京,今天 10:47,15k-30k,128957,深鉴科技,北京深鉴科技有限公司
3,3054263,FPGA开发工程师,深圳,2017-04-27,10k-15k,56239,雷柏科技,深圳雷柏科技股份有限公司
4,2668355,FPGA开发工程师,深圳,2017-04-25,15k-30k,62683,珠海习悦,珠海习悦信息技术有限公司
5,3039109,FPGA开发工程师,深圳,昨天 10:17,15k-30k,451,腾讯,腾讯科技(深圳)有限公司
6,2341789,FPGA开发,深圳,2017-04-14,15k-30k,147523,大普微,深圳大普微电子科技有限公司
7,3005362,FPGA开发工程师,西安,2017-04-11,10k-20k,159091,前信信息,前信（上海）信息科技有限公司
8,3060009,FPGA开发工程师,北京,今天 09:31,10k-20k,33910,万协通,北京万协通信息技术有限公司
9,1403716,FPGA开发,深圳,2017-04-18,10k-20k,40476,DTCC,北京达耐美贸易有限公司深圳分公司
10,1638322,FPGA开发,成都,2017-04-26,8k-16k,79903,银河风云,深圳市银河风云网络系统股份有限公司
11,2812475,FPGA开发工程师,成都,昨天 14:39,10k-20k,145580,中安频谱,成都中安频谱科技有限公司
12,3045991,FPGA开发工程师,北京,2017-04-22,12k-20k,106068,利国电子,北京市利国电子技术有限公司
13,2136282,FPGA开发工程师,成都,2017-04-28,8k-16k,114718,格致健康,江苏格致生命科技有限公司
14,2065434,FPGA开发,深圳,2017-04-10,12k-24k,85856,思科泰,深圳市思科泰技术有限公司
15,2617916,FPGA开发工程师,北京,今天 11:28,15k-25k,8390,源仪迅驰科技,北京源仪迅驰科技有限公司
16,2522059,FPGA开发,北京,2017-04-10,13k-25k,140606,远形时空,远形时空科技（北京）有限公司
17,3010375,FPGA开发工程师（深度学习FPGA计算）,北京,昨天 11:46,15k-30k,148933,深思考人工智能机器人,深思考人工智能机器人科技（北京）有限公司
18,3010363,高级FPGA开发工程师（深度学习FPGA计算）,北京,昨天 11:46,15k-30k,148933,深思考人工智能机器人,深思考人工智能机器人科技（北京）有限公司
