,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2945933,FLASH开发工程师,广州,今天 10:06,12k-20k,177725,锐卓网络,广州市锐卓网络科技有限公司
1,1521302,Flash开发工程师,武汉,昨天 10:11,6k-12k,37236,斗鱼直播,武汉斗鱼网络科技有限公司
2,2457587,Flash开发工程师,广州,今天 10:36,6k-10k,112,爱拍原创,广州爱拍网络科技有限公司
3,2965341,flash程序员,成都,昨天 14:55,8k-16k,169901,腾王动漫,江西腾王动漫产业服务有限公司
4,2971208,Flash研发工程师,上海,2017-04-26,18k-30k,1686,爱奇艺,北京爱奇艺科技有限公司
5,2792375,Flash开发工程师,上海,2017-04-28,6k-11k,14983,游族网络,上海游族信息技术有限公司
6,2840024,FLASH/MG动画师/后期动画制作,长沙,今天 10:10,7k-14k,29092,理才网,湖南理才网科技发展有限公司
7,2287643,Flash设计师,广州,昨天 15:32,3k-4k,28552,驷骏,广州驷骏网络科技有限公司
8,2993621,Flash高级研发工程师,北京,昨天 10:00,10k-15k,956,金山云,北京金山云网络技术有限公司
9,2852554,培优总部-原画师（flash）,北京,今天 09:04,6k-8k,3328,好未来,北京世纪好未来教育科技有限公司
10,2785975,flash实习,北京,昨天 20:35,3k-4k,5706,洋葱数学,光合新知（北京）科技有限公司
11,3075760,二维动画师（Flash/AE）,北京,昨天 19:28,4k-8k,59656,五彩传媒,五彩世界（北京）文化传媒有限公司
12,2338806,动画师(flash/moho),北京,2017-04-20,5k-10k,66494,青藤文化,北京青藤文化股份有限公司
13,2060204,Flash,上海,昨天 18:50,15k-20k,43165,上海交叉点,上海交叉点信息科技有限公司
14,2890294,Flash中高级开发工程师,广州,2017-04-13,8k-15k,177809,彩猫科技,广州彩猫网络科技有限公司
15,2864217,培优总部-动画师（flash）,北京,今天 09:04,6k-8k,3328,好未来,北京世纪好未来教育科技有限公司
16,2995952,Flash开发,北京,昨天 08:45,10k-20k,188293,道荣科技,北京道荣网络科技有限公司
17,1706175,Flash,深圳,昨天 14:22,12k-20k,110960,欢雀科技,深圳市前海欢雀科技有限公司
18,2997151,高级flash开发,北京,昨天 14:28,15k-30k,107435,熊猫直播,上海熊猫互娱文化有限公司北京分公司
19,1986408,flash(as3)开发工程师,广州,2017-04-24,5k-10k,68272,暗沙游戏,上海暗沙网络科技有限公司广州分公司
20,2699590,flash/flex开发,石家庄,2017-04-06,10k-20k,129110,云袭网络,云袭网络发展（北京）有限公司
21,2989279,Flash AS3 开发工程师,深圳,2017-04-06,10k-18k,2028,岂凡网络,深圳岂凡网络有限公司
22,2844201,Flash开发工程师（直播方向）,上海,今天 11:05,10k-20k,30830,哔哩哔哩,上海幻电信息科技有限公司
23,3054673,AS3/flash开发工程师,广州,昨天 15:19,8k-15k,181122,中投立赢,广州中投立赢资产管理有限公司
