,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2749545,Go,北京,昨天 14:47,20k-40k,82991,数美,北京数美时代科技有限公司
1,2352261,Go,北京,昨天 14:25,20k-35k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
2,3077752,Go,上海,今天 12:01,10k-20k,73861,汇宜金融,上海汇宜金融信息服务有限公司
3,2311737,Go,北京,2017-04-28,15k-30k,146195,博晨技术,北京博晨技术有限公司
4,3077773,Go/golang高级开发工程师,深圳,今天 12:05,15k-20k,467,宏智力,深圳市宏智力科技有限公司
5,1355096,Go,上海,昨天 10:01,13k-25k,30843,ezbuy,前海煦逸信息技术（深圳）有限公司
6,3074575,go工程师,北京,昨天 16:31,15k-25k,199033,宏链科技,北京宏链科技有限公司
7,2962839,GO,北京,2017-04-30,10k-20k,41030,小肚皮App,北京九识佳科技有限公司
8,2800097,Go开发,苏州,昨天 08:23,10k-15k,3564,同程旅游,同程网络科技股份有限公司
9,2735717,高级C++/GO/NLP工程师,武汉,昨天 10:05,8k-16k,111175,ZingFront智线,智线云科技（北京）有限公司
10,2894573,GO,北京,昨天 09:36,15k-30k,4286,竞技世界,竞技世界（北京）网络技术有限公司
11,3054709,Golang开发工程师,上海,今天 11:42,15k-25k,142919,TapTap,易玩（上海）网络科技有限公司
12,3049072,GO/Python/PHP/C/C+后端开发攻城狮,北京,今天 08:56,18k-28k,148374,冲动旅行,北京心心联合科技有限公司
13,2201466,Go工程师,厦门,今天 09:53,7k-12k,110747,深图智服DEEPIR,深图（厦门）科技有限公司
14,1715411,Go工程师,北京,今天 11:21,15k-30k,179,她理财,北京新工场投资顾问有限公司
15,2773182,Go /Golang 高级研发,北京,昨天 14:47,20k-40k,82991,数美,北京数美时代科技有限公司
16,2643740,Go,北京,昨天 14:25,8k-15k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
17,2735719,高级C++/GO/NLP工程师,北京,昨天 10:05,12k-24k,111175,ZingFront智线,智线云科技（北京）有限公司
18,2346708,C++/go方向,上海,今天 10:05,15k-30k,66311,方付通,上海方付通商务服务有限公司
19,2784547,golang工程师,北京,昨天 18:43,10k-20k,83585,XSKY,星辰天合（北京）数据科技有限公司
20,3053799,GO开发工程师,杭州,今天 09:08,10k-20k,85040,优云软件,北京广通信达软件股份有限公司杭州分公司
21,3017998,游戏服务端主程（Go语言）,厦门,昨天 10:44,10k-15k,9547,4399,四三九九网络股份有限公司
22,506545,Go,上海,2017-04-25,10k-20k,57682,爱可生,上海爱可生信息技术股份有限公司
23,2823359,GO开发工程师,上海,昨天 10:01,13k-20k,30843,ezbuy,前海煦逸信息技术（深圳）有限公司
24,3077325,golang开发,南京,今天 11:19,10k-18k,127493,以太数据,南京以太数据科技有限公司
25,2786878,golang开发工程师,成都,今天 09:31,15k-25k,2696,G7,北京汇通天下物联科技有限公司
26,3018722,GO,上海,昨天 17:08,12k-20k,39023,米领通信,上海米领通信技术有限公司
27,2936556,Golang,北京,今天 10:14,10k-20k,4140,北京鲜柚科技有限公司,北京鲜柚科技有限公司
28,2878487,go开发工程师,北京,昨天 18:17,25k-32k,59251,映客直播,北京蜜莱坞网络科技有限公司
