,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2620944,Hadoop,上海,今天 09:58,10k-16k,83249,帜讯信息,上海帜讯信息技术股份有限公司
1,2398320,Hadoop,北京,今天 10:03,25k-40k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
2,2749366,Hadoop,北京,昨天 14:47,20k-40k,82991,数美,北京数美时代科技有限公司
3,2579743,Hadoop发行版开发工程师,上海,昨天 10:21,16k以上,27962,星环科技,星环信息科技（上海）有限公司
4,1659783,Hadoop工程师,上海,昨天 09:04,15k-25k,23694,云盾,上海云盾信息技术有限公司
5,2964782,hadoop开发工程师,深圳,今天 09:34,8k-15k,63383,博彦科技,博彦科技股份有限公司
6,2690687,hadoop开发工程师,武汉,今天 10:57,10k-20k,7936,武汉安天,武汉安天信息技术有限责任公司
7,2940476,Hadoop研发工程师,广州,昨天 14:49,10k-20k,20473,广州棒谷网络科技有限公司,广州棒谷网络科技有限公司
8,1367385,Hadoop,无锡,今天 10:54,9k以上,3246,帆软软件,南京帆软软件有限公司
9,2502880,Hadoop开发,上海,今天 09:15,15k-20k,36849,新蛋信息技术（中国）有限公司,新蛋信息技术（中国）有限公司
10,2505451,Hadoop研发工程师,广州,今天 09:03,7k-13k,126216,广州丰石科技,广州丰石科技有限公司
11,2788523,Hadoop工程师,上海,昨天 18:40,15k-30k,170297,东方头条,上海嵩恒网络科技有限公司
12,3022338,Hadoop工程师,深圳,昨天 08:36,9k-18k,63500,紫川软件,深圳市紫川软件有限公司
13,2295248,Hadoop,上海,今天 10:18,15k-25k,34683,买单侠,上海秦苍信息科技有限公司
14,2262848,Hadoop工程师,杭州,今天 09:50,8k-15k,9891,米络科技（KK直播）,杭州米络科技有限公司
15,2749369,Hadoop 研发工程师,北京,昨天 14:47,20k-40k,82991,数美,北京数美时代科技有限公司
16,3037977,Hadoop,深圳,昨天 18:05,30k-60k,175393,览众科技,深圳市览众科技股份有限公司
17,3046040,hadoop工程师,广州,昨天 08:57,10k-20k,20473,广州棒谷网络科技有限公司,广州棒谷网络科技有限公司
18,2231570,Hadoop,合肥,今天 10:44,9k-15k,27072,浩瀚深度,北京浩瀚深度信息技术股份有限公司
19,2796333,Hadoop工程师--大连,大连,昨天 10:14,10k-20k,62831,明略数据,北京明略软件系统有限公司
20,1367462,Hadoop,南京,今天 10:54,9k以上,3246,帆软软件,南京帆软软件有限公司
21,2729306,技术主管（hadoop）,深圳,今天 10:10,15k-20k,4184,思特奇Si-tech,北京思特奇信息技术股份有限公司
22,3006665,hadoop,上海,今天 11:28,25k-40k,174449,现金侠,上海利全信息科技服务有限公司
23,2529695,Hadoop,重庆,今天 10:05,12k-20k,102530,允升科技,重庆允升科技有限公司
24,2058742,hadoop工程师,上海,昨天 18:20,13k-25k,49893,九曳供应链,上海久耶供应链管理有限公司
25,2910217,hadoop工程师,上海,今天 09:42,15k-30k,1738,有鱼金融科技,上海彩亿信息技术有限公司
26,3044490,​Hadoop开发,北京,昨天 14:08,15k-30k,1866,大鱼自助游,北京鱼行天下网络科技有限公司
27,2437278,hadoop工程师,上海,昨天 09:55,15k-25k,4950,好买基金网（联想腾讯注资企业）,好买财富管理股份有限公司
28,3022008,Hadoop研发工程师,北京,今天 09:49,20k-35k,3712,京东,京东世纪贸易有限公司
29,2718159,Hadoop工程师（华南）,广州,昨天 14:40,8k-15k,24102,Hypers,上海宏路数据技术股份有限公司
30,1402816,Hadoop工程师,石家庄,昨天 10:14,8k-15k,62831,明略数据,北京明略软件系统有限公司
31,3012701,大数据开发工程师（hadoop）,上海,今天 09:10,12k-24k,35422,京东,京东商城
32,1710367,Hadoop,上海,昨天 22:40,9k-18k,22862,上海华腾软件系统有限公司,上海华腾软件系统有限公司
33,2505490,（高级）Hadoop研发工程师,广州,今天 09:03,12k-24k,126216,广州丰石科技,广州丰石科技有限公司
34,1874927,Hadoop开发工程师,上海,昨天 14:40,8k-15k,24102,Hypers,上海宏路数据技术股份有限公司
35,3062024,Hadoop工程师,深圳,2017-04-26,10k-18k,63383,博彦科技,博彦科技股份有限公司
36,2559813,Hadoop工程师,深圳,今天 10:50,15k-30k,140115,云算数据,深圳市云算数据科技有限公司
37,2563875,Hadoop调优工程师,上海,今天 10:22,13k-20k,17665,和讯网,和讯信息科技有限公司
38,1976248,Hadoop高级,广州,今天 10:10,14k-20k,4184,思特奇Si-tech,北京思特奇信息技术股份有限公司
39,1858779,Hadoop开发工程师,北京,昨天 11:48,20k-35k,534,京东金融,京东金融
40,2943597,Hadoop高级工程师(J10251),上海,昨天 15:39,20k-30k,3112,沪江,沪江教育科技（上海）股份有限公司
41,2749371,Spark/Hadoop/Storm研发工程师,北京,昨天 14:47,20k-40k,82991,数美,北京数美时代科技有限公司
