,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2982494,IDC工程师,北京,昨天 11:44,10k-20k,147344,云起融通,北京云起融通科技有限公司
1,2510845,销售经理（IDC),上海,2017-04-18,8k-16k,19409,有孚网络,上海有孚网络股份有限公司
2,2930160,高级运维工程师(IDC),广州,昨天 19:41,20k-35k,4760,唯品会,唯品会（中国）有限公司
3,2473682,高级安全运维工程师(IDC方向),北京,昨天 10:00,20k-40k,956,金山云,北京金山云网络技术有限公司
4,3067236,IDC工程师,上海,昨天 15:58,6k-8k,11065,世纪天成,上海邮通科技有限公司
5,3074319,IDC运维工程师,上海,今天 09:30,4k-8k,11823,帝联科技,上海帝联信息科技股份有限公司
6,2721946,IDC机房运维工程师,杭州,昨天 09:12,7k-14k,87226,哲信,杭州哲信信息技术有限公司
7,2697531,IDC 工程师,上海,2017-04-28,4k-6k,84980,臣翊网络,上海臣翊网络科技有限公司
8,2532727,OPL-IDC机房经理（北京）,北京,昨天 10:55,8k-15k,165,UCloud,上海优刻得信息科技有限公司
9,2761249,销售总监（云计算/IDC）,北京,2017-04-28,20k-35k,145586,CloudIn,北京云英传奇技术有限公司
10,2800496,IDC运维工程师,韶关,今天 09:12,4k-6k,31889,越亮传奇,越亮传奇科技股份有限公司
11,3032524,网络工程师（IDC）,杭州,2017-04-19,6K-10K,133937,江苏达科,江苏达科信息科技有限公司
12,2964573,IDC技术员（可接受应届生）,重庆,今天 10:44,4k-6k,174392,重庆久速科技有限责任公司,重庆久速科技有限责任公司
13,1802203,IDC机房运维工程师,上海,今天 10:19,10k-20k,124039,华通银行,福建华通银行股份有限公司
14,2875862,IDC及传输销售,北京,昨天 13:23,5k-10k,115225,自由联,北京自由联科技有限公司
15,3005009,售前工程师（数据中心、IDC）,上海,2017-04-13,10k-20k,19409,有孚网络,上海有孚网络股份有限公司
16,2108684,IDC运维工程师,上海,昨天 11:16,6k-12k,165,UCloud,上海优刻得信息科技有限公司
17,2692092,IDC运维工程师,北京,2017-04-27,15k-30k,62,今日头条,北京字节跳动科技有限公司
18,2744122,IDC资源管理工程师,北京,2017-04-16,15k-30k,50702,美团点评,北京三快在线科技有限公司
19,2824983,IDC产品经理-深圳-01046,深圳,昨天 08:47,15k-20k,19313,网宿科技,网宿科技股份有限公司北京分公司
20,2296610,IDC系统工程师,杭州,2017-04-17,10k-20k,146041,托宝网络,杭州托宝网络有限公司
21,2563197,IDC运维工程师,北京,昨天 09:32,8k-16k,4832,七牛云,上海七牛信息技术有限公司
22,1802433,资深IDC机房规划工程师,上海,今天 10:18,25k-50k,124039,华通银行,福建华通银行股份有限公司
23,2277137,IDC监控工程师,广州,2017-04-19,5k-6k,95995,尚航科技,广州尚航信息科技股份有限公司
24,3044392,高级网络工程师（IDC方向）,北京,2017-04-25,16k-23k,118287,信和财富,信和惠民投资管理（北京）有限公司
25,2830427,运维工程师（IDC）,西安,2017-04-17,3k-5k,127935,西安千喜,西安千喜网络科技有限公司
26,2863739,监控工程师（IDC运维-初级）,杭州,昨天 17:23,4k-6k,719,顺网科技,杭州顺网科技股份有限公司
27,580393,运维工程师（IDC）,北京,2017-04-19,4k-6k,63093,中嘉和信,北京中嘉和信通信技术有限公司
28,2872639,云计算与IDC事业部总经理,深圳,2017-04-27,25k-50k,2796,梦网科技,深圳市梦网科技股份有限公司
29,3035597,客户支持工程师-IDC方向,北京,2017-04-19,10k-20k,26703,京东商城,京东云平台
30,2532685,OPL-IDC运维工程师（北京）,北京,昨天 10:55,6k-12k,165,UCloud,上海优刻得信息科技有限公司
31,2721338,IDC基础设施高级工程师,北京,2017-04-16,20k-40k,50702,美团点评,北京三快在线科技有限公司
32,2446850,IDC商务经理,北京,昨天 10:00,10k-20k,956,金山云,北京金山云网络技术有限公司
33,2703207,IDC技术维护,武汉,2017-04-27,5k-8k,79921,完美网络,武汉完美网络有限公司
34,3013536,IDC运维工程师,深圳,昨天 17:13,15k-20k,56580,天朗时代,深圳市天朗时代科技有限公司
35,2957678,广州移动IDC机房运维工程师,广州,2017-04-24,7k-8k,39863,广州瀚信,广州瀚信通信科技股份有限公司
36,3014889,IDC 网络运维工程师,北京,今天 09:16,8k-10k,70550,农信互联,北京农信互联科技有限公司
37,2954548,IDC运维工程师,广州,昨天 10:43,4k-7k,185907,爱云技术,广州爱云信息技术有限公司
38,2296608,IDC网络工程师,杭州,2017-04-17,13k-26k,146041,托宝网络,杭州托宝网络有限公司
39,2762396,IDC大客户经理,成都,昨天 15:56,4k-6k,168964,指南针联网科技,成都指南针联网科技股份有限公司
40,2539800,IDC运维工程师,北京,2017-04-19,4k-6k,66824,SpeedyCloud,北京迅达云成科技有限公司
41,2997266,CDN＆IDC销售经理,广州,今天 13:09,10k-15k,171609,蛮蛮云计算,蛮蛮天下（北京）网络科技有限公司
42,3066661,网络运维工程师（IDC网络架构）,北京,2017-04-27,15k-20k,1650,联想集团,联想（北京）有限公司
43,2651163,IDC销售总监,上海,2017-04-18,30k-50k,19409,有孚网络,上海有孚网络股份有限公司
44,2059148,IDC技术支持,昆明,昨天 11:11,3k-5k,116561,蓝队网络,云南蓝队网络科技有限公司
45,3027293,CDN＆IDC高级销售经理,上海,今天 13:09,10k-15k,171609,蛮蛮云计算,蛮蛮天下（北京）网络科技有限公司
46,2726707,IDC运维专员/运维经理,上海,2017-04-05,15k-20k,54038,旭森国际集团,上海旭森世纪投资有限公司
47,532729,IDC销售经理,广州,今天 09:23,4k-6k,59708,大一互联,广州大一互联网络科技有限公司
48,3058522,云计算产品/IDC销售,广州,2017-04-26,3k-6k,24962,广东群英,广东群英网络有限公司
49,1844183,IDC销售经理,北京,2017-04-26,15k-20k,128856,天合科技,天合云创（北京）科技有限公司
50,2465382,IDC销售经理,北京,2017-04-25,8k-12k,146872,云联数据,云联世纪（北京）数据服务有限公司
51,2944150,IDC销售总监,北京,2017-04-20,8k-15k,116177,中经云数据存储科技,中经云数据存储科技（北京）有限公司
52,2122049,IDC数据中心基础设施专职工程师（暖通/电气/楼宇自控）,深圳,昨天 15:27,7k-10k,122329,中科同舟,北京中科同舟科技有限公司
53,575328,IDC销售专员,上海,2017-04-20,4k-8k,63264,上海世纪互联,上海世纪互联信息系统有限公司
54,1113707,IDC服务器托管销售,天津,2017-04-24,5k-10k,24121,赞普科技,天津赞普电子科技有限公司
55,2611921,IDC销售代表,北京,2017-04-28,4k-8k,128143,北京中科鸿基,北京中科鸿基网络技术有限公司
56,2957295,IDC销售经理,北京,2017-04-25,6k-12k,138166,伟东数据,北京伟东数据科技有限公司
57,1961283,IDC销售代表,北京,2017-04-26,10k-15k,128856,天合科技,天合云创（北京）科技有限公司
