,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1629557,IT支持,成都,今天 09:45,1k-2k,69471,NCS,新电信息科技（成都）有限公司
1,1606540,IT支持,杭州,昨天 10:39,6k-8k,21972,小也香水,浙江小也网络科技有限公司
2,2695546,IT支持,武汉,今天 13:44,5k-8k,7902,好巧,北京好巧国际旅行社有限公司
3,268039,IT支持,上海,今天 13:52,9k-15k,6636,携程,携程计算机技术（上海）有限公司
4,1778351,IT支持,上海,昨天 09:11,5k-8k,59618,全程网络,商宴通（上海）网络科技有限公司
5,2970815,IT支持,北京,今天 10:10,4k-6k,7094,The ONE,小叶子（北京）科技有限公司
6,1995511,IT支持,深圳,2017-04-11,5k-10k,63082,深圳易思博软件,深圳市易思博软件技术有限公司
7,1222544,IT支持,上海,2017-04-28,6k-10k,42899,小蚁,上海小蚁科技有限公司
8,2425483,IT支持,深圳,昨天 10:00,5k-10k,140868,星火,深圳市星火电子工程公司
9,2462819,IT支持,广州,2017-04-28,6k-10k,9365,西山居游戏,成都西山居互动娱乐科技有限公司珠海分公司
10,2249655,IT支持,上海,今天 11:05,8k-10k,30830,哔哩哔哩,上海幻电信息科技有限公司
11,1309742,IT支持,长沙,昨天 13:23,3k-6k,39205,蚁坊软件,湖南蚁坊软件有限公司
12,2415382,IT支持、运维,上海,2017-05-01,5k-6k,112839,精锐教育,上海精学锐信息科技有限公司
13,2435756,IT支持,上海,2017-04-24,8k-15k,41548,亿马联盟,上海风格信息技术股份有限公司
14,675970,IT支持,南京,2017-04-17,3k-4k,10963,迪纳科技,江苏南亿迪纳数字科技发展有限公司
15,1166120,高级IT支持,上海,昨天 09:11,6k-10k,59618,全程网络,商宴通（上海）网络科技有限公司
16,2343388,IT支持（餐饮门店）,杭州,今天 11:35,10k-20k,35358,当堂信息,杭州当堂信息技术有限公司
17,2103910,IT支持工程师,杭州,昨天 08:57,5k-10k,21658,信领达,信领达（杭州）软件有限公司
18,1191966,IT支持,深圳,2017-04-27,4k-6k,101378,深圳乐点创想科技有限公司,深圳乐点创想科技有限公司
19,2337029,IT支持,青岛,2017-04-11,2k-4k,108962,天高智慧,青岛天高智慧科技有限公司
20,2566110,IT支持(实施类）,深圳,2017-04-26,8k-12k,25317,金证股份,深圳市金证科技股份有限公司
21,2144543,IT支持,杭州,2017-04-11,5k-10k,74445,三汇信息,杭州三汇信息工程有限公司
22,1670386,IT支持,上海,昨天 14:10,4k-5k,52204,优琪科技,上海优琪网络科技有限公司
23,3034931,IT支持工程师(000616),南京,2017-04-19,8k-15k,1561,Face++,北京旷视科技有限公司
24,2104050,IT支持,上海,昨天 15:47,3k-5k,139266,上海威资德,上海威资德信息技术有限公司
25,2291034,IT支持,上海,昨天 09:11,6k-8k,93545,米开罗那,上海米开罗那机电技术有限公司
26,2531666,IT支持,北京,2017-05-01,3k-6k,1618,Tapjoy中国,泰普悦无线应用科技（北京）有限公司
27,2274612,IT支持,深圳,2017-04-27,4k-6k,139904,Manpower,深圳市孩儿宝文化培训有限公司
28,2501255,IT支持,北京,2017-04-20,4k-8k,83265,智言金信,北京智言金信信息技术有限公司
29,1854096,IT支持,北京,今天 09:30,4k-6k,44647,北京软虹科技有限公司,北京软虹科技有限公司
30,2677608,IT支持工程师,广州,2017-04-05,6k-10k,4922,网易游戏,网易互动娱乐有限公司
31,2952373,Service Desk Analyst-IT支持工程师,北京,2017-04-24,6k-10k,67660,Advent,亚帝文软件（北京）有限公司
32,1997013,IT支持,杭州,2017-04-11,4k-8k,74445,三汇信息,杭州三汇信息工程有限公司
33,1915839,IT支持,北京,昨天 08:46,4k-8k,129949,光华基金会,北京光华慈善基金会
34,2943742,IT支持,上海,2017-04-25,6k-8k,36761,MINTEL,英敏特信息咨询（上海）有限公司
35,2792210,IT支持工程师,北京,今天 10:57,6k-10k,9955,学堂在线,北京慕华信息科技有限公司
36,2204712,IT支持,北京,2017-04-17,4k-6k,88947,爱知之星,北京爱知之星科技股份有限公司
37,2360114,IT支持,广州,2017-04-06,2k-4k,128086,广州中科诺泰技术有限公司,广州中科诺泰技术有限公司
38,2451274,IT支持,北京,2017-04-18,6k-12k,47519,圣博润,北京圣博润高新技术股份有限公司
39,3001069,IT支持工程师,北京,昨天 13:37,5k-8k,84503,ARC,北京安锐卓越信息技术有限公司
40,3019263,人事行政助理兼IT支持,上海,2017-04-17,4k-7k,155719,源光科技,深圳源光科技有限公司
41,2970123,高级IT支持工程师,北京,2017-04-12,20k-40k,1880,快手,北京达佳互联信息技术有限公司
42,2690458,Senior IT Support Engineer/ 高级IT支持工程师,北京,2017-04-18,12k-20k,72193,毕威拓科技（北京）有限公司,Pivotal
43,2494949,合肥-IT支持（桌面运维）,合肥,今天 10:04,4k-6k,107423,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司
44,2677579,IT支持工程师,广州,2017-04-05,6k-10k,4922,网易游戏,网易互动娱乐有限公司
45,2144556,IT支持(海外),杭州,2017-04-11,5k-10k,74445,三汇信息,杭州三汇信息工程有限公司
46,2769255,IT支持（桌面运维）,北京,今天 10:04,8k-14k,107423,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司
