,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3064720,java研发工程师,北京,2017-04-27,15k-30k,139755,京东商城,北京京东世纪贸易有限公司
1,3071232,JAVA开发工程师,广州,今天 11:08,7k-12k,59836,奥威亚,广州市奥威亚电子科技有限公司
2,2914210,Java工程师,北京,2017-04-25,15k-25k,147,拉勾网,北京拉勾网络技术有限公司
3,1988276,Java,杭州,昨天 11:11,10k-18k,28902,网盛数新,浙江网盛数新软件股份有限公司
4,2732074,java开发工程师,上海,昨天 10:04,15k-20k,47993,鱼泡泡,上海鱼泡泡信息科技有限公司
5,2953530,java开发,杭州,昨天 09:31,10k-20k,113449,杭州趣编,杭州趣编网络科技有限公司
6,2798212,Java,上海,今天 09:50,10k-18k,89737,Marketin,上海弋关网络科技有限公司
7,1881207,Java,杭州,昨天 09:42,10k-20k,7443,数游软件科技,杭州数游软件科技有限公司
8,3002203,Java,深圳,今天 09:06,10k-20k,136833,史蒂夫软件,史蒂夫软件（深圳）有限公司
9,1545683,Java开发工程师,广州,今天 09:54,10k-16k,320,玄武科技,广州市玄武无线科技股份有限公司
10,1940774,Java开发,上海,昨天 16:47,10k-15k,24995,泛微,上海泛微网络科技股份有限公司
11,2803484,JAVA开发工程师,杭州,昨天 10:22,10k-18k,143574,呼哈信息,杭州呼哈信息技术有限公司
12,3073881,JAVA开发,上海,昨天 15:20,15k-25k,165826,网鱼,上海网鱼信息科技有限公司
13,3030725,Java开发,深圳,今天 09:02,9k-14k,117217,博悦科创,深圳市博悦科创科技有限公司
14,2895850,Java开发工程师,北京,昨天 09:36,15k-25k,99089,美利金融,天道计然（北京）信息科技有限责任公司
15,2100208,Java开发,上海,昨天 13:07,10k-15k,24995,泛微,上海泛微网络科技股份有限公司
16,3007799,Java开发工程师,杭州,昨天 09:31,15k-25k,113449,杭州趣编,杭州趣编网络科技有限公司
17,2987391,java软件开发,深圳,昨天 13:41,10k-15k,117217,博悦科创,深圳市博悦科创科技有限公司
18,2086328,Java,北京,今天 10:03,18k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
19,2898096,java工程师,北京,昨天 13:37,15k-30k,129801,言之有物科技,北京言之有物科技有限公司
20,567344,高级Java工程师,深圳,昨天 11:39,10k-20k,62477,零壹互联,深圳市零壹移动互联系统有限公司
21,2812615,Java开发,上海,今天 09:14,13k-22k,1738,有鱼金融科技,上海彩亿信息技术有限公司
22,2499070,Java,北京,2017-04-27,15k-25k,147,拉勾网,北京拉勾网络技术有限公司
23,699510,Java开发工程师,上海,昨天 18:29,15k-24k,35713,链家上海研发中心,德佑房地产经纪有限公司
24,2358581,Java开发工程师,广州,今天 11:36,8k-15k,103314,星美集团,深圳星美联合通讯有限公司
25,2891234,JAVA开发工程师,济南,今天 10:53,8k-15k,69146,北京辰森世纪科技股份有限公司,北京辰森世纪科技股份有限公司
26,2947145,JAVA工程师,北京,今天 09:08,15k-30k,45121,易快报,北京合思信息技术有限公司
27,2629117,java,杭州,今天 09:36,12k-24k,20337,会搜股份,杭州会搜科技有限公司
28,1383268,Java,上海,今天 10:40,10k-20k,43906,浙江聚有财,浙江聚有财金融服务外包有限公司
29,3012401,Java研发,天津,今天 10:03,8k-12k,122689,天津通卡,天津市通卡公用网络系统有限公司
30,2555901,Java开发工程师,上海,昨天 13:54,10k-15k,24995,泛微,上海泛微网络科技股份有限公司
31,2328687,Java研发工程师,北京,今天 10:03,20k-35k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
32,3004643,Java开发,深圳,今天 09:02,7k-12k,117217,博悦科创,深圳市博悦科创科技有限公司
33,688530,Java开发,上海,今天 09:14,10k-20k,1738,有鱼金融科技,上海彩亿信息技术有限公司
34,2401622,Java开发工程师,上海,昨天 18:29,14k-25k,35713,链家上海研发中心,德佑房地产经纪有限公司
35,3068124,Java开发工程师,北京,2017-04-28,15k-30k,147,拉勾网,北京拉勾网络技术有限公司
36,1249532,Java开发工程师,北京,今天 10:12,10k-15k,101912,互联新网,北京互联新网科技发展有限公司
37,2858018,java工程师（武汉）,武汉,今天 11:19,7k-10k,13049,优网科技,深圳市优网科技有限公司
38,3073279,Java研发工程师,北京,今天 09:42,15k-30k,21194,互动百科,北京互动百科网络技术股份有限公司
39,3067306,JAVA开发工程师,兰州,今天 08:37,6k-10k,16875,东方国信,北京东方国信科技股份有限公司
40,2992715,Java开发工程师,杭州,今天 09:22,10k-20k,165220,昊汉网络,浙江昊汉网络有限公司
41,2701681,java工程师,北京,今天 10:04,20k-30k,53260,桔子分期,北京桔子分期电子商务有限公司
42,2597950,Java工程师,北京,今天 09:30,15k-20k,72150,容联七陌,北京容联七陌科技有限公司
43,3010390,java工程师,深圳,今天 09:10,17k-28k,99089,美利金融,天道计然（北京）信息科技有限责任公司
44,2588468,JAVA开发,北京,昨天 10:34,15K-25K,131071,小圈科技,北京小圈科技有限公司
45,2245675,Java,上海,昨天 11:46,10k-15k,24995,泛微,上海泛微网络科技股份有限公司
46,1469079,Java工程师,北京,今天 10:03,15k-28k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
47,1826284,Java,深圳,今天 10:00,7k-12k,117217,博悦科创,深圳市博悦科创科技有限公司
48,172402,Java开发,上海,今天 09:14,10k-18k,1738,有鱼金融科技,上海彩亿信息技术有限公司
49,953849,Java软件工程师,上海,昨天 18:29,9k-16k,35713,链家上海研发中心,德佑房地产经纪有限公司
50,2743576,Java开发工程师,北京,2017-04-27,12k-20k,106399,北京神州微融金融信息服务有限公司,北京神州微融金融信息服务有限公司
51,3020073,中级JAVA工程师,北京,2017-04-26,15k-25k,193294,e城e家,一城一家网络科技有限公司
52,2663670,JAVA开发工程师,北京,今天 11:24,15k-30k,21946,来人到家,北京来人网络科技有限公司
