,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2984775,JavaScript,上海,昨天 16:26,15k-25k,49527,路路由,上海路路由信息技术有限公司
1,2737492,JavaScript开发工程师,南京,今天 10:54,9k-18k,3246,帆软软件,南京帆软软件有限公司
2,2620848,JavaScript,南京,昨天 14:35,8k-14k,83249,帜讯信息,上海帜讯信息技术股份有限公司
3,2165943,JavaScript,上海,昨天 09:08,12k-20k,24995,泛微,上海泛微网络科技股份有限公司
4,2211812,JavaScript,重庆,今天 10:05,10k-18k,102530,允升科技,重庆允升科技有限公司
5,2988465,Cocos2d-js（Creator）工程师,成都,今天 09:51,8k-13k,21537,聚梦,成都聚梦科技有限公司
6,2996362,JavaScript研发工程师,天津,昨天 10:04,10k-18k,24173,数据观,天津南大通用数据技术股份有限公司
7,3034225,JavaScript开发工程师,上海,今天 09:09,10k-20k,63383,博彦科技,博彦科技股份有限公司
8,2852345,JavaScript开发工程师,成都,昨天 11:53,15k-30k,147086,二次元动漫,成都二次元动漫有限公司
9,3039680,javascript 开发工程师,深圳,今天 11:28,7k-13k,142239,微启通,湖南微启通网络科技有限公司
10,2220407,JS工程师,深圳,昨天 10:22,15k-30k,45668,XMind,XMind Ltd
11,2082719,JS开发,上海,昨天 09:55,15k-25k,4950,好买基金网（联想腾讯注资企业）,好买财富管理股份有限公司
12,446200,javascript开发工程师,广州,昨天 17:44,8k-12k,8683,ZAKER,广州坚和网络科技有限公司
13,1638628,JS开发工程师,北京,2017-05-01,15k-25k,3038,Gridsum 国双,北京国双科技有限公司
14,3077670,Javascript开发工程师,上海,今天 11:50,10k-15k,23015,Focussend,上海星邮信息科技有限公司
15,2025098,JavaScript,上海,昨天 09:08,12k-18k,24995,泛微,上海泛微网络科技股份有限公司
16,1372394,JavaScript开发工程师,南京,今天 10:54,9k以上,3246,帆软软件,南京帆软软件有限公司
17,2824007,JAVASCRIPT,上海,今天 09:17,15K-30K,164437,晶汉科技,上海晶汉信息科技有限公司
18,1962029,JavaScript,北京,今天 09:32,20k-35k,4148,艺龙旅行网,艺龙网信息技术（北京）有限公司
19,2954444,cocos2d-js,深圳,昨天 16:00,20k-30k,34164,DoMobile,深圳市度摩科技开发有限公司
20,2211998,JavaScript,北京,昨天 16:37,8k-15k,95131,信雅达,信雅达系统工程股份有限公司
21,1567938,JavaScript,上海,昨天 11:50,15k-25k,6636,携程,携程计算机技术（上海）有限公司
