,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1010172,MySQL,北京,2017-04-27,15k-30k,147,拉勾网,北京拉勾网络技术有限公司
1,3016399,MySQL数据库开发,北京,今天 09:23,12k-20k,6764,AbleSky,能力天空科技（北京）有限公司
2,521169,MySQL,苏州,今天 10:44,12k-20k,3564,同程旅游,同程网络科技股份有限公司
3,2360033,MySQL工程师,杭州,今天 08:59,10k-20k,148102,爱WiFi,浙江省公众信息产业有限公司无线运营分公司
4,1430637,MySQL,上海,2017-04-25,10k-20k,57682,爱可生,上海爱可生信息技术股份有限公司
5,2972016,DBA（MySQL） ​,深圳,今天 09:27,15k-30k,15265,我来贷WeLab,深圳卫盈智信科技有限公司
6,2996420,中级DBA（mysql）,成都,今天 13:40,8k-12k,27976,美乐乐家居网,成都乐美饰家信息技术有限公司
7,2058603,MySQL,北京,昨天 09:36,15k-25k,32836,新达达,上海趣盛网络科技有限公司
8,2660793,DBA（mysql）,武汉,今天 14:31,10k-15k,171,航班管家,活力世纪科技（北京）有限公司
9,1894286,MySQL,北京,今天 10:04,10k-16k,43930,向上金服,北京证大向上金融信息服务有限公司
10,2733422,资深MySQL工程师,北京,2017-05-01,20k-35k,3950,销售易,仁科互动（北京）信息科技有限公司
11,2162217,MySQL,成都,2017-04-12,10k-15k,119786,四川长虹电器股份有限公司,四川虹微技术有限公司
12,3021278,DBA(oracle/mysql/pg),深圳,今天 13:35,18k-25k,50285,众禄金融,深圳众禄金融控股股份有限公司
13,3034289,DBA/数据库工程师【MySql】,北京,昨天 13:03,15k-20k,34551,对啊网,北京对啊网教育科技有限公司
14,3042147,Mysql DBA,广州,今天 09:55,13k-16k,68910,健康猫,广州大象健康科技有限公司
15,1430662,MySQL,深圳,2017-04-25,10k-20k,57682,爱可生,上海爱可生信息技术股份有限公司
16,3024522,MySQL DBA,北京,今天 09:23,10k-20k,6764,AbleSky,能力天空科技（北京）有限公司
17,3076688,MySQL工程师,杭州,今天 10:17,10k-20k,148102,爱WiFi,浙江省公众信息产业有限公司无线运营分公司
18,2919849,MySQL数据库工程师,成都,今天 13:40,10k-15k,27976,美乐乐家居网,成都乐美饰家信息技术有限公司
19,3071972,运维工程师（偏mysql数据库）,上海,昨天 10:32,10k-15k,35179,东方财富,东方财富信息股份有限公司
20,1441837,DBA（mysql）,深圳,昨天 09:00,15k-20k,83025,环球易购,深圳市环球易购电子商务有限公司
21,2389199,MySQL,北京,昨天 16:54,12k-20k,82172,瑞云互联,深圳瑞云互联科技有限公司
22,1656652,MySQL开发工程师,南宁,昨天 10:19,8k-10k,55951,咪付,广西咪付网络技术有限公司
23,2368636,MySQL DBA,杭州,今天 10:05,15k-25k,14945,销冠科技,杭州销冠网络科技有限公司
24,2889365,MySQL数据库工程师,成都,今天 11:01,10k-20k,61963,景和千城,成都景和千城科技有限公司
25,3060298,数据库工程师（MySQL）,广州,昨天 18:19,15k-30k,10527,网金控股,广东网金控股股份有限公司
26,1540469,dba(mysql),上海,2017-04-27,15k-25k,70921,卡行天下,上海卡行天下供应链管理有限公司
27,1787749,MySQL,深圳,昨天 13:49,7k-10k,118968,智影医疗,深圳市智影医疗科技有限公司
28,2520070,数据库工程师（MySQL),广州,2017-04-27,10k-20k,33377,巴图鲁公司,广州市巴图鲁信息科技有限公司
29,2274807,MySQL,长沙,昨天 14:13,10k-15k,108405,快乐沃克,北京快乐沃克科技有限公司
30,3038869,MySQL数据库管理员,北京,今天 09:23,15k-25k,6764,AbleSky,能力天空科技（北京）有限公司
31,2360154,高级数据库管理员DBA（MySQL）方向,杭州,今天 08:59,10k-18k,148102,爱WiFi,浙江省公众信息产业有限公司无线运营分公司
32,3017413,MySQL数据库工程师,南京,2017-04-28,8k-10k,34824,焦点科技,焦点科技股份有限公司
33,3026621,mysql dba,北京,今天 09:28,15k-20k,25096,空中网,北京空中信使信息技术有限公司
