,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2962537,Node.js,上海,今天 09:14,10k-18k,1738,有鱼金融科技,上海彩亿信息技术有限公司
1,3017751,node.js,广州,今天 10:38,8k-12k,547,彩讯科技,彩讯科技股份有限公司
2,2863228,Node.js工程师,北京,今天 09:30,10k-20k,72150,容联七陌,北京容联七陌科技有限公司
3,316311,Node.js,北京,今天 12:28,20k-40k,5706,洋葱数学,光合新知（北京）科技有限公司
4,1976572,Node.js,深圳,今天 10:22,10k-20k,68524,编程猫,深圳点猫科技有限公司
5,2998607,Node.js开发,北京,今天 09:00,8k-15k,81904,创优天下,北京创优天下网络科技有限公司
6,3076884,Node.JS,杭州,今天 10:38,10k-20k,50984,点读科技,郑州点读电子科技有限公司
7,2971948,web前端工程师（node.js）,武汉,2017-05-01,8k-12k,188707,专注于微信小程序,武汉市花卷科技有限公司
8,2335872,后端工程师（Node.js方向）,上海,今天 11:50,15k-30k,58635,即刻,上海即果信息技术有限公司
9,2549909,Node.js,武汉,昨天 09:35,13k-26k,13153,优品财富管理有限公司,优品财富管理有限公司
10,2888434,前端工程师（node.js）,北京,今天 10:10,15k-25k,96354,轻课,北京思享聚合科技有限公司
11,1551967,Node.js,北京,今天 09:48,20k-30k,116183,情非得已,情非得已（北京）科技有限公司
12,2614606,Node.js工程师,上海,昨天 10:28,15k-30k,20669,喔噻科技,上海喔噻互联网科技有限公司
13,2982749,Node.js工程师,深圳,今天 11:52,15k-25k,95921,雅堂控股集团,深圳市雅堂控股投资股份有限公司
14,2677127,Node.js 开发工程师,深圳,今天 10:13,15k-20k,30637,同天下,深圳同天下科技有限公司
15,2814830,Node.js实习,北京,今天 12:28,6k-8k,5706,洋葱数学,光合新知（北京）科技有限公司
16,2049308,Node.js,北京,今天 10:11,14k-22k,87330,小牛计划,北京好奇心科技有限公司
17,1410747,Node.js,珠海,昨天 10:53,10k-20k,107539,筑巢科技,珠海市筑巢科技有限公司
18,2397714,Node.js,北京,2017-04-28,15k-30k,2634,IvyMobi,北京品冠天成科技有限公司
19,3025721,node.js开发,上海,今天 09:14,10k-15k,1738,有鱼金融科技,上海彩亿信息技术有限公司
20,3007798,Node.js工程师,北京,昨天 18:20,10k-20k,59740,水木智娱,北京水木智娱科技有限公司
21,2597754,Node.Js开发工程师,上海,昨天 15:01,12k-20k,112005,搜股,搜股（北京）科技有限公司
22,2945707,node.js开发工程师,北京,2017-05-01,15k-25k,356,捷通华声,北京捷通华声科技股份有限公司
23,2197367,Node.js开发工程师,成都,昨天 08:44,6k-12k,55764,雨诺股份,青岛雨人软件科技有限公司
24,3077368,高级服务器开发工程师（Node.js方向）,北京,今天 11:23,20k-40k,3328,好未来,北京世纪好未来教育科技有限公司
25,2601676,Node.js工程师,广州,昨天 17:35,8k-15k,14059,租租车,广州力挚网络科技有限公司
26,2333261,Node.js工程师,北京,2017-04-26,18k-30k,93302,佳格大数据,北京佳格天地科技有限公司
27,2727755,Node.js工程师,武汉,昨天 10:11,9k-18k,37236,斗鱼直播,武汉斗鱼网络科技有限公司
28,2504580,Node.js开发,北京,今天 09:59,25k-35k,28393,云校,北京华樾信息技术研究院
29,2589236,Node.js,杭州,2017-04-24,12k-15k,13163,个推,浙江每日互动网络科技股份有限公司
30,2099182,Node.js,北京,今天 10:11,20k-35k,87330,小牛计划,北京好奇心科技有限公司
31,1965627,Node.js 开发工程师,深圳,昨天 11:50,15k-20k,938,一花科技,深圳市一花科技有限公司
32,2815661,Node.js,深圳,2017-04-24,6k-10k,171748,中云端,中云端管理(深圳)有限公司
33,2763287,全栈工程师（Node.js）,北京,今天 09:37,20k-35k,27749,淡蓝网Blued,北京蓝城兄弟文化传媒有限公司
34,3050805,node.js,苏州,昨天 19:10,7k-10k,151497,恩惠科创,上海恩惠电子商务有限公司
35,2757127,Node.js开发工程师,杭州,今天 11:05,6k-10k,24322,开启网络,杭州开启网络科技有限公司
36,2972659,后端开发工程师（node.js）,武汉,2017-05-01,8k-12k,188707,专注于微信小程序,武汉市花卷科技有限公司
37,2637986,Node.js开发,大连,2017-04-27,7k-10k,34332,腾讯无线大连研发中心,大连市 世纪鲲鹏科技有限公司
38,1164397,Node.js开发工程师,广州,2017-04-21,12k-20k,589,多益网络,广州多益网络股份有限公司
39,2423109,Node.js,杭州,2017-04-24,10k-16k,13163,个推,浙江每日互动网络科技股份有限公司
40,1750820,Node.js工程师,北京,今天 09:59,10k-20k,28393,云校,北京华樾信息技术研究院
41,1685434,Node.js,天津,2017-04-28,8k-15k,117309,iHealth中国研发中心,天津爱健康技术开发有限公司
42,1044915,Node.js,上海,2017-04-25,10k-15k,55405,店达信息,上海店达信息技术有限公司
43,2986514,资深node.js工程师,杭州,今天 10:26,20k-30k,64712,火球科技,杭州火球科技有限公司
44,2991445,node.js工程师,北京,昨天 10:23,15k-20k,95582,职问,北京凯为科技有限公司
45,3077756,考拉-Node.js开发工程师,广州,今天 12:02,10k-18k,35507,财略金融科技,广州财略金融信息科技有限公司
46,1319589,Node.js开发工程师,上海,昨天 16:00,11k-18k,24995,泛微,上海泛微网络科技股份有限公司
47,2943469,Node.js,武汉,2017-04-24,8k-15k,13153,优品财富管理有限公司,优品财富管理有限公司
48,2895460,Node.js工程师,杭州,今天 09:23,15k-30k,8169,点我达,点我达网络科技有限公司
49,2971691,node.js开发工程师,武汉,2017-05-01,10k-15k,188707,专注于微信小程序,武汉市花卷科技有限公司
50,2975865,Node.js开发工程师,广州,今天 12:02,9k-16k,169002,修炼,广东修炼科技股份有限公司
51,2964621,高级服务器开发工程师(jave/Node.js),重庆,今天 09:29,10k-20k,171317,元培科技,重庆元培科技有限责任公司
52,1090739,Node.js工程师,上海,2017-04-25,12k-20k,55405,店达信息,上海店达信息技术有限公司
53,2463564,Node.js研发工程师,上海,昨天 09:28,9k-18k,33278,弘连网络,上海弘连网络科技有限公司
54,2986561,高级node.js工程师,杭州,今天 10:26,10k-20k,64712,火球科技,杭州火球科技有限公司
55,2999601,高级Node.js开发工程师,广州,今天 10:29,13k-26k,191800,广州御欣动电子科技有限公司,广州御欣动电子科技有限公司
56,2956341,Java开发（node.js）,成都,2017-04-14,10k-15k,153813,智慧工场,成都智慧工场科技有限公司
57,2748951,Node.JS,北京,2017-05-01,16k-20k,96243,伴米网,北京吹米科技有限公司
58,2858390,node.js工程师,福州,今天 08:28,15k-25k,175058,福建索天信息科技股份有限公司,福建索天信息科技股份有限公司
59,3074668,Node.js开发工程师,深圳,昨天 16:41,7k-10k,34592,沃享科技,深圳市沃享科技有限公司
60,536225,Node.js,上海,2017-04-25,10k-20k,55405,店达信息,上海店达信息技术有限公司
61,2980423,Node.js开发工程师,武汉,今天 11:08,13k-17k,63383,博彦科技,博彦科技股份有限公司
62,2947404,Node.JS工程师,深圳,2017-04-27,15k-30k,17617,Makeblock,深圳市创客工场科技有限公司
63,2793384,Node.js开发工程师,成都,昨天 14:36,6k-12k,145612,北京流金岁月成都分公司,北京流金岁月文化传播股份有限公司成都分公司
64,2750861,node.js工程师,深圳,2017-04-26,20k-40k,19875,vivo,维沃移动通信有限公司
65,2832867,Node.js 工程师,上海,今天 09:54,15k-30k,228,Strikingly,"Striking.ly, Inc."
66,1995122,node.js研发工程师,杭州,昨天 20:22,18k-36k,1121,智课网,北京创新伙伴教育科技有限公司
67,2587188,Node.js/JavaScript,北京,昨天 18:00,10k-20k,70634,彩视,迅捷联动（北京）科技有限公司
68,2724310,Node.js开发工程师&nbsp;,广州,昨天 10:28,15k-25k,166288,悄悄科技,广州市悄悄科技有限公司
69,2691661,"服务端开发（C++, Node.js, go）",北京,今天 10:00,15k-25k,112696,微赛,北京微赛时代体育科技有限公司
70,2589185,Node.js开发工程师,成都,昨天 09:53,10k-20k,134731,一品通,四川一品通电子商务有限公司
71,2678740,node.js 工程师,成都,2017-04-14,10k-15k,153813,智慧工场,成都智慧工场科技有限公司
72,2597746,Node.Js开发工程师,上海,昨天 15:04,15k-25k,55556,上海斗斗星信息科技有限公司,上海斗斗星信息科技有限公司
73,1599580,Node.js,北京,昨天 12:10,10k-20k,61737,微迅,北京微迅联创科技有限公司
74,2926639,Node.js工程师,天津,2017-04-20,7k-12k,16749,佰邦达科技(北京)有限公司,佰邦达科技（北京）有限公司
75,521238,Node.js开发工程师,北京,昨天 20:22,15k-30k,1121,智课网,北京创新伙伴教育科技有限公司
76,1583564,Node.js开发工程师,上海,今天 10:32,20k-30k,56746,贝米钱包,上海贝涛金融信息服务有限公司
77,3054719,高级node.js开发,北京,2017-04-28,15k-30k,12107,朱李叶集团,北京朱李叶健康科技有限公司
