,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2175350,Oracle,深圳,今天 10:00,9k-15k,117217,博悦科创,深圳市博悦科创科技有限公司
1,433682,Oracle,郑州,今天 09:34,4k-6k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
2,3065549,oracle,上海,今天 09:14,15k-25k,1738,有鱼金融科技,上海彩亿信息技术有限公司
3,2842464,oracle,广州,2017-04-28,7k-14k,4210,神州信息,神州数码信息服务股份有限公司
4,2338881,实施工程师（Oracle）-深圳,深圳,昨天 14:00,10k-15k,22805,恒生电子,恒生电子股份有限公司
5,2053475,Oracle,深圳,2017-04-11,5k-8k,63082,深圳易思博软件,深圳市易思博软件技术有限公司
6,137216,Oracle,上海,2017-04-27,6k-12k,23348,ZTO-express,上海中通吉网络技术有限公司
7,3021278,DBA(oracle/mysql/pg),深圳,今天 13:35,18k-25k,50285,众禄金融,深圳众禄金融控股股份有限公司
8,2859943,高级软件工程师(Java+Oracle),西安,今天 14:22,7k-11k,31590,四维图新,北京四维图新科技股份有限公司
9,2907230,财务顾问（Oracle）,上海,2017-04-26,10k-15k,86464,极晨智道信息技术有限公司,极晨智道信息技术（北京）有限公司
10,2876489,高级数据库管理员（Oracle）,深圳,今天 14:07,15k-20k,2352,鹏元征信有限公司,鹏元征信有限公司
11,3017190,Senior IT Officier-Oracle,广州,2017-04-14,8k-10k,32684,屈臣氏个人用品商店总部,武汉屈臣氏个人用品商店有限公司广州分公司
12,2339755,Oracle,北京,2017-04-25,10k-20k,33220,国家电网全资子公司北京汇通金财,北京汇通金财信息科技有限公司
13,1885844,Oracle,广州,2017-04-25,5k-8k,131615,元亨计算机,广州元亨计算机科技有限公司
14,64863,Oracle,济南,2017-04-17,6k-10k,13011,东港股份,山东东港彩意网络科技有限公司
15,2154425,Oracle,深圳,今天 08:43,5k-10k,117217,博悦科创,深圳市博悦科创科技有限公司
16,3021092,oracle,济南,2017-04-16,5k-10k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
17,2298271,数据出品服务开发工程师（java＋Oracle）,北京,今天 14:22,10k-16k,31590,四维图新,北京四维图新科技股份有限公司
18,2744433,高级数据库开发工程师（oracle方向）,北京,今天 08:49,15k-25k,18453,中体彩科技发展有限公司,中体彩科技发展有限公司
19,2390871,.NET开发工程师（oracle）,广州,2017-04-18,7k-12k,104370,广州市西美信息科技有限公司,广州市西美信息科技有限公司
20,2425132,DBA （Oracle）,深圳,2017-04-12,16k-32k,114404,平安知鸟,平安金融培训学院(中国深圳）
21,2974168,oracle开发,成都,今天 14:18,10k-15k,129806,都纳信息科技,上海都纳信息科技有限公司
22,2701365,"DBA（MySQL,Oracle,DB2,PostgreSQL等任一个方向均可）",深圳,2017-04-14,15k-25k,107698,华成峰数据,深圳市华成峰数据技术有限公司
23,2898795,Oracle/ETL实施,西安,2017-04-24,4k-8k,85228,上海敏琪工程,上海敏琪工程设备有限公司
24,2872616,oracle工程师,武汉,2017-04-17,8k-15k,168171,互联港湾,深圳市互联港湾网络技术有限公司
25,2942550,oracle工程师,郑州,2017-04-17,6k-10k,112936,博登信息科技,上海博登信息科技有限公司
26,2682713,美团云Oracle/MySQL DBA,北京,2017-04-16,15k-30k,50702,美团点评,北京三快在线科技有限公司
27,1548971,Oracle开发工程师,深圳,昨天 08:36,9k-14k,63500,紫川软件,深圳市紫川软件有限公司
28,3026670,oracle 开发工程师,北京,今天 09:28,13k-20k,25096,空中网,北京空中信使信息技术有限公司
29,2842572,资深CRM项目顾问（Oracle产品）,上海,今天 09:15,8k-15k,116242,Kindlekeys,上海启匙信息技术咨询有限公司
30,1814494,oracle,深圳,今天 10:00,8k-12k,117217,博悦科创,深圳市博悦科创科技有限公司
31,3012559,oracle,天津,2017-04-13,3K-6K,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
32,2836267,高级数据库开发工程师（ORACLE方向—研发中心）,北京,今天 08:49,15k-25k,18453,中体彩科技发展有限公司,中体彩科技发展有限公司
