,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2036110,PCB 工程师,上海,2017-04-26,6k-12k,130225,佳岚智能,上海佳岚智能科技有限公司
1,2902523,PCB工程师,杭州,2017-04-27,5k-10k,34315,涂鸦智能,杭州涂鸦科技有限公司
2,3076452,PCB设计工程师,上海,今天 09:56,7K-10K,174641,有博科技,上海有博信息科技有限公司
3,3075026,Pcb 设计工程师,杭州,昨天 17:17,5K-7K,148058,蓝联科技,浙江蓝联科技股份有限公司
4,2954287,PCB Layout工程师,成都,今天 09:13,6k-8k,25709,极米科技,成都市极米科技有限公司
5,2208957,PCB工程师,无锡,2017-04-26,5k-8k,142897,恒为科技,恒为科技（上海）股份有限公司
6,2685948,PCB layout工程师,武汉,2017-04-13,5k-8k,113410,积木易搭,深圳积木易搭科技技术有限公司
7,3048525,PCB Layout工程师,苏州,2017-04-24,6k-8k,85109,青萍,青萍科技(北京)有限公司
8,2309804,PCB焊接工程师,广州,2017-04-24,3k-5k,138130,安云,广州安云电子科技有限公司
9,3041831,PCB绘图员,深圳,今天 14:17,3k-6k,195972,龙芯世纪,深圳市龙芯世纪科技有限公司
10,2799371,PCB外贸业务,深圳,2017-04-16,10k-20k,111146,谷粒科技,深圳市谷粒科技有限公司
11,3067199,PROTEL99SE电路设计和PCB设计软件,西安,2017-04-28,4k-6k,198232,山东淄博翰海电气设备有限公司,淄博翰海电气设备有限公司
12,439064,PCB销售工程师,上海,昨天 09:11,5k-10k,13825,云汉芯城,云汉芯城（上海）互联网科技股份有限公司
13,2756379,PCB Layout 工程师,深圳,2017-04-26,7K-14K,168731,恒控,深圳市恒控科技有限公司
14,2783798,PCB layout工程师,深圳,2017-04-24,6k-12k,170048,快点PCB,深圳市迈威科技股份有限公司
15,2952837,嵌入式硬件 PCB电路设计与开发,北京,昨天 09:02,8k-15k,170833,安路普,安路普（北京）汽车技术有限公司
16,1424062,PCB layout工程师,深圳,2017-04-27,3k-5k,112964,富源盛电子,深圳市富源盛电子科技有限公司
17,3021247,PCB LAYOUT工程师,深圳,2017-04-17,4K-5K,194146,闪蝶科技,深圳市闪蝶科技有限公司
