,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2498928,PHP,北京,昨天 09:36,13k-26k,103900,你我他科技,北京你我他互学数据科技股份有限公司
1,2774430,PHP开发工程师,广州,今天 11:39,8k-14k,170,高分网,广州高分网络科技有限公司
2,2163366,PHP 工程师,深圳,今天 10:41,10k-16k,76769,云智易联,深圳市云智易联科技有限公司
3,2974768,PHP开发工程师,杭州,昨天 10:22,12k-18k,143574,呼哈信息,杭州呼哈信息技术有限公司
4,2549687,php开发工程师,北京,今天 10:09,15k-25k,61249,云鸟科技,北京云鸟科技有限公司
5,1777907,PHP研发工程师,杭州,今天 10:03,15k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
6,2757000,PHP开发工程师,杭州,今天 09:44,25k-50k,26194,懒财网,北京懒财信息科技有限公司
7,2933528,PHP开发工程师,广州,2017-04-27,8k-12k,3346,妈妈网,广州盛成妈妈网络科技股份有限公司
8,2332825,PHP,杭州,今天 09:35,12k-24k,20337,会搜股份,杭州会搜科技有限公司
9,2966354,PHP开发工程师,上海,今天 09:32,15k-20k,52978,优雅广告,上海优雅广告有限公司
10,2149571,PHP开发工程师,北京,昨天 16:51,15k-30k,84329,好好住,家宅融智（北京）科技有限公司
11,3073244,PHP开发工程师,北京,昨天 14:08,10k-20k,155952,百诚源,百诚源科技有限公司
12,3073177,PHP开发工程师,青岛,昨天 13:59,4k-6k,160643,尚美生活集团,青岛尚美生活集团有限公司
13,2495100,PHP开发工程师,深圳,今天 11:06,10k-20k,85518,果酱直播,深圳市果酱时代科技有限公司
14,2132986,PHP开发,天津,今天 11:49,7k-12k,127489,智汇研究院,天津智汇时代科技有限公司
15,3014472,PHP开发工程师,深圳,今天 10:41,9k-13k,76769,云智易联,深圳市云智易联科技有限公司
16,3030443,高级PHP,北京,昨天 09:36,15k-26k,103900,你我他科技,北京你我他互学数据科技股份有限公司
17,2448163,PHP开发工程师,北京,今天 10:09,25k-40k,61249,云鸟科技,北京云鸟科技有限公司
18,2383814,中级PHP开发工程师,杭州,今天 10:03,12k-20k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
19,2587729,PHP工程师,杭州,今天 09:44,20k-40k,26194,懒财网,北京懒财信息科技有限公司
20,1164602,PHP,珠海,今天 11:07,6k-10k,50830,广东飞企互联科技股份有限公司,珠海飞企软件有限公司
21,2947978,研发经理/技术经理（PHP）,上海,今天 11:12,15k-25k,94027,斑马旅游,上海歌晨信息技术有限公司
22,2777518,PHP开发工程师,广州,今天 11:11,8k-12k,13553,广州游爱,广州游爱网络技术有限公司
23,1533035,PHP开发工程师,广州,今天 09:41,13k-18k,65572,奇艺果,广州奇艺果信息科技有限公司
24,237253,PHP高级开发工程师,重庆,今天 11:23,10k-15k,35338,重庆鸿巨网络科技有限公司,重庆鸿巨网络科技有限公司
25,3001570,PHP开发工程师,广州,今天 10:38,9k-13k,547,彩讯科技,彩讯科技股份有限公司
26,3075748,PHP研发工程师(J10353),北京,今天 08:46,15k-25k,82069,思源科技,北京思源互联科技有限公司
27,2980305,PHP程序员,长沙,今天 11:28,10k-15k,142239,微启通,湖南微启通网络科技有限公司
28,3061169,PHP工程师,杭州,昨天 10:05,12k-24k,78386,一周CP,杭州晓宇科技有限公司
29,330449,PHP工程师,苏州,今天 10:03,8k-15k,11021,聚合数据,苏州新科兰德科技有限公司
30,2392717,中级PHP研发工程师,杭州,今天 10:03,12k-20k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
31,2882721,PHP,北京,今天 10:09,15k-30k,61249,云鸟科技,北京云鸟科技有限公司
32,2924092,PHP工程师,广州,今天 09:43,7k-12k,36376,Ways,广州威尔森咨询有限公司
33,2913862,PHP开发工程师,广州,昨天 15:59,9k-16k,29750,天拓游戏,广东星辉天拓互动娱乐有限公司
34,1202881,PHP开发工程师,昆明,今天 09:44,8k-12k,67804,昆明俊云科技有限公司,昆明俊云科技有限公司
35,2849163,PHP,北京,昨天 13:14,10k-20k,21519,兜行,北京八斗网络技术有限公司
36,2793609,PHP开发工程师,广州,今天 10:54,7k-14k,11481,新居网,广州新居网家居科技有限公司
37,2735566,PHP,杭州,昨天 14:12,10k-20k,136800,简融,杭州蜂融网络科技有限公司
38,2193437,PHP,上海,今天 10:03,25k-40k,137205,乐至科技,乐至（上海）科技有限公司
39,2658078,PHP开发工程师,苏州,昨天 16:57,10k-15k,31775,若水网络,苏州市若水网络科技股份有限公司
40,3016111,PHP工程师,海口,今天 09:32,5k-10k,40852,齐数科技（上海）有限公司,齐数科技（上海）有限公司
41,3045241,PHP工程师,重庆,今天 08:58,8k-15k,115095,勤鸟科技,重庆勤鸟圈科技有限公司
42,3074431,PHP开发,西安,昨天 16:17,8k-15k,174233,天一网络科技有限公司,西安竹乐网络科技有限公司
43,3065158,PHP软件开发,杭州,2017-04-27,18k-30k,30397,追灿科技,杭州追灿科技有限公司
44,1653034,PHP开发工程师,上海,昨天 15:59,13k-20k,63383,博彦科技,博彦科技股份有限公司
45,2974400,PHP,武汉,昨天 15:37,10k-15k,97690,十点半,武汉十点半文化传播有限公司
46,2849621,PHP开发工程师,上海,今天 11:05,15k-30k,30830,哔哩哔哩,上海幻电信息科技有限公司
47,2830613,PHP,杭州,昨天 20:39,10k-20k,542,婚礼纪,杭州火烧云科技有限公司
48,1522692,PHP开发工程师,广州,昨天 15:00,12k-24k,11891,伊的家,广州伊的家网络科技有限公司
49,3046244,PHP开发工程师,杭州,今天 10:57,15k-30k,88723,遥望网络,杭州遥望网络股份有限公司
50,2959657,PHP程序员,广州,今天 09:40,10k-15k,187618,苍鸟公司,广州苍鸟网络有限公司
51,1441784,PHP工程师,深圳,今天 09:10,12k-22k,83025,环球易购,深圳市环球易购电子商务有限公司
52,3072795,PHP开发工程师,福州,昨天 12:15,7k-10k,129300,赛特传媒,福建赛特传媒股份有限公司
53,2766232,PHP开发工程师,北京,2017-05-01,15k-25k,356,捷通华声,北京捷通华声科技股份有限公司
54,3037756,PHP研发工程师,北京,今天 10:09,15k-25k,121798,全民共赢,北京全民共赢网络科技有限公司
55,1985771,PHP研发工程师,重庆,今天 10:05,12k-24k,102530,允升科技,重庆允升科技有限公司
56,2495928,PHP开发工程师,广州,今天 09:12,10k-18k,37990,一手服装批发APP,广州富米科技有限公司
57,2474417,PHP软件工程师,广州,今天 11:39,10k-20k,19471,万表,广州市万表科技股份有限公司
58,2538196,PHP开发工程师,广州,昨天 17:35,6k-12k,14059,租租车,广州力挚网络科技有限公司
59,3056636,php开发,上海,昨天 14:36,15k-22k,22104,appcoachS,上海安璞信息技术有限公司
60,2614504,PHP软件开发工程师,重庆,昨天 13:19,7k-14k,94092,重庆优启科技有限公司,重庆优启科技有限公司
61,3061207,PHP研发工程师,杭州,昨天 10:05,8k-16k,78386,一周CP,杭州晓宇科技有限公司
62,3002029,高级PHP研发工程师,北京,今天 10:37,15k-30k,22884,先花花,先花信息技术（北京）有限公司
63,2703843,PHP开发工程师,北京,昨天 17:20,15k-30k,20909,AcFun,广州爱稀饭网络科技有限公司
64,1759351,Php工程师,上海,今天 11:46,10k-20k,21512,工程师爸爸,上海童锐网络科技有限公司
65,2957082,php开发工程师,上海,今天 10:24,15k-30k,77118,思达奇,思达奇（上海）计算机技术有限公司
66,1445139,PHP,北京,今天 10:19,15k-30k,61921,人人行(借贷宝),人人行科技有限公司
67,2718467,php开发工程师,广州,今天 09:53,10k-20k,165926,大圣live,海南大圣娱乐有限公司
68,2536417,PHP,长沙,今天 08:59,10k-16k,117767,联盛网络,湖南联盛网络科技股份有限公司
69,3034066,PHP开发工程师,北京,今天 10:46,14k-25k,1575,百度,百度在线网络技术（北京）有限公司
70,3015575,PHP开发工程师,济南,今天 09:34,10k-20k,67576,车满满,车满满（北京）信息技术有限公司
71,2955658,PHP开发工程师,上海,今天 11:05,15k-25k,30830,哔哩哔哩,上海幻电信息科技有限公司
72,2448241,PHP,深圳,今天 08:55,8k-12k,59235,南方网通,深圳市南方网通网络技术开发有限公司
73,2361332,PHP,北京,昨天 21:23,15k-30k,436,360,奇虎360科技有限公司
74,3075681,PHP工程师,南昌,昨天 19:04,6K-11K,195086,TTG,深圳市淘淘谷信息技术有限公司
75,2709298,资深PHP,上海,昨天 18:24,15k-30k,20553,永利宝,上海永利宝金融信息服务有限公司
76,2999950,PHP工程师,北京,昨天 15:45,10k-20k,151386,物灵,北京物灵智能科技有限公司
77,2009346,PHP,杭州,昨天 13:03,8k-15k,105456,心理壹点灵,上海袋虎信息技术有限公司
78,1784217,PHP工程师,广州,昨天 12:18,8k-15k,120175,祺曜互娱,海南祺曜互动娱乐有限公司
79,587661,PHP,郑州,2017-05-01,5k以上,64166,大河网,大河网络传媒有限公司
80,2165945,资深PHP开发工程师,杭州,今天 10:03,15k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
81,1053967,PHP开发工程师,北京,昨天 19:21,15k-20k,2696,G7,北京汇通天下物联科技有限公司
82,3061193,PHP开发工程师,杭州,昨天 10:05,10k-20k,78386,一周CP,杭州晓宇科技有限公司
83,2917757,php程序员,深圳,今天 08:55,10k-15k,59235,南方网通,深圳市南方网通网络技术开发有限公司
84,2476334,PHP,南京,昨天 11:09,10k-15k,1678,华为慧通,华为全资子公司慧通公司
85,2960161,PHP开发工程师,北京,今天 10:00,15k-25k,6040,慕课网,北京慕课科技中心
86,2357450,PHP开发工程师,厦门,昨天 14:10,5k-10k,3208,同步推,厦门同步网络有限公司
87,2422031,PHP工程师,深圳,今天 09:06,10k-20k,140093,飞马大宗,飞马大宗投资有限公司
88,2989097,PHP开发工程师,上海,昨天 11:24,15k-20k,14077,咖购,上海微众信息科技有限公司
89,2350314,PHP,长沙,昨天 08:41,5k-10k,24931,九春教育,海南九春教育科技股份有限公司
90,2692360,php开发,上海,昨天 18:24,15k-30k,20553,永利宝,上海永利宝金融信息服务有限公司
91,2812179,高级PHP开发工程师（杭州）,杭州,昨天 09:55,20k-35k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
92,2585523,PHP开发工程师,北京,今天 11:08,15k-30k,520,小米,北京小米科技有限责任公司
93,443861,资深PHP开发工程师,杭州,昨天 20:39,10k-20k,542,婚礼纪,杭州火烧云科技有限公司
94,1040471,PHP开发工程师,广州,昨天 16:54,10k-15k,42969,选师无忧,广州市熙励教育信息咨询有限公司
95,3060703,PHP开发工程师,上海,昨天 15:01,13k-20k,112005,搜股,搜股（北京）科技有限公司
96,2253127,PHP资深工程师,北京,今天 10:09,15k-25k,587,伙伴网,伙伴聚力（北京）科技有限公司
97,2131002,PHP,上海,今天 09:32,20k-30k,64597,乂学,上海乂学教育科技有限公司
98,2789202,PHP开发工程师,广州,今天 09:04,10k-16k,97045,合利宝,广州合利宝支付科技有限公司
99,1832181,PHP（总部-M）,北京,昨天 14:57,18k-36k,43016,美菜网,北京云杉世界信息技术有限公司
100,2749533,PHP研发工程师,北京,昨天 14:47,15k-30k,82991,数美,北京数美时代科技有限公司
101,2861522,PHP开发工程师,郑州,2017-04-27,6k-12k,161055,厚溥科技,河南厚溥教育科技有限公司
102,2494445,PHP,上海,今天 10:26,15k-30k,32799,钱牛牛,上海乾生乾金融信息服务有限公司
103,3049110,php开发,北京,今天 08:45,15k-25k,188548,北京冰火映像文化传媒有限公司,北京冰火映像文化传媒有限公司
104,1436699,PHP开发工程师,上海,昨天 16:42,10k-20k,100241,阿里体育,阿里体育（上海）有限公司
105,3049110,php开发,北京,今天 08:45,15k-25k,188548,北京冰火映像文化传媒有限公司,北京冰火映像文化传媒有限公司
106,1436699,PHP开发工程师,上海,昨天 16:42,10k-20k,100241,阿里体育,阿里体育（上海）有限公司
107,2738470,PHP工程师,武汉,昨天 15:37,10k-15k,97690,十点半,武汉十点半文化传播有限公司
108,1832181,PHP（总部-M）,北京,昨天 14:57,18k-36k,43016,美菜网,北京云杉世界信息技术有限公司
109,1784217,PHP工程师,广州,昨天 12:18,8k-15k,120175,祺曜互娱,海南祺曜互动娱乐有限公司
110,3006403,PHP 开发,宁波,昨天 11:24,7k-12k,33459,新希望软件,宁波新希望信息技术有限公司
111,2906029,PHP开发,北京,今天 10:22,20k-30k,436,360,奇虎360科技有限公司
112,2208943,PHP,合肥,今天 10:01,6k-12k,36272,飞常准,合肥飞友网络科技有限公司
113,2132165,PHP,成都,今天 09:53,15k-20k,55562,西游网,成都趣乐多科技有限公司
114,3075936,PHP开发,深圳,昨天 21:53,8k-16k,197948,融通汇,深圳市融通汇科技有限公司
115,2730648,PHP高级开发工程师,北京,昨天 10:57,15k-30k,1101,暴风影音,暴风影音
116,3055986,PHP工程师,杭州,今天 09:59,10k-20k,84602,安存科技,杭州安存网络科技有限公司
117,2783946,服务器端开发工程师（php）,北京,今天 09:52,15k-30k,40227,心意点点,上海君陶信息科技有限公司
118,2764958,PHP开发攻城师,广州,今天 09:17,5k-9k,74852,毕方信息,广州毕方信息科技有限公司
119,1181217,PHP工程师,福州,今天 09:13,6k-10k,37605,白鲸公司,福州白鲸网络科技有限公司
120,2563314,PHP开发实习生,北京,昨天 16:52,3k-4k,84329,好好住,家宅融智（北京）科技有限公司
