,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3069600,Python,杭州,昨天 10:22,10k-20k,143574,呼哈信息,杭州呼哈信息技术有限公司
1,2537125,Python工程师,北京,昨天 10:46,15k-20k,106474,谱思,北京谱思科技有限公司
2,2749529,Python研发工程师,北京,昨天 14:47,15k-30k,82991,数美,北京数美时代科技有限公司
3,3075188,Python开发工程师,广州,今天 10:29,9k-15k,51898,互动派科技股份有限公司,互动派科技股份有限公司
4,2567056,Python开发工程师,上海,今天 09:42,15k-30k,1313,爱福窝,上海爱福窝云技术有限公司
5,2902083,python开发工程师,深圳,今天 10:37,10k-15k,144389,信美分期,深圳前海信美分期科技有限公司
6,2976894,python开发工程师,武汉,今天 10:57,7k-13k,7936,武汉安天,武汉安天信息技术有限责任公司
7,2483626,Python,北京,昨天 13:44,13k-25k,31395,灵雀云,北京凌云雀科技有限公司
8,3066408,Python开发工程师,广州,2017-04-27,8k-10k,3346,妈妈网,广州盛成妈妈网络科技股份有限公司
9,2957653,python,上海,今天 10:43,10k-20k,177653,二二一数据,二二一数据有限公司
10,3003972,python开发工程师,广州,今天 10:38,8k-12k,547,彩讯科技,彩讯科技股份有限公司
11,2951140,爬虫工程师(python)--急招,北京,昨天 16:13,15k-30k,121656,原始会投资,北京原始会投资管理有限公司
12,3040728,Python,上海,今天 11:17,12k-18k,58109,55海淘,五五海淘（上海）科技股份有限公司
13,367987,Python工程师,北京,今天 10:57,15k-25k,9955,学堂在线,北京慕华信息科技有限公司
14,3050319,Python工程师,苏州,昨天 09:15,8k-16k,3564,同程旅游,同程网络科技股份有限公司
15,1499388,Python高级（资深）工程师,北京,昨天 10:46,20k-35k,106474,谱思,北京谱思科技有限公司
16,1586857,Python开发工程师,北京,今天 10:57,15k-25k,9955,学堂在线,北京慕华信息科技有限公司
17,2989096,python开发,北京,2017-04-27,15k-25k,15507,云沃客,北京云族佳科技有限公司
18,1619813,Python研发工程师,杭州,今天 11:22,15k-30k,89553,美登科技,杭州美登科技有限公司
19,3055626,python开发工程师,北京,今天 10:01,12k-24k,63383,博彦科技,博彦科技股份有限公司
20,2845532,Python工程师,北京,今天 10:02,18k-30k,4582,趣玩网,成都玩者天下网络技术有限公司
21,2995487,爬虫工程师（python）--急招,北京,昨天 16:13,15k-30k,121656,原始会投资,北京原始会投资管理有限公司
22,1463626,Python开发工程师,深圳,昨天 08:50,15k-25k,50285,众禄金融,深圳众禄金融控股股份有限公司
23,3041738,Python开发工程师,南京,今天 08:20,10k-18k,142892,轩恩软件,南京轩恩软件开发有限公司
24,2614417,Python开发工程师,深圳,今天 11:35,15k-30k,131846,Shopee,冬竞投资有限公司深圳分公司
25,2022151,Python开发,深圳,昨天 10:02,20k-35k,129877,航仕科技,上海航仕企业管理有限公司
26,3036559,Python开发工程师,长沙,今天 11:39,10k-15k,69320,艾瓦特,湖南艾瓦特网络科技有限公司
27,2282811,Python,上海,今天 09:56,10k-20k,72838,炫体,上海炫体信息科技有限公司
