,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2086743,Ruby工程师,北京,今天 10:02,10k-20k,40618,盖娅互娱,北京盖娅互娱网络科技股份有限公司
1,2330589,Ruby,北京,昨天 14:25,10k-18k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
2,2945427,Ruby开发工程师,北京,今天 10:42,10k-15k,36513,微创,上海微创软件股份有限公司北京分公司
3,2423637,Ruby,杭州,今天 10:04,15k-30k,149395,阿凡提,广州阿凡提电子科技有限公司
4,3072850,Ruby研发工程师,上海,昨天 12:41,10k-15k,37031,我奇,上海我奇网络科技有限公司
5,2806399,Ruby开发工程师,成都,昨天 11:16,15k-30k,6868,tap4fun,成都尼毕鲁科技股份有限公司
6,2532097,Ruby,杭州,今天 10:21,15k-25k,20091,中电博亚,北京中电博亚科技有限公司
7,740117,Ruby开发工程师,上海,今天 11:22,15k-20k,73937,上海第一财经新媒体,上海第一财经新媒体科技有限公司
8,1930557,Ruby 工程师,上海,今天 09:54,15k-30k,228,Strikingly,"Striking.ly, Inc."
9,2550526,Ruby 开发,宁波,昨天 11:24,8k-12k,33459,新希望软件,宁波新希望信息技术有限公司
10,2973610,ruby开发工程师,北京,2017-05-01,10k-14k,63383,博彦科技,博彦科技股份有限公司
11,3022656,Ruby开发,长沙,2017-04-28,8k-12k,29579,辰运软件,长沙辰运软件有限公司
12,2740634,Ruby开发工程师,上海,今天 10:03,12k-24k,106115,阅面科技-ReadSense,上海阅面网络科技有限公司
13,14126,Ruby工程师,上海,昨天 11:56,10k-20k,3422,英语流利说,上海流利说信息技术有限公司
14,1830004,Ruby工程师,上海,2017-04-28,10k-20k,1860,薄荷,上海薄荷信息科技有限公司
15,2334171,初级Ruby工程师,北京,今天 10:02,7k-12k,40618,盖娅互娱,北京盖娅互娱网络科技股份有限公司
16,1682415,Ruby工程师,北京,今天 10:25,25k-35k,77962,GrowingIO,北京易数科技有限公司
17,2998597,Ruby开发工程师,上海,今天 09:45,10k-20k,131579,REnextop,上海芮拓网络科技有限公司
18,3063343,Ruby 开发工程师,北京,2017-04-27,10k-16k,6979,极客公园,北京中明万长管理咨询有限公司
19,2208870,Ruby 研发工程师（提供技术转型机会）,上海,今天 09:51,10k-18k,26505,爱乐奇,上海钦文信息科技有限公司
20,879267,Ruby开发工程师,北京,2017-04-29,15k-30k,66916,两把刷子,真有两把刷子(北京)科技有限公司
21,2109671,资深Ruby工程师,上海,昨天 11:56,20k-30k,3422,英语流利说,上海流利说信息技术有限公司
22,2507182,Ruby开发工程师,深圳,昨天 10:35,13k-25k,141697,过家家装修网,深圳广田云万家科技有限公司
23,3068133,自动化测试（python&amp;ruby）,上海,昨天 09:26,10k-15k,35179,东方财富,东方财富信息股份有限公司
24,2917240,Ruby 开发（实习）,宁波,昨天 11:24,4k-6k,33459,新希望软件,宁波新希望信息技术有限公司
25,2669857,Ruby 开发工程师,大连,2017-04-26,10k-20k,140984,普天,江西普天数据电缆有限公司
26,3064660,Ruby工程师,上海,2017-04-29,8k-12k,16303,简书,上海佰集信息科技有限公司
27,2309211,Ruby助理工程师,北京,昨天 14:25,8k-12k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
28,3076541,Ruby programmer（Ruby 程序员）,上海,今天 10:03,10k-15k,44914,DiningCity 鼎食聚,舒睿贝蒙经济信息咨询（上海）有限公司
29,3056135,ruby,上海,昨天 13:13,10k-15k,87038,THRIVE,上海赛若福信息科技有限公司
30,2164043,资深服务端软件工程师（Ruby）,上海,今天 09:51,20k-40k,26505,爱乐奇,上海钦文信息科技有限公司
31,3064680,资深Ruby工程师,上海,2017-04-29,20k-40k,16303,简书,上海佰集信息科技有限公司
32,3043700,初级Ruby开发工程师,北京,2017-04-29,8k-15k,66916,两把刷子,真有两把刷子(北京)科技有限公司
33,2273552,Ruby工程师,广州,2017-04-13,10k-20k,91747,快哉,广州快哉电子商务有限公司
34,1973349,Ruby开发工程师,深圳,2017-04-11,6k-12k,63082,深圳易思博软件,深圳市易思博软件技术有限公司
35,951596,Ruby,长沙,2017-04-14,9k-15k,55331,Kdan Mobile,长沙凯钿软件有限公司
36,2812501,资深Java web/Ruby开发,北京,昨天 09:35,20k-36k,7000,FreeWheel,飞维美地信息技术（北京）有限公司
37,3032654,Ruby工程师,上海,今天 10:33,15k-25k,95347,威尔士健身,威康健身管理咨询（上海）有限公司
38,2022345,Ruby,深圳,今天 10:12,15k-30k,104181,优融,广州优融网络科技有限责任公司
39,2925502,ruby中级开发工程师,武汉,今天 10:43,7k-10k,70856,网化商城,上海易势化学技术有限公司
40,3001189,ruby工程师,深圳,2017-04-11,18k-30k,141045,金飞龙GSMC,深圳市鸿翔飞跃科技有限公司
41,3063171,Ruby开发工程师,武汉,2017-04-27,5k-10k,180664,好快科技,武汉好快科技有限公司
42,2440927,Ruby/Rails工程师,西安,昨天 09:34,7k-14k,146956,小喵科技,西安小喵信息科技有限公司
43,415281,Ruby 工程师,西安,今天 09:26,12k-20k,50114,金数据,精硕世纪科技（北京）有限公司
44,909359,【北京】高薪诚聘Ruby工程师,北京,2017-04-24,20k-30k,74990,派悦坊,北京派悦坊餐饮管理有限公司
45,2925504,ruby高级开发工程师,武汉,今天 10:43,10k-16k,70856,网化商城,上海易势化学技术有限公司
46,890665,Ruby/Rails 工程师,北京,昨天 18:11,8k-15k,83369,立返利,立返利（北京）信息技术有限公司
47,3034275,高级Ruby工程师,上海,今天 12:15,10k-15k,143518,琪帆科技,上海琪帆网络科技有限公司
48,2829844,Ruby开发工程师,北京,2017-04-19,10k-20k,117852,白帽汇,北京白帽汇科技有限公司
