,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2525781,SQLServer,上海,昨天 09:24,13k-25k,23277,微知,上海微知软件科技有限公司
1,2993987,DBA(SqlServer),深圳,今天 09:10,15k-25k,83025,环球易购,深圳市环球易购电子商务有限公司
2,3062857,sqlserver 工程师,北京,2017-04-27,10k-15k,58173,中国电信系统集成公司,中国电信集团系统集成有限责任公司
3,1698448,SQLServer,宁波,昨天 18:02,8k-16k,124150,宁波一网信息技术有限公司,宁波一网信息技术有限公司
4,2951927,数据库开发（MySQL/SqlServer）,杭州,2017-04-10,12k-18k,719,顺网科技,杭州顺网科技股份有限公司
5,2165404,DBA（SQLServer ）,上海,2017-04-27,20k-25k,44833,恒生聚源,上海恒生聚源数据服务有限公司
6,2236713,SQLServer,上海,2017-04-20,10k-15k,105559,上海晏鼠计算机技术有限公司,上海晏鼠计算机技术有限公司
7,2500193,SQLServer 数据库工程师,北京,昨天 09:03,7k-14k,8144,创而新,创而新（中国）科技有限公司
8,2979497,SQLSERVER数据库开发工程师,北京,2017-04-03,15K-25K,188161,领先未来,领先未来科技集团有限公司
9,155206,数据库开发工程师SQLServer,上海,2017-04-13,12k-18k,3348,益盟操盘手,上海益盟软件技术股份有限公司
10,2743363,SqlServer数据库工程师(DBA),深圳,2017-04-18,10k-18k,41355,DX控股,易宝（北京）信息技术有限公司深圳分公司
11,2443949,数据库工程师/数据库开发/SQLServer,上海,昨天 09:22,15k-25k,23277,微知,上海微知软件科技有限公司
