,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2890466,U3D,深圳,今天 09:42,15k-25k,146940,奥飞游戏深圳分公司,上海奥飞游戏有限公司
1,2852086,U3D工程师,北京,今天 10:18,8k-15k,26508,iHandy,北京汉迪世纪科技有限公司
2,3061533,U3D工程师,北京,今天 10:53,15k-30k,124192,闲徕互娱,北京闲徕互娱网络科技有限公司
3,2176922,U3D,上海,昨天 10:47,15k-25k,139740,天戏互娱,上海天戏互娱科技股份有限公司
4,2992191,U3D开发,杭州,今天 11:11,15k-30k,108691,码虫网络,金华市亿博网络科技有限公司
5,2919615,U3D,深圳,今天 09:34,7k-14k,130287,华龙讯达,深圳华龙讯达信息技术股份有限公司
6,3060836,U3D,深圳,今天 10:15,15k-30k,33627,乐易网络,深圳市乐易网络有限公司
7,1947156,U3D 高级,上海,昨天 21:27,15k-25k,103132,90KM,玖万里网络科技（上海）有限公司
8,2087402,U3D,成都,今天 09:53,10k-20k,55562,西游网,成都趣乐多科技有限公司
9,164849,客户端主程序(U3D),深圳,昨天 10:17,15k-30k,27585,易帆互动,深圳易帆互动科技有限公司
10,383978,U3D开发工程师,广州,今天 11:11,8k-15k,13553,广州游爱,广州游爱网络技术有限公司
11,1472976,U3D,深圳,今天 08:51,10k-20k,53957,迅龙创威,深圳市迅龙创威网络技术有限公司
12,961200,U3D,深圳,昨天 08:27,15k-25k,87668,黄金岛,深圳市黄金岛网络技术有限公司
13,2170414,U3D,北京,昨天 09:36,20K-30K,4286,竞技世界,竞技世界（北京）网络技术有限公司
14,2516297,U3D/Unity3d/棋牌游戏开发工程师,广州,今天 12:05,7k-14k,32740,爱点,广州爱点信息科技有限公司
15,1947151,U3D,上海,昨天 21:27,10k-20k,103132,90KM,玖万里网络科技（上海）有限公司
16,2551300,急招-U3D,北京,昨天 15:52,18k-36k,124192,闲徕互娱,北京闲徕互娱网络科技有限公司
17,2358041,U3D开发工程师,深圳,昨天 17:38,15k-25k,146940,奥飞游戏深圳分公司,上海奥飞游戏有限公司
18,2516297,U3D/Unity3d/棋牌游戏开发工程师,广州,今天 12:05,7k-14k,32740,爱点,广州爱点信息科技有限公司
19,2892727,unity3d高级开发工程师,深圳,今天 09:06,15k-25k,136833,史蒂夫软件,史蒂夫软件（深圳）有限公司
20,2421647,U3D程序员,深圳,今天 09:06,8k-15k,145609,深圳莱特金科技发展有限公司,深圳莱特金科技发展有限公司
21,2978347,unity3d开发工程师,深圳,昨天 10:23,8k-15k,16589,禅游,深圳市禅游科技股份有限公司
22,1905857,U3D（应届毕业生）,深圳,今天 08:51,5k-10k,53957,迅龙创威,深圳市迅龙创威网络技术有限公司
23,182739,U3D开发工程师,深圳,昨天 10:17,8k-15k,27585,易帆互动,深圳易帆互动科技有限公司
24,2912115,U3D开发工程师,成都,昨天 10:05,10k-20k,114978,世纪阳天,成都世纪阳天科技有限公司
25,2420596,U3D,北京,2017-04-28,20k-30k,31314,天锋网络,北京天锋网络科技有限公司
26,3061566,U3D工程师-MUG（H3D-MUG-PR110003）,北京,今天 10:13,15k-25k,26142,QQ炫舞,北京永航科技有限公司
27,2220873,游戏特效（U3D）,广州,昨天 12:16,12k-15k,120175,祺曜互娱,海南祺曜互动娱乐有限公司
28,2896226,U3D地编,武汉,今天 09:22,6k-12k,149333,升鹏科技,武汉升鹏科技有限公司
29,1280315,U3D,深圳,昨天 08:53,8k-15k,107385,大梦龙途,深圳市大梦龙途文化传播有限公司
30,1947152,U3D 初级,上海,昨天 21:27,5k-10k,103132,90KM,玖万里网络科技（上海）有限公司
31,2323480,U3D工程师,深圳,今天 09:42,15k-25k,146940,奥飞游戏深圳分公司,上海奥飞游戏有限公司
32,2303417,游戏场景(U3D),广州,昨天 12:18,10k-15k,120175,祺曜互娱,海南祺曜互动娱乐有限公司
33,2040201,U3D,深圳,昨天 08:24,10k-20k,57638,风林火山,深圳风林火山电脑技术有限公司
34,3008154,U3D工程师-MUG（H3D-MUG-PR110003）,北京,今天 09:57,15k-30k,26142,QQ炫舞,北京永航科技有限公司
35,1829131,U3D开发工程师（应届生）,深圳,昨天 10:17,7k-12k,27585,易帆互动,深圳易帆互动科技有限公司
36,2685391,U3D工程师,深圳,今天 11:56,10k-20k,45653,蒜泥科技,西安蒜泥电子科技有限责任公司
37,3004992,U3D开发,北京,今天 09:45,20k-30k,29507,博瑞游戏,成都梦工厂网络信息有限公司
