,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1574927,VB开发工程师,深圳,今天 09:13,7k-13k,30605,赢时胜软件,深圳市赢时胜信息技术股份有限公司
1,1952228,VB开发工程师,广州,昨天 15:36,7k-12k,82664,北大医信-健迅,广州健迅科技有限公司
2,2957121,VB研发工程师（ERP）,北京,2017-05-01,10k-20k,28818,畅捷通,畅捷通信息技术股份有限公司
3,3074026,VB开发（海外）,武汉,昨天 15:36,15k-30k,145427,永达,武汉永达万奥科技有限公司
4,3038589,VB、C#软件开发工程师,北京,2017-04-20,5k-8k,174895,柔然壁纸,北京福贝柔然家居有限公司
5,2737108,MES软件工程师(vb.net),广州,今天 09:47,5k-8k,166140,鼎捷软件,鼎捷软件股份有限公司
6,2858913,vb.net开发人员,大连,2017-04-10,5k-10k,175208,DCK,大连创科科技发展有限公司
7,3058156,VB.NET开发工程师,广州,昨天 11:48,8k-15k,131311,台大喜,广州台大喜商贸有限公司
8,3045106,VB.NET高级软件工程师（对日）,苏州,2017-04-27,8k-13k,148764,华信富融,华信富融（苏州工业园区）软件技术有限公司
9,1666058,VB开发工程师,广州,昨天 15:36,6k-12k,82664,北大医信-健迅,广州健迅科技有限公司
10,1952201,初级VB开发工程师,广州,昨天 15:36,5k-9k,82664,北大医信-健迅,广州健迅科技有限公司
