,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2294864,WEB安全,北京,今天 09:26,8k-13k,9995,北京天融信公司,北京天融信网络安全
1,1797194,WEB安全,广州,昨天 18:19,7k-14k,10527,网金控股,广东网金控股股份有限公司
2,2191540,web安全工程师,上海,昨天 09:18,14k-23k,5918,驴妈妈旅游网,上海景域文化传播股份有限公司
3,2898488,web安全工程师,广州,昨天 14:49,10k-18k,20473,广州棒谷网络科技有限公司,广州棒谷网络科技有限公司
4,2879305,web安全工程师,北京,今天 10:39,18k-25k,3344,中国网库,北京网库信息技术股份有限公司
5,2735485,渗透测试工程师（web安全方向）,杭州,昨天 10:56,10k-20k,6462,安恒信息,杭州安恒信息技术有限公司
6,2834387,Web安全研究工程师,上海,昨天 09:04,15k-25k,23694,云盾,上海云盾信息技术有限公司
7,3022331,web安全工程师,深圳,昨天 11:02,25k-35k,164474,欣贵隆科技,深圳市欣贵隆科技有限公司
8,1806014,WEB安全工程师,北京,2017-04-26,20k-30k,2474,滴滴出行,北京小桔科技有限公司
9,3017436,Web安全工程师,南京,2017-04-28,7k-12k,34824,焦点科技,焦点科技股份有限公司
10,2826081,web安全工程师,上海,今天 10:11,20k-25k,117258,Alading Bank,上海亮昕网络科技有限公司
11,2680140,Web安全工程师,杭州,昨天 21:01,18k-30k,3864,51信用卡管家,杭州恩牛网络技术有限公司
12,3040973,WEB安全工程师,北京,2017-04-20,30k-45k,108376,滴滴出行,北京嘀嘀无限科技发展有限公司
13,3032059,web安全工程师,深圳,昨天 10:06,7k-12k,13809,随手科技,深圳市随手科技有限公司
14,2966433,web安全研究员,杭州,今天 09:46,10k-20k,163561,杭州默安科技有限公司,杭州默安科技有限公司
15,1797188,WEB安全,广州,2017-04-17,9k-18k,10527,网金控股,广东网金控股股份有限公司
16,2619262,WEB安全研究员,杭州,昨天 10:56,15k-25k,6462,安恒信息,杭州安恒信息技术有限公司
17,2629891,高级web安全工程师,武汉,昨天 10:11,10k-20k,37236,斗鱼直播,武汉斗鱼网络科技有限公司
18,2982801,零售科技WEB安全工程师（深圳/上海）,深圳,今天 08:57,15k-30k,141975,平安银行,平安银行股份有限公司
19,2981076,WEB安全,上海,2017-04-17,15k-25k,14051,西十区,上海爱有网络科技有限公司
20,2605909,信息安全工程师(WEB安全方向),郑州,2017-04-21,10k-15k,52225,郑州赛欧思科技有限公司,郑州赛欧思科技有限公司
21,1741723,安全研究员—病毒或WEB安全,成都,2017-04-24,15k-30k,126203,HanSight成都研发中心,北京瀚思安信科技有限公司成都分公司
22,3061124,web安全负责人,深圳,2017-04-26,25K-50K,198131,wisdommg,威思登
23,3005047,web安全工程师,杭州,2017-04-11,5k-10k,192364,弘际科技,杭州弘际科技有限公司
24,2880538,Web安全测试工程师,无锡,昨天 09:14,8k-10k,36719,华云数据,无锡华云数据技术服务有限公司
25,2881825,Web安全测试工程师,北京,今天 09:15,8k-10k,70550,农信互联,北京农信互联科技有限公司
26,2135409,web安全测试专家(深圳),深圳,今天 11:08,20k-40k,24748,平安科技,平安科技（深圳）有限公司
27,2996621,web安全\网络安全\渗透测试工程师,济南,2017-04-10,6k-12k,109894,安云科技,山东安云信息技术有限公司
