,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1455023,HTML5,北京,今天 10:03,15k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
1,3033413,HTML5开发工程师,上海,今天 09:50,10k-20k,148343,墨灿游戏,上海墨灿网络科技有限公司
2,2842085,html5,上海,昨天 16:26,15k-25k,49527,路路由,上海路路由信息技术有限公司
3,1271999,html5,杭州,今天 09:51,8k-15k,27232,随地付,杭州随地付网络技术有限公司
4,2164565,html5,上海,今天 10:18,15k-25k,34683,买单侠,上海秦苍信息科技有限公司
5,1713858,html5,北京,昨天 16:42,20k-30k,2900,微店,北京口袋时尚科技有限公司
6,2274194,HTML5工程师,广州,今天 09:02,10k-20k,658,三七互娱,三七互娱（上海）科技有限公司
7,2163061,html5,南京,今天 10:54,10k-15k,3246,帆软软件,南京帆软软件有限公司
8,2954526,游戏开发工程师（HTML5）,杭州,昨天 12:22,15k-20k,39065,拓美互娱科技有限公司,霍尔果斯拓美互娱科技有限公司
9,2581509,HTML5开发,重庆,昨天 13:19,7k-14k,94092,重庆优启科技有限公司,重庆优启科技有限公司
10,2561426,html5开发,上海,今天 13:04,15k-20k,24995,泛微,上海泛微网络科技股份有限公司
11,2851320,HTML5软件工程师,成都,今天 08:55,8k-15k,157160,玖玖游,深圳市九五玖玖网络科技有限公司四川分公司
12,1480620,HTML5开发工程师,上海,今天 10:04,10k-18k,113723,上海拿米金服,上海拿米金融信息服务有限公司
13,2997588,HTML5开发工程师,成都,昨天 10:54,10k-15k,41710,四川商通实业有限公司,四川商通实业有限公司
14,2836150,HTML5开发工程师,深圳,今天 11:50,8k-15k,147595,大富科技,深圳市大富科技股份有限公司
15,2163072,html5,无锡,今天 10:54,10k-15k,3246,帆软软件,南京帆软软件有限公司
16,2518245,HTML5,长沙,昨天 08:41,10k-20k,24931,九春教育,海南九春教育科技股份有限公司
17,3053441,HTML5开发工程师（无线技术部）,上海,昨天 17:05,9k-18k,5918,驴妈妈旅游网,上海景域文化传播股份有限公司
18,3062330,HTML5开发工程师,广州,今天 10:43,8K-15K,54727,有车以后,广州市有车以后信息科技有限公司
19,1273371,html5工程师,广州,今天 10:02,9k-15k,106723,悦跑圈,广州悦跑信息科技有限公司
20,2973979,HTML5工程师,杭州,今天 09:17,12K-20K,46095,乾冠信息,浙江乾冠信息安全研究院有限公司
21,1677764,HTML5,北京,昨天 14:41,10k-15k,63383,博彦科技,博彦科技股份有限公司
22,3073356,HTML5,南京,昨天 14:22,9k-15k,154935,神州信源,江苏神州信源系统工程有限公司
23,1721040,HTML5工程师,北京,昨天 09:45,16k-30k,53137,家园网,金色家园网络科技有限公司
24,2158147,html5,杭州,今天 09:00,16k-20k,7953,博科思,杭州博科思科技有限公司
25,2257995,html5,北京,2017-04-19,10k-20k,123875,中视前卫,央视国际视频通讯有限公司
26,1450331,HTML5,武汉,今天 09:08,10k-16k,52162,武汉政通,武汉智慧政通科技有限公司
27,2521046,HTML5工程师,深圳,2017-04-27,9k-16k,117217,博悦科创,深圳市博悦科创科技有限公司
28,3044125,HTML5开发工程师,北京,2017-04-21,15k-20k,45476,速递易,成都我来啦网格信息技术有限公司
29,2145209,html5,北京,今天 09:32,25k-35k,4148,艺龙旅行网,艺龙网信息技术（北京）有限公司
30,1692350,HTML5工程师,北京,昨天 09:45,16k-30k,53137,家园网,金色家园网络科技有限公司
31,2504686,html5,广州,今天 09:47,15k-25k,132585,古藤动漫,广州古藤动漫科技有限公司
32,2453703,html5,武汉,今天 09:11,8k-15k,42677,华清远见教育集团,北京华清远见科技发展有限公司
33,2834869,HTML5工程师,深圳,昨天 18:51,9k-18k,173763,喜途伞业,深圳市喜途伞业有限公司
34,2958349,HTML5,深圳,昨天 18:18,14k-20k,36487,华通,华通科技有限公司
35,2894546,html5,北京,昨天 09:36,10k-20k,4286,竞技世界,竞技世界（北京）网络技术有限公司
36,2450367,html5,西安,2017-04-26,8k-15k,22862,上海华腾软件系统有限公司,上海华腾软件系统有限公司
37,1499901,HTML5,上海,昨天 11:50,15k-30k,6636,携程,携程计算机技术（上海）有限公司
38,3077969,HTML5,北京,今天 13:15,8k-10k,149229,北京调果师投资管理有限公司,北京调果师投资管理有限公司
39,2496580,html5,杭州,今天 10:04,10k-20k,149395,阿凡提,广州阿凡提电子科技有限公司
40,2069580,html5,南京,今天 10:18,15k-25k,34683,买单侠,上海秦苍信息科技有限公司
41,1387059,HTML5开发工程师,上海,今天 10:05,15k-25k,66311,方付通,上海方付通商务服务有限公司
42,2982341,html5开发工程师,石家庄,今天 08:36,3k-6k,32242,佳诚网络,石家庄佳诚网络技术有限公司
43,3076123,HTML5,南京,今天 09:13,7k-10k,145159,华路时代,无锡华路时代信息技术有限公司
44,3077551,Html5开发工程师,北京,今天 11:38,10k-20k,199875,北京魔卡汇,北京魔卡汇科技有限公司
45,1471027,HTML5,上海,昨天 11:50,10k-20k,6636,携程,携程计算机技术（上海）有限公司
46,2533831,HTML5,西安,昨天 11:20,7k-10k,42677,华清远见教育集团,北京华清远见科技发展有限公司
47,2138136,HTML5,苏州,昨天 18:49,5k-8k,139478,天虞网络,常熟市天虞网络科技有限公司
48,2794627,HTML5开发工程师,广州,今天 09:12,8k-11k,31889,越亮传奇,越亮传奇科技股份有限公司
49,3015077,HTML5,成都,2017-04-13,8k-16k,163169,文思海辉,文思海辉技术有限公司
50,2126811,html5工程师,上海,2017-04-28,8k-10k,24995,泛微,上海泛微网络科技股份有限公司
51,3055436,HTML5开发工程师,北京,今天 10:23,15k-25k,59251,映客直播,北京蜜莱坞网络科技有限公司
52,2135389,html5,南京,昨天 08:13,7K-13K,140379,金陵交运,江苏金陵交运集团有限公司
53,2925772,html5开发工程师,广州,昨天 12:04,8k-11k,62887,友德医,深圳友德医科技有限公司
54,2331558,html5,重庆,昨天 16:17,3k-6k,62108,重庆尚优,重庆尚优科技有限公司
55,2070757,html5,上海,昨天 09:42,12k-24k,42899,小蚁,上海小蚁科技有限公司
56,2208140,html5,广州,2017-04-27,8k-12k,122959,广州李子网络科技有限公司,广州李子网络科技有限公司
57,586557,Html5工程师,上海,2017-04-25,15k-25k,63922,麦子金服,上海麦子资产管理有限公司
58,2947591,HTML5开发工程师（移动端）,上海,昨天 10:42,8k-15k,21031,粉粉日记,上海盘隆科技有限公司
59,1628698,前端开发工程师（Html5、Egret）,北京,今天 09:36,10k-18k,4178,凯奇谷,北京凯奇谷信息技术股份有限公司
60,876970,HTML5,上海,昨天 11:50,10k-15k,6636,携程,携程计算机技术（上海）有限公司
61,1957235,HTML5开发工程师,上海,2017-04-28,10k-15k,24995,泛微,上海泛微网络科技股份有限公司
62,2975461,HTML5开发工程师,西安,今天 09:06,5k-10k,188597,深度网络,陕西深度网络有限公司
63,2450327,HTML5工程师/讲师,成都,今天 13:31,8k-15k,42677,华清远见教育集团,北京华清远见科技发展有限公司
64,2268758,html5,杭州,昨天 19:21,8k-15k,139350,信邦科技,杭州信邦科技有限公司
