,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3035421,iOS资深开发工程师,北京,今天 11:11,25k-40k,106474,谱思,北京谱思科技有限公司
1,2097228,iOS,北京,今天 10:03,20k-35k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
2,2995893,IOS开发工程师,北京,昨天 14:17,15k-27k,149332,中青博联,中青博联整合营销顾问股份有限公司
3,2759718,高级IOS开发工程师,深圳,昨天 11:40,15k-25k,62477,零壹互联,深圳市零壹移动互联系统有限公司
4,3008762,iOS开发工程师,广州,昨天 15:59,6k-8k,29750,天拓游戏,广东星辉天拓互动娱乐有限公司
5,1955680,iOS,北京,昨天 10:34,15K-30K,131071,小圈科技,北京小圈科技有限公司
6,2866704,资深IOS开发工程师,杭州,昨天 09:42,17k-30k,7443,数游软件科技,杭州数游软件科技有限公司
7,1937430,iOS开发,杭州,昨天 11:04,7k-14k,20337,会搜股份,杭州会搜科技有限公司
8,3064243,高级IOS工程师,北京,昨天 09:36,15k-25k,103900,你我他科技,北京你我他互学数据科技股份有限公司
9,2991097,ios 开发工程师,北京,今天 09:00,15k-20k,178037,方正手迹,天津方正手迹数字技术有限公司
10,3075643,资深IOS开发,上海,昨天 18:50,22k-28k,47993,鱼泡泡,上海鱼泡泡信息科技有限公司
11,2642602,IOS,上海,今天 09:14,15k-25k,1738,有鱼金融科技,上海彩亿信息技术有限公司
12,2703084,iOS,南京,昨天 11:32,9k-18k,13789,扇贝,南京贝湾教育科技有限公司
13,2978605,IOS开发工程师,广州,今天 10:38,8k-11k,547,彩讯科技,彩讯科技股份有限公司
14,2090302,iOS开发工程师,北京,今天 08:35,25k-40k,50702,美团点评,北京三快在线科技有限公司
15,1469047,iOS工程师,北京,今天 10:03,20k-35k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
16,2892380,iOS 开发,北京,今天 09:00,18k-30k,178037,方正手迹,天津方正手迹数字技术有限公司
17,577344,iOS开发工程师,北京,今天 10:17,15k-25k,26508,iHandy,北京汉迪世纪科技有限公司
18,2262147,iOS,上海,今天 09:14,12k-24k,1738,有鱼金融科技,上海彩亿信息技术有限公司
19,3038866,iOS开发工程师,北京,今天 10:43,15k-25k,3786,宜信,普信恒业科技发展（北京）有限公司
20,2992899,IOS开发工程师,杭州,今天 10:43,15k-25k,49369,淘粉吧,杭州淘粉吧网络技术股份有限公司
21,2860200,iOS开发工程师,广州,今天 09:40,8k-15k,132796,广州荔枝网络有限公司,广州荔枝网络有限公司
22,3073208,iOS研发工程师,北京,昨天 14:04,10k-20k,155952,百诚源,百诚源科技有限公司
23,1879078,iOS开发,无锡,今天 10:54,8k-16k,3246,帆软软件,南京帆软软件有限公司
24,988588,IOS开发工程师,珠海,今天 09:05,8k-12k,89467,南方IT学院,广东南方职业培训学院
25,425266,iOS开发工程师,深圳,昨天 10:06,13k-25k,13809,随手科技,深圳市随手科技有限公司
26,2840106,iOS开发工程师,上海,今天 13:09,15k-25k,35179,东方财富,东方财富信息股份有限公司
27,2997148,iOS开发工程师,深圳,今天 09:50,15k-30k,160669,SpeakIn,深圳势必可赢科技有限公司
28,1532261,iOS,上海,今天 09:58,15k-25k,82347,运满满,北京满运物流信息有限公司
29,501643,iOS,杭州,昨天 16:40,10K-20K,44019,氦氪,杭州第九区科技有限公司
30,2304218,iOS,北京,今天 10:03,20k-35k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
31,3054669,IOS开发工程师,北京,今天 10:57,15k-30k,3786,宜信,普信恒业科技发展（北京）有限公司
32,2772165,iOS高级开发工程师,深圳,今天 09:02,15k-20k,106390,跨越速运,跨越速运集团有限公司
33,2645849,IOS开发,上海,今天 09:42,15k-30k,1738,有鱼金融科技,上海彩亿信息技术有限公司
34,2966387,高级IOS开发工程师,深圳,昨天 10:04,18k-25k,47993,鱼泡泡,上海鱼泡泡信息科技有限公司
35,2743445,IOS高级开发,广州,今天 08:59,12k-24k,67777,快批KP,广州快批信息科技有限公司
36,2877069,ios工程师,北京,昨天 13:45,18k-36k,30816,蜻蜓FM,上海倾听信息技术有限公司
37,3032543,iOS,深圳,今天 10:15,10k-20k,33627,乐易网络,深圳市乐易网络有限公司
38,1916636,iOS,北京,今天 09:25,15k-20k,24406,方正电子,北京北大方正电子有限公司
39,3055220,iOS,大连,今天 12:09,20k-35k,436,360,奇虎360科技有限公司
