,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3064928,web前端开发工程师,北京,2017-04-27,20k-40k,139755,京东商城,北京京东世纪贸易有限公司
1,2798223,Web前端,上海,今天 09:50,8k-15k,89737,Marketin,上海弋关网络科技有限公司
2,2535282,Web前端工程师,北京,今天 11:11,15k-25k,106474,谱思,北京谱思科技有限公司
3,1319650,web前端,杭州,今天 10:03,20k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
4,3057849,web前端,上海,昨天 16:26,15k-30k,49527,路路由,上海路路由信息技术有限公司
5,3001765,web前端开发工程师（中高级）,北京,昨天 17:20,15k-30k,20909,AcFun,广州爱稀饭网络科技有限公司
6,1841522,web前端,杭州,今天 10:40,15k-30k,43906,浙江聚有财,浙江聚有财金融服务外包有限公司
7,3071228,web前端开发工程师,广州,今天 11:08,6k-10k,59836,奥威亚,广州市奥威亚电子科技有限公司
8,2687305,web前端,上海,昨天 16:38,12k-17k,24995,泛微,上海泛微网络科技股份有限公司
9,2903433,web前端工程师--急招,北京,昨天 16:13,15k-30k,121656,原始会投资,北京原始会投资管理有限公司
10,1120567,高级前端开发工程师/前端架构师,北京,2017-04-27,18k-35k,2422,凡普金科,凡普金科企业发展（上海）有限公司
11,2713494,web前端开发,上海,今天 10:04,12k-18k,86809,欢动科技,上海欢动科技有限公司
12,791232,web前端,上海,今天 09:14,12k-24k,1738,有鱼金融科技,上海彩亿信息技术有限公司
13,2955219,Web前端工程师,广州,今天 08:59,12k-24k,67777,快批KP,广州快批信息科技有限公司
14,2620130,Web前端,南京,昨天 14:35,12k-18k,83249,帜讯信息,上海帜讯信息技术股份有限公司
15,1457600,web前端,杭州,今天 10:03,20k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
16,2859626,web前端,杭州,今天 10:40,10k-15k,43906,浙江聚有财,浙江聚有财金融服务外包有限公司
17,2913583,web前端工程师 -- 急聘,北京,昨天 16:13,15k-30k,121656,原始会投资,北京原始会投资管理有限公司
18,3058218,WEB前端工程师,杭州,今天 09:23,10k-15k,70430,杭州东九网络科技有限公司,杭州东九网络科技有限公司
19,1842912,web前端,深圳,今天 10:46,12k-18k,8649,深圳成为智能交通,深圳市成为智能交通系统有限公司
20,2620836,Web前端,南京,昨天 14:35,8k-14k,83249,帜讯信息,上海帜讯信息技术股份有限公司
21,2199686,web前端,北京,今天 09:41,18k-36k,50702,美团点评,北京三快在线科技有限公司
22,811002,web前端,上海,今天 09:14,6k-12k,1738,有鱼金融科技,上海彩亿信息技术有限公司
23,351480,web前端,北京,今天 09:08,15k-30k,45121,易快报,北京合思信息技术有限公司
24,2519415,web前端/H5开发工程师,上海,今天 09:42,12k-24k,1313,爱福窝,上海爱福窝云技术有限公司
25,801347,web前端,上海,昨天 10:01,13k-25k,30843,ezbuy,前海煦逸信息技术（深圳）有限公司
26,2635840,web前端开发工程师,北京,今天 10:09,15k-25k,61249,云鸟科技,北京云鸟科技有限公司
27,1745001,web前端,重庆,昨天 13:19,7k-14k,94092,重庆优启科技有限公司,重庆优启科技有限公司
28,2425547,web前端,成都,今天 10:25,7k-10k,118031,柠檬科技,成都柠檬时光科技有限公司
29,3040078,web 前端开发工程师,杭州,昨天 10:22,20k-30k,143574,呼哈信息,杭州呼哈信息技术有限公司
30,2620168,Web前端,南京,昨天 14:35,12k-18k,83249,帜讯信息,上海帜讯信息技术股份有限公司
31,1778468,web前端研发工程师,杭州,今天 10:03,15k-25k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
32,2976944,web前端工程师,上海,今天 10:52,15k-25k,66311,方付通,上海方付通商务服务有限公司
33,2567070,web前端,杭州,今天 10:21,15k-25k,20091,中电博亚,北京中电博亚科技有限公司
34,2575700,web前端开发,成都,昨天 14:49,10k-20k,156901,开发成都,成都长城开发科技有限公司
35,2826000,Web 前端工程师,深圳,今天 08:50,15k-30k,42680,SmartX,北京志凌海纳科技有限公司
36,2330037,web前端,北京,昨天 14:25,20k-35k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
37,2717448,web前端,北京,2017-05-01,20k-38k,3950,销售易,仁科互动（北京）信息科技有限公司
38,67221,web前端,上海,今天 09:14,10k-20k,1738,有鱼金融科技,上海彩亿信息技术有限公司
39,2118007,web前端,深圳,今天 08:49,20k-35k,3060,华为技术有限公司,华为技术有限公司
40,2920258,web前端工程师-angular,北京,昨天 16:13,15k-30k,121656,原始会投资,北京原始会投资管理有限公司
41,2409063,web前端,杭州,昨天 14:55,9k-16k,85143,多多理财,浙江多多互联网金融信息服务有限公司
42,1173064,web前端,南京,今天 09:06,10k-20k,31945,孩子王,孩子王儿童用品股份有限公司
43,3029176,web前端开发,上海,昨天 11:50,15k-20k,165826,网鱼,上海网鱼信息科技有限公司
44,2542707,web前端(深圳）,深圳,昨天 16:00,10k-16k,25317,金证股份,深圳市金证科技股份有限公司
45,2331979,web前端工程师,北京,今天 10:03,20k-30k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
46,3024756,web前端工程师,上海,昨天 14:01,15k-25k,66311,方付通,上海方付通商务服务有限公司
47,2209891,web前端,杭州,今天 10:32,20k-25k,22112,英坦网络,杭州英坦网络科技有限公司
48,128379,web前端开发工程师,广州,今天 09:54,12k-17k,320,玄武科技,广州市玄武无线科技股份有限公司
49,840243,web前端,北京,昨天 19:06,15k-30k,70721,天眼查,北京金堤科技有限公司
50,1112020,web前端工程师,珠海,今天 09:05,7k-9k,89467,南方IT学院,广东南方职业培训学院
51,3028452,Web前端开发,成都,昨天 10:25,12k-21k,158369,中电进出口,中国电子进出口总公司
52,3073161,web前端开发,深圳,今天 09:20,15k-25k,123723,佰仟金融,深圳市佰仟金融服务有限公司
53,2909121,web前端开发工程师,厦门,今天 10:39,8k-16k,44981,亿联网络,厦门亿联网络技术股份有限公司
54,2966493,web前端,上海,昨天 10:50,4k-8k,182091,赢谊科技,上海赢谊物联网科技有限公司
55,2894900,web前端工程师（请先看职位要求）,北京,昨天 16:13,15k-30k,121656,原始会投资,北京原始会投资管理有限公司
56,2971555,web前端,深圳,2017-04-24,9k-11k,117217,博悦科创,深圳市博悦科创科技有限公司
57,2725771,Web 前端工程师,北京,今天 08:50,15k-30k,42680,SmartX,北京志凌海纳科技有限公司
58,1126185,web前端,北京,昨天 14:25,15k-25k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
59,3056655,web前端,上海,昨天 14:36,10k-15k,22104,appcoachS,上海安璞信息技术有限公司
60,1625130,web前端,西安,昨天 09:29,9k-15k,36760,Nova科技,西安诺瓦电子科技有限公司
61,2439564,web前端,杭州,今天 10:07,20k-28k,118145,龙席网络,杭州龙席网络科技股份有限公司
62,2440160,web前端,深圳,昨天 14:32,20k-40k,3058,无秘,深圳无觅科技有限公司
63,3049876,WEB前端开发工程师,上海,今天 09:32,10k-20k,52978,优雅广告,上海优雅广告有限公司
64,1650812,web前端,广州,今天 09:21,8k-15k,29770,亿阳信通,亿阳信通股份有限公司北京分公司
65,2717679,web前端经理,北京,2017-05-01,35k-45k,3950,销售易,仁科互动（北京）信息科技有限公司
66,2181159,web前端,北京,今天 11:01,19k-30k,4510,春雨移动健康,北京春雨天下软件有限公司
67,2796099,web前端工程师,杭州,今天 09:34,15k-30k,149353,创匠科技,杭州创匠信息科技有限公司
68,2805751,WEB前端开发,深圳,今天 08:48,15k-18k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
69,3075759,web前端工程师,上海,昨天 19:27,10k-20k,8523,网贷之家,上海盈讯科技股份有限公司
70,2275802,web前端,上海,2017-04-28,15k-20k,1860,薄荷,上海薄荷信息科技有限公司
71,1924680,web前端(南山）,深圳,今天 09:27,10k-20k,11885,世联行,深圳世联行地产顾问股份有限公司
72,2834106,Web前端,北京,今天 08:54,15k-25k,58717,我爱教师网,北京博恩行知教育科技有限公司
73,3002413,web前端,郑州,今天 12:26,8k-10k,191918,微界云科技,河南省三少商务信息咨询有限公司
74,1605563,web前端,上海,今天 11:17,15k-25k,58109,55海淘,五五海淘（上海）科技股份有限公司
75,2884782,web前端开发工程师,上海,今天 10:43,10k-20k,177653,二二一数据,二二一数据有限公司
76,619739,web前端,上海,今天 10:05,15k-25k,66311,方付通,上海方付通商务服务有限公司
77,3070173,web前端,广州,昨天 14:03,14k-18k,50215,尚途商旅,广州尚途商旅信息技术有限公司
78,2871098,web前端开发,武汉,昨天 09:43,10k-13k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
79,2562553,WEB前端开发.,深圳,昨天 09:38,12k-20k,25317,金证股份,深圳市金证科技股份有限公司
80,3013944,web前端工程师,重庆,今天 10:05,10k-18k,102530,允升科技,重庆允升科技有限公司
81,2101508,web前端,深圳,昨天 19:29,10k-18k,100300,深圳睿时尚文化创意有限公司,深圳睿时尚文化创意有限公司
82,2833046,web前端,西安,昨天 11:57,15k-20k,3950,销售易,仁科互动（北京）信息科技有限公司
83,2804307,WEB前端开发,广州,今天 11:09,10k-15k,27126,考拉先生,广州市考拉先生网络科技有限公司
84,711337,web前端,成都,今天 10:31,6k-12k,56340,盛趣网络,成都盛趣网络科技有限公司
85,2959544,Web前端开发工程师,广州,今天 09:40,8k-12k,187618,苍鸟公司,广州苍鸟网络有限公司
86,2066173,Web前端-北京,北京,昨天 13:39,15k-30k,91869,立方网,北京立方网信息技术有限公司
87,2995963,web前端工程师,北京,昨天 09:45,15k-25k,53137,家园网,金色家园网络科技有限公司
