,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3019967,产品经理（人工智能）,广州,昨天 08:57,12k-24k,20473,广州棒谷网络科技有限公司,广州棒谷网络科技有限公司
1,2761840,产品经理（人工智能）,北京,2017-05-01,15k-30k,356,捷通华声,北京捷通华声科技股份有限公司
2,3059391,python爬虫工程师--人工智能,北京,昨天 16:13,15k-30k,121656,原始会投资,北京原始会投资管理有限公司
3,3064465,高级产品经理（人工智能、智能玩具方向）,深圳,昨天 14:05,15k-30k,29038,蓝港科技,斧子科技（北京）有限公司
4,2792945,商务总监-人工智能领域,深圳,今天 09:50,25k-35k,160669,SpeakIn,深圳势必可赢科技有限公司
5,3007319,人工智能与图像处理研究员,北京,昨天 11:15,15k-30k,19921,浪淘金,浪淘金（北京）科技有限责任公司
6,3010384,嵌入式硬件(人工智能)工程师,北京,2017-04-25,10k-20k,148933,深思考人工智能机器人,深思考人工智能机器人科技（北京）有限公司
7,2938373,Java全栈工程师（人工智能、墨奇科技）,北京,今天 10:14,35k-55k,4140,北京鲜柚科技有限公司,北京鲜柚科技有限公司
8,3064666,产品经理（人工智能）,武汉,昨天 09:22,10k-18k,89444,AABang,武汉基尔车联科技有限公司
9,2813957,人工智能架构师,广州,昨天 18:19,25k-50k,10527,网金控股,广东网金控股股份有限公司
10,2757766,人工智能和机器学习科学家,广州,2017-04-10,15k-30k,25095,触通科技,广州市触通软件科技股份有限公司
11,2883440,资深移动端测试工程师（人工智能）,杭州,2017-04-26,20k-30k,329,网易,网之易信息技术（北京）有限公司
12,3074867,记者（人工智能方向）,北京,昨天 16:59,6k-12k,173175,量子位,北京极客伙伴科技有限公司
13,2840720,人工智能/机器学习专家,深圳,2017-04-28,25k-50k,66326,美的智慧家居科技有限公司,广东美的制冷设备有限公司
14,3001560,人工智能/客服机器人开发工程师(J10148),北京,2017-04-13,15k-30k,5024,环信,北京易掌云峰科技有限公司
15,3019959,C++软件工程师（人工智能方向）,广州,昨天 08:57,8k-15k,20473,广州棒谷网络科技有限公司,广州棒谷网络科技有限公司
16,2864508,嵌入式硬件(人工智能)工程师,北京,2017-04-25,10k-20k,148933,深思考人工智能机器人,深思考人工智能机器人科技（北京）有限公司
17,3071379,python爬虫工程师--人工智能,北京,昨天 16:13,15k-30k,121656,原始会投资,北京原始会投资管理有限公司
18,2736782,人工智能/自然语言处理程序员,北京,2017-04-24,25k-50k,67118,达闼科技,达闼科技（北京）有限公司
19,2960394,科技内容编辑-人工智能方向,广州,昨天 09:48,5k-8k,134745,探迹,广州探迹科技有限公司
20,2587973,网易云-资深战略规划专家（人工智能方向）,杭州,2017-04-26,20k-40k,329,网易,网之易信息技术（北京）有限公司
21,3015378,人工智能、机器学习研发工程师,深圳,昨天 10:54,25k-50k,75649,智能帮,深圳市松针信息技术有限公司
22,2885218,研发工程师（人工智能方向）,北京,2017-04-25,20k-40k,36031,一起作业网,上海一起作业信息科技有限公司
