,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1768113,售前工程师（信息安全领域）,北京,今天 10:12,10k-20k,33219,斗象科技,上海斗象信息科技有限公司
1,2933940,信息安全顾问,上海,2017-04-28,10k-20k,31317,中国金融认证中心,中金金融认证中心有限公司
2,3004091,信息安全专员/客服专员,杭州,今天 09:05,4k-6k,165220,昊汉网络,浙江昊汉网络有限公司
3,3025028,信息安全工程师,上海,今天 14:01,18k-22k,66311,方付通,上海方付通商务服务有限公司
4,3017439,信息安全,南京,2017-04-28,8k-10k,34824,焦点科技,焦点科技股份有限公司
5,2986619,高级C++工程师（信息安全）,杭州,今天 10:10,15k-22k,84602,安存科技,杭州安存网络科技有限公司
6,2928315,信息安全工程师,杭州,今天 09:31,8k-16k,174804,孝道科技,杭州孝道科技有限公司
7,2891390,信息安全工程师,杭州,今天 10:56,10k-20k,6462,安恒信息,杭州安恒信息技术有限公司
8,2428401,信息安全主管,上海,今天 08:59,20k-30k,109625,还呗-智能信贷领先者,上海数禾信息科技有限公司
9,1812411,信息安全工程师,上海,今天 11:01,10k-15k,27155,维信金融科技集团,上海维信荟智金融科技有限公司
10,2623676,信息安全主管,广州,今天 18:19,15k-30k,10527,网金控股,广东网金控股股份有限公司
11,2830775,信息安全专家,北京,今天 11:04,15k-30k,22666,会小二网,北京云动数字媒体技术有限公司
12,778630,网络工程师（限信息安全、网络工程专业）,北京,今天 10:42,5k-9k,9995,北京天融信公司,北京天融信网络安全
13,2777379,信息安全经理,上海,今天 09:31,15k-25k,32042,米么金服,上海米么金融信息服务有限公司
14,2979879,信息安全工程师,深圳,今天 08:48,7k-12k,96463,丰巨泰科,深圳市丰巨泰科电子有限公司
15,2892483,信息安全工程师,上海,今天 09:42,15k-22k,66311,方付通,上海方付通商务服务有限公司
16,2975736,信息安全工程师,上海,2017-04-28,10k-20k,31317,中国金融认证中心,中金金融认证中心有限公司
17,2851443,信息安全专家,杭州,今天 09:31,15k-30k,174804,孝道科技,杭州孝道科技有限公司
18,1269541,信息安全工程师,上海,今天 14:22,15k-30k,21218,通联数据,通联数据股份公司
19,2861439,信息安全工程师,杭州,2017-04-28,4k-8k,46095,乾冠信息,浙江乾冠信息安全研究院有限公司
20,2823501,信息安全工程师,深圳,今天 10:48,10k-20k,34543,FORMAX金融圈,深圳福迈斯科技有限公司
21,2906820,信息安全工程师,成都,今天 11:21,5k-8k,25157,奥诚科技,四川奥诚科技有限责任公司
22,2425562,信息安全工程师,上海,今天 09:59,15k-20k,117258,Alading Bank,上海亮昕网络科技有限公司
23,2945593,高级运维工程师／信息安全经理,北京,今天 09:21,15k-25k,52978,优雅广告,上海优雅广告有限公司
24,2759729,信息安全工程师,成都,2017-04-26,6k-12k,33646,久远银海,四川久远银海软件股份有限公司
25,2345638,信息安全工程师,北京,今天 08:42,13k-18k,3522,易宝支付,易宝支付有限公司
26,2881938,信息安全总监,北京,今天 08:59,30k-40k,70550,农信互联,北京农信互联科技有限公司
27,2952216,信息安全工程师,深圳,今天 10:34,10k-20k,104977,长城物业集团,长城物业集团股份有限公司
28,1817081,信息安全经理,上海,昨天 22:13,25k-35k,30830,哔哩哔哩,上海幻电信息科技有限公司
29,1619554,信息安全工程师,广州,2017-04-28,6k-10k,12195,要出发,广州酷旅旅行社有限公司
30,2684937,信息安全工程师,上海,2017-04-28,15k-25k,66311,方付通,上海方付通商务服务有限公司
31,1274257,信息安全工程师,上海,今天 14:22,15k-30k,21218,通联数据,通联数据股份公司
32,1888133,信息安全工程师,深圳,今天 08:39,8k-16k,76881,银盛金融,深圳银盛金融集团有限公司
33,604515,信息安全工程师,上海,今天 09:11,8k-15k,59618,全程网络,商宴通（上海）网络科技有限公司
34,2899307,信息安全工程师,长沙,2017-04-28,12k-18k,139601,链牌 PokerLink,深圳链牌数据科技有限公司
35,2671160,信息安全专家,深圳,今天 09:25,15k-30k,62363,万科,万科企业股份有限公司
36,2852028,信息安全工程师,苏州,2017-04-24,10k-20k,51527,朗动网络科技,苏州朗动网络科技有限公司
37,3074624,网络与信息安全工程师,上海,今天 16:37,7k-12k,110498,BUGBANK,上海市谋乐科技有限公司
38,217116,测试工程师（信息安全专业）,北京,今天 10:42,6k-12k,9995,北京天融信公司,北京天融信网络安全
39,2086335,信息安全工程师,北京,今天 08:42,20k-25k,3522,易宝支付,易宝支付有限公司
40,1718736,信息安全经理,上海,昨天 22:13,25k-35k,30830,哔哩哔哩,上海幻电信息科技有限公司
41,2700035,信息安全实习生,广州,2017-04-24,2k-4k,80273,安创,广东安创信息科技开发有限公司
42,2710844,信息安全行业研究员,上海,今天 10:12,10k-20k,33219,斗象科技,上海斗象信息科技有限公司
43,2725934,信息安全工程师,上海,今天 21:29,20k-35k,50702,美团点评,北京三快在线科技有限公司
44,2718742,销售工程师--信息安全行业,杭州,2017-04-28,6k-10k,46095,乾冠信息,浙江乾冠信息安全研究院有限公司
