,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,753452,全栈工程师,上海,今天 10:19,12k-20k,48988,雅其信息技术（上海）有限公司,雅其信息技术（上海）有限公司
1,2363348,全栈工程师,北京,今天 09:26,12k-16k,9995,北京天融信公司,北京天融信网络安全
2,2536420,全栈工程师,北京,今天 10:43,18k-28k,3786,宜信,普信恒业科技发展（北京）有限公司
3,3051838,全栈开发工程师,北京,昨天 19:07,20k-40k,186215,合力联创,北京合力联创科技有限公司
4,2984821,全栈工程师,北京,今天 11:38,20k-40k,2900,微店,北京口袋时尚科技有限公司
5,3063649,全栈工程师,深圳,昨天 14:56,10k-20k,6566,金蝶,金蝶软件（中国）有限公司
6,3011448,全栈工程师,深圳,今天 10:22,6k-12k,68524,编程猫,深圳点猫科技有限公司
7,2996566,全栈工程师,深圳,昨天 09:43,22K-28K,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
8,2460920,全栈工程师,北京,今天 12:28,25k-40k,151782,爱特曼科技,北京爱特曼科技有限公司
9,3074103,全栈开发工程师,上海,昨天 15:44,10k-20k,91666,普奥云信息,普奥云信息科技（北京）有限公司
10,3068175,全栈工程师,上海,今天 09:15,15k-25k,36849,新蛋信息技术（中国）有限公司,新蛋信息技术（中国）有限公司
11,2988149,全栈工程师,杭州,昨天 10:21,15k-20k,10593,亿方云科技,杭州亿方云网络科技有限公司
12,2756113,全栈工程师,深圳,今天 09:59,10k-15k,25448,Insta360,深圳岚锋创视网络科技有限公司
13,3040093,全栈工程师(济南),济南,今天 09:34,10k-20k,67576,车满满,车满满（北京）信息技术有限公司
14,2160587,全栈工程师,广州,今天 11:37,18k-25k,22637,互动大师iH5.cn,深圳市世云新媒体有限公司
15,2393115,全栈工程师,北京,今天 09:26,10k-20k,9995,北京天融信公司,北京天融信网络安全
16,3009115,全栈工程师,深圳,今天 11:11,20k-30k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
17,2541819,TEU-全栈工程师,上海,昨天 10:55,12k-24k,165,UCloud,上海优刻得信息科技有限公司
18,3052341,全栈工程师,上海,昨天 12:02,15k-25k,175503,上海展盟,上海展盟网络科技有限公司
19,3014324,全栈工程师,上海,昨天 13:17,15k-25k,129681,票易通,上海云砺信息科技有限公司
20,1377863,全栈工程师,北京,今天 09:59,15k-30k,28393,云校,北京华樾信息技术研究院
21,3031352,考拉-全栈工程师,广州,昨天 13:52,10k-18k,35507,财略金融科技,广州财略金融信息科技有限公司
22,2777875,全栈工程师,北京,2017-04-27,20k-30k,138641,齿轮易创,北京齿轮易创科技有限公司
23,2564981,全栈工程师,成都,2017-04-24,15k-30k,6868,tap4fun,成都尼毕鲁科技股份有限公司
24,2936434,全栈工程师,北京,今天 10:11,15k-30k,8279,渡鸦科技,北京瑞酷创新科技有限公司
25,2968910,全栈工程师,广州,昨天 14:41,10k-15k,51898,互动派科技股份有限公司,互动派科技股份有限公司
26,3039292,全栈工程师,上海,昨天 14:42,15k-30k,75977,特赞|Tezign,特赞（上海）信息科技有限公司
27,2859693,全栈工程师,上海,2017-04-27,8k-16k,34120,用友网络上海分公司,用友网络科技股份有限公司上海分公司
28,2791953,全栈工程师,北京,今天 09:32,15k-25k,7641,科码先锋,北京科码先锋软件技术有限公司
29,1496061,全栈工程师,北京,今天 10:34,20K-30K,40286,鸿合爱学,北京鸿合爱学教育科技有限公司
30,3005891,全栈工程师,深圳,今天 09:47,20K-30K,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
31,2147335,全栈工程师（研究员）,北京,今天 09:26,10k-16k,9995,北京天融信公司,北京天融信网络安全
32,1823188,全栈工程师,北京,今天 09:59,15k-25k,28393,云校,北京华樾信息技术研究院
33,2691050,PPL-全栈工程师,上海,昨天 10:54,10k-20k,165,UCloud,上海优刻得信息科技有限公司
34,2594531,全栈工程师,北京,昨天 14:09,15k-30k,1866,大鱼自助游,北京鱼行天下网络科技有限公司
35,2923463,全栈工程师,西安,2017-04-26,15k-25k,134244,海平方,西安海平方网络科技有限公司
36,1415313,全栈工程师,上海,昨天 09:36,15k-25k,32836,新达达,上海趣盛网络科技有限公司
37,2553998,全栈工程师,合肥,今天 09:39,8k-15k,121316,栋天科技,合肥栋天科技有限责任公司
38,2985366,全栈开发工程师,北京,昨天 11:23,10k-20k,142542,聚力维度,北京聚力维度科技有限公司
39,2734839,全栈开发工程师,上海,2017-05-01,20k-30k,4832,七牛云,上海七牛信息技术有限公司
40,2637397,全栈开发工程师,上海,今天 10:32,20k-40k,56746,贝米钱包,上海贝涛金融信息服务有限公司
41,2944392,全栈工程师,上海,2017-04-26,10k-20k,110329,Udacity,勇大信息技术（上海）有限公司
42,2274879,全栈工程师,北京,2017-04-21,8k-10k,36513,微创,上海微创软件股份有限公司北京分公司
43,3052479,全栈工程师,深圳,2017-04-25,10k-20k,151474,炜度门窗VR,深圳市巡航创新科技有限公司
44,2547369,全栈工程师,上海,2017-04-17,15k-30k,126031,Datatist,上海画龙信息科技有限公司
45,1487680,全栈工程师,北京,今天 09:59,10k-20k,28393,云校,北京华樾信息技术研究院
46,2992417,全栈开发工程师,北京,今天 09:26,15k-20k,9995,北京天融信公司,北京天融信网络安全
47,2512201,IEU-全栈工程师,上海,昨天 10:59,10k-20k,165,UCloud,上海优刻得信息科技有限公司
48,2735712,全栈|高级工程师,武汉,昨天 10:05,9k-18k,111175,ZingFront智线,智线云科技（北京）有限公司
49,2992874,全栈开发工程师,上海,昨天 10:31,15k-25k,18497,九章云极科技,北京九章云极科技有限公司
50,2134668,全栈工程师,北京,昨天 10:27,15k-25k,129313,中精普康,中精普康（北京）医药科技有限公司
51,2560704,全栈工程师,广州,昨天 14:38,4k-6k,126743,全民快乐,北京全民快乐科技有限公司
52,3052904,全栈工程师,深圳,2017-04-25,20k-35k,52768,佰钧成技术,武汉佰钧成技术有限责任公司
53,2547377,全栈工程师,北京,2017-04-17,15k-30k,126031,Datatist,上海画龙信息科技有限公司
54,971983,全栈工程师,南京,今天 07:16,7k-14k,79081,那么社区,江苏那么信息技术有限公司
55,3040075,全栈工程师,北京,2017-04-26,15k-25k,67576,车满满,车满满（北京）信息技术有限公司
56,1014596,全栈工程师,武汉,昨天 17:24,10k-20k,52301,研众科技,武汉研众科技有限公司
57,3071862,全栈工程师,深圳,昨天 10:18,25k-40k,81892,智航无人机,深圳智航无人机有限公司
58,2888935,全栈,北京,今天 09:32,13k-25k,7641,科码先锋,北京科码先锋软件技术有限公司
59,1630252,全栈工程师,深圳,今天 10:05,12k-20k,51501,天勤,深圳天勤信诺科技开发有限公司
60,2453354,全栈开发工程师,北京,今天 09:59,10k-20k,28393,云校,北京华樾信息技术研究院
61,956099,全栈工程师,南京,今天 07:16,8k-16k,759,孢子社区,江苏孢子信息技术有限公司
62,1640035,技术经理/资深全栈工程师,上海,昨天 23:10,15k-25k,119209,NSOC大数据安全智能,上海悦程信息技术有限公司
63,2580532,全栈开发工程师,广州,2017-04-27,15k-30k,18799,卓越教育集团,广州卓越教育培训中心
64,2742824,前端开发工程师（全栈）,北京,今天 09:19,15k-30k,73653,奇点机智,北京奇点机智信息技术有限公司
65,2608614,全栈工程师,厦门,昨天 10:02,15k-30k,64620,久趣英语,厦门千时科技有限公司
66,2955802,全栈工程师,上海,2017-04-13,20k-40k,686,律云,北京盈科律云科技有限公司
67,2222639,全栈工程师,杭州,2017-04-24,20k-40k,153849,蚂蚁金服集团,支付宝(杭州)信息技术有限公司
68,2866264,全栈开发工程师,深圳,2017-04-25,9k-15k,99070,前海手绘,深圳市前海手绘科技文化有限公司
69,2899308,全栈工程师,深圳,2017-04-25,14k-20k,6566,金蝶,金蝶软件（中国）有限公司
70,2882314,全栈工程师,贵阳,昨天 10:09,8k-16k,135918,九朝道客,贵州九朝道客文化传播有限公司
71,2720333,技术工程部-全栈工程师,北京,今天 09:25,15k-30k,1537,搜狗,北京搜狗科技发展有限公司
72,3048622,全栈工程师,北京,昨天 09:10,10k-20k,62032,优尼影视,优尼影视文化传媒（北京）有限公司
73,1942925,全栈工程师,上海,2017-04-17,15k-25k,87333,魔窗,上海猎鸿信息科技有限公司
74,1786881,全栈工程师,上海,2017-04-28,15k-25k,6636,携程,携程计算机技术（上海）有限公司
75,2685957,全栈开发工程师,武汉,2017-04-13,10k-20k,113410,积木易搭,深圳积木易搭科技技术有限公司
76,2735722,全栈|高级工程师,北京,昨天 10:05,12k-24k,111175,ZingFront智线,智线云科技（北京）有限公司
77,2888788,全栈工程师,北京,2017-04-27,18k-30k,2422,凡普金科,凡普金科企业发展（上海）有限公司
78,2790541,全栈工程师,北京,2017-04-25,10k-20k,6364,新华网,新华网股份有限公司
79,2974987,全栈开发工程师,杭州,2017-04-24,12k-18k,13163,个推,浙江每日互动网络科技股份有限公司
80,2947016,Web全栈工程师,上海,昨天 14:12,10k-20k,43173,6e digital,浩仲六弈（上海）网络科技有限公司
81,2312077,全栈工程师,北京,2017-04-13,15k-30k,3786,宜信,普信恒业科技发展（北京）有限公司
82,1956562,全栈工程师,上海,昨天 18:02,10k-20k,3136,名传,上海名传信息技术有限公司
83,2220319,全栈开发工程师,北京,2017-04-17,10k-15k,130399,新瞳科技,北京新瞳科技有限责任公司
84,3072134,项目经理/全栈工程师,广州,昨天 10:52,18k-23k,82800,上海闪派信息技术有限公司,上海闪派信息技术有限公司
85,3018100,全栈工程师（italki 中国）,上海,2017-04-27,10k-20k,27024,italki,千言信息技术（上海）有限公司
86,3050047,全栈工程师,福州,2017-04-24,20k-25k,60279,Sya,北京赛亚数据科技有限公司
87,1939794,移动端全栈开发工程师,北京,昨天 17:05,20k-30k,27404,极效,北京极效科技有限公司
88,3077079,高级全栈开发工程师,深圳,今天 10:56,15k-20k,134551,瑞赛网络,深圳瑞赛网络科技有限公司
89,3006829,全栈开发工程师,上海,昨天 18:33,20k-30k,15749,弥财,北京弥财投资咨询有限公司
90,3054215,全栈开发工程师,北京,昨天 09:50,20k-35k,117505,麦酷信息,北京麦酷信息技术有限公司
91,2780802,全栈工程师,上海,2017-04-18,18k-25k,63869,Evolve,怡峰商务咨询（上海）有限公司
92,3063183,全栈工程师,杭州,2017-04-27,12k-15k,102730,西典,杭州西典科技有限公司
93,3009978,全栈工程师,上海,2017-04-24,15k-25k,93752,上海安逸网络科技有限公司,上海安逸网络科技有限公司
94,3008034,全栈工程师,深圳,昨天 21:02,10k-20k,72639,闪奇信息,南京闪奇信息技术有限公司
95,2822114,全栈开发工程师,武汉,2017-04-18,6k-12k,148298,派生科技,武汉派生科技有限公司
96,2972515,全栈工程师,北京,昨天 09:43,19k-32k,19417,汇购网,汇购时代（北京）电子商务有限公司
97,2937247,资深全栈开发工程师,北京,昨天 09:35,22k-34k,7000,FreeWheel,飞维美地信息技术（北京）有限公司
98,3052372,全栈工程师,杭州,2017-05-01,15k-30k,147940,杭州识微,杭州识微信息技术有限公司
99,3020795,全栈工程师,北京,2017-04-16,12K-20K,193314,北京唐微时代科技有限公司,北京唐微时代科技有限公司
100,2745255,全栈工程师（武汉）,武汉,2017-04-28,7k-14k,118087,上海柯棣,上海柯棣健康管理咨询有限公司
101,3063290,全栈开发工程师,武汉,2017-04-27,7k-12k,180664,好快科技,武汉好快科技有限公司
102,2516306,Python高级工程师/全栈工程师/数据导向,北京,2017-04-06,15k-30k,13321,FunPlus 趣加游戏,北京趣加科技有限公司
103,2482481,资深全栈工程师,长沙,昨天 18:08,12k-24k,139603,阡寻,长沙阡寻信息科技有限公司
104,2962334,全栈开发工程师,深圳,昨天 10:22,15k-30k,45668,XMind,XMind Ltd
105,2933987,全栈工程师,上海,2017-05-01,12k-24k,135284,森亿智能,上海森亿医疗科技有限公司
106,3060964,全栈工程师,上海,2017-04-26,12k-18k,184069,体素科技,苏州体素信息科技有限公司
107,2779439,Python开发工程师（全栈）,上海,2017-04-25,15k-25k,51480,饿了么,拉扎斯网络科技（上海）有限公司
108,2883482,高级PHP开发工程师（全栈方向）,上海,2017-04-21,18k-25k,19355,畅移云工作,畅移（上海）信息科技有限公司
109,3065540,全栈工程师,北京,2017-04-27,15k-30k,140537,北京君临谷中科技有限公司,北京君临谷中科技有限公司
110,3001851,全栈工程师,西安,2017-04-11,6k-10k,87609,北科维拓,北科维拓科技股份有限公司
111,3050346,全栈工程师,广州,2017-04-27,8k-15k,104620,留学问多点,广州多点信息科技有限责任公司
112,3006438,全栈工程师,郑州,2017-04-12,6K-10K,123355,萤火设计/教育,河南萤火微光教育信息咨询有限公司
113,2265990,全栈开发工程师,北京,今天 10:38,8k-16k,126134,极创客,北京极创客网络科技有限公司
114,2990346,全栈工程师,上海,2017-04-07,15k-25k,71916,上海辉度,上海辉度智能系统有限公司
115,2640222,全栈工程师,太原,2017-04-25,10k-15k,63993,优逸客,山西优逸客科技有限公司
116,2973530,全栈工程师,北京,昨天 09:42,18k-30k,115818,无限向量（北京）科技有限公司,无限向量（北京）科技有限公司
117,2761029,全栈工程师,苏州,2017-05-01,15k-20k,167456,大众体育网,苏州码斯体育科技有限公司
118,2311214,全栈工程师,广州,昨天 15:39,9k-18k,50514,BW,广州市博汇数码科技有限公司
119,3072366,Web全栈工程师,成都,昨天 11:21,15k-25k,6868,tap4fun,成都尼毕鲁科技股份有限公司
120,3036309,全栈软件工程师,武汉,2017-04-19,6K-12K,192660,唯理科技,武汉唯理科技有限公司
121,626029,全栈工程师,佛山,2017-04-17,10k-13k,67119,灵通信息,佛山灵通信息有限公司
