,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3004572,功能测试,深圳,今天 09:02,7k-12k,117217,博悦科创,深圳市博悦科创科技有限公司
1,2105029,功能测试,上海,昨天 09:18,10k-17k,5918,驴妈妈旅游网,上海景域文化传播股份有限公司
2,1992800,功能测试,杭州,昨天 15:09,10k-16k,35359,爱客仕,爱客仕网络科技有限公司
3,2677413,功能测试,北京,昨天 10:34,6k-9k,131071,小圈科技,北京小圈科技有限公司
4,2946138,功能测试,上海,今天 09:32,6k-10k,24995,泛微,上海泛微网络科技股份有限公司
5,962190,功能测试,上海,昨天 09:04,8k-15k,23694,云盾,上海云盾信息技术有限公司
6,523067,功能测试,杭州,今天 09:49,4k-8k,54525,达西科技,杭州达西科技有限公司
7,1245920,功能测试,北京,今天 11:09,10k-20k,50604,roobo,北京智能管家科技有限公司
8,2999579,功能测试（徐汇区）,上海,今天 09:14,6k-8k,1738,有鱼金融科技,上海彩亿信息技术有限公司
9,1066495,功能测试,杭州,昨天 14:55,7k-10k,85143,多多理财,浙江多多互联网金融信息服务有限公司
10,3009675,功能测试,上海,今天 10:39,5k-8k,19585,上海真己化人教育科技有限公司,上海真己化人教育科技有限公司
11,3017703,功能测试,广州,今天 10:38,7k-10k,547,彩讯科技,彩讯科技股份有限公司
12,1387185,功能测试工程师,北京,昨天 10:56,6k-12k,61249,云鸟科技,北京云鸟科技有限公司
13,2970350,功能测试工程师,北京,今天 10:31,15k-20k,42934,Veeva,维我软件（上海）有限公司北京分公司
14,2315109,功能测试,上海,今天 10:42,5k-6k,89076,HYPEREAL VR,上海幻触信息科技有限公司
15,1567652,功能测试,深圳,今天 10:00,6k-8k,117217,博悦科创,深圳市博悦科创科技有限公司
16,2753222,功能测试工程师,上海,昨天 17:05,10k-18k,5918,驴妈妈旅游网,上海景域文化传播股份有限公司
17,2962151,功能测试,上海,今天 09:32,6k-10k,24995,泛微,上海泛微网络科技股份有限公司
18,3078058,功能测试,杭州,今天 13:35,5k-10k,8169,点我达,点我达网络科技有限公司
19,3076096,功能测试,北京,今天 09:07,15k-25k,32836,新达达,上海趣盛网络科技有限公司
20,2429790,功能测试工程师,杭州,昨天 18:54,10k-20k,37974,传化物流集团,传化物流集团有限公司
21,3075765,功能测试,杭州,昨天 19:29,8k-15k,139350,信邦科技,杭州信邦科技有限公司
