,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2428092,单片机,东莞,今天 08:46,10k-15k,93701,东莞团诚自动化设备有限公司,东莞团诚自动化设备有限公司
1,925643,ARM(单片机)嵌入式软件开发工程师,上海,今天 11:28,20k-40k,57743,Ruff,上海南潮信息科技有限公司
2,2094722,单片机,深圳,今天 09:43,10k-20k,37602,欧德蒙,深圳欧德蒙科技有限公司
3,1819464,嵌入式开发工程师（单片机）,深圳,昨天 11:41,10k-15k,1720,万兴科技股份有限公司,万兴科技股份有限公司
4,2887753,嵌入式（单片机）应用工程师,深圳,今天 09:15,8k-12k,102547,智芯,深圳智能表芯科技有限公司
5,3058787,助理工程师（单片机、c、c++）,成都,今天 15:20,3k-5k,168812,万益能源,四川万益能源科技有限公司
6,1368795,单片机,深圳,昨天 09:03,5k-10k,91213,佳思德,佳思德（深圳）科技有限公司
7,2607761,嵌入式硬件开发（单片机/ARM方向）,长沙,昨天 08:38,8k-10k,112404,湖南一特股份,湖南一特电子医用工程股份有限公司
8,1684726,单片机,宁波,2017-04-24,7k-12k,123564,小匠物联,宁波小匠物联网科技有限公司
9,1231289,单片机,东莞,2017-04-20,6k-10k,100242,天网商数科技,天网商数科技有限公司
10,2720143,硬件工程师（单片机及嵌入式工程师）,北京,2017-04-27,15k-20k,57990,行云科技,北京行云时空科技有限公司
11,2924434,嵌入式（单片机）软件开发,北京,昨天 09:50,12k-24k,110856,灵犀微光,北京灵犀微光科技有限公司
12,3008022,嵌入式软件工程师（单片机）,西安,2017-04-12,4k-6k,123119,泮池科技,西安泮池网络科技有限公司
13,1655171,单片机,广州,2017-04-20,4k-8k,122456,广州中卡,广州中卡智能科技有限公司
14,2967367,嵌入式（单片机）开发工程师,广州,昨天 11:17,5k-8k,92485,列丰科技,广州列丰信息科技有限公司
15,2131025,单片机/嵌入式软件工程师,深圳,今天 09:15,8k-12k,102547,智芯,深圳智能表芯科技有限公司
16,2871497,高薪单片机工程师,东莞,今天 08:46,8k-15k,93701,东莞团诚自动化设备有限公司,东莞团诚自动化设备有限公司
17,3007170,项目负责人（单片机开发）,杭州,昨天 17:32,10k-15k,145247,欧歌科技,浙江欧歌科技股份有限公司
18,3031471,嵌入式(单片机)系统工程师（偏软件）,杭州,2017-04-24,5k-8k,125339,盈网科技,杭州盈网科技有限公司
19,1204559,单片机,深圳,2017-04-24,8k-10k,102453,唯创知音,深圳唯创知音电子有限公司
20,3071481,单片机工程师,深圳,昨天 08:57,5k-10k,92967,CEM,深圳华盛昌机械实业有限公司
21,2796005,单片机工程师,深圳,昨天 09:12,6k-12k,38394,酷浪运动,深圳市酷浪云计算有限公司
22,1838010,嵌入式开发工程师（单片机/ARM方向）,武汉,2017-04-07,6k-9k,129945,有为信息,深圳市有为信息技术发展有限公司
23,2550574,嵌入式软件工程师(单片机),成都,2017-04-07,5k-10k,90431,成都恒速科技有限公司,成都恒速科技有限公司
24,2992561,单片机开发工程师,北京,今天 09:50,15k-25k,126957,北京算云联科,北京算云联科科技有限公司
25,2984536,硬件工程师，单片机,广州,2017-04-05,8K-16K,158908,魔力伞,上海艺升信息科技有限公司
26,2774622,单片机工程师,长沙,2017-04-27,4k-8k,106120,普智联科,深圳普智联科机器人技术有限公司
27,2928480,单片机研发工程师,北京,昨天 16:07,5k-10k,42677,华清远见教育集团,北京华清远见科技发展有限公司
28,2773234,单片机工程师,深圳,昨天 09:05,5k-8k,68694,深圳市讯鹏科技有限公司,深圳市讯鹏科技有限公司
