,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2302099,后端开发工程师,北京,昨天 10:46,15k-20k,106474,谱思,北京谱思科技有限公司
1,2911389,主程-后端,深圳,今天 09:06,30k-60k,136833,史蒂夫软件,史蒂夫软件（深圳）有限公司
2,2621013,后端开发工程师,深圳,今天 11:32,15k-30k,160065,小库科技,深圳小库科技有限公司
3,2749566,后端研发工程师,北京,昨天 14:47,20k-40k,82991,数美,北京数美时代科技有限公司
4,2794796,后端开发,广州,昨天 12:34,10k-20k,105373,优维科技,优维科技（深圳）有限公司
5,2938516,后端开发工程师,深圳,今天 10:15,10k-20k,33627,乐易网络,深圳市乐易网络有限公司
6,3034972,后端开发工程师,上海,今天 09:31,25k-40k,7030,触宝科技,上海触乐信息科技有限公司
7,2383697,后端开发,苏州,今天 10:03,7k-10k,11021,聚合数据,苏州新科兰德科技有限公司
8,447566,后端开发工程师,武汉,今天 10:58,8k-15k,7936,武汉安天,武汉安天信息技术有限责任公司
9,2896955,后端开发工程师,北京,昨天 13:44,15k-30k,31395,灵雀云,北京凌云雀科技有限公司
10,2944993,后端开发工程师,北京,今天 10:21,15k-25k,179148,赛格威机器人,鼎力联合（北京）科技有限公司
11,2684586,后端开发工程师,成都,今天 10:18,12k-24k,26087,美洽,成都美洽网络科技有限公司
12,2467884,后端开发工程师,上海,昨天 09:53,10k-15k,39394,飞天联合,飞天联合（北京）系统技术有限公司
13,3045723,后端开发工程师,上海,今天 09:50,16k-26k,86312,再惠,再惠（上海）网络科技有限公司
14,3059580,后端开发工程师,杭州,今天 10:26,10k-20k,64712,火球科技,杭州火球科技有限公司
15,2995460,后端开发工程师,广州,今天 11:06,10k-18k,271,有米科技,有米科技股份有限公司
16,2618708,后端开发工程师,北京,今天 09:57,10k-20k,138807,Magic Tavern,时空幻境（北京）科技有限公司
17,2799851,后端开发工程师,广州,昨天 09:22,10k-20k,169002,修炼,广东修炼科技股份有限公司
18,2760566,后端开发-成都,成都,今天 09:21,10k-20k,102581,100课堂,北京亿佰教育科技有限公司
19,3052453,后端开发工程师,上海,昨天 15:36,15k-25k,5674,华尔街见闻,上海阿牛信息科技有限公司
20,2595476,后端工程师,北京,昨天 15:34,15k-25k,75863,石墨,武汉初心科技有限公司
21,2294764,后端开发其它,杭州,今天 09:17,5k-10k,45503,华卓科技,杭州华卓信息科技有限公司
22,3070874,后端研发工程师,北京,昨天 14:47,20k-40k,82991,数美,北京数美时代科技有限公司
23,2915451,后端开发工程师,广州,今天 09:33,6k-8k,23199,广州酷游,广州酷游娱乐科技股份有限公司
24,1799521,后端开发工程师,北京,今天 09:02,15k-30k,62802,灵伴科技,北京灵伴未来科技有限公司
25,2617470,后端开发工程师,上海,今天 11:50,15k-30k,58635,即刻,上海即果信息技术有限公司
26,1989072,后端开发工程师,深圳,今天 09:18,20k-35k,5834,小满科技,深圳市小满科技有限公司
27,2683010,资深后端开发工程师,深圳,2017-04-30,20K-30K,156717,碰碰坑,深圳市碰碰坑网络科技有限公司
28,2706809,后端研发工程师,上海,今天 10:19,14k-28k,61921,人人行(借贷宝),人人行科技有限公司
29,3031401,考拉-后端开发工程师,广州,昨天 13:52,10k-18k,35507,财略金融科技,广州财略金融信息科技有限公司
30,3005379,后端工程师,北京,昨天 15:34,20k-40k,75863,石墨,武汉初心科技有限公司
31,3066245,后端开发工程师,广州,今天 11:06,9k-13k,271,有米科技,有米科技股份有限公司
32,2014834,后端研发工程师,上海,昨天 09:32,15k-30k,4832,七牛云,上海七牛信息技术有限公司
33,2463298,后端工程师（北京）,北京,今天 10:18,20k-38k,26087,美洽,成都美洽网络科技有限公司
34,2905974,后端开发工程师,上海,今天 09:50,16k-26k,86312,再惠,再惠（上海）网络科技有限公司
35,2820128,IRA-后端开发工程师,广州,昨天 13:52,10k-18k,35507,财略金融科技,广州财略金融信息科技有限公司
36,2727909,后端开发工程师,上海,今天 09:17,15k-25k,164437,晶汉科技,上海晶汉信息科技有限公司
37,2873862,后端开发工程师,北京,昨天 17:01,15k-30k,54359,时速云,北京云思畅想科技有限公司
38,3035247,后端开发工程师,北京,今天 11:55,25k-45k,9895,动动,北京慢点生活科技有限公司
39,176177,高级后端开发工程师,武汉,今天 10:57,15k-25k,7936,武汉安天,武汉安天信息技术有限责任公司
40,2534201,后端工程师,北京,2017-04-27,15k-25k,138641,齿轮易创,北京齿轮易创科技有限公司
41,3064748,后端开发工程师,北京,昨天 10:00,15k-30k,956,金山云,北京金山云网络技术有限公司
42,407077,后端工程师,北京,昨天 11:15,10k-20k,25056,无二之旅,北京无二之旅文化传播有限公司
43,3077122,后端开发,深圳,今天 11:01,12k-20k,7918,乐格信息,乐格商业咨询（深圳）有限公司
44,1747679,后端工程师,北京,2017-04-26,20k-40k,88172,分贝通,北京分贝通科技有限公司
45,806098,后端开发工程师,北京,今天 10:25,25k-35k,77962,GrowingIO,北京易数科技有限公司
46,2794900,后端开发工程师,北京,昨天 17:05,20K-35K,27404,极效,北京极效科技有限公司
47,3074049,后端工程师,北京,昨天 15:39,18k-30k,75863,石墨,武汉初心科技有限公司
48,2693533,后端,南京,昨天 09:40,7k-14k,35347,新智认知,新智认知数据服务有限公司
49,2897507,后端开发工程师,广州,今天 08:51,6k-9k,175736,新的美地,广州新的美地电子科技有限公司
50,1010698,后端开发工程师,广州,昨天 16:42,10k-15k,80442,省广诺时信息服务有限公司,省广诺时（广东）信息服务有限公司
51,3074969,后端开发工程师,北京,今天 11:42,10k-20k,39934,每日优鲜,北京每日优鲜电子商务有限公司
52,3048336,后端开发工程师,北京,今天 10:36,7k-14k,115477,泽创天成,北京泽创天成生物医药科技有限公司
53,3073649,后端开发工程师,深圳,今天 10:22,10k-20k,68524,编程猫,深圳点猫科技有限公司
54,3052350,初中级后端开发工程师,成都,今天 10:11,8k-15k,85491,成都小多科技有限公司,成都小多科技有限公司
55,2767035,后端工程师,深圳,昨天 20:04,9k-18k,28121,Klook 客路旅行,深圳市客路网络科技有限公司
56,2844877,后端开发工程师,上海,昨天 17:22,15k-25k,46792,捞月狗,上海竟跃网络科技有限公司
57,1889899,后端开发工程师,上海,今天 10:27,15k-25k,51480,饿了么,拉扎斯网络科技（上海）有限公司
58,2759589,后端开发工程师,深圳,今天 09:40,10k-15k,32687,青柏信息,深圳市青柏信息科技有限公司
59,3016707,后端开发工程师,上海,昨天 18:34,10k-15k,128651,威盛电子,威盛电子（上海）有限公司
60,3042549,高级后端开发工程师,北京,今天 10:36,14k-25k,115477,泽创天成,北京泽创天成生物医药科技有限公司
61,710005,后端开发工程师,北京,昨天 18:01,20k-40k,70634,彩视,迅捷联动（北京）科技有限公司
62,3077120,后端软件工程师,北京,今天 11:01,10k-20k,192097,易咖,北京易咖科技有限公司
63,1571553,前后端开发工程师,北京,今天 09:32,8k-15k,7641,科码先锋,北京科码先锋软件技术有限公司
64,2046865,后端工程师,深圳,昨天 10:10,15k-28k,115322,复临科技,深圳复临科技有限公司
65,3029037,后端开发工程师,武汉,2017-04-22,10k-15k,16377,掌游科技,武汉掌游科技有限公司
66,121164,后端开发工程师,北京,今天 11:43,13k-25k,766,更美APP,北京完美创意科技有限公司
67,2390985,Backend Engineers／后端工程师,北京,今天 09:47,20k-40k,73573,一手科技,北京一手科技有限公司
68,2911545,后端开发工程师,北京,今天 09:05,15k-25k,175511,联众同行,联众同行健康服务有限公司
69,2407252,【后端开发工程师/架构师】,北京,昨天 17:37,20k-40k,2474,滴滴出行,北京小桔科技有限公司
70,3073574,后端开发工程师,武汉,昨天 14:44,6k-8k,125780,高起咨询,武汉高起企业管理咨询有限公司
71,3073478,后端开发工程师,贵阳,昨天 14:34,6K-12K,198082,贵阳众惠和网络科技有限公司,贵阳众惠和网络科技有限公司
72,2446858,后端开发工程师,北京,昨天 11:56,15k-30k,139750,穿越君,北京心跳时空科技有限公司
73,2949526,后端工程师,上海,2017-05-01,8k-12k,117354,听到了,上海听到了互联网科技有限公司
74,2685159,后端开发工程师,北京,今天 11:28,15k-30k,22139,第三石科技,北京第三石科技发展有限公司
75,3048360,资深后端发开工程师,北京,今天 10:36,24k-40k,115477,泽创天成,北京泽创天成生物医药科技有限公司
76,1626149,后端工程师,深圳,今天 10:05,10K-20K,51501,天勤,深圳天勤信诺科技开发有限公司
77,2993681,后端开发工程师,深圳,今天 09:03,10k-20k,187660,丁当通联科技,湖南丁当通联信息科技有限公司
78,3074031,后端开发工程师,东莞,昨天 15:37,10K-20K,197362,华虎科技,东莞市华虎信息网络科技有限公司
79,3075933,后端开发程序员,长沙,昨天 21:49,8K-12K,141337,一起来电子商务,湖南省一起来电子商务有限公司
80,2864977,后端开发工程师,上海,昨天 12:03,15k-25k,175503,上海展盟,上海展盟网络科技有限公司
81,2361386,后端开发工程师,北京,2017-04-26,15k-30k,71438,长亭科技,北京长亭科技有限公司
82,2749821,后端开发工程师,广州,昨天 10:28,20k-30k,166288,悄悄科技,广州市悄悄科技有限公司
83,2844689,后端开发工程师,北京,今天 09:19,15k-30k,73653,奇点机智,北京奇点机智信息技术有限公司
84,3074382,后端开发工程师,深圳,昨天 16:12,8k-15k,198831,一起浪电竞,深圳市一起浪电竞互娱有限公司
85,2302323,后端开发工程师,上海,今天 10:59,15k-30k,4832,七牛云,上海七牛信息技术有限公司
86,2722925,高级后端工程师,北京,昨天 09:30,20k-38k,98754,云账户,北京云予网络科技有限公司
