,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2294764,后端开发其它,杭州,今天 09:17,5k-10k,45503,华卓科技,杭州华卓信息科技有限公司
1,2057838,Web后端开发,深圳,今天 09:06,10k-15k,136833,史蒂夫软件,史蒂夫软件（深圳）有限公司
2,2935648,后端开发组长,深圳,今天 09:26,15k-25k,85183,易创艺乐,深圳前海易创艺乐科技有限公司
3,2302099,后端开发工程师,北京,昨天 10:46,15k-20k,106474,谱思,北京谱思科技有限公司
4,1912540,后端开发其它,北京,今天 12:12,10k-20k,3522,易宝支付,易宝支付有限公司
5,2460661,后端开发主管,北京,昨天 16:35,20k-30k,7835,金山办公软件,北京金山软件有限公司
6,2225277,后端开发实习生,北京,2017-04-25,4k-6k,143547,八分量,北京八分量信息科技有限公司
7,2255847,后端开发其它,重庆,今天 07:18,5K-8K,20029,心之桥,重庆心之桥科技有限公司
8,2749566,后端研发工程师,北京,昨天 14:47,20k-40k,82991,数美,北京数美时代科技有限公司
9,2432827,后端开发其它,北京,2017-04-28,5k-10k,22862,上海华腾软件系统有限公司,上海华腾软件系统有限公司
10,2938516,后端开发工程师,深圳,今天 10:15,10k-20k,33627,乐易网络,深圳市乐易网络有限公司
11,2794796,后端开发,广州,昨天 12:34,10k-20k,105373,优维科技,优维科技（深圳）有限公司
12,3034972,后端开发工程师,上海,今天 09:31,25k-40k,7030,触宝科技,上海触乐信息科技有限公司
13,2621013,后端开发工程师,深圳,今天 11:32,15k-30k,160065,小库科技,深圳小库科技有限公司
14,2807369,后端开发组长,深圳,今天 09:32,20k-30k,2250,一元云购,深圳市一元云购网络科技有限公司
15,2911389,主程-后端,深圳,今天 09:06,30k-60k,136833,史蒂夫软件,史蒂夫软件（深圳）有限公司
16,2383697,后端开发,苏州,今天 10:03,7k-10k,11021,聚合数据,苏州新科兰德科技有限公司
17,2896955,后端开发工程师,北京,昨天 13:44,15k-30k,31395,灵雀云,北京凌云雀科技有限公司
18,2684586,后端开发工程师,成都,今天 10:18,12k-24k,26087,美洽,成都美洽网络科技有限公司
19,447566,后端开发工程师,武汉,今天 10:58,8k-15k,7936,武汉安天,武汉安天信息技术有限责任公司
20,2760566,后端开发-成都,成都,今天 09:21,10k-20k,102581,100课堂,北京亿佰教育科技有限公司
21,2944993,后端开发工程师,北京,今天 10:21,15k-25k,179148,赛格威机器人,鼎力联合（北京）科技有限公司
22,2771232,后端开发工程,西安,今天 08:58,6K-12K,168072,zkkj,陕西中矿科技有限公司
23,3074064,后端开发（高级）工程师-国际化,北京,昨天 15:40,20k-40k,62,今日头条,北京字节跳动科技有限公司
24,3045723,后端开发工程师,上海,今天 09:50,16k-26k,86312,再惠,再惠（上海）网络科技有限公司
25,3075559,node.js开发 （后端开发方向）,杭州,昨天 18:33,12k-20k,136597,亿咖通科技,浙江亿咖通科技有限公司
26,2467884,后端开发工程师,上海,昨天 09:53,10k-15k,39394,飞天联合,飞天联合（北京）系统技术有限公司
27,2820128,IRA-后端开发工程师,广州,昨天 13:52,10k-18k,35507,财略金融科技,广州财略金融信息科技有限公司
28,2617470,后端开发工程师,上海,今天 11:50,15k-30k,58635,即刻,上海即果信息技术有限公司
29,3059580,后端开发工程师,杭州,今天 10:26,10k-20k,64712,火球科技,杭州火球科技有限公司
30,3031401,考拉-后端开发工程师,广州,昨天 13:52,10k-18k,35507,财略金融科技,广州财略金融信息科技有限公司
31,2995460,后端开发工程师,广州,今天 11:06,10k-18k,271,有米科技,有米科技股份有限公司
32,2618708,后端开发工程师,北京,今天 09:57,10k-20k,138807,Magic Tavern,时空幻境（北京）科技有限公司
33,2390985,Backend Engineers／后端工程师,北京,今天 09:47,20k-40k,73573,一手科技,北京一手科技有限公司
34,2463298,后端工程师（北京）,北京,今天 10:18,20k-38k,26087,美洽,成都美洽网络科技有限公司
35,3052453,后端开发工程师,上海,昨天 15:36,15k-25k,5674,华尔街见闻,上海阿牛信息科技有限公司
36,2595476,后端工程师,北京,昨天 15:34,15k-25k,75863,石墨,武汉初心科技有限公司
37,3070874,后端研发工程师,北京,昨天 14:47,20k-40k,82991,数美,北京数美时代科技有限公司
38,2799851,后端开发工程师,广州,今天 12:03,10k-20k,169002,修炼,广东修炼科技股份有限公司
39,2915451,后端开发工程师,广州,今天 09:33,6k-8k,23199,广州酷游,广州酷游娱乐科技股份有限公司
40,2407252,【后端开发工程师/架构师】,北京,昨天 17:37,20k-40k,2474,滴滴出行,北京小桔科技有限公司
41,1799521,后端开发工程师,北京,今天 09:02,15k-30k,62802,灵伴科技,北京灵伴未来科技有限公司
42,1989072,后端开发工程师,深圳,今天 09:18,20k-35k,5834,小满科技,深圳市小满科技有限公司
43,2014834,后端研发工程师,上海,昨天 09:32,15k-30k,4832,七牛云,上海七牛信息技术有限公司
44,3035247,后端开发工程师,北京,今天 11:55,25k-45k,9895,动动,北京慢点生活科技有限公司
45,3005379,后端工程师,北京,昨天 15:34,20k-40k,75863,石墨,武汉初心科技有限公司
46,3066245,后端开发工程师,广州,今天 11:06,9k-13k,271,有米科技,有米科技股份有限公司
47,2706809,后端研发工程师,上海,今天 10:19,14k-28k,61921,人人行(借贷宝),人人行科技有限公司
48,2931664,后端开发实习生,上海,2017-04-26,3k-6k,86312,再惠,再惠（上海）网络科技有限公司
49,1571553,前后端开发工程师,北京,今天 09:32,8k-15k,7641,科码先锋,北京科码先锋软件技术有限公司
50,2727909,后端开发工程师,上海,今天 09:17,15k-25k,164437,晶汉科技,上海晶汉信息科技有限公司
51,2873862,后端开发工程师,北京,昨天 17:01,15k-30k,54359,时速云,北京云思畅想科技有限公司
52,2897121,产品经理（后端）,苏州,今天 09:48,10k-20k,3564,同程旅游,同程网络科技股份有限公司
53,407077,后端工程师,北京,昨天 11:15,10k-20k,25056,无二之旅,北京无二之旅文化传播有限公司
54,2693533,后端,南京,昨天 09:40,7k-14k,35347,新智认知,新智认知数据服务有限公司
55,2534201,后端工程师,北京,2017-04-27,15k-25k,138641,齿轮易创,北京齿轮易创科技有限公司
56,3064748,后端开发工程师,北京,昨天 10:00,15k-30k,956,金山云,北京金山云网络技术有限公司
57,2989813,产品经理-后端,上海,2017-05-01,25k-35k,1403,爱回收,上海悦易网络信息技术有限公司
58,1747679,后端工程师,北京,2017-04-26,20k-40k,88172,分贝通,北京分贝通科技有限公司
59,3077122,后端开发,深圳,今天 11:01,12k-20k,7918,乐格信息,乐格商业咨询（深圳）有限公司
