,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3047423,售前工程师,上海,今天 10:57,10k-20k,33668,成都康赛,成都康赛信息技术有限公司
1,2883079,售前工程师,南京,今天 11:20,8k-15k,43378,趣医网,上海趣医网络科技有限公司
2,1971601,售前工程师-厦门,厦门,今天 15:02,8k-15k,356,捷通华声,北京捷通华声科技股份有限公司
3,2193942,售前工程师,上海,今天 09:27,8k-12k,45421,天坊信息,上海天坊信息科技有限公司
4,933912,售前工程师,广州,今天 13:42,8k-15k,6558,明动软件,广州明动软件股份有限公司
5,2769649,售前工程师-上海,上海,今天 09:09,10k-20k,55021,坚果云,上海亦存网络科技有限公司
6,2732181,售前工程师,高雄,今天 10:54,10k-20k,3246,帆软软件,南京帆软软件有限公司
7,2810470,售前工程师,广州,今天 14:45,6k-8k,59854,普金计算机,广州普金计算机科技股份有限公司
8,1912485,售前工程师,上海,今天 14:26,8k-16k,7682,极验验证,武汉极意网络科技有限公司
9,2525673,售前工程师,武汉,今天 10:58,10k-20k,7936,武汉安天,武汉安天信息技术有限责任公司
10,1438595,售前工程师,上海,今天 09:48,15k-30k,57260,瑞数信息,瑞数信息技术(上海)有限公司
11,2535044,售前工程师,北京,今天 09:30,10k-15k,29231,新华云帆,深圳市新华云帆科技有限公司
12,3036033,售前工程师,上海,今天 14:40,10k-20k,26467,思华科技,上海思华科技股份有限公司
13,3026750,售前工程师,上海,昨天 17:41,8k-10k,22104,appcoachS,上海安璞信息技术有限公司
14,2878189,售前工程师,深圳,昨天 08:44,5k-6k,43868,嘉德永丰,深圳市嘉德永丰开发科技股份有限公司
15,2900242,售前工程师,上海,今天 14:57,10k-20k,43378,趣医网,上海趣医网络科技有限公司
16,2949705,售前工程师,深圳,今天 14:55,8k-15k,19313,网宿科技,网宿科技股份有限公司北京分公司
17,3036122,售前工程师,广州,今天 14:40,10k-20k,26467,思华科技,上海思华科技股份有限公司
18,3040634,售前工程师（上海）,杭州,今天 15:33,10k-15k,22805,恒生电子,恒生电子股份有限公司
19,2200481,售前工程师,长沙,今天 15:14,6k-10k,57361,汉雅星空文化科技有限公司,汉雅星空文化科技有限公司
20,2666837,售前工程师（北京）,北京,今天 10:57,10k-15k,33668,成都康赛,成都康赛信息技术有限公司
21,2916004,售前工程师,厦门,今天 09:25,4k-6k,96050,蓝斯股份,厦门蓝斯通信股份有限公司
22,1729103,售前工程师,成都,昨天 09:31,12k-17k,47102,四方伟业,成都四方伟业软件股份有限公司
23,2964599,售前工程师,上海,今天 14:48,15k-20k,137686,云首信息科技,上海云首信息科技有限公司
24,3034006,售前工程师（日本）,上海,今天 10:54,8k-15k,3246,帆软软件,南京帆软软件有限公司
25,1326898,售前工程师,广州,今天 09:48,15k-25k,57260,瑞数信息,瑞数信息技术(上海)有限公司
26,2143151,售前工程师,杭州,今天 09:08,6k-12k,95131,信雅达,信雅达系统工程股份有限公司
27,2918577,售前工程师-政企事业部,北京,今天 08:45,10k-20k,54374,普林科技,北京至信普林科技有限公司
28,2426637,售前工程师,上海,昨天 17:13,6k-8k,145112,万维云视,万维云视（上海）数码科技有限公司
29,827329,售前工程师,广州,今天 14:24,8k-16k,61445,拓尔思,北京拓尔思信息技术股份有限公司广州分公司
30,2563969,售前工程师,广州,今天 11:11,10k-15k,6921,机智云,广州机智云物联网科技有限公司
31,2702280,售前工程师,杭州,今天 09:17,5k-8k,46095,乾冠信息,浙江乾冠信息安全研究院有限公司
32,2585381,售前工程师,上海,昨天 11:45,15k-25k,97882,达观数据,达而观信息科技（上海）有限公司
33,2800289,售前工程师,中山,今天 09:12,5k-10k,31889,越亮传奇,越亮传奇科技股份有限公司
34,3037836,售前工程师,北京,今天 09:02,8k-12k,57455,云聚汇,深圳云聚汇数码有限公司
35,3040615,售前工程师（杭州）,杭州,今天 15:33,10k-15k,22805,恒生电子,恒生电子股份有限公司
36,2040376,售前工程师－深圳,深圳,今天 11:01,5k-10k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
37,2796664,售前工程师,南京,昨天 16:25,6k-10k,12163,厚建,南京厚建软件有限责任公司
38,2991084,售前工程师,北京,昨天 16:13,8k-14k,167374,懒猫联银,北京懒猫联银科技有限公司
