,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2741136,售后工程师,北京,昨天 14:47,14k-20k,82991,数美,北京数美时代科技有限公司
1,2997405,技术售后工程师,北京,2017-04-28,8k-12k,125449,智齿科技,北京智齿博创科技有限公司
2,2343143,售后工程师,广州,今天 08:34,4k-6k,72266,恒峰信息,恒峰信息技术有限公司
3,2779535,售后工程师,杭州,今天 15:13,10k-16k,114335,袋鼠云,杭州玳数科技有限公司
4,614309,售后工程师,广州,今天 14:16,6k-12k,47524,Deepmind,广州多普网络科技有限公司
5,2950192,售后工程师,南京,今天 08:24,4k-7k,149034,弘历软件,北京骏嘉财通科技有限公司
6,2426554,售后工程师,上海,昨天 17:13,3k-5k,145112,万维云视,万维云视（上海）数码科技有限公司
7,2197300,售后工程师,北京,今天 13:07,4k-8k,11521,微智全景,北京微智全景信息技术有限公司
8,2066639,客服/售后工程师,上海,今天 13:37,4k-8k,24995,泛微,上海泛微网络科技股份有限公司
9,906949,售后工程师,宁波,今天 14:32,4k-6k,33459,新希望软件,宁波新希望信息技术有限公司
10,2919432,售后工程师,北京,昨天 09:26,5k-10k,130264,352空气净化器,北京三五二环保科技有限公司
11,1961866,售后工程师,北京,今天 09:05,6k-12k,37203,九恒星,北京九恒星科技股份有限公司
12,958991,售后工程师,北京,昨天 10:00,10k-20k,956,金山云,北京金山云网络技术有限公司
13,1520168,售后工程师,厦门,2017-04-28,6k以上,356,捷通华声,北京捷通华声科技股份有限公司
14,2393916,售后工程师,北京,今天 09:32,5k-10k,7641,科码先锋,北京科码先锋软件技术有限公司
15,3020060,售后工程师,天津,今天 09:36,4k-7k,149034,弘历软件,北京骏嘉财通科技有限公司
16,3034894,售后工程师,北京,2017-04-26,10k-20k,156427,LinkFace,北京今始科技有限公司
17,3037418,客服专员（售后）,北京,今天 10:53,6k-8k,69146,北京辰森世纪科技股份有限公司,北京辰森世纪科技股份有限公司
18,2605576,售后工程师,杭州,昨天 08:31,10k-20k,85122,CaiCloud,杭州才云科技有限公司
19,2212480,售后工程师-00003,上海,2017-04-28,8K-16K,13195,齐治科技,浙江齐治科技有限公司
20,2043215,售后工程师,上海,2017-04-19,10k-15k,80880,百视通,百视通网络电视技术发展有限责任公司
21,2979442,售后工程师,珠海,2017-04-25,11k-20k,62683,珠海习悦,珠海习悦信息技术有限公司
22,2303890,售后服务工程师,成都,今天 09:34,3k-5k,67390,订货宝,成都阿商信息技术有限公司
23,2590243,售后工程师（成都）,成都,昨天 17:13,4k-7k,145112,万维云视,万维云视（上海）数码科技有限公司
24,2752643,项目运营专员（售后）,杭州,昨天 17:07,15k-20k,154501,网易杭州研究院互联网产品中心,网易（杭州）网络有限公司
25,2672420,售后技术工程师,沈阳,今天 09:21,6k-12k,126827,盛世全景,北京盛世全景科技股份有限公司
26,2859729,售后工程师,上海,2017-04-25,12k-15k,13179,集奥聚合（GEO）,北京集奥聚合科技有限公司
27,2757452,售后工程师,深圳,今天 09:18,5k-10k,5834,小满科技,深圳市小满科技有限公司
28,2483769,售后工程师,北京,2017-04-28,6k-10k,152567,西普教育,北京西普阳光教育科技股份有限公司
29,2938137,软件售后专员/售后工程师,成都,今天 13:49,4k-8k,33179,掌麦科技,四川掌麦科技有限公司
30,2212477,售后工程师-00004,杭州,2017-04-28,8k-16k,13195,齐治科技,浙江齐治科技有限公司
31,2124396,软件售后工程师,东莞,今天 09:40,6k-8k,125157,晓教育,广东世纪晓教育科技有限公司
32,2631857,用户运营（售后）,北京,2017-04-28,5k-8k,7182,尚德机构,北京尚佳崇业教育科技有限公司
33,3073748,售后工程师,深圳,昨天 15:05,4k-6k,172295,卡迪森机器人有限公司,深圳市卡迪森机器人有限公司
34,2903520,售后服务工程师,青岛,昨天 11:42,4k-8k,149034,弘历软件,北京骏嘉财通科技有限公司
35,2839998,技术支持（售后）,杭州,今天 09:34,8k-12k,149353,创匠科技,杭州创匠信息科技有限公司
36,3011060,售后技术工程师,成都,今天 09:09,6k-12k,33184,顶呱呱,成都顶呱呱集团投资有限公司
37,1946101,高级售后工程师,南京,今天 09:49,7k-14k,30916,宝利九章,宝利九章（北京）数据技术有限公司
38,2975336,客户服务（售后）,成都,今天 09:31,3k-5k,19825,任我行软件,成都任我行软件股份有限公司
39,2878605,售后工程师,广州,昨天 08:55,4k-8k,175934,海联捷讯,北京海联捷讯科技股份有限公司广州分公司
40,3077948,售后服务工程师,成都,今天 13:09,3k-5k,199953,成都肆零肆,成都市肆零肆网络科技有限公司
41,2995569,售后工程师,北京,2017-04-19,5k-8k,34745,索贝学院,成都索贝数码科技股份有限公司
42,673446,售后工程师,杭州,昨天 09:55,3k-6k,65068,帕拉迪,杭州帕拉迪网络科技有限公司
43,2883126,售后咨询工程师,广州,今天 11:37,6k-12k,22637,互动大师iH5.cn,深圳市世云新媒体有限公司
44,2691238,售后/技术服务/运维工程师（上海）,广州,今天 09:08,5k-7k,15471,高新兴科技集团,高新兴科技集团股份有限公司
45,2893565,售后实施工程师,青岛,昨天 11:42,4k-6k,149034,弘历软件,北京骏嘉财通科技有限公司
46,2443032,售后工程师,深圳,2017-04-24,4k-8k,34512,三亿互联,深圳市三亿互联科技有限公司
47,3003252,高薪售后,广州,2017-04-11,7K-8K,41823,58到家,北京五八到家信息技术有限公司
48,3021601,售后专员,北京,今天 11:01,5k-10k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
49,2718916,售后/技术服务/运维工程师（江西）,广州,今天 09:08,4k-8k,15471,高新兴科技集团,高新兴科技集团股份有限公司
50,2690010,售前/售后工程师,北京,2017-04-22,15k-20k,36873,翼鸥教育,北京翼鸥教育科技有限公司
51,3070771,售后实施工程师,拉萨,2017-04-30,8k-15k,9231,启明星辰,北京启明星辰信息安全技术有限公司
52,2694414,急聘售后8000+双休,合肥,2017-04-20,7K-11K,164267,中国平安,中国平安人寿保险股份有限公司安徽分公司
53,3061996,手机维修工程师 （售后部门）,成都,2017-04-26,3k-5k,67118,达闼科技,达闼科技（北京）有限公司
54,2921675,售后工程师,广州,今天 09:35,10k-20k,17791,朗锐数字传媒,广州朗锐数字传媒科技有限公司
55,2719103,OPL-售后运维工程师,上海,昨天 10:54,8k-16k,165,UCloud,上海优刻得信息科技有限公司
56,2803249,软件售后服务工程师（东莞）,东莞,今天 09:40,5k-8k,125157,晓教育,广东世纪晓教育科技有限公司
57,2961635,售后工程师,北京,今天 09:19,10k-15k,122673,中科网威,北京中科网威信息技术有限公司
58,2212723,售后工程师-00002,北京,2017-04-28,8K-16K,13195,齐治科技,浙江齐治科技有限公司
59,2990850,售后顾问,北京,今天 14:21,5k-9k,46348,北京麦田,北京麦田房产经纪有限公司
60,2992799,售后技术,南京,今天 14:56,4k-6k,149034,弘历软件,北京骏嘉财通科技有限公司
61,3048840,售后（外勤）,北京,2017-04-24,4k-5k,50702,美团点评,北京三快在线科技有限公司
