,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2460254,安全专家,北京,昨天 14:58,20k-40k,43016,美菜网,北京云杉世界信息技术有限公司
1,3055287,安全专家,上海,2017-04-27,20k-35k,56741,红星美凯龙互联网集团,红星美凯龙家居集团股份有限公司
2,2907079,安全专家,北京,昨天 10:04,25k-50k,25021,新浪微博,新浪微博
3,488963,安全专家,上海,昨天 09:04,15k-25k,23694,云盾,上海云盾信息技术有限公司
4,2711664,安全专家,重庆,今天 10:00,10k-20k,395,猪八戒网,重庆猪八戒网络有限公司
5,2876935,安全专家,杭州,今天 09:09,13k-15k,63354,鹏信科技,浙江鹏信信息科技股份有限公司
6,2888988,安全专家,北京,今天 09:32,15k-30k,7641,科码先锋,北京科码先锋软件技术有限公司
7,3062183,高级安全专家,深圳,昨天 16:34,30k-40k,38075,招联金融,招联消费金融有限公司
8,3060469,高级安全专家,杭州,今天 08:49,35k-45k,114555,PingPong金融,杭州呯嘭智能技术有限公司
9,1815171,安全专家,杭州,2017-04-26,15k-30k,31441,e签宝,杭州天谷信息科技有限公司
10,2077923,安全专家,上海,2017-04-28,6k-12k,92857,江南天安,北京江南天安科技有限公司
11,1865115,安全管理专家,北京,今天 13:39,25k-35k,2474,滴滴出行,北京小桔科技有限公司
12,2566500,安全专家,广州,2017-04-06,15k-30k,90627,品骏,品骏控股有限公司
13,3040062,大数据安全专家,上海,今天 09:31,20k-40k,7030,触宝科技,上海触乐信息科技有限公司
14,2829779,数据安全专家,杭州,2017-04-28,20k-30k,165939,橙鹰,杭州橙鹰数据技术有限公司
15,2171084,取证/安全专家,上海,昨天 09:28,9k-18k,33278,弘连网络,上海弘连网络科技有限公司
16,2999240,数据安全专家,杭州,2017-04-10,25k-50k,165939,橙鹰,杭州橙鹰数据技术有限公司
17,658325,安全专家,潍坊,2017-04-18,3k-6k,53174,黑光公司,潍坊黑光企业管理咨询有限公司
18,2482339,安全工程师,北京,昨天 14:59,15k-30k,43016,美菜网,北京云杉世界信息技术有限公司
19,2702439,运维工程师【安全方向】,上海,今天 09:14,12k-24k,1738,有鱼金融科技,上海彩亿信息技术有限公司
20,2773202,安全研究员,北京,昨天 14:47,20k-40k,82991,数美,北京数美时代科技有限公司
21,2778312,安全威胁分析专家,杭州,昨天 10:56,15k-30k,6462,安恒信息,杭州安恒信息技术有限公司
22,3037398,安全工程师,杭州,今天 10:05,20k-30k,14945,销冠科技,杭州销冠网络科技有限公司
23,2804814,产品经理（企业安全方向）,上海,昨天 10:12,12k-24k,33219,斗象科技,上海斗象信息科技有限公司
24,2988745,安全工程师,北京,今天 10:06,15k-20k,2646,途游,在线途游（北京）科技有限公司
25,2363074,安全研究员,北京,今天 09:26,6k-10k,9995,北京天融信公司,北京天融信网络安全
26,2980099,高级开发工程师（网络与安全）,广州,昨天 19:41,20k-30k,4760,唯品会,唯品会（中国）有限公司
27,3065396,安全工程师(002158),深圳,昨天 10:41,10k-20k,18893,卓望,卓望信息技术（北京）有限公司
28,2320148,安全开发,北京,今天 10:19,15k-30k,61921,人人行(借贷宝),人人行科技有限公司
29,3060353,安全工程师,武汉,今天 11:23,10k-15k,60191,世纪互联,北京世纪互联宽带数据中心有限公司
30,2773201,安全工程师,北京,昨天 14:47,20k-40k,82991,数美,北京数美时代科技有限公司
31,2735275,java(E安全）,杭州,昨天 10:56,10k-20k,6462,安恒信息,杭州安恒信息技术有限公司
32,2702420,安全工程师,上海,今天 09:14,12k-24k,1738,有鱼金融科技,上海彩亿信息技术有限公司
33,2395885,安全研究员,北京,今天 09:26,8k-10k,9995,北京天融信公司,北京天融信网络安全
34,2774677,售前工程师（安全顾问）,上海,昨天 10:12,10k-20k,33219,斗象科技,上海斗象信息科技有限公司
35,2856207,安全工程师,上海,今天 09:58,25k-50k,82347,运满满,北京满运物流信息有限公司
36,984396,资深linux C开发工程师（安全部）,杭州,今天 14:09,15k-30k,4448,挖财,杭州财米科技有限公司
37,2844118,安全工程师,大连,昨天 17:35,4k-7k,57118,Liferay 大连,大连来锐软件有限公司
38,2432223,安全工程师,上海,昨天 09:32,12k-24k,4832,七牛云,上海七牛信息技术有限公司
39,2725888,高级算法策略工程师（业务安全）,上海,昨天 21:30,15k-25k,50702,美团点评,北京三快在线科技有限公司
40,2820964,安全工程师,上海,昨天 13:51,15k-30k,24873,前隆金融（手机贷）,上海前隆金融信息服务有限公司
41,3038549,安全工程师,杭州,今天 14:32,10k-20k,174804,孝道科技,杭州孝道科技有限公司
42,2792002,安全工程师,北京,今天 09:32,15k-25k,7641,科码先锋,北京科码先锋软件技术有限公司
43,3028203,网络安全行业专家,北京,昨天 10:25,13k-21k,158369,中电进出口,中国电子进出口总公司
44,2972114,安全开发工程师,北京,今天 11:22,20k-40k,3786,宜信,普信恒业科技发展（北京）有限公司
45,874158,安全研究员,上海,昨天 10:12,12k-24k,33219,斗象科技,上海斗象信息科技有限公司
46,2684681,安全工程师,上海,今天 09:14,10k-20k,1738,有鱼金融科技,上海彩亿信息技术有限公司
47,2306346,安全工程师,上海,今天 10:22,15k-20k,4428,恺英网络,上海恺英网络科技有限公司
48,2872826,安全工程师,上海,今天 10:19,20k-40k,26250,musical.ly,蜜柚网络科技（上海）有限公司
49,3058151,危机专员（法律、安全方向）,上海,今天 14:20,7k-10k,40103,易果生鲜,上海易果电子商务有限公司
50,2610827,安全工程师,北京,今天 13:39,20k-30k,2474,滴滴出行,北京小桔科技有限公司
51,3077975,安全工程师,成都,今天 13:17,10k-15k,199953,成都肆零肆,成都市肆零肆网络科技有限公司
52,2896026,安全工程师(J10772),上海,昨天 20:15,25k-40k,3112,沪江,沪江教育科技（上海）股份有限公司
53,2215155,安全工程师,深圳,昨天 10:23,10k-20k,16589,禅游,深圳市禅游科技股份有限公司
54,2355738,安全工程师,深圳,今天 14:04,12k-24k,128065,深圳白骑士大数据有限公司,深圳白骑士大数据有限公司
55,2888977,安全主管,北京,今天 09:32,15k-28k,7641,科码先锋,北京科码先锋软件技术有限公司
56,2955744,高级安全技术服务专家,深圳,今天 10:25,15k-28k,182070,深信服科技集团,深信服科技股份有限公司
57,2774516,安全工程师,深圳,今天 10:01,8k-15k,267,盒子支付,深圳盒子支付信息技术有限公司
58,1851177,安全工程师,上海,昨天 09:55,20k-30k,4950,好买基金网（联想腾讯注资企业）,好买财富管理股份有限公司
59,2432240,安全工程师,北京,昨天 09:32,12k-24k,4832,七牛云,上海七牛信息技术有限公司
60,2888438,安全工程师,北京,2017-04-26,20k-30k,2422,凡普金科,凡普金科企业发展（上海）有限公司
61,2182002,安全研究员,重庆,今天 10:00,7k-14k,395,猪八戒网,重庆猪八戒网络有限公司
62,3051839,安全研究员,深圳,今天 14:39,20k-30k,34983,中安网域,深圳市中安网域科技有限公司
63,2763775,安全研究员,北京,今天 09:26,10k-15k,9995,北京天融信公司,北京天融信网络安全
64,2773204,资深安全工程师,北京,昨天 14:47,20k-40k,82991,数美,北京数美时代科技有限公司
65,2841830,安全研发工程师,上海,昨天 09:04,15k-30k,23694,云盾,上海云盾信息技术有限公司
66,2404127,安全工程师,北京,今天 13:54,15k-30k,4128,知乎,北京智者天下科技有限公司
67,2869721,安全工程师,北京,今天 11:08,15k-30k,520,小米,北京小米科技有限责任公司
68,2929216,安全工程师,上海,今天 09:19,9k-18k,21739,信而富,上海信而富企业管理有限公司
69,2961107,安全开发工程师,杭州,昨天 21:01,15k-25k,3864,51信用卡管家,杭州恩牛网络技术有限公司
70,3037253,安全开发工程师,杭州,今天 14:32,15k-30k,174804,孝道科技,杭州孝道科技有限公司
71,2876549,安全调查（上海）,上海,2017-04-28,5k-6k,34683,买单侠,上海秦苍信息科技有限公司
72,2692091,安全工程师,北京,2017-04-27,15k-30k,62,今日头条,北京字节跳动科技有限公司
73,3023396,安全工程师,成都,今天 13:56,10k-15k,53,聚美优品,北京创锐文化传媒有限公司
74,2853813,安全研发工程师,北京,今天 09:54,20k-30k,24875,颗豆互动,北京颗豆互动科技股份有限公司
75,2911332,技术总监（安全）,北京,2017-04-26,35k-70k,2422,凡普金科,凡普金科企业发展（上海）有限公司
76,2999931,资深后端工程师（反作弊和安全方向）,北京,昨天 14:46,40k-60k,4128,知乎,北京智者天下科技有限公司
77,2772530,安全服务工程师,深圳,昨天 10:12,10k-20k,33219,斗象科技,上海斗象信息科技有限公司
78,3011734,PC浏览器-windows内核高级开发（安全方向）,北京,今天 09:25,20k-35k,1537,搜狗,北京搜狗科技发展有限公司
79,3059882,安全工程师--代码审计,上海,昨天 17:56,8k-15k,42771,银基安全,上海银基信息安全技术股份有限公司
80,2735037,工控安全研究,杭州,昨天 10:56,15k-25k,6462,安恒信息,杭州安恒信息技术有限公司
81,1797132,安全工程师,天津,2017-04-28,8k-15k,117309,iHealth中国研发中心,天津爱健康技术开发有限公司
82,2867991,安全开发工程师-WSS,北京,今天 14:55,10k-15k,19313,网宿科技,网宿科技股份有限公司北京分公司
83,2851695,安全开发工程师,杭州,今天 14:32,12k-24k,174804,孝道科技,杭州孝道科技有限公司
84,1647717,安全工程师,北京,昨天 14:25,15k-25k,21643,融360,北京融联世纪信息技术有限公司
85,2642075,安全/渗透工程师,武汉,2017-04-26,7k-14k,37236,斗鱼直播,武汉斗鱼网络科技有限公司
86,2970568,Windows内核驱动工程师（2345安全卫士）,上海,今天 09:24,20k-35k,6082,2345.com,上海二三四五网络科技有限公司
87,2111684,安全工程师,北京,昨天 09:36,15k-25k,32836,新达达,上海趣盛网络科技有限公司
88,1296008,安全工程师,北京,2017-04-28,10k-20k,27988,微信电影票,北京微影时代科技有限公司
89,2782095,安全工程师,北京,今天 10:34,15k-25k,2768,易到,北京东方车云信息技术有限公司
90,2955326,安全研究员,北京,2017-04-28,8k-13k,92857,江南天安,北京江南天安科技有限公司
91,2716940,项目管理（安全服务部）,成都,昨天 11:42,4k-6k,40916,无声,四川无声信息技术有限公司
92,1761422,安全工程师,北京,昨天 11:01,16k-30k,129,陌陌,北京陌陌科技有限公司
93,3071468,安全工程师,贵阳,昨天 08:32,10k-18k,154045,多彩宝,贵州多彩宝互联网服务有限公司
94,2990353,软件安全工程师,北京,今天 08:51,10k-15k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
95,3057222,安全研究员,北京,2017-04-28,20k-30k,436,360,奇虎360科技有限公司
96,2036751,系统安全工程师,珠海,今天 10:49,10k-15k,32979,小源科技,珠海市小源科技有限公司
97,2837855,安全顾问－南区（广州／深圳）,广州,今天 09:48,15k-30k,57260,瑞数信息,瑞数信息技术(上海)有限公司
98,3048212,高级运维工程师（网络与安全）,上海,昨天 19:41,20k-30k,4760,唯品会,唯品会（中国）有限公司
99,2507347,安全工程师（偏移动安全）,北京,今天 09:38,20k-30k,97465,生迪智慧,生迪智慧科技有限公司
100,1684228,安全开发工程师,北京,今天 13:39,20k-30k,2474,滴滴出行,北京小桔科技有限公司
101,2626131,系统安全研究员,杭州,昨天 10:56,15k-25k,6462,安恒信息,杭州安恒信息技术有限公司
102,1678145,安全研发工程师,武汉,2017-04-27,8k-15k,7936,武汉安天,武汉安天信息技术有限责任公司
103,3011939,活体安全工程师,北京,今天 13:14,15k-30k,1561,Face++,北京旷视科技有限公司
104,2761266,安全工程师,北京,昨天 16:27,20k-40k,55446,链家网,链家网（北京）科技有限公司
105,1082142,销售经理（安全服务）,成都,昨天 11:42,5k-10k,40916,无声,四川无声信息技术有限公司
106,1476351,安全工程师,杭州,昨天 14:06,15k-25k,59463,LOCKet,杭州臻至科技有限公司
107,2565099,安全工程师--北京,北京,2017-04-27,16k-32k,23291,美图公司,厦门美图之家科技有限公司
108,2747606,安全工程师,杭州,2017-04-17,15k-30k,163520,旗隆信息技术,杭州旗隆信息技术有限公司
109,2662946,安全顾问－东区,上海,今天 09:48,15k-30k,57260,瑞数信息,瑞数信息技术(上海)有限公司
110,2834776,安全工程师,杭州,2017-04-24,8k-16k,96921,远传技术,浙江远传信息技术股份有限公司
111,3066690,高级研发工程师（安全产品方向）,上海,昨天 21:31,18k-36k,50702,美团点评,北京三快在线科技有限公司
112,1832983,安全工程师（总部-Z）,北京,昨天 14:59,18k-36k,43016,美菜网,北京云杉世界信息技术有限公司
113,2917549,安全工程师,北京,昨天 14:23,10k-15k,86110,首汽约车,首约科技（北京）有限公司
114,2861595,安全服务工程师,杭州,今天 09:17,4k-8k,46095,乾冠信息,浙江乾冠信息安全研究院有限公司
115,1179427,安全工程师,北京,2017-05-01,10k-16k,7535,什么值得买,北京值得买科技股份有限公司
116,521354,资深安全工程师,苏州,今天 10:44,14k-24k,3564,同程旅游,同程网络科技股份有限公司
117,2976193,系统安全工程师,上海,今天 14:52,10k-20k,188875,上海馨途网络科技有限责任公司,上海馨途网络科技有限责任公司
118,2415193,高级安全工程师,深圳,今天 10:07,15k-30k,73604,萨摩耶金服,深圳萨摩耶互联网金融服务有限公司
119,2437518,安全开发工程师,武汉,昨天 10:11,9k-18k,37236,斗鱼直播,武汉斗鱼网络科技有限公司
120,2716716,安全服务工程师,成都,昨天 11:42,5k-8k,40916,无声,四川无声信息技术有限公司
121,2837908,安全顾问－北区,北京,今天 09:48,15k-30k,57260,瑞数信息,瑞数信息技术(上海)有限公司
122,2734099,安全工程师（中级）,深圳,昨天 09:04,8k-15k,116558,深圳易库易有限公司,深圳易库易有限公司
123,2719209,实施工程师（大数据、安全）—佛山,佛山,2017-04-27,3k-5k,142028,精诚瑞宝,精诚瑞宝计算机系统有限公司
124,2943348,安全开发工程师,北京,2017-04-19,15k-25k,148909,360企业安全,北京奇安信科技有限公司
125,2796017,安全开发工程师,杭州,昨天 21:01,15k-25k,3864,51信用卡管家,杭州恩牛网络技术有限公司
126,2928871,安全开发工程师,北京,2017-04-27,18k-30k,19243,趣店,趣分期（北京）信息技术有限公司
127,1855654,安全工程师,深圳,2017-04-27,10K-20K,64077,华海乐盈,深圳市华海乐盈网络科技有限公司
128,3057214,安全研发工程师,北京,2017-04-25,15k-30k,436,360,奇虎360科技有限公司
129,3060475,安全服务工程师,武汉,今天 10:58,7k-10k,7936,武汉安天,武汉安天信息技术有限责任公司
130,2866037,资深安全工程师,北京,今天 10:57,30k-35k,37446,APUS Group,北京麒麟合盛科技有限公司
131,2834413,DDoS安全研究工程师,上海,昨天 09:04,15k-25k,23694,云盾,上海云盾信息技术有限公司
132,2988245,资深安全工程师,上海,2017-04-27,20k-40k,70921,卡行天下,上海卡行天下供应链管理有限公司
133,2982475,安全工程师,北京,2017-04-06,10k-20k,147344,云起融通,北京云起融通科技有限公司
134,2147302,安全研究员（研究院）,北京,今天 09:26,15k-20k,9995,北京天融信公司,北京天融信网络安全
135,2928851,安全工程师,北京,2017-04-27,18k-32k,19243,趣店,趣分期（北京）信息技术有限公司
136,2696246,安全咨询工程师,北京,昨天 11:42,5k-10k,40916,无声,四川无声信息技术有限公司
137,3011966,国内UC-内容安全专家/组长（安全策略方向）,广州,2017-04-13,23k-35k,2202,阿里巴巴移动事业群-UC,优视科技有限公司
138,3068952,高级安全工程师,北京,昨天 16:55,15k-30k,149913,厚本金融,北京厚本科技有限公司
139,2670712,取证/安全助理工程师,上海,昨天 09:28,6k-12k,33278,弘连网络,上海弘连网络科技有限公司
140,3039203,软件安全工程师,北京,2017-04-27,10k-20k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
141,3057255,安全工程师,北京,今天 13:49,10k-15k,136978,玖富技术中心,北京玖富联银科技有限公司
142,2967448,安全研发工程师,北京,今天 10:00,15k-30k,395,猪八戒网,重庆猪八戒网络有限公司
143,2810981,安全工程师 leader,杭州,今天 11:06,40k-60k,166345,绿湾,杭州绿湾网络科技有限公司
144,2861685,安全调查员,上海,2017-04-16,5k-7k,34683,买单侠,上海秦苍信息科技有限公司
145,2727247,安全技术研究工程师,大连,今天 10:49,10k-15k,7001,指掌易,北京指掌易科技有限公司
146,2811816,区块链工程师（安全事业部）,北京,今天 09:33,15k-20k,61844,国信优易,国信优易数据有限公司
147,2473501,安全研发工程师,北京,昨天 10:00,15k-30k,956,金山云,北京金山云网络技术有限公司
148,3063778,驾管安全员,厦门,昨天 15:25,5K-10K,172607,顺稻,厦门顺稻汽车有限公司
