,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2833009,实施工程师（华东区）,上海,今天 09:54,7k-13k,320,玄武科技,广州市玄武无线科技股份有限公司
1,2761980,实施工程师（深圳）,深圳,今天 09:58,10k-20k,356,捷通华声,北京捷通华声科技股份有限公司
2,1545408,实施工程师,广州,今天 10:20,4k-6k,24348,中大凯旋,广州中大凯旋电子科技有限公司
3,1352138,实施工程师,武汉,昨天 16:51,4k-8k,7988,海鼎,上海海鼎信息工程股份有限公司
4,703629,实施工程师,广州,今天 13:42,4k-8k,6558,明动软件,广州明动软件股份有限公司
5,2831707,实施工程师,上海,今天 13:53,10k-20k,31395,灵雀云,北京凌云雀科技有限公司
6,827321,实施工程师,广州,今天 14:24,2k-3k,61445,拓尔思,北京拓尔思信息技术股份有限公司广州分公司
7,2946609,实施工程师,杭州,今天 09:10,5k-10k,35514,纳里健康,浙江纳里健康科技有限公司
8,3037317,实施工程师,杭州,今天 10:00,4k-8k,75025,有数金服,杭州有数金融信息服务有限公司
9,2855292,实施工程师,深圳,昨天 16:00,8k-12k,25317,金证股份,深圳市金证科技股份有限公司
10,3061646,实施工程师,石家庄,今天 09:16,4k-6k,133697,品智科技,石家庄品智科技有限公司
11,2985927,实施工程师,贵阳,昨天 09:31,5k-10k,47102,四方伟业,成都四方伟业软件股份有限公司
12,3003772,实施工程师（佛山）,佛山,今天 10:01,8k-12k,28014,永洪科技,北京永洪商智科技有限公司
13,2206696,实施工程师,上海,今天 09:27,4k-8k,24995,泛微,上海泛微网络科技股份有限公司
14,2100754,实施工程师/技术支持（南昌）,南昌,今天 11:09,5k-8k,134795,每天健康,杭州每天健康管理有限公司
15,2262538,实施工程师,上海,今天 15:02,8k-15k,356,捷通华声,北京捷通华声科技股份有限公司
16,1352107,实施工程师,武汉,昨天 16:51,4k-8k,7988,海鼎,上海海鼎信息工程股份有限公司
17,2922152,实施工程师（广州）,广州,今天 13:53,10k-20k,31395,灵雀云,北京凌云雀科技有限公司
18,2445086,实施工程师,济南,昨天 16:00,8k-12k,25317,金证股份,深圳市金证科技股份有限公司
19,1754231,实施工程师,广州,今天 13:42,3k-6k,6558,明动软件,广州明动软件股份有限公司
20,3005887,实施工程师,上海,今天 09:32,4k-6k,24995,泛微,上海泛微网络科技股份有限公司
