,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3068263,射频工程师,广州,今天 10:39,7k-10k,20999,XAIRCRAFT极飞无人机,广州极飞科技有限公司
1,2716727,射频工程师(J10361),上海,今天 09:17,10k-15k,104985,龙旗,上海龙旗科技股份有限公司
2,2778958,RF射频工程师,深圳,昨天 15:05,15k-20k,1720,万兴科技股份有限公司,万兴科技股份有限公司
3,2736430,射频工程师,烟台,今天 10:56,8k-15k,90001,艾欧特,山东艾欧特集团
4,2730254,射频工程师,深圳,今天 09:15,15k-20k,102547,智芯,深圳智能表芯科技有限公司
5,335808,资深射频工程师,深圳,今天 08:42,12k-24k,20409,TP-LINK,普联技术有限公司
6,2731516,高级射频工程师,深圳,今天 10:31,10k-18k,73555,华士精成,深圳市华士精成科技有限公司
7,262126,射频工程师,深圳,今天 10:07,15k-30k,5794,一加手机,深圳市万普拉斯科技有限公司
8,2037207,射频工程师,深圳,2017-04-12,10k-20k,18971,传音控股,深圳传音控股有限公司
9,2780219,射频工程师,深圳,2017-04-28,10K-20K,17817,立达信,厦门立达信照明有限公司
10,3038433,高级射频工程师,西安,今天 09:50,15k-20k,194932,优克联,深圳优克云联科技有限公司
11,3072726,高级射频工程师,深圳,今天 10:26,25k-30k,37466,VINCI,北京金锐德路科技有限公司
12,2812602,射频工程师,成都,昨天 14:39,10k-20k,145580,中安频谱,成都中安频谱科技有限公司
13,2997494,射频工程师,深圳,今天 08:28,15k-20k,98474,深圳市航天华拓科技有限公司,深圳市航天华拓科技有限公司
14,3065224,射频工程师,深圳,昨天 13:53,15k-20k,198502,沸石高科集团,沸石高科投资(深圳)有限公司
15,2731186,射频工程师,厦门,2017-04-06,8k-15k,17817,立达信,厦门立达信照明有限公司
16,2004817,射频工程师,上海,2017-04-17,12k-18k,93329,雍敏科技,上海雍敏信息有限公司科技
17,3064339,射频精英,佛山,2017-04-27,13k-20k,2604,美的厨房电器事业部,广东美的厨房电器制造有限公司
18,3046865,射频工程师,东莞,2017-04-25,25k-50k,145439,星火教育,苏州市星暨火教育科技有限公司
19,2972136,射频工程师,北京,昨天 17:44,10k-15k,102420,迈锐数据（北京）有限公司,迈锐数据（北京）有限公司
20,2973766,射频开发工程师,深圳,2017-04-28,15k-30k,133229,艾森智能,深圳市艾森智能技术有限公司
21,2352175,硬件工程师（基带/射频）-2017应届生,上海,今天 09:17,9k-10k,104985,龙旗,上海龙旗科技股份有限公司
22,2870195,射频工程师,北京,今天 10:00,18k-30k,46345,海兰信,北京海兰信数据科技股份有限公司
23,3018464,射频工程师,上海,2017-04-14,10k-15k,153243,上海雷塔,上海雷塔智能科技有限公司
24,917565,射频工程师,长沙,昨天 10:49,4k-8k,53172,华诺星空,湖南华诺星空电子技术有限公司
25,1752838,射频工程师,无锡,昨天 10:36,6k-10k,81852,恒东科技,恒东信息科技无锡有限公司
26,2997883,射频工程师,成都,2017-04-10,4k-6k,191030,科创研究院,成都科创科学文化研究院
27,2290418,射频工程师,深圳,2017-04-24,9k-12k,145755,伟易达,伟易达电子产品（深圳）有限公司
28,2665876,射频副总工程师,北京,2017-04-19,20k-30k,139040,中科戎大,北京中科戎大科技股份有限公司
29,1097904,射频工程师,深圳,2017-04-30,15k-30k,21561,SUGAR 舒高,深圳舒高移动通信有限公司
30,3046514,射频工程师(中/高级),深圳,2017-04-28,10k-20k,17817,立达信,厦门立达信照明有限公司
31,2670487,射频工程师,北京,2017-04-28,4k-6k,162824,中科汉天下,北京中科汉天下电子技术有限公司
32,2840726,射频硬件开发工程师,上海,昨天 09:20,10k-20k,30809,上海广拓信息技术有限公司,上海广拓信息技术有限公司
33,2821135,射频工程师,深圳,2017-04-10,12k-18k,34237,超固态科技,深圳成谷科技有限公司
34,2810410,射频开发工程师,西安,2017-04-10,7k-14k,64640,上海易景,上海易景信息科技有限公司
35,1999140,射频工程师,北京,2017-04-12,8k-12k,25119,北京信威通信技术股份有限公司,北京信威通信技术股份有限公司
36,3058158,射频天线工程师,成都,昨天 09:20,15k-25k,106664,中智集团,科创控股集团
37,3008710,电子工程师（射频通信）,青岛,2017-04-24,6k-8k,163449,方天科技,青岛方天科技股份有限公司
38,3053405,射频硬件工程师,西安,2017-04-25,3K-5K,173945,航达科技,西安航达电子科技有限公司
39,818201,射频电路设计工程师,上海,昨天 10:33,12k-20k,78733,芯旺,上海芯旺微电子技术有限公司
40,2747636,射频测试工程师,东莞,2017-04-12,15k-30k,26277,步步高教育电子有限公司,步步高教育电子有限公司
41,2506024,高级射频测试工程师,西安,2017-04-25,6k-9k,63082,深圳易思博软件,深圳市易思博软件技术有限公司
42,2343686,RRU硬件射频测试工程师,北京,2017-04-19,6k-10k,57844,杭州品联,杭州品联科技有限公司
43,2670430,实习射频工程师,北京,2017-04-28,2k-4k,162824,中科汉天下,北京中科汉天下电子技术有限公司
