,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3014077,嵌入式硬件工程师,上海,今天 13:14,9k-12k,192164,蓝海智能,蓝海智能科技有限公司
1,2345850,嵌入式,杭州,今天 09:28,15k-20k,78626,回车科技,杭州回车电子科技有限公司
2,2891456,嵌入式开发,杭州,今天 10:04,10k-20k,73598,棒米科技,杭州棒米科技有限公司
3,2966446,嵌入式,上海,昨天 10:50,8k-15k,182091,赢谊科技,上海赢谊物联网科技有限公司
4,2790777,嵌入式,珠海,今天 09:05,8k-12k,89467,南方IT学院,广东南方职业培训学院
5,3013056,产品项目经理（硬件）,北京,今天 14:28,10k-15k,48871,火河科技,北京火河科技有限公司
6,1892322,嵌入式,深圳,今天 09:43,10k-20k,37602,欧德蒙,深圳欧德蒙科技有限公司
7,2912970,嵌入式硬件工程师,珠海,今天 11:02,5k-10k,63443,4DAGE,珠海市四维时代网络科技有限公司
8,1752331,嵌入式,南宁,昨天 10:19,6k以上,55951,咪付,广西咪付网络技术有限公司
9,2157561,嵌入式软件开发,天津,今天 10:00,6k-12k,122689,天津通卡,天津市通卡公用网络系统有限公司
10,2773214,高级产品经理（硬件）,中山,昨天 17:03,15k-25k,43613,广州动心,广东乐心医疗电子股份有限公司
11,2512329,嵌入式硬件工程师,深圳,今天 14:01,8k-15k,130870,Xeno Dynamics,深圳市奇诺动力科技有限公司
12,690361,嵌入式开发,上海,今天 11:28,20k-35k,57743,Ruff,上海南潮信息科技有限公司
13,1759327,嵌入式开发工程师,北京,今天 09:50,10k-20k,126957,北京算云联科,北京算云联科科技有限公司
14,2354254,嵌入式硬件开发,杭州,今天 09:18,8k-16k,35980,车纷享,杭州车厘子智能科技有限公司
15,3063399,高级研发工程师（硬件）,上海,今天 13:14,10k-14k,192164,蓝海智能,蓝海智能科技有限公司
16,2233555,嵌入式,深圳,今天 09:43,12k-24k,37602,欧德蒙,深圳欧德蒙科技有限公司
17,2904306,嵌入式硬件工程师,珠海,今天 11:02,5k-10k,63443,4DAGE,珠海市四维时代网络科技有限公司
18,2896051,硬件工程师,广州,2017-04-26,8k-16k,117901,大气候科技,广州大气候农业科技有限公司
19,2477570,嵌入式开发,杭州,今天 10:04,10k-20k,73598,棒米科技,杭州棒米科技有限公司
20,3078109,嵌入式硬件开发,成都,今天 13:45,8k-12k,149775,效率源科技,四川效率源信息安全技术股份有限公司
21,2009115,嵌入式软/硬件研发,烟台,今天 10:56,6k-12k,90001,艾欧特,山东艾欧特集团
22,3050928,嵌入式软件工程师,广州,今天 09:03,8k-12k,126216,广州丰石科技,广州丰石科技有限公司
23,2071891,嵌入式,成都,昨天 10:09,15k-30k,87451,中电昆辰,四川中电昆辰科技有限公司
24,3041095,嵌入式软件工程师,深圳,昨天 09:19,10k-15k,19247,减字科技,深圳减字科技有限公司
25,1516448,嵌入式开发工程师,广州,昨天 17:09,8k以上,75325,美的空调,广东美的制冷设备有限公司
26,2906190,嵌入式软件开发,苏州,今天 11:18,8k-10k,108850,北京天创,北京天创金农科技有限公司
