,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2751084,性能测试,上海,今天 09:12,18k-23k,53654,上海安能物流有限公司,上海安能聚创供应链管理有限公司
1,3049214,性能测试,上海,昨天 17:09,9k-11k,52809,新致软件,上海新致软件股份有限公司
2,2999171,性能测试工程师,北京,昨天 10:34,12k-24k,131071,小圈科技,北京小圈科技有限公司
3,2918526,性能测试专家,杭州,今天 09:49,20k-35k,37974,传化物流集团,传化物流集团有限公司
4,2894090,性能测试工程师,长沙,今天 09:08,5k-7k,148732,学票,深圳威马逊信息技术有限公司
5,2980781,性能测试,杭州,2017-04-25,10k-15k,23599,触手,杭州开迅科技有限公司
6,3067458,性能测试,北京,2017-04-28,12k-23k,61249,云鸟科技,北京云鸟科技有限公司
7,2989732,性能测试工程师,郑州,今天 09:34,5k-10k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
8,3073927,性能测试工程师,深圳,昨天 15:25,15k-25k,32720,招银网络科技,招银网络科技（深圳）有限公司
9,2732310,性能测试工程师,佛山,昨天 17:29,8k-13k,107433,欧浦智网,欧浦智网股份有限公司
10,3052194,性能测试,深圳,昨天 09:09,15k-20k,119222,招银云创,招银云创（深圳）信息技术有限公司
11,2476392,性能测试工程师,武汉,昨天 10:11,10k-20k,37236,斗鱼直播,武汉斗鱼网络科技有限公司
12,1890722,性能测试,上海,2017-04-26,10k-14k,22862,上海华腾软件系统有限公司,上海华腾软件系统有限公司
13,985586,性能测试工程师,杭州,今天 08:27,10k-15k,21236,微医集团,浙江康健绿线网络技术有限公司
14,2662899,性能测试工程师,上海,昨天 19:29,15k-30k,60054,掌门1对1在线教育,上海翼师网络科技有限公司
15,2268532,性能测试工程师,杭州,今天 09:49,15k-25k,37974,传化物流集团,传化物流集团有限公司
16,2057096,性能测试,杭州,今天 08:36,10k-15k,52809,新致软件,上海新致软件股份有限公司
17,3007423,性能测试工程师,广州,今天 10:20,8k-11k,24348,中大凯旋,广州中大凯旋电子科技有限公司
18,2875113,性能测试工程师,苏州,昨天 14:00,4k-8k,68556,伏泰科技,苏州市伏泰信息科技股份有限公司
19,2879272,测试经理M2（自动化/性能测试）,南京,今天 10:18,14k-18k,34683,买单侠,上海秦苍信息科技有限公司
20,1151397,性能测试,杭州,今天 09:23,10k-20k,8169,点我达,点我达网络科技有限公司
21,3073173,性能测试工程师,北京,昨天 13:58,10k-15k,151381,中诚信征信,中诚信征信有限公司
