,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,607194,手机测试实习生,上海,今天 10:42,4k以上,59470,nonda 能塔智能,上海能塔智能科技有限公司
1,3055302,手机测试,北京,2017-04-25,8k-12k,63383,博彦科技,博彦科技股份有限公司
2,3073997,手机测试工程师,上海,昨天 15:32,6k-10k,55793,上海研鼎,上海研鼎信息技术有限公司
3,2258526,手机测试,上海,今天 13:52,10k-20k,6636,携程,携程计算机技术（上海）有限公司
4,2362890,手机测试,北京,2017-04-28,10k-15k,23682,CIG,北京新意互动广告有限公司
5,3052280,手机测试员,上海,2017-04-28,7k-10k,6927,OPPO,广东欧珀移动通信有限公司
6,3068655,手机测试工程师,成都,2017-04-28,3k-5k,163169,文思海辉,文思海辉技术有限公司
7,2643377,YSBG-手机测试工程师,广州,2017-04-28,8k-15k,336,酷狗音乐,广州酷狗计算机科技有限公司
8,1122523,手机测试,济南,昨天 10:01,3k-5k,85683,山东三米,山东三米信息技术有限公司
9,2601334,手机测试工程师,北京,2017-04-24,13k-25k,67118,达闼科技,达闼科技（北京）有限公司
10,1989990,手机测试,北京,2017-04-25,10k-15k,33220,国家电网全资子公司北京汇通金财,北京汇通金财信息科技有限公司
11,1360000,手机测试工程师,杭州,2017-04-22,6k-12k,109556,哈客(HarkHark),杭州哈客网络科技有限公司
12,813886,手机测试,成都,2017-04-11,3k-4k,65725,泰聚泰,成都泰聚泰科技股份有限公司
13,478557,手机测试,北京,2017-04-18,8k-15k,51856,易易,北京易易信息技术有限公司
14,2993767,手机测试实习生,南阳,2017-04-28,5k-8k,190439,咸恒科技,咸恒网络科技有限公司
15,2528018,手机测试,北京,今天 10:56,7k-10k,63383,博彦科技,博彦科技股份有限公司
16,3055290,手机测试,北京,2017-04-25,8k-12k,63383,博彦科技,博彦科技股份有限公司
17,2604700,中高级手机测试,北京,今天 10:01,8k-13k,63383,博彦科技,博彦科技股份有限公司
18,2879799,手机测试,北京,2017-04-20,6k-7k,63383,博彦科技,博彦科技股份有限公司
19,3023644,手机测试,北京,2017-04-28,9k-14k,63383,博彦科技,博彦科技股份有限公司
20,2110188,手机测试工程师,北京,2017-04-25,8k-12k,63383,博彦科技,博彦科技股份有限公司
21,2726439,手机测试,北京,2017-04-13,6k-12k,63383,博彦科技,博彦科技股份有限公司
22,2558900,手机测试,北京,2017-04-17,6k-12k,63383,博彦科技,博彦科技股份有限公司
