,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2751090,开发,杭州,今天 09:11,12k-16k,53654,上海安能物流有限公司,上海安能聚创供应链管理有限公司
1,2812800,技术副总监,广州,今天 09:11,20k-35k,81576,卡宝宝,广州卡宝宝互联网金融信息服务股份有限公司
2,2305385,技术助理,天津,昨天 15:56,3k-4k,122689,天津通卡,天津市通卡公用网络系统有限公司
3,2411064,技术副总监,广州,今天 09:24,30k-40k,44841,PPmoney互联网金融平台,万惠投资管理有限公司
4,3067712,开发,深圳,昨天 11:33,10k-11k,117217,博悦科创,深圳市博悦科创科技有限公司
5,3034847,图像处理算法工程师/技术专家,北京,今天 09:49,25k-50k,50702,美团点评,北京三快在线科技有限公司
6,2425782,技术主管,深圳,今天 09:08,20k-30k,26864,亿乐谷,深圳市亿乐谷科技有限公司
7,2978789,技术专员,广州,昨天 13:25,4k-6k,149034,弘历软件,北京骏嘉财通科技有限公司
8,2758021,技术专家,上海,昨天 10:12,20k-40k,33219,斗象科技,上海斗象信息科技有限公司
9,3075822,技术主管,深圳,今天 09:00,20k-30k,148452,布谷鸟科技,深圳布谷鸟信息科技有限公司
10,3032357,招聘专员（技术类）,北京,昨天 09:45,5k-8k,53137,家园网,金色家园网络科技有限公司
11,3068108,Java 高级工程师/技术专家,北京,2017-04-28,20k-40k,147,拉勾网,北京拉勾网络技术有限公司
12,2594160,技术leader（上海）,上海,昨天 10:14,25k-35k,62831,明略数据,北京明略软件系统有限公司
13,2958861,技术专家,北京,2017-04-27,20k-40k,102796,滴滴出行,滴滴出行
14,1773884,技术员,深圳,今天 09:15,4k-8k,102547,智芯,深圳智能表芯科技有限公司
15,2090226,推荐系统高级工程师/技术专家,北京,今天 08:35,25k-50k,50702,美团点评,北京三快在线科技有限公司
16,3026731,招聘专员（技术类）,北京,昨天 09:45,5k-8k,53137,家园网,金色家园网络科技有限公司
17,2997535,技术专员,南京,今天 08:24,5k-9k,149034,弘历软件,北京骏嘉财通科技有限公司
18,3073123,技术员,西安,昨天 13:49,2K-4K,199571,大陆桥,户县大陆桥置业有限责任公司
19,2152578,技术员,广州,2017-04-28,2k-3k,77221,铭鸿数据,广东铭鸿数据有限公司
20,2915210,应用工程师（技术型）,深圳,昨天 14:59,7k-14k,17617,Makeblock,深圳市创客工场科技有限公司
21,1790954,资深JAVA开发工程师/技术专家,杭州,今天 10:40,15k-30k,43906,浙江聚有财,浙江聚有财金融服务外包有限公司
22,3033040,技术副总监,杭州,昨天 17:55,17k-25k,134211,连线网络,理想连线网络技术股份有限公司
23,2673461,技术Leader,深圳,今天 09:56,25k-35k,15175,分期乐,深圳市分期乐网络科技有限公司
24,2374574,技术专家,北京,昨天 09:20,20k-40k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
25,2772243,技术专家,上海,2017-04-27,30k-40k,119222,招银云创,招银云创（深圳）信息技术有限公司
26,3074171,实习生(技术岗),上海,昨天 15:50,1k-2k,48120,幼狮传播,上海幼狮文化传播有限公司
27,1158443,运维支持工程师（技术部）,上海,昨天 17:43,5k-10k,44342,春秋航空股份有限公司,春秋航空股份有限公司
28,2856343,技术主管,成都,2017-04-28,10k-13k,78908,赶酒会,四川赶酒会电子商务有限责任公司
29,2748721,技术专家,北京,2017-04-28,30k-60k,929,最右,北京小川在线网络技术有限公司
30,3032477,资深数据挖掘工程师/技术专家,北京,今天 09:49,25k-50k,50702,美团点评,北京三快在线科技有限公司
31,2384683,技术专家,北京,昨天 09:20,25k-50k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
32,2888842,技术leader,深圳,今天 09:56,20k-35k,15175,分期乐,深圳市分期乐网络科技有限公司
33,3026282,技术专员,广州,昨天 13:25,3k-5k,149034,弘历软件,北京骏嘉财通科技有限公司
34,1453043,ETL工程师（技术部）,上海,昨天 17:43,10k-20k,44342,春秋航空股份有限公司,春秋航空股份有限公司
35,1429418,首席技术专家,北京,昨天 09:44,18k-25k,994,国广东方网络（北京）有限公司,国广东方网络（北京）有限公司
36,3062987,技术专家/资深软件架构师,杭州,今天 10:29,25k-40k,10359,酷家乐,杭州群核信息技术有限公司
37,3060052,技术专家/架构师,厦门,昨天 08:47,25k-40k,19313,网宿科技,网宿科技股份有限公司北京分公司
38,3035170,技术主管,成都,2017-04-25,10k-15k,20251,初唐科技,成都初唐网络科技股份有限公司
39,1732873,技术主管,上海,今天 09:08,20k-35k,15533,乐其网络,东莞市乐其网络科技有限公司
40,3072722,技术实习生,广州,昨天 12:00,3k-5k,112733,天耘科技,广东天耘科技有限公司
41,3075654,技术架构师,杭州,昨天 18:54,18k-25k,96921,远传技术,浙江远传信息技术股份有限公司
42,2694159,技术架构师,杭州,昨天 18:54,20k-40k,37974,传化物流集团,传化物流集团有限公司
43,609732,高级前端开发工程师（技术）,杭州,今天 08:27,12k-20k,21236,微医集团,浙江康健绿线网络技术有限公司
44,2825006,资深java架构师/技术专家,北京,今天 10:03,25k-40k,4338,致远软件,北京致远互联软件股份有限公司
45,2136658,高级Java/技术专家,北京,今天 09:41,18k-35k,50702,美团点评,北京三快在线科技有限公司
46,3063000,技术专家/Tech Lead,杭州,今天 10:29,25k-40k,10359,酷家乐,杭州群核信息技术有限公司
47,2909602,北四环安贞店 客服专员、技术支,北京,2017-04-26,3K-6K,149034,弘历软件,北京骏嘉财通科技有限公司
48,3000066,资深数据分析师/技术专家,北京,今天 10:08,25k-35k,78889,博易智软,博易智软（北京）技术股份有限公司
49,1995413,高端技术职位其它,深圳,2017-04-11,5k-10k,63082,深圳易思博软件,深圳市易思博软件技术有限公司
50,999718,高级java工程师（技术部）,上海,昨天 17:43,15k-25k,44342,春秋航空股份有限公司,春秋航空股份有限公司
51,2305317,技术主管,哈尔滨,2017-04-11,15k-20k,4184,思特奇Si-tech,北京思特奇信息技术股份有限公司
52,3045267,技术主管,济南,2017-04-21,10k-14k,151665,山东网络广播电视台,山东广电新媒体有限责任公司
53,3012123,技术助理,北京,昨天 11:23,3k-5k,97405,福德巴士,北京福德巴士科技有限公司
54,2843757,技术主管,北京,2017-04-17,12k-15k,131388,万万到家,北京万万到家科技发展有限公司
55,1430453,工程技术员,深圳,昨天 17:05,4k-5k,8350,万科物业,万科物业发展有限公司
56,445115,技术专家,杭州,2017-04-11,20k-35k,6502,同盾科技,同盾科技有限公司
