,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2878837,技术总监,深圳,今天 09:06,20k-40k,136833,史蒂夫软件,史蒂夫软件（深圳）有限公司
1,3071322,技术总监,北京,昨天 14:47,35k-60k,82991,数美,北京数美时代科技有限公司
2,3075752,技术总监,北京,今天 08:46,25k-32k,82069,思源科技,北京思源互联科技有限公司
3,1453707,技术总监,广州,今天 09:11,20k-40k,81576,卡宝宝,广州卡宝宝互联网金融信息服务股份有限公司
4,2572834,技术总监,杭州,今天 13:06,30k-60k,75593,吉利招聘,浙江吉利控股集团有限公司
5,2911642,技术总监,武汉,今天 09:03,15k-20k,64988,顶点软件,福建顶点软件股份有限公司
6,230572,技术总监,重庆,今天 11:23,20k-25k,35338,重庆鸿巨网络科技有限公司,重庆鸿巨网络科技有限公司
7,2567438,技术总监,杭州,今天 10:29,45k-55k,126641,禾连健康,浙江禾连网络科技有限公司
8,2442954,技术总监,上海,今天 09:32,40k-60k,52978,优雅广告,上海优雅广告有限公司
9,3010741,技术总监,广州,今天 11:58,20k-35k,6356,兼职猫,广州九尾信息科技有限公司
10,2041004,技术总监,西安,昨天 10:07,20k-40k,32370,昭泰文化,西安昭泰文化发展有限公司
11,2941926,技术总监,深圳,今天 09:50,30k-50k,160669,SpeakIn,深圳势必可赢科技有限公司
12,2428881,技术总监,长沙,今天 11:50,25k-30k,149664,天创,长沙天创文化传播有限公司
13,2626861,技术总监,成都,今天 09:34,15k-25k,67390,订货宝,成都阿商信息技术有限公司
14,2077496,技术总监,杭州,今天 09:10,30k-50k,35514,纳里健康,浙江纳里健康科技有限公司
15,2762016,CTO（技术总监）,北京,今天 09:59,25k-50k,356,捷通华声,北京捷通华声科技股份有限公司
16,2992087,技术总监,成都,今天 10:57,10k-20k,33668,成都康赛,成都康赛信息技术有限公司
17,1759206,技术总监,成都,今天 09:11,20k-40k,21517,人人快递,四川创物科技有限公司
18,3071423,技术总监,北京,昨天 14:47,35k-60k,82991,数美,北京数美时代科技有限公司
19,3055046,技术总监,杭州,今天 13:28,25k-35k,24109,搜道网,浙江搜道网络技术有限公司
20,2736632,技术总监,武汉,昨天 10:05,10k-20k,111175,ZingFront智线,智线云科技（北京）有限公司
21,2912877,技术总监,广州,今天 13:42,20k-33k,6558,明动软件,广州明动软件股份有限公司
22,3031409,技术总监,广州,今天 10:09,30k-50k,139082,广州麒云萱韬信息科技有限公司,广州麒云萱韬信息科技有限公司
23,2240164,技术总监,烟台,今天 10:01,20k-40k,90001,艾欧特,山东艾欧特集团
24,2985916,技术总监,深圳,今天 09:56,15k-25k,28983,盈天下,深圳市盈天下广告有限公司
25,3034287,技术总监,深圳,今天 10:54,25k-30k,171318,深圳市松大科技有限公司,深圳市松大科技有限公司
26,2735820,高级技术总监,杭州,今天 09:59,20k-40k,150269,钱塘大数据,杭州钱塘大数据交易中心有限公司
27,976460,技术总监,北京,今天 11:21,30k-50k,179,她理财,北京新工场投资顾问有限公司
28,3060370,技术总监,深圳,昨天 17:31,15k-30k,94,思必驰科技,苏州思必驰信息科技有限公司
29,2658247,技术总监,杭州,昨天 17:01,25k-50k,134330,摩象科技,杭州摩象网络科技有限公司
30,2934441,技术总监,厦门,今天 12:19,20k-38k,8420,拓客金融,厦门拓客金融技术服务有限公司
31,2301093,技术总监,北京,今天 09:07,50k-100k,3234,孔夫子旧书网,北京古城堡图书有限公司
32,2047796,技术总监,深圳,昨天 16:49,40k-50k,54631,丝路天地,深圳丝路天地电子商务有限公司
33,2775742,技术总监,北京,昨天 10:56,20k-40k,6462,安恒信息,杭州安恒信息技术有限公司
34,1847565,技术总监,厦门,今天 10:57,30k-60k,95617,乐商云集,乐商云集（厦门）供应链有限公司
35,370058,技术总监,上海,今天 09:27,30k以下,45421,天坊信息,上海天坊信息科技有限公司
36,2119803,技术总监,杭州,昨天 09:51,20k-30k,32768,上上签,杭州尚尚签网络科技有限公司
37,799917,技术总监,上海,今天 11:17,30k-50k,58109,55海淘,五五海淘（上海）科技股份有限公司
38,1742122,技术总监,上海,昨天 11:02,35k-50k,125799,天会智数,上海皓煦数据技术有限公司
39,3067981,美店CTO/技术总监,杭州,今天 11:59,20k-40k,89553,美登科技,杭州美登科技有限公司
40,3077701,技术总监,成都,今天 11:53,14k-20k,15899,谛听,成都谛听科技股份有限公司
41,1214670,技术总监,广州,今天 09:24,30k-45k,44841,PPmoney互联网金融平台,万惠投资管理有限公司
42,3075557,技术总监,青岛,昨天 18:32,25k-30k,124026,木子,青岛木子企业管理咨询有限公司
43,3077938,技术总监,北京,今天 13:04,25k-40k,36036,趣播（视频直播社交）,北京蜜友科技有限公司
44,2895362,技术总监,南京,昨天 11:06,50k-80k,23344,汇通达,汇通达网络有限公司
45,1244406,技术总监,厦门,今天 10:57,30k-50k,95617,乐商云集,乐商云集（厦门）供应链有限公司
46,3077394,技术总监,深圳,今天 11:25,23k-30k,131549,云衣定制,深圳市博克时代科技开发有限公司
47,1110494,技术总监,杭州,今天 12:22,10k-20k,23727,知网,同方知网（北京）技术有限公司
48,2949589,技术总监,重庆,2017-04-26,30k-60k,103732,智慧思特大数据,重庆智慧思特大数据有限公司
49,3055098,技术总监,上海,昨天 17:53,15k-30k,124159,新番资本,上海新番网络科技有限公司
50,3078072,技术总监,武汉,今天 13:37,15k-25k,169054,北京标旗宇通,北京标旗宇通数控科技有限公司
