,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1802471,技术经理,杭州,今天 09:10,15k-25k,35514,纳里健康,浙江纳里健康科技有限公司
1,2749564,技术经理,北京,昨天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
2,2792869,技术经理,深圳,今天 09:50,30k-50k,160669,SpeakIn,深圳势必可赢科技有限公司
3,2789056,技术经理,上海,昨天 16:26,30k-50k,49527,路路由,上海路路由信息技术有限公司
4,2736113,技术经理,南京,今天 10:58,15K-25K,81518,乐居网络,南京乐居网络科技有限公司
5,2172430,技术经理,北京,今天 09:02,20k-40k,62802,灵伴科技,北京灵伴未来科技有限公司
6,2977044,技术经理,成都,今天 10:01,18k-30k,25384,logicmonitor,美国云控科技有限公司成都代表处
7,2165034,技术经理,深圳,今天 08:49,30k-40k,3060,华为技术有限公司,华为技术有限公司
8,3074344,技术经理,广州,今天 10:20,12k-18k,24348,中大凯旋,广州中大凯旋电子科技有限公司
9,2829573,技术经理,上海,今天 10:04,25k-32k,113723,上海拿米金服,上海拿米金融信息服务有限公司
10,2410283,技术经理,广州,今天 09:24,15k-25k,44841,PPmoney互联网金融平台,万惠投资管理有限公司
11,2774469,技术经理,南京,今天 14:07,20k-30k,83249,帜讯信息,上海帜讯信息技术股份有限公司
12,2538902,技术经理,广州,今天 09:11,17k-28k,81576,卡宝宝,广州卡宝宝互联网金融信息服务股份有限公司
13,2213077,技术经理,杭州,今天 09:00,25k-35k,7953,博科思,杭州博科思科技有限公司
14,3073657,技术经理,北京,昨天 14:53,25k-35k,199503,普哲咨询,北京普哲管理咨询有限公司
15,2391891,技术经理,深圳,今天 09:24,30k-60k,3060,华为技术有限公司,华为技术有限公司
16,2468472,技术经理,北京,昨天 14:25,20k-30k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
17,2276413,技术经理,北京,2017-05-01,30k-45k,3950,销售易,仁科互动（北京）信息科技有限公司
18,2840749,技术经理,北京,昨天 11:47,20k-30k,41861,华生恒业,北京华生恒业科技有限公司
19,2619977,技术经理,上海,今天 14:07,25k-35k,83249,帜讯信息,上海帜讯信息技术股份有限公司
20,2928198,技术经理,成都,今天 10:10,15k-25k,16949,中企动力,中企动力科技股份有限公司
21,2949565,技术经理,北京,昨天 10:37,25k-35k,164253,开课吧,北京开课吧科技有限公司
22,2724378,技术经理,长沙,今天 09:19,12k-15k,23126,优讯信息,深圳市优讯信息技术有限公司
23,2734053,技术经理,海口,昨天 08:41,10k-12k,24931,九春教育,海南九春教育科技股份有限公司
24,3004047,技术经理,太原,昨天 10:38,15k-22k,4184,思特奇Si-tech,北京思特奇信息技术股份有限公司
