,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1596246,搜索算法,深圳,昨天 18:12,10k-18k,54631,丝路天地,深圳丝路天地电子商务有限公司
1,2955445,搜索算法,深圳,今天 10:20,13k-20k,108448,亿幕,深圳亿幕信息科技有限公司
2,1168633,搜索算法,上海,今天 11:17,25k-40k,58109,55海淘,五五海淘（上海）科技股份有限公司
3,1854038,搜索算法,北京,2017-04-19,30k-60k,50226,中国搜索,中国搜索信息科技股份有限公司
4,2178670,搜索算法（北京）,北京,昨天 10:14,15k-24k,62831,明略数据,北京明略软件系统有限公司
5,3073579,搜索算法-工程师,上海,今天 09:32,25k-35k,50702,美团点评,北京三快在线科技有限公司
6,2116195,搜索算法,北京,昨天 10:44,20k-30k,1686,爱奇艺,北京爱奇艺科技有限公司
7,2063502,搜索算法,北京,2017-04-26,15k-25k,1331,多盟,多盟睿达科技（中国）有限公司
8,2123651,搜索算法工程师,上海,今天 11:51,17k-27k,51480,饿了么,拉扎斯网络科技（上海）有限公司
9,1592630,搜索算法工程师,杭州,昨天 14:06,25k-40k,59463,LOCKet,杭州臻至科技有限公司
10,3020001,搜索算法工程师,广州,昨天 08:57,10k-20k,20473,广州棒谷网络科技有限公司,广州棒谷网络科技有限公司
11,1829854,搜索算法工程师,上海,今天 11:05,18k-36k,30830,哔哩哔哩,上海幻电信息科技有限公司
12,1573503,搜索算法工程师,珠海,昨天 10:53,10k-20k,107539,筑巢科技,珠海市筑巢科技有限公司
13,2260686,搜索算法工程师,北京,昨天 14:22,25k-50k,21218,通联数据,通联数据股份公司
14,1574370,搜索算法工程师,上海,今天 09:36,15k-30k,70718,返利网,上海中彦信息科技有限公司
15,570108,搜索算法,北京,昨天 10:14,15k-24k,62831,明略数据,北京明略软件系统有限公司
16,1525553,搜索算法,北京,2017-04-27,20k-40k,50702,美团点评,北京三快在线科技有限公司
17,2524863,搜索算法,北京,今天 12:03,3k-4k,24703,东芝医疗,东芝医疗系统（中国）有限公司
18,1580791,搜索算法工程师/架构师,北京,昨天 17:37,20k-40k,2474,滴滴出行,北京小桔科技有限公司
19,2173746,搜索算法,北京,今天 09:32,40k-80k,2494,凤凰网,凤凰飞扬（北京）新媒体信息技术有限公司
20,2974367,搜索算法架构师,北京,今天 09:04,15k-25k,520,小米,北京小米科技有限责任公司
21,2093577,PTBG-搜索算法工程师,广州,2017-04-28,10k-20k,336,酷狗音乐,广州酷狗计算机科技有限公司
22,2472868,搜索算法工程师,北京,2017-04-28,15k-25k,23291,美图公司,厦门美图之家科技有限公司
23,2843631,搜索算法工程师,上海,2017-04-24,15k-18k,40729,Rela热拉-拉拉交友APP,上海初生网络科技有限公司
24,2123696,资深搜索算法工程师,上海,今天 11:51,22k-36k,51480,饿了么,拉扎斯网络科技（上海）有限公司
25,2618371,资深搜索算法工程师-网易美学,杭州,昨天 17:07,18k-30k,154501,网易杭州研究院互联网产品中心,网易（杭州）网络有限公司
26,2282896,搜索算法开发经理,上海,昨天 16:00,20k-40k,24995,泛微,上海泛微网络科技股份有限公司
27,2823486,搜狗阅读-搜索算法研究员-北京-01976,北京,今天 09:25,20k-40k,1537,搜狗,北京搜狗科技发展有限公司
28,2445856,资深搜索算法工程师,北京,昨天 19:09,20k-40k,1914,阿里巴巴大优酷,合一网络技术（北京）有限公司
29,2487852,搜索算法,杭州,昨天 16:50,12k-18k,11119,麦苗网络科技,杭州麦苗网络技术有限公司
30,2399016,搜索算法工程师/技术专家,北京,昨天 14:16,25k-45k,50702,美团点评,北京三快在线科技有限公司
31,2974372,搜索算法工程师,北京,今天 09:04,15k-25k,520,小米,北京小米科技有限责任公司
32,2228139,搜索算法工程师-北京,北京,2017-04-27,20k-35k,23291,美图公司,厦门美图之家科技有限公司
33,1302853,搜索算法工程师,北京,2017-04-13,25k-35k,436,360,奇虎360科技有限公司
34,2911350,搜索算法,北京,2017-04-25,13k-25k,67674,新浪微博,微梦创科网络科技（中国）有限公司
35,2343721,搜索算法工程师,北京,2017-04-06,19k-38k,91,阿里巴巴—高德,高德软件有限公司
36,3010558,搜索算法工程师,北京,2017-04-12,25k-50k,139755,京东商城,北京京东世纪贸易有限公司
37,2981606,搜索算法软件工程师 2名,杭州,昨天 09:30,12k-20k,163797,浙江飞阅,浙江飞阅信息科技有限公司
38,2362580,搜索算法,广州,2017-04-11,8k-15k,522,广电运通,广电运通金融电子股份有限公司
39,439973,搜索算法,上海,2017-04-27,20k-30k,13325,万行科技,上海万行信息科技有限公司
40,2889102,资深搜索算法工程师,杭州,今天 11:50,15k-30k,329,网易,网之易信息技术（北京）有限公司
41,148191,搜索算法 实习,北京,2017-04-25,4k-8k,1331,多盟,多盟睿达科技（中国）有限公司
42,2712503,搜索算法工程师,北京,2017-04-07,20k-40k,19365,货车帮,贵阳货车帮科技有限公司
43,2719685,推荐与搜索算法工程师,北京,2017-04-13,18k-30k,166034,盈锐互联,北京盈锐互联科技有限公司
44,2920957,大数据研发工程师-推荐、搜索算法急需或者挖掘、爬虫,北京,2017-04-17,25k-50k,182048,寺库中国,库天下(北京)信息技术有限公司
45,2697605,搜索算法高级工程师/技术专家,北京,2017-04-25,25k-50k,50702,美团点评,北京三快在线科技有限公司
46,1784246,搜索算法,北京,2017-04-25,13k-25k,67674,新浪微博,微梦创科网络科技（中国）有限公司
47,3014020,高德-搜索算法高级工程师,北京,2017-04-20,15k-30k,91,阿里巴巴—高德,高德软件有限公司
48,2939001,QQ音乐/全民k歌搜索算法高级工程师（深圳）,深圳,2017-04-27,20k-40k,451,腾讯,腾讯科技(深圳)有限公司
49,2913584,搜索算法工程师(大数据部),北京,2017-04-14,20k-30k,8103,汽车之家,北京车之家信息技术有限公司
50,2284365,搜索算法 Java 软件开发工程师,北京,2017-04-26,20k-40k,88172,分贝通,北京分贝通科技有限公司
51,2629628,搜索算法高级工程师/技术专家,北京,昨天 14:16,30k-50k,50702,美团点评,北京三快在线科技有限公司
52,2951702,搜索算法高级工程师/专家,北京,2017-04-23,30K-50K,50702,美团点评,北京三快在线科技有限公司
53,2780200,搜索算法高级工程师/技术专家,北京,2017-04-13,20k-40k,50702,美团点评,北京三快在线科技有限公司
