,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2424509,数据仓库,深圳,今天 09:57,10k-15k,6718,珍爱网,深圳市珍爱网信息技术有限公司
1,3044079,数据仓库,北京,今天 14:31,15k-30k,1866,大鱼自助游,北京鱼行天下网络科技有限公司
2,2743073,数据仓库,杭州,2017-04-28,15k-28k,165939,橙鹰,杭州橙鹰数据技术有限公司
3,2141027,数据仓库,北京,昨天 18:56,20k-40k,51649,掌众金服,北京掌众科技有限公司
4,3065188,数据仓库工程师,杭州,2017-04-27,10k-18k,30397,追灿科技,杭州追灿科技有限公司
5,2872869,数据仓库工程师,上海,今天 10:19,20k-40k,26250,musical.ly,蜜柚网络科技（上海）有限公司
6,2922199,数据仓库工程师,上海,今天 09:57,15k-25k,622,房多多,深圳市房多多网络科技有限公司
7,1313533,资深数据仓库专家,北京,今天 10:58,20k-40k,50702,美团点评,北京三快在线科技有限公司
8,3055787,数据仓库工程师,深圳,昨天 16:17,8k-15k,16039,花果山,深圳花果山科技有限公司
9,1965876,KunLun-数据仓库工程师,成都,今天 09:43,10k-15k,42711,BBD,成都数联铭品科技有限公司
10,2899705,数据仓库,北京,2017-04-24,20k-30k,136978,玖富技术中心,北京玖富联银科技有限公司
11,3041091,数据仓库工程师,深圳,今天 09:25,10k-20k,16777,深圳刷宝科技有限公司,深圳刷宝科技有限公司
12,2420387,数据仓库开发,深圳,今天 09:10,10k-18k,83025,环球易购,深圳市环球易购电子商务有限公司
13,3015433,数据仓库工程师,深圳,今天 10:07,6k-12k,73604,萨摩耶金服,深圳萨摩耶互联网金融服务有限公司
14,2975751,资深数据仓库,北京,今天 09:29,25k-50k,149208,田米科技,北京田米科技有限公司
15,2705486,数据仓库,北京,今天 13:09,15k-30k,4286,竞技世界,竞技世界（北京）网络技术有限公司
16,2742491,数据仓库高级/资深工程师,北京,昨天 11:39,25k-45k,50702,美团点评,北京三快在线科技有限公司
17,3040855,数据仓库,杭州,2017-04-28,10k-15k,22805,恒生电子,恒生电子股份有限公司
18,2406002,数据仓库,北京,2017-04-24,20k-30k,136978,玖富技术中心,北京玖富联银科技有限公司
19,3026486,数据仓库工程师,上海,今天 10:42,15k-25k,59470,nonda 能塔智能,上海能塔智能科技有限公司
20,3073409,数据仓库工程师,上海,今天 10:27,15k-25k,8581,1号店,纽海信息技术(上海)有限公司
21,3044371,数据仓库工程师,深圳,今天 09:56,15k-25k,15175,分期乐,深圳市分期乐网络科技有限公司
22,3024001,数据仓库工程师,上海,昨天 21:10,15k-25k,50574,宝付网络科技（上海）有限公司,宝付网络科技（上海）有限公司
23,3068421,数据仓库工程师,北京,昨天 09:50,15k-25k,42833,大特e保,大特保商务信息咨询（上海）有限公司
24,2031072,数据仓库,北京,今天 10:25,20k-40k,36162,作业盒子,北京知识印象科技有限公司
25,2524773,数据仓库专家-T0248,杭州,昨天 11:28,15k-30k,2900,微店,北京口袋时尚科技有限公司
26,2003394,数据仓库,上海,2017-04-18,20k-30k,18739,东普科技,上海东普信息科技有限公司
27,2458373,数据仓库工程师,杭州,今天 10:00,8k-16k,75025,有数金服,杭州有数金融信息服务有限公司
28,2903318,数据仓库工程师,北京,昨天 14:24,15k-25k,436,360,奇虎360科技有限公司
29,2681004,数据仓库工程师,上海,今天 11:05,18k-30k,30830,哔哩哔哩,上海幻电信息科技有限公司
30,2940773,数据仓库工程师,北京,昨天 11:06,20k-40k,102796,滴滴出行,滴滴出行
31,3056089,数据仓库工程师,杭州,昨天 09:20,12k-24k,3770,in,杭州九言科技股份有限公司
32,2688194,数据仓库工程师/技术专家,北京,今天 14:27,25k-45k,50702,美团点评,北京三快在线科技有限公司
33,3045066,BI工程师（数据仓库开发）,深圳,2017-04-21,10k-18k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
34,1393776,数据仓库工程师/架构师,北京,今天 13:23,20k-40k,2474,滴滴出行,北京小桔科技有限公司
35,2639518,数据仓库工程师,杭州,昨天 08:49,18k-30k,93448,览众数据,杭州览众数据科技有限公司
36,3069270,数据仓库实习生,北京,2017-04-28,3k-4k,3786,宜信,普信恒业科技发展（北京）有限公司
37,2869287,数据仓库工程师,杭州,2017-04-28,15k-25k,73675,木瓜科技,杭州木瓜科技有限公司
38,2909155,（春招）数据仓库工程师,北京,昨天 16:23,10k-20k,55446,链家网,链家网（北京）科技有限公司
39,2902361,数据仓库工程师,上海,今天 09:59,10k-15k,7158,傲世堂,上海锐战网络科技有限公司
40,2961399,数据仓库实习生,北京,2017-04-27,3k-6k,62,今日头条,北京字节跳动科技有限公司
41,3063255,数据仓库工程师,北京,昨天 11:35,15k-30k,6616,友信,友众信业金融信息服务（上海）有限公司北京朝阳投资咨询分公司
