,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2816903,数据挖掘和机器学习研发工程师,北京,昨天 10:46,15k-20k,106474,谱思,北京谱思科技有限公司
1,2843749,数据挖掘,深圳,今天 10:03,12k-24k,54269,前海信息,深圳前海信息技术有限公司
2,2291525,数据挖掘工程师,杭州,昨天 11:00,12k-20k,34132,多准大数据,杭州多准数据技术有限公司
3,2536942,数据挖掘,杭州,今天 10:56,10k-20k,51881,浙江小融网络科技股份有限公司,浙江小融网络科技股份有限公司
4,1018268,数据挖掘,上海,今天 10:19,12k-18k,48988,雅其信息技术（上海）有限公司,雅其信息技术（上海）有限公司
5,2385964,数据挖掘,北京,今天 11:22,20k-40k,3786,宜信,普信恒业科技发展（北京）有限公司
6,2930260,数据挖掘工程师,北京,昨天 14:47,28k-55k,82991,数美,北京数美时代科技有限公司
7,2987591,数据挖掘,上海,今天 11:25,12k-24k,146537,卓领通讯,上海卓领通讯技术有限公司
8,1824146,数据挖掘,北京,昨天 09:17,10k-20k,93925,凯泰铭,凯泰铭科技(北京)有限公司
9,2875239,数据挖掘工程师,深圳,今天 10:59,15k-30k,83025,环球易购,深圳市环球易购电子商务有限公司
10,2890381,数据挖掘工程师,上海,昨天 10:21,15k-30k,27962,星环科技,星环信息科技（上海）有限公司
11,2168534,数据挖掘,杭州,昨天 20:39,10k-20k,542,婚礼纪,杭州火烧云科技有限公司
12,2902068,数据挖掘,上海,昨天 10:41,15K-20K,93141,融之家,上海融之家金融信息服务有限公司
13,3077255,数据挖掘,深圳,今天 11:13,14k-22k,7918,乐格信息,乐格商业咨询（深圳）有限公司
14,1866362,数据挖掘,北京,今天 11:09,30k-50k,50604,roobo,北京智能管家科技有限公司
15,2873553,数据挖掘工程师,北京,昨天 10:46,10k-20k,106474,谱思,北京谱思科技有限公司
16,2491403,数据挖掘,北京,昨天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
17,1689501,数据挖掘,成都,昨天 11:16,10k-20k,6868,tap4fun,成都尼毕鲁科技股份有限公司
18,2658348,数据挖掘,杭州,今天 09:49,20k-40k,37974,传化物流集团,传化物流集团有限公司
19,2717595,数据挖掘,北京,2017-05-01,20k-35k,3950,销售易,仁科互动（北京）信息科技有限公司
20,3003517,数据挖掘工程师,北京,今天 09:38,15k-30k,42833,大特e保,大特保商务信息咨询（上海）有限公司
21,1445799,数据挖掘,北京,昨天 10:15,10k-20k,26782,探探,探探科技（北京）有限公司
22,3009094,数据挖掘工程师,杭州,昨天 09:12,15k-25k,87226,哲信,杭州哲信信息技术有限公司
23,2836397,数据挖掘,北京,今天 09:14,15k-25k,139078,唯医网,北京欧应信息技术有限公司
24,2897040,数据挖掘,北京,昨天 10:07,18k-30k,29496,闪银奇异,北京闪银奇异科技有限公司
25,1769830,数据挖掘,上海,昨天 10:45,10k-20k,15257,美味不用等,美味不用等（上海）信息科技股份有限公司
26,847465,数据挖掘,北京,今天 10:19,20k-38k,61921,人人行(借贷宝),人人行科技有限公司
27,3041160,数据挖掘工程师,北京,昨天 10:39,15k-30k,30608,真融宝,北京快快网络技术有限公司
28,3069907,数据挖掘,武汉,今天 09:49,10k-20k,151834,小明太极国漫,小明太极（湖北）国漫文化有限公司
29,2920881,数据挖掘工程师,北京,今天 09:51,15k-30k,7600,TalkingData,北京腾云天下科技有限公司
30,2093103,资深数据挖掘,北京,昨天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
31,2824748,数据挖掘工程师,杭州,昨天 08:45,12k-24k,37974,传化物流集团,传化物流集团有限公司
32,2456664,数据挖掘,北京,今天 09:00,15k-25k,68719,安心医生,北京惠福康信息咨询有限公司
33,2663726,数据挖掘,北京,今天 11:19,15k-25k,106042,太合音乐（百度音乐）,北京太合音乐文化发展有限公司
34,2944834,数据挖掘工程师,北京,今天 09:29,20k-40k,149208,田米科技,北京田米科技有限公司
35,2790031,数据挖掘-算法方向,北京,昨天 18:17,35k-55k,59251,映客直播,北京蜜莱坞网络科技有限公司
36,2345264,数据挖掘工程师,杭州,今天 09:28,15k-25k,78626,回车科技,杭州回车电子科技有限公司
37,3022253,数据挖掘工程师,深圳,今天 09:30,12k-20k,16883,E-CAR,广东翼卡车联网服务有限公司
38,2131734,数据挖掘工程师,南京,今天 09:06,13k-25k,31945,孩子王,孩子王儿童用品股份有限公司
39,2605628,数据挖掘,深圳,昨天 16:49,20k-30k,54631,丝路天地,深圳丝路天地电子商务有限公司
40,2984405,中高级数据挖掘工程师,北京,昨天 14:58,25k-40k,43016,美菜网,北京云杉世界信息技术有限公司
41,2902948,数据挖掘,东莞,昨天 11:01,6k-10k,180060,东莞美宜佳,东莞市糖酒集团美宜佳便利店有限公司
42,2927959,数据挖掘工程师,北京,昨天 10:56,20k-35k,61249,云鸟科技,北京云鸟科技有限公司
43,2153210,数据挖掘,北京,2017-04-27,15k-20k,16875,东方国信,北京东方国信科技股份有限公司
44,1962016,数据挖掘,北京,今天 09:32,25k-35k,4148,艺龙旅行网,艺龙网信息技术（北京）有限公司
45,2798728,数据挖掘研发工程师,北京,昨天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
46,2210601,数据挖掘,北京,昨天 16:16,20k-40k,100746,睦合达,北京睦合达信息技术股份有限公司
47,1906486,数据挖掘,上海,今天 10:25,10k-20k,32799,钱牛牛,上海乾生乾金融信息服务有限公司
48,2497957,数据挖掘,上海,今天 09:58,25k-40k,82347,运满满,北京满运物流信息有限公司
49,2843445,数据挖掘工程师,上海,今天 11:12,15k-25k,26962,上海你我贷互联网金融信息服务,嘉银（上海）金融信息服务有限公司
50,2327044,数据挖掘工程师,深圳,今天 09:56,15k-30k,15175,分期乐,深圳市分期乐网络科技有限公司
51,2945251,数据挖掘,北京,今天 09:00,15k-30k,68719,安心医生,北京惠福康信息咨询有限公司
52,1890132,数据挖掘,上海,昨天 14:40,15k-30k,24102,Hypers,上海宏路数据技术股份有限公司
53,2557029,需求分析师（数据挖掘）,深圳,昨天 16:00,15k-30k,25317,金证股份,深圳市金证科技股份有限公司
54,2693982,数据挖掘工程师,上海,昨天 13:51,20k-40k,24873,前隆金融（手机贷）,上海前隆金融信息服务有限公司
55,2885618,数据挖掘工程师,北京,昨天 15:50,16k-30k,436,360,奇虎360科技有限公司
56,3074180,文本分析与数据挖掘工程师-国际化,北京,昨天 15:50,20k-40k,62,今日头条,北京字节跳动科技有限公司
57,2087638,数据挖掘高级工程师,北京,今天 08:35,20k-40k,50702,美团点评,北京三快在线科技有限公司
58,1852739,数据挖掘工程师,厦门,今天 10:57,15k-25k,95617,乐商云集,乐商云集（厦门）供应链有限公司
59,2692331,数据挖掘工程师,北京,今天 10:43,25k-40k,3786,宜信,普信恒业科技发展（北京）有限公司
60,2175576,数据挖掘,北京,昨天 14:22,30k-50k,24561,国美互联网,国美在线电子商务有限公司
61,1993817,数据挖掘工程师,北京,今天 10:45,15k-30k,5754,ENJOY,北京严肃科技有限公司
62,2714904,数据挖掘工程师,北京,今天 09:16,20k-25k,98285,国美金控,国美金控投资有限公司
63,2892083,数据挖掘工程师,北京,今天 09:04,20k-40k,520,小米,北京小米科技有限责任公司
64,3071693,数据挖掘工程师,北京,昨天 09:55,40k-50k,139965,shybs,上海伊碧思电子科技有限公司
65,2970697,数据挖掘工程师,北京,今天 10:09,17k-34k,61249,云鸟科技,北京云鸟科技有限公司
66,2339729,数据挖掘,上海,今天 09:58,25k-40k,82347,运满满,北京满运物流信息有限公司
67,2210526,数据挖掘,北京,昨天 18:38,25k-45k,104601,百度外卖,百度外卖
68,2453054,数据挖掘,北京,昨天 18:27,13k-25k,151381,中诚信征信,中诚信征信有限公司
69,2144421,数据挖掘技术专家,北京,今天 08:35,30k-50k,50702,美团点评,北京三快在线科技有限公司
70,2984169,数据挖掘工程师,北京,昨天 10:07,18k-30k,29496,闪银奇异,北京闪银奇异科技有限公司
71,2205431,数据挖掘工程师,上海,今天 08:51,15k-30k,109625,还呗-智能信贷领先者,上海数禾信息科技有限公司
72,83157,数据挖掘,北京,昨天 17:04,15k-30k,285,口碑旅行,北京缘路科技有限公司
73,193256,数据挖掘工程师,北京,昨天 10:15,15k-25k,26782,探探,探探科技（北京）有限公司
74,3077573,数据挖掘工程师,天津,今天 11:40,8k-10k,149159,求实股份,天津天大求实电力新技术股份有限公司
75,2947693,数据挖掘工程师,上海,昨天 10:42,15k-30k,21031,粉粉日记,上海盘隆科技有限公司
76,3004714,数据挖掘实习生,北京,昨天 09:50,4k-6k,42833,大特e保,大特保商务信息咨询（上海）有限公司
77,2958478,数据挖掘工程师,北京,2017-04-30,30k-60k,3786,宜信,普信恒业科技发展（北京）有限公司
78,1622492,数据挖掘,深圳,2017-04-17,15k-30k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
79,2278586,数据挖掘工程师,上海,今天 11:51,21k-42k,51480,饿了么,拉扎斯网络科技（上海）有限公司
80,1323880,数据挖掘工程师,厦门,今天 10:57,12k-20k,95617,乐商云集,乐商云集（厦门）供应链有限公司
81,2791698,数据挖掘工程师,成都,今天 10:56,8k-16k,91273,启发分期,成都启发分期科技有限公司
82,3046997,数据挖掘工程师,广州,今天 09:59,10k-15k,65769,龙骐贸易,广州龙骐贸易有限公司
83,2542481,数据挖掘工程师,北京,今天 10:08,15k-25k,78889,博易智软,博易智软（北京）技术股份有限公司
84,2225573,数据挖掘工程师,深圳,今天 09:20,20k-40k,135243,试金石信用,试金石信用服务有限公司
