,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3005369,机器学习,上海,今天 14:30,20k-30k,97604,太美医疗科技,嘉兴太美医疗科技有限公司
1,2966170,机器学习,北京,今天 14:25,40k-60k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
2,1469884,机器学习,北京,今天 09:12,15k-30k,113715,东芝(中国)有限公司,东芝(中国)有限公司
3,2896781,机器学习,北京,今天 10:07,18k-30k,29496,闪银奇异,北京闪银奇异科技有限公司
4,1545051,机器学习,深圳,今天 14:43,25k-50k,3058,无秘,深圳无觅科技有限公司
5,2815492,机器学习,杭州,今天 11:12,20k-40k,69641,健培,杭州健培科技有限公司
6,2409524,机器学习,北京,今天 16:27,20k-40k,61921,人人行(借贷宝),人人行科技有限公司
7,2939207,机器学习,上海,2017-04-28,30k-60k,51357,寅客网络,上海寅客网络科技有限公司
8,2544528,机器学习,上海,今天 14:40,15k-30k,24102,Hypers,上海宏路数据技术股份有限公司
9,2790433,机器学习岗,上海,2017-04-25,15k-30k,115142,中金所技术公司,上海金融期货信息技术有限公司
10,2857775,机器学习,上海,2017-04-09,20k-35k,54816,安个家,上海安个家信息技术有限公司
11,2930243,机器学习研发工程师,北京,今天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
12,2002202,机器学习工程师,广州,今天 10:02,28k-56k,129877,航仕科技,上海航仕企业管理有限公司
13,2950498,机器学习工程师（偏工程）,上海,今天 10:21,18k以上,27962,星环科技,星环信息科技（上海）有限公司
14,2833966,机器学习工程师,杭州,今天 17:31,15k-25k,96921,远传技术,浙江远传信息技术股份有限公司
15,301218,机器学习,北京,今天 10:07,18k-30k,29496,闪银奇异,北京闪银奇异科技有限公司
16,2939951,机器学习,深圳,今天 14:37,25k-50k,3058,无秘,深圳无觅科技有限公司
17,2798714,机器学习研发工程师,北京,今天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
18,2849778,机器学习工程师,杭州,今天 14:53,10k-15k,78626,回车科技,杭州回车电子科技有限公司
19,2298683,机器学习开发工程师,北京,今天 08:43,25k-32k,122355,嘉琪科技,北京瑞合广祥科技发展有限公司
20,2615615,机器学习研发工程师,上海,今天 11:45,20k-35k,97882,达观数据,达而观信息科技（上海）有限公司
21,2773583,高级机器学习工程师,上海,今天 11:10,10k-15k,83866,华院数据,华院数据技术（上海）有限公司
22,2617491,机器学习研究员,上海,今天 11:56,25k-50k,3422,英语流利说,上海流利说信息技术有限公司
23,2665127,机器学习研发工程师,成都,2017-04-28,15k-25k,3524,Camera360,成都品果科技有限公司
24,2721511,机器学习工程师,北京,2017-04-28,20k-40k,4188,INK 银客集团,银客未来科技（北京）有限公司
25,2823334,机器学习工程师,上海,今天 09:48,25k-40k,52905,Maxent,上海行邑信息科技有限公司
26,2384745,机器学习工程师,北京,今天 09:56,25k-45k,50604,roobo,北京智能管家科技有限公司
27,2603456,机器学习工程师,上海,昨天 22:21,15k-25k,3038,Gridsum 国双,北京国双科技有限公司
28,2892283,机器学习算法工程师,杭州,今天 11:09,15k-30k,89553,美登科技,杭州美登科技有限公司
29,2883592,机器学习研究员,北京,今天 15:19,15k-30k,23004,图灵机器人,北京光年无限科技有限公司
30,2784885,机器学习研发工程师,北京,今天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
31,2888414,机器学习工程师,上海,今天 08:59,15k-25k,109625,还呗-智能信贷领先者,上海数禾信息科技有限公司
32,2905589,机器学习研究员,珠海,2017-04-25,15k-30k,62683,珠海习悦,珠海习悦信息技术有限公司
33,2816143,机器学习工程师,上海,今天 09:21,15k-25k,52978,优雅广告,上海优雅广告有限公司
34,3015513,机器人开发实习生-机器学习方向,深圳,今天 10:10,2k-3k,130870,Xeno Dynamics,深圳市奇诺动力科技有限公司
35,3031015,高级机器学习研究员,北京,今天 10:07,30k-55k,29496,闪银奇异,北京闪银奇异科技有限公司
36,2997008,搜狗明医-机器学习研究员,北京,今天 10:06,20k-40k,1537,搜狗,北京搜狗科技发展有限公司
37,2893712,高级机器学习工程师-政企事业部,北京,今天 08:48,20k-30k,54374,普林科技,北京至信普林科技有限公司
38,2184452,机器学习算法研发工程师,成都,今天 12:19,15k-30k,85491,成都小多科技有限公司,成都小多科技有限公司
39,1795156,【机器学习工程师】,北京,今天 17:37,30k-50k,2474,滴滴出行,北京小桔科技有限公司
40,2825588,机器学习工程师,北京,今天 10:04,15k-25k,99903,环球优学教育集团,环球优学（北京）教育咨询有限公司
41,2615617,机器学习研发工程师,上海,今天 11:45,15k-30k,97882,达观数据,达而观信息科技（上海）有限公司
42,2988598,机器学习工程师,上海,2017-04-26,25k-50k,936,上海极值信息技术有限公司,上海极值信息技术有限公司
43,3041496,机器学习算法工程师,珠海,今天 10:22,30k-50k,49579,YY Inc,欢聚时代（多玩YY）
44,1437940,机器学习工程师,武汉,2017-04-28,9k-18k,7682,极验验证,武汉极意网络科技有限公司
45,3070908,机器学习研发工程师,北京,今天 14:47,25k-50k,82991,数美,北京数美时代科技有限公司
46,1999010,机器学习算法（实习职位）,成都,今天 12:19,2k-4k,85491,成都小多科技有限公司,成都小多科技有限公司
47,2685380,算法工程师（机器学习）,深圳,2017-04-27,12k-24k,45653,蒜泥科技,西安蒜泥电子科技有限责任公司
48,3020104,机器学习算法工程师,上海,今天 10:27,15k-30k,34683,买单侠,上海秦苍信息科技有限公司
49,2490049,机器学习算法研究员,深圳,今天 10:07,30k-60k,117189,追一科技,深圳追一科技有限公司
50,2985868,机器学习工程师,上海,2017-04-26,25k-50k,86312,再惠,再惠（上海）网络科技有限公司
51,2868229,机器学习专家,北京,今天 15:55,20k-40k,2768,易到,北京东方车云信息技术有限公司
52,2693601,搜狗明医-机器学习研究员,北京,今天 10:06,15k-30k,1537,搜狗,北京搜狗科技发展有限公司
53,2963447,机器学习工程师实习生-政企事业部,北京,今天 08:48,4k-6k,54374,普林科技,北京至信普林科技有限公司
54,2909431,机器学习专家,上海,2017-04-24,28k-55k,51480,饿了么,拉扎斯网络科技（上海）有限公司
55,929406,机器学习工程师,北京,2017-04-27,25k-45k,77962,GrowingIO,北京易数科技有限公司
56,3051662,算法工程师（机器学习方向）-D0394,北京,今天 17:08,20k-40k,2900,微店,北京口袋时尚科技有限公司
57,3073022,机器学习算法,北京,今天 13:34,22k-44k,159403,versal,上海择仕企业管理有限公司
58,2910537,高级机器学习工程师,上海,今天 09:55,10k-20k,622,房多多,深圳市房多多网络科技有限公司
59,2874225,算法工程师（机器学习）,武汉,今天 10:50,7k-14k,107072,艾罗网络能源,浙江艾罗网络能源技术有限公司
60,2816903,数据挖掘和机器学习研发工程师,北京,今天 10:46,15k-20k,106474,谱思,北京谱思科技有限公司
61,2804279,机器学习工程师,上海,昨天 19:53,20k-40k,51480,饿了么,拉扎斯网络科技（上海）有限公司
62,2973210,机器学习平台工程师,苏州,今天 10:05,15k-30k,3564,同程旅游,同程网络科技股份有限公司
63,2955527,机器学习研发工程师,北京,今天 09:54,15k-30k,50702,美团点评,北京三快在线科技有限公司
64,3056616,机器学习工程师-政企事业部,北京,今天 08:48,18k-25k,54374,普林科技,北京至信普林科技有限公司
65,3073976,机器学习算法leader,北京,今天 15:31,20k-30k,52978,优雅广告,上海优雅广告有限公司
66,2563504,机器学习算法工程师,北京,今天 10:14,20k-40k,151386,物灵,北京物灵智能科技有限公司
67,2742673,机器学习算法工程师,上海,今天 10:40,20k-25k,3430,青声网络,深圳启维文化传媒有限公司
68,2369119,高级机器学习工程师,北京,今天 13:42,15k-30k,8103,汽车之家,北京车之家信息技术有限公司
69,2490069,机器学习算法工程师,深圳,今天 10:07,20k-40k,117189,追一科技,深圳追一科技有限公司
70,2706643,机器学习算法研究员,北京,2017-04-18,20k-30k,9815,美宅,北京盛泰华夏科技有限公司
71,2949628,机器学习工程师,上海,2017-04-26,25k-50k,86312,再惠,再惠（上海）网络科技有限公司
72,3031344,IRA-机器学习算法专家/高级专家,广州,今天 13:52,18k-25k,35507,财略金融科技,广州财略金融信息科技有限公司
73,2949907,机器学习实习生,北京,2017-04-28,3k-6k,4188,INK 银客集团,银客未来科技（北京）有限公司
74,2832244,算法工程师(机器学习),深圳,今天 11:12,15k-30k,38079,GYENNO,深圳市臻络科技有限公司
75,2714659,资深机器学习专家,北京,今天 10:45,20k-40k,50702,美团点评,北京三快在线科技有限公司
76,1167569,机器学习算法工程师,上海,今天 10:40,20k-30k,3430,青声网络,深圳启维文化传媒有限公司
77,2929716,高级机器学习工程师,北京,2017-04-28,18k-28k,7535,什么值得买,北京值得买科技股份有限公司
78,2788784,机器学习工程师,北京,2017-04-27,30k-50k,151782,爱特曼科技,北京爱特曼科技有限公司
79,2997022,搜狗明医-机器学习专家研究员,北京,2017-04-28,30k-50k,1537,搜狗,北京搜狗科技发展有限公司
80,2949726,机器学习算法工程师,重庆,2017-04-26,10k-20k,103732,智慧思特大数据,重庆智慧思特大数据有限公司
81,2973468,机器学习专家,上海,2017-04-27,20k-35k,15175,分期乐,深圳市分期乐网络科技有限公司
82,2677128,机器学习算法工程师,北京,今天 11:24,20k-40k,3024,第一车网,北京爱车科技有限公司
83,3047998,机器学习专家,广州,2017-04-28,25k-50k,76433,广发信用卡中心,广发银行股份有限公司信用卡中心
84,2773621,机器学习（实习生）,上海,今天 11:10,6k-8k,83866,华院数据,华院数据技术（上海）有限公司
85,2904499,机器学习工程师,北京,2017-04-25,6k-8k,143547,八分量,北京八分量信息科技有限公司
86,3058504,机器学习算法工程师-北京-00012,北京,2017-04-26,20k-40k,53081,日志易,北京优特捷信息技术有限公司
87,2095281,机器学习算法工程师,北京,2017-04-27,20k-40k,520,小米,北京小米科技有限责任公司
88,2870216,机器学习算法工程师,上海,2017-04-17,35k-40k,52315,Video++,上海极链网络科技有限公司
89,3007168,机器学习算法工程师,上海,2017-04-26,15k-20k,4112,韩创科技,上海我图网络科技有限公司
90,2844925,资深机器学习专家,北京,今天 10:45,30k-50k,50702,美团点评,北京三快在线科技有限公司
91,2117351,机器学习算法工程师,上海,今天 10:40,20k-30k,3430,青声网络,深圳启维文化传媒有限公司
92,3012151,个性化阅读-机器学习研究员,北京,今天 10:06,20k-40k,1537,搜狗,北京搜狗科技发展有限公司
93,3057205,机器学习工程师,北京,2017-04-25,15k-30k,436,360,奇虎360科技有限公司
94,3051752,机器学习/预测算法研究员,北京,今天 10:44,30k以上,1686,爱奇艺,北京爱奇艺科技有限公司
95,2493537,机器学习算法工程实习生,深圳,今天 10:07,4k-6k,117189,追一科技,深圳追一科技有限公司
96,2735586,高级算法工程师（机器学习）,深圳,今天 09:43,18k-36k,119456,云之梦科技,深圳市云之梦科技有限公司
97,2934439,机器学习专家,北京,2017-04-25,40k-80k,25021,新浪微博,新浪微博
98,2825653,机器学习工程师（应届生）,北京,今天 10:05,8k-16k,99903,环球优学教育集团,环球优学（北京）教育咨询有限公司
99,2944021,机器学习工程师,长沙,今天 08:47,15k-30k,64026,安存科技,湖南安存科技有限公司
100,2881987,机器学习工程师,北京,2017-04-27,20k-40k,8103,汽车之家,北京车之家信息技术有限公司
101,2493408,算法工程师（机器学习方向）,北京,2017-04-20,15k-30k,77306,零零无限,北京零零无限科技有限公司
102,2941567,机器学习高级算法工程师,北京,今天 15:50,25k-50k,121,墨迹天气,北京墨迹风云科技股份有限公司
103,2798325,机器学习算法工程师,深圳,今天 09:05,13k-26k,114226,比特原子,深圳市比特原子科技有限公司
104,2706658,机器学习算法专家,北京,2017-04-18,40k-50k,9815,美宅,北京盛泰华夏科技有限公司
105,2872989,资深机器学习专家,北京,2017-04-27,30k-50k,50702,美团点评,北京三快在线科技有限公司
106,2735599,算法工程师（机器学习）,深圳,今天 09:43,10k-20k,119456,云之梦科技,深圳市云之梦科技有限公司
107,2493532,机器学习算法研究实习生,深圳,今天 10:07,4k-6k,117189,追一科技,深圳追一科技有限公司
108,2788820,机器学习助理工程师,北京,2017-04-27,18k-30k,151782,爱特曼科技,北京爱特曼科技有限公司
109,1901319,机器学习算法工程师,北京,今天 16:40,15k-25k,28393,云校,北京华樾信息技术研究院
110,2846533,机器学习研究员,北京,昨天 20:11,25k-50k,98130,sogou,北京搜狗网络技术有限公司
111,2935147,高级机器学习工程师,北京,2017-04-28,20k-40k,98800,竹间智能科技(上海)有限公司,竹间智能科技（上海）有限公司
