,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1317132,高级Java开发工程师/架构师,北京,2017-04-27,25k-35k,2422,凡普金科,凡普金科企业发展（上海）有限公司
1,3062682,架构师,上海,昨天 16:26,20k-30k,49527,路路由,上海路路由信息技术有限公司
2,3013487,架构师,上海,今天 10:52,30k-50k,66311,方付通,上海方付通商务服务有限公司
3,2298751,架构师,北京,今天 09:38,25k-35k,96358,伊翔运达,天津伊翔运达网络科技有限公司
4,1802947,架构师,上海,今天 10:18,25k-50k,34683,买单侠,上海秦苍信息科技有限公司
5,1881315,架构师,深圳,今天 10:54,30k-40k,85996,深圳市壹佰金融服务有限公司,深圳市壹佰金融服务有限公司
6,2119852,架构师,深圳,今天 08:49,30k-50k,3060,华为技术有限公司,华为技术有限公司
7,1163015,云架构师,北京,今天 09:29,20k-40k,43462,云途腾,北京云途腾科技有限责任公司
8,2777916,架构师,杭州,今天 10:56,25k-50k,51881,浙江小融网络科技股份有限公司,浙江小融网络科技股份有限公司
9,1959692,架构师,深圳,昨天 15:05,20k-30k,1720,万兴科技股份有限公司,万兴科技股份有限公司
10,2719539,架构师,深圳,今天 09:59,15k-20k,36560,合时代,深圳合时代金融服务有限公司
11,1944014,架构师,杭州,今天 09:49,20k-40k,37974,传化物流集团,传化物流集团有限公司
12,2934731,服务器开发高级工程师/架构师,北京,今天 10:17,30k-40k,26508,iHandy,北京汉迪世纪科技有限公司
13,1777720,资深架构师,北京,今天 10:03,30k-50k,50889,和创科技（红圈营销）,和创（北京）科技股份有限公司
14,3011960,架构师,深圳,今天 09:56,20k-35k,15175,分期乐,深圳市分期乐网络科技有限公司
15,1877040,架构师,北京,今天 09:38,20k-30k,96358,伊翔运达,天津伊翔运达网络科技有限公司
16,2886844,架构师,上海,今天 10:43,25k-45k,177653,二二一数据,二二一数据有限公司
17,2927769,架构师,杭州,今天 10:40,20k-30k,43906,浙江聚有财,浙江聚有财金融服务外包有限公司
18,1109560,架构师,上海,昨天 18:20,18k-30k,49893,九曳供应链,上海久耶供应链管理有限公司
19,2346864,架构师,南京,昨天 11:09,25k-40k,1678,华为慧通,华为全资子公司慧通公司
20,2394889,架构师(J13679),杭州,今天 13:06,20K-40K,75593,吉利招聘,浙江吉利控股集团有限公司
21,1217900,架构师,南京,昨天 09:51,20k-30k,34683,买单侠,上海秦苍信息科技有限公司
22,2000433,架构师,广州,昨天 10:02,25k-50k,129877,航仕科技,上海航仕企业管理有限公司
23,2704371,架构师,北京,今天 14:08,15k-30k,93925,凯泰铭,凯泰铭科技(北京)有限公司
24,2612303,架构师,北京,昨天 14:25,30k-45k,25439,Udesk－企业级智能客服平台,北京沃丰时代数据科技有限公司
