,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2199692,测试开发,北京,今天 09:41,18k-35k,50702,美团点评,北京三快在线科技有限公司
1,2969338,测试开发工程师,杭州,昨天 19:14,10k-20k,117274,DAHO Networks,中卫大河云联网络技术有限公司
2,2989049,测试开发工程师,厦门,昨天 08:47,8k-15k,19313,网宿科技,网宿科技股份有限公司北京分公司
3,2225000,测试开发,北京,今天 10:52,10k-20k,5832,新浪微博,微梦创科网络科技（中国）有限公司
4,2002208,测试开发工程师,广州,昨天 10:02,22k-30k,129877,航仕科技,上海航仕企业管理有限公司
5,2625810,测试开发,上海,今天 10:19,15k-28k,61921,人人行(借贷宝),人人行科技有限公司
6,2637888,测试开发,深圳,昨天 14:42,10k-20k,401,乐逗游戏,深圳市创梦天地科技有限公司
7,3067466,测试开发,北京,2017-04-28,14k-24k,61249,云鸟科技,北京云鸟科技有限公司
8,2852815,测试开发工程师,上海,今天 10:52,15k-30k,66311,方付通,上海方付通商务服务有限公司
9,2594866,测试开发工程师--南昌,南昌,今天 09:08,5k-10k,45121,易快报,北京合思信息技术有限公司
10,1020088,测试开发,北京,今天 13:53,15k-25k,1992,有利网,北京弘合柏基金融信息服务有限责任公司
11,2670076,测试开发工程师,上海,今天 09:26,13k-20k,35112,中腾信,中腾信金融信息服务（上海）有限公司
12,2997584,测试开发,北京,今天 10:04,18k-30k,107423,瓜子二手车直卖网,车好多旧机动车经纪(北京)有限公司
13,2729207,测试开发工程师,杭州,昨天 09:11,10k-20k,24287,腾展叮咚（Dingtone）,杭州腾展科技股份有限公司
14,3009917,测试开发实习生,北京,昨天 20:32,3k-6k,6996,用钱宝,北京智融时代科技有限公司
15,2136668,测试开发,北京,今天 09:41,18k-35k,50702,美团点评,北京三快在线科技有限公司
16,2551783,测试开发,北京,今天 10:19,18k-30k,61921,人人行(借贷宝),人人行科技有限公司
17,1280487,测试开发工程师,广州,昨天 09:05,10k-15k,44841,PPmoney互联网金融平台,万惠投资管理有限公司
18,3075683,测试开发工程师,北京,昨天 19:05,15k-30k,436,360,奇虎360科技有限公司
19,2067157,测试开发工程师,杭州,今天 10:28,15k-25k,23252,兑吧,杭州兑吧网络科技有限公司
20,1461584,测试开发工程师,苏州,昨天 10:28,10k-20k,20669,喔噻科技,上海喔噻互联网科技有限公司
21,3004791,测试开发,广州,昨天 09:40,15k-25k,6174,银汉,广州银汉科技有限公司
22,3060320,测试开发,杭州,2017-04-26,15k-20k,13163,个推,浙江每日互动网络科技股份有限公司
23,3077660,测试开发工程师,北京,今天 11:49,12k-15k,146740,中软系统工程,中软信息系统工程有限公司
24,1456366,测试开发工程师,杭州,今天 08:50,8k-12k,10483,伯瑞英语ABC360,杭州旦悦科技有限公司
25,3070264,测试开发工程师,宁波,昨天 11:32,4k-8k,102171,博赢环深,宁波博赢环深互联网科技有限公司
26,3076975,研发 测试开发工程师,北京,今天 10:47,10k-20k,10519,中国民航信息网络股份有限公司,中国民航信息网络股份有限公司
27,2862227,测试开发工程师,无锡,昨天 09:15,8k-10k,36719,华云数据,无锡华云数据技术服务有限公司
28,1735711,测试开发,北京,今天 10:25,20k-40k,36162,作业盒子,北京知识印象科技有限公司
29,1255841,测试开发,常州,昨天 15:26,4k-6k,91302,新科,江苏新科软件有限公司
30,2638792,测试开发,北京,今天 10:19,12k-22k,61921,人人行(借贷宝),人人行科技有限公司
31,2338644,测试开发,北京,今天 12:09,15k-30k,436,360,奇虎360科技有限公司
32,2829675,测试开发工程师,上海,昨天 14:52,18k-30k,51480,饿了么,拉扎斯网络科技（上海）有限公司
33,1799669,测试开发,北京,2017-04-20,15k-20k,29526,六间房,北京六间房科技有限公司
34,2945662,测试开发工程师,北京,昨天 16:55,15k-25k,149913,厚本金融,北京厚本科技有限公司
35,2678030,测试开发工程师,北京,今天 11:22,15k-30k,3786,宜信,普信恒业科技发展（北京）有限公司
36,2413692,高级测试开发工程师,北京,今天 08:35,15k-30k,50702,美团点评,北京三快在线科技有限公司
37,1968008,测试开发工程师,上海,昨天 15:31,15k-30k,129806,都纳信息科技,上海都纳信息科技有限公司
38,2661670,测试开发工程师,北京,今天 08:50,15k-30k,42680,SmartX,北京志凌海纳科技有限公司
39,2990812,测试开发工程师,北京,昨天 09:40,15k-30k,154639,驭势科技,驭势科技（北京）有限公司
40,1456723,测试开发工程师,上海,2017-04-27,15k-20k,20669,喔噻科技,上海喔噻互联网科技有限公司
