,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,3075449,测试经理,深圳,昨天 18:11,14k-18k,83935,云软信息,深圳市云软信息技术有限公司
1,2747504,测试主管/测试经理（游戏）,深圳,今天 12:12,10k-18k,136833,史蒂夫软件,史蒂夫软件（深圳）有限公司
2,2989607,测试经理,上海,今天 09:20,20k-30k,36149,上海善林金融信息服务有限公司,善林（上海）金融信息服务有限公司
3,2896116,测试经理,杭州,今天 09:51,10k-20k,27232,随地付,杭州随地付网络技术有限公司
4,2943364,测试经理,苏州,昨天 17:31,15k以上,94,思必驰科技,苏州思必驰信息科技有限公司
5,3057105,测试经理,厦门,昨天 08:47,15k-22k,19313,网宿科技,网宿科技股份有限公司北京分公司
6,2185175,测试经理,杭州,昨天 16:43,20k-30k,33618,微贷网,微贷（杭州）金融信息服务有限公司
7,2983515,测试经理,上海,昨天 16:07,20k-30k,1403,爱回收,上海悦易网络信息技术有限公司
8,3031891,测试经理,深圳,今天 09:32,14k-18k,24824,厂家网商城,深圳市厂家网网络科技有限公司
9,3073806,测试经理,北京,昨天 15:11,15k-30k,88978,海知智能,上海海知智能科技有限公司
10,2982921,测试经理,广州,今天 09:17,12k-20k,4126,POCO.CN,广州数联软件技术有限公司
11,1696573,测试经理,北京,2017-04-12,10k-20k,31317,中国金融认证中心,中金金融认证中心有限公司
12,2953414,测试经理,武汉,今天 13:36,12k-15k,148027,悠然一指,武汉悠然一指网络有限公司
13,3067686,测试经理,长沙,昨天 15:18,8k-10k,23126,优讯信息,深圳市优讯信息技术有限公司
14,3057809,测试经理,广州,昨天 08:57,15k-30k,20473,广州棒谷网络科技有限公司,广州棒谷网络科技有限公司
15,3070252,测试经理,上海,2017-04-28,20k-30k,6636,携程,携程计算机技术（上海）有限公司
16,2976699,测试经理、高级测试工程师,杭州,今天 09:59,12k-18k,84602,安存科技,杭州安存网络科技有限公司
17,3078110,测试经理,南京,今天 13:45,8k-16k,188444,源犀科技,上海源犀信息科技有限公司
18,2813999,测试经理,广州,昨天 18:19,15k-30k,10527,网金控股,广东网金控股股份有限公司
19,2875536,测试经理,上海,昨天 13:10,15k-25k,14229,微盟,上海晖硕信息科技有限公司
20,2797501,测试经理,杭州,2017-04-25,12k-20k,127780,孚嘉科技,杭州孚嘉科技有限公司
21,3015584,测试经理(济南),济南,今天 09:34,15k-30k,67576,车满满,车满满（北京）信息技术有限公司
22,3077391,测试经理,深圳,今天 11:25,18k-20k,199653,华人金控,深圳前海华人金融控股集团有限公司
23,3076213,测试经理,深圳,今天 09:31,18k-20k,80297,华人金融（国美集团控股）,深圳前海华人互联网金融服务集团有限公司
24,2980386,软件测试经理,广州,昨天 09:42,10k-15k,188569,起秀信息科技,广州市起秀信息科技有限公司
25,2814434,测试经理,广州,今天 09:37,8k-12k,26487,易彩乐,广州市易彩乐网络科技有限公司
26,2420438,测试经理,深圳,昨天 15:05,15k-25k,1720,万兴科技股份有限公司,万兴科技股份有限公司
27,2823518,测试经理,上海,2017-04-26,20k-30k,67532,牛娃互联网金融,上海牛圆网络科技有限公司
28,1654990,测试经理,北京,今天 10:01,15k-20k,28014,永洪科技,北京永洪商智科技有限公司
29,1579841,测试经理,广州,今天 09:22,10k-20k,46854,佰锐科技,广州佰锐网络科技有限公司
30,2641949,测试经理,上海,今天 09:04,15k-20k,97045,合利宝,广州合利宝支付科技有限公司
31,3074157,测试经理,深圳,昨天 15:48,15k-25k,52768,佰钧成技术,武汉佰钧成技术有限责任公司
32,2385463,测试经理,广州,2017-04-27,10k-15k,122959,广州李子网络科技有限公司,广州李子网络科技有限公司
33,3042095,测试经理,杭州,今天 09:10,10k-20k,169771,八维通科技,八维通科技有限公司
34,2973350,测试经理,广州,昨天 15:58,25k-30k,174043,颉一软件,广州杰颉软件科技有限公司
35,2939843,测试经理,深圳,昨天 08:55,15k-25k,104523,海航-前海航交所,深圳前海航空航运交易中心有限公司
36,3076269,测试经理,南京,今天 09:38,10k-20k,44164,方物,方物软件有限公司
37,3074378,移动端测试经理,北京,今天 11:55,20k-30k,9895,动动,北京慢点生活科技有限公司
38,2862755,测试经理,北京,2017-04-27,9k-12k,175591,远行文化,北京远行文化发展有限公司
39,2695091,测试经理,成都,2017-04-24,10k-12k,28014,永洪科技,北京永洪商智科技有限公司
40,2896254,测试经理,杭州,昨天 11:14,15k-25k,119919,九爱科技,杭州九爱科技有限公司
41,2684737,测试经理,上海,今天 09:57,30k-60k,73685,合农网,上海合农网络科技有限公司
42,2836215,测试经理,上海,2017-04-28,20k-25k,14229,微盟,上海晖硕信息科技有限公司
43,1093443,测试经理,北京,今天 09:22,20k-30k,41823,58到家,北京五八到家信息技术有限公司
44,2827196,测试经理,北京,今天 10:47,15k-25k,150256,思享时代（北京）科技有限公司,思享时代（北京）科技有限公司
45,2598102,测试经理,上海,2017-04-25,20k-30k,63922,麦子金服,上海麦子资产管理有限公司
46,2479490,测试经理,上海,2017-04-26,20k-28k,36719,华云数据,无锡华云数据技术服务有限公司
47,2082850,测试经理,深圳,昨天 10:30,15k-22k,52768,佰钧成技术,武汉佰钧成技术有限责任公司
48,2842374,测试经理　,北京,2017-04-27,25k-40k,165980,包银消费金融,包头市包银消费金融股份有限公司
49,2928896,测试经理,北京,今天 10:34,25k-35k,2768,易到,北京东方车云信息技术有限公司
50,1466692,测试经理,上海,2017-04-26,13k-25k,55405,店达信息,上海店达信息技术有限公司
51,3063502,测试经理（游戏）,深圳,今天 09:06,15k-30k,136833,史蒂夫软件,史蒂夫软件（深圳）有限公司
