,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,349798,游戏测试,广州,今天 11:11,3k-6k,13553,广州游爱,广州游爱网络技术有限公司
1,2736288,游戏测试工程师,北京,今天 10:19,10k-20k,26508,iHandy,北京汉迪世纪科技有限公司
2,2981989,游戏测试,北京,今天 09:57,7k-9k,138807,Magic Tavern,时空幻境（北京）科技有限公司
3,2904409,游戏测试,北京,今天 11:14,5k-10k,67961,云派游戏,云派互联科技（北京）有限公司
4,2924481,游戏测试,广州,昨天 09:54,5k-7k,169064,速云网络,广州市速云网络科技有限公司
5,335106,游戏测试工程师,深圳,昨天 10:17,5k-9k,27585,易帆互动,深圳易帆互动科技有限公司
6,2185320,游戏测试,上海,昨天 15:37,8k-15k,29894,麦博游戏 MYBO,上海麦博文化传播有限公司
7,3057297,游戏测试,深圳,昨天 11:22,4k-8k,20727,淘乐网络,深圳淘乐网络科技有限公司
8,2433791,游戏测试,广州,昨天 12:17,4k-8k,120175,祺曜互娱,海南祺曜互动娱乐有限公司
9,2428659,游戏测试,北京,2017-04-28,5k-9k,31314,天锋网络,北京天锋网络科技有限公司
10,2992637,游戏测试,广州,今天 10:04,7k-12k,44165,亿牛科技,广州亿牛信息科技有限公司
11,2170425,游戏测试,北京,昨天 09:36,6k-9k,4286,竞技世界,竞技世界（北京）网络技术有限公司
12,2252295,游戏测试,广州,今天 09:02,5k-10k,658,三七互娱,三七互娱（上海）科技有限公司
13,2924291,手机游戏测试,成都,今天 10:26,3k-6k,148596,动点网络,成都动点网络科技有限公司
14,2752341,游戏测试,深圳,今天 10:07,6k-8k,63383,博彦科技,博彦科技股份有限公司
15,2863139,手机游戏测试,深圳,今天 09:06,5k-10k,145609,深圳莱特金科技发展有限公司,深圳莱特金科技发展有限公司
16,3055831,游戏测试工程师,北京,今天 13:34,12k-16k,169904,善豹科技,北京善豹科技有限公司
17,3026364,游戏测试实训生,深圳,今天 11:23,4k-5k,173366,曾点,深圳市曾点信息技术培训有限公司
18,493104,游戏测试,杭州,今天 09:22,6k-8k,27378,米趣科技,杭州米趣网络科技有限公司
19,3077493,游戏测试,北京,今天 11:34,4k-6k,29507,博瑞游戏,成都梦工厂网络信息有限公司
20,2843969,游戏测试,广州,今天 09:58,8k-16k,710,4399游戏,广州四三九九信息科技有限公司
21,1458357,游戏测试,北京,今天 10:02,4k-6k,40618,盖娅互娱,北京盖娅互娱网络科技股份有限公司
22,2967573,游戏测试工程师,上海,今天 09:32,6k-12k,145714,美猴娱乐,上海美猴网络科技有限公司
23,2686917,游戏测试,深圳,昨天 11:14,6k-8k,163169,文思海辉,文思海辉技术有限公司
24,814113,游戏测试工程师,北京,今天 10:16,7k-10k,43086,钛核互动,北京钛核互动信息技术有限公司
25,3026402,游戏测试工程师,广州,今天 09:48,6k-8k,5004,广州百田,广州百田信息科技有限公司
26,3028916,游戏测试组长,深圳,昨天 17:38,6k-9k,146940,奥飞游戏深圳分公司,上海奥飞游戏有限公司
27,2668822,游戏测试工程师,成都,昨天 09:52,5k-8k,144307,雨墨游戏,成都雨墨科技有限公司
28,2854897,游戏测试工程师,上海,今天 12:03,5k-10k,141434,拟酷科技,上海拟酷网络科技有限公司
29,1587521,游戏测试,上海,昨天 10:56,4k-6k,77257,游曳,上海游曳网络科技有限公司
30,2814440,游戏测试,北京,昨天 11:14,6k-8k,163169,文思海辉,文思海辉技术有限公司
31,3008288,游戏测试工程师-MUG（H3D-MUG-QT110001）,北京,今天 09:57,8k-15k,26142,QQ炫舞,北京永航科技有限公司
32,3069968,MOBA游戏测试,广州,2017-04-28,5k-9k,22790,网易游戏,广州博冠信息科技有限公司
33,3074684,游戏测试员,上海,昨天 16:43,4k-5k,199675,上海澜殷,上海澜殷网络科技有限公司
34,1592442,游戏测试工程师,杭州,今天 09:16,5k-10k,10323,畅唐网络,浙江畅唐网络股份有限公司
35,2978429,游戏测试工程师,深圳,昨天 16:12,10k-15k,401,乐逗游戏,深圳市创梦天地科技有限公司
36,2111524,游戏测试工程师,北京,今天 10:16,7k-13k,43086,钛核互动,北京钛核互动信息技术有限公司
37,3065894,QA游戏测试,成都,今天 10:07,4k-7k,24024,Mokitech,四川摩奇信息技术有限公司
38,3040957,游戏测试工程师,成都,昨天 10:36,6k-9k,2028,岂凡网络,深圳岂凡网络有限公司
39,2409701,游戏测试工程师,深圳,2017-04-27,7k-8k,108929,深圳云中,深圳云中信息技术有限公司
40,2801424,游戏测试,北京,今天 10:59,6k-12k,4286,竞技世界,竞技世界（北京）网络技术有限公司
41,2495609,游戏测试工程师,广州,今天 09:34,5k-10k,18159,明朝互动,广州明朝互动科技股份有限公司
42,2008845,游戏测试(实习）,杭州,今天 09:17,2k-3k,18951,斯凯,杭州斯凯网络科技有限公司
43,2745941,游戏测试工程师（QA）,上海,今天 09:41,6k-9k,118834,陌陌上海,北京陌陌信息技术有限公司上海分公司
