,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,1800963,电路设计,深圳,今天 09:17,10k-20k,128547,超节点,深圳市超节点网络科技有限公司
1,3067199,PROTEL99SE电路设计和PCB设计软件,西安,2017-04-28,4k-6k,198232,山东淄博翰海电气设备有限公司,淄博翰海电气设备有限公司
2,1212977,电路设计,上海,2017-04-21,20k-40k,79030,磁宇,上海磁宇信息科技有限公司
3,3054420,电路设计工程师,北京,2017-05-01,6k-10k,197211,沐羽科技,杭州沐羽科技有限公司
4,2070412,电路设计,成都,2017-04-13,8k-11k,112022,晨电智能,成都晨电智能科技有限公司
5,3011225,高级存储器电路设计工程师,哈尔滨,昨天 08:51,10k-16k,138758,华昇半导体,哈尔滨华昇半导体网络科技有限公司
6,3015411,集成电路设计师,深圳,2017-04-13,3K-6K,193375,沁芯微电子,深圳市沁芯微电子有限公司
7,2876059,数字电路设计工程师,北京,2017-04-19,15k-20k,176981,联芯北分,联芯科技有限公司北京分公司
8,3012973,高级模拟电路设计工程师,北京,2017-04-25,20k-35k,114241,兆讯微电子,兆讯恒达微电子技术（北京）有限公司
9,2529383,数字电路设计工程师,杭州,2017-04-27,10k-20k,64083,联芸科技,联芸科技（杭州）有限公司
10,795327,开关电源电路设计,北京,2017-04-14,8k-10k,76860,昊瑞昌,北京昊瑞昌科技有限公司
11,2912182,电子电路设计讲师,北京,2017-04-05,9K-15K,168687,北京八维研修学院,北京市海淀区八维计算机培训学校
12,3044191,模拟集成电路设计工程师,成都,昨天 14:49,6k-8k,196292,西安智多晶,西安智多晶微电子有限公司
13,2909093,嵌入式硬件电路设计工程师,上海,2017-04-11,10k-20k,177225,树实科技,树实科技（上海）有限公司
14,1991689,IC模拟电路设计工程师,上海,昨天 10:33,10k-16k,78733,芯旺,上海芯旺微电子技术有限公司
15,3054386,电路设计实习生,北京,2017-05-01,2k-4k,197211,沐羽科技,杭州沐羽科技有限公司
16,818201,射频电路设计工程师,上海,昨天 10:33,12k-20k,78733,芯旺,上海芯旺微电子技术有限公司
17,2976358,招兼职数字电路设计培训讲师,北京,昨天 10:00,20k-30k,144731,中科信软,北京中科信软科技有限公司
18,2952837,嵌入式硬件 PCB电路设计与开发,北京,昨天 09:02,8k-15k,170833,安路普,安路普（北京）汽车技术有限公司
