,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2821906,白盒测试工程师,北京,今天 11:22,15k-30k,3786,宜信,普信恒业科技发展（北京）有限公司
1,1231923,白盒测试,北京,今天 09:22,10k-20k,41823,58到家,北京五八到家信息技术有限公司
2,2779014,白盒测试工程师,杭州,2017-04-25,8k-16k,127780,孚嘉科技,杭州孚嘉科技有限公司
3,878168,白盒测试,武汉,昨天 10:11,8k-15k,37236,斗鱼直播,武汉斗鱼网络科技有限公司
4,2567616,白盒测试工程师,上海,今天 10:02,10k-20k,41194,泰为,泰为信息科技（上海）有限公司
5,3027885,白盒测试工程师,南京,2017-04-28,10k-20k,51649,掌众金服,北京掌众科技有限公司
6,1339220,服务器端白盒测试,北京,今天 11:09,15k-30k,50604,roobo,北京智能管家科技有限公司
7,2757891,白盒测试工程师,北京,昨天 14:37,10k-17k,280,畅游,北京畅游天下网络技术有限公司
8,2454727,白盒测试,北京,今天 11:17,8k-15k,4286,竞技世界,竞技世界（北京）网络技术有限公司
9,2665106,白盒测试工程师,北京,昨天 13:24,15k-25k,158777,深醒科技,北京深醒科技有限公司
10,2606797,白盒测试,上海,昨天 10:55,15k-25k,7872,上海米哈游,上海米哈游网络科技股份有限公司
11,2069108,白盒测试,北京,2017-04-26,15k-20k,42369,ETCP,北京悦畅科技有限公司
12,2801855,白盒测试工程师,北京,昨天 11:48,15k-25k,534,京东金融,京东金融
13,2399474,白盒测试,北京,2017-04-05,6K-10K,93801,赛迪软测,北京赛迪软件测评工程技术中心有限公司
14,2966397,白盒测试工程师,北京,昨天 09:03,10k-18k,86117,北京威创信息,北京威创视讯信息系统有限公司
15,1717416,QA工程师-白盒测试,上海,昨天 10:46,10k-18k,41194,泰为,泰为信息科技（上海）有限公司
16,3068571,核心白盒测试工程师,南京,2017-04-28,10k-20k,51649,掌众金服,北京掌众科技有限公司
17,2321724,白盒测试,成都,2017-04-03,8k-14k,32424,图丰信息-成都,图丰信息（成都）有限责任公司
18,2796854,白盒测试程序员,上海,2017-04-25,15k-22k,123444,辰沅金融,上海辰沅金融信息服务有限公司
19,2643469,白盒测试工程师（安全方向）,北京,昨天 11:01,15k-25k,129,陌陌,北京陌陌科技有限公司
20,2900316,白盒测试工程师,杭州,2017-04-21,15k-20k,68036,米庄理财,杭州信釜资产管理有限公司
21,2793760,初级白盒测试,上海,2017-04-20,5k-7k,34997,风云科技,江苏风云科技服务有限公司
22,1007964,C\C++白盒测试,武汉,昨天 10:11,12k-20k,37236,斗鱼直播,武汉斗鱼网络科技有限公司
