,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2887512,硬件开发,杭州,今天 09:36,15k-25k,171927,小电,北京伊电园网络科技有限公司
1,2354254,嵌入式硬件开发,杭州,今天 09:18,8k-16k,35980,车纷享,杭州车厘子智能科技有限公司
2,3078109,嵌入式硬件开发,成都,今天 13:45,8k-12k,149775,效率源科技,四川效率源信息安全技术股份有限公司
3,2009115,嵌入式软/硬件研发,烟台,今天 10:56,6k-12k,90001,艾欧特,山东艾欧特集团
4,3014533,硬件开发工程师,北京,今天 09:50,10k-20k,126957,北京算云联科,北京算云联科科技有限公司
5,2709097,硬件开发工程师,上海,今天 09:15,15k-25k,49527,路路由,上海路路由信息技术有限公司
6,3014077,嵌入式硬件工程师,上海,今天 13:14,9k-12k,192164,蓝海智能,蓝海智能科技有限公司
7,3060355,硬件开发总监,深圳,昨天 17:31,15k-30k,94,思必驰科技,苏州思必驰信息科技有限公司
8,2387648,硬件开发工程师,深圳,昨天 15:05,10k-15k,1720,万兴科技股份有限公司,万兴科技股份有限公司
9,2579828,嵌入式硬件研发工程师,北京,昨天 18:09,13k-25k,61044,一度用车,北京一度用车信息科技有限公司
10,3074214,电路研发、硬件研发,青岛,昨天 15:53,9k-18k,173994,度睿咨询,青岛度睿企业管理咨询有限公司
11,2676453,嵌入式开发实习生/硬件研发实习生,上海,今天 11:28,3k-6k,57743,Ruff,上海南潮信息科技有限公司
12,3058699,硬件开发实习生（可转正）,上海,今天 14:44,4k-6k,194359,韦伦运动,韦伦运动用品（上海）有限公司
13,1494250,硬件开发其它,深圳,昨天 09:42,15k-25k,42899,小蚁,上海小蚁科技有限公司
14,2395310,硬件开发工程师,杭州,今天 09:28,7k-12k,78626,回车科技,杭州回车电子科技有限公司
15,2724794,硬件研发工程师,北京,今天 09:50,10k-15k,126957,北京算云联科,北京算云联科科技有限公司
16,2009151,嵌入式硬件研发,烟台,昨天 17:41,10k-20k,90001,艾欧特,山东艾欧特集团
17,3063399,高级研发工程师（硬件）,上海,今天 13:14,10k-14k,192164,蓝海智能,蓝海智能科技有限公司
18,1504434,硬件开发其它,北京,今天 09:04,11k-22k,3328,好未来,北京世纪好未来教育科技有限公司
19,1059444,硬件开发工程师,广州,昨天 16:48,8k-16k,92138,黑格科技,广州黑格智能科技有限公司
20,2916430,硬件开发工程师,厦门,今天 09:25,7k-12k,96050,蓝斯股份,厦门蓝斯通信股份有限公司
21,3013056,产品项目经理（硬件）,北京,今天 14:28,10k-15k,48871,火河科技,北京火河科技有限公司
22,3031266,硬件开发工程师,上海,今天 14:44,8k-14k,194359,韦伦运动,韦伦运动用品（上海）有限公司
23,2711329,硬件开发工程师,廊坊,今天 10:18,4k-6k,36487,华通,华通科技有限公司
24,2834188,硬件研发工程师,杭州,今天 09:36,10k-20k,171927,小电,北京伊电园网络科技有限公司
