,职位编码,职位名称,所在城市,发布日期,薪资待遇,公司编码,公司名称,公司全称
0,2919804,硬件测试,杭州,今天 14:02,6k-8k,163169,文思海辉,文思海辉技术有限公司
1,2724804,硬件测试工程师,北京,今天 09:50,10k-15k,126957,北京算云联科,北京算云联科科技有限公司
2,2891371,测试开发工程师(硬件测试类),深圳,昨天 15:05,10k-20k,1720,万兴科技股份有限公司,万兴科技股份有限公司
3,2972172,硬件测试工程师,深圳,昨天 15:42,5k-10k,16831,武汉佰钧成技术有限公司,武汉佰钧成技术有限责任公司
4,2499959,硬件测试工程师,杭州,今天 10:35,10k-20k,112666,浙江远图互联科技股份有限公司,浙江远图互联科技股份有限公司
5,2807056,硬件测试工程师,上海,昨天 17:45,10k-15k,97465,生迪智慧,生迪智慧科技有限公司
6,2843226,硬件测试工程师,广州,昨天 18:19,8k-12k,10527,网金控股,广东网金控股股份有限公司
7,2561566,硬件测试工程师,上海,今天 09:40,3k-4k,11971,天玑科技,上海天玑科技股份有限公司
8,2733560,硬件测试工程师,深圳,2017-04-12,10k-16k,145486,优必选科技,深圳市优必选科技有限公司
9,2873973,硬件测试开发工程师,北京,昨天 17:48,15k-25k,31164,青云,北京优帆科技有限公司
10,1544977,硬件测试工程师,上海,昨天 11:19,8k-15k,165,UCloud,上海优刻得信息科技有限公司
11,2868014,硬件测试工程师,上海,昨天 09:42,10k-20k,42899,小蚁,上海小蚁科技有限公司
12,3061015,硬件测试工程师,深圳,2017-04-27,9k-11k,647,三三得玖,深圳市三三得玖通信技术有限公司
13,2988651,硬件测试工程师（北京）,北京,今天 08:34,4k-8k,55546,飞思达,飞思达技术（北京）有限公司
14,119536,硬件测试工程师,深圳,2017-04-11,5k-9k,63082,深圳易思博软件,深圳市易思博软件技术有限公司
15,2785379,主任硬件测试工程师(J10386),上海,今天 09:17,10k-15k,104985,龙旗,上海龙旗科技股份有限公司
16,2306491,手机硬件测试工程师,深圳,今天 08:42,10k-15k,20409,TP-LINK,普联技术有限公司
17,1857016,硬件测试,西安,2017-04-25,5k-8k,63082,深圳易思博软件,深圳市易思博软件技术有限公司
18,2942551,硬件测试工程师,深圳,2017-04-28,15k-25k,66326,美的智慧家居科技有限公司,广东美的制冷设备有限公司
19,2565297,高级硬件测试工程师,上海,今天 09:31,10k-20k,2696,G7,北京汇通天下物联科技有限公司
20,3014516,高德-厦门-硬件测试工程师,厦门,2017-04-20,20k-40k,91,阿里巴巴—高德,高德软件有限公司
21,2701257,高级硬件测试工程师(石岩工厂),深圳,昨天 15:05,10k-15k,1720,万兴科技股份有限公司,万兴科技股份有限公司
22,2710527,硬件测试工程师,北京,2017-04-18,15k-30k,83580,地平线机器人,北京地平线机器人技术研发有限公司
23,2037251,硬件测试工程师,深圳,2017-04-12,6k-12k,18971,传音控股,深圳传音控股有限公司
24,2986279,硬件测试工程师,深圳,今天 08:28,8k-10k,98474,深圳市航天华拓科技有限公司,深圳市航天华拓科技有限公司
25,3014815,嵌入式软件/硬件测试实习生,广州,2017-04-13,2k-3k,30020,亿航智能无人机Ehang,广州亿航智能技术有限公司
26,2286633,高级硬件测试工程师,深圳,2017-04-12,10k-20k,145486,优必选科技,深圳市优必选科技有限公司
27,2952663,硬件测试开发工程师,上海,2017-04-12,6k-8k,63383,博彦科技,博彦科技股份有限公司
28,2534288,硬件测试(智能相机类),北京,昨天 09:42,10k-20k,42899,小蚁,上海小蚁科技有限公司
29,3031767,硬件测试工程师,惠州,2017-04-19,5k-10k,113179,九联科技,广东九联科技股份有限公司
30,3028958,阿里巴巴-高德-厦门-硬件测试工程师,厦门,2017-04-19,30k-50k,91,阿里巴巴—高德,高德软件有限公司
31,2937998,软/硬件测试工程师,杭州,2017-04-24,4k-7k,156276,设备在线状态监测产品研发、销售,浙江中自庆安新能源技术有限公司
32,2250608,硬件测试工程师,宁波,2017-04-12,3k-5k,109744,浙江智轩,浙江智轩科技有限公司
33,2182417,硬件测试,上海,2017-04-26,8k-15k,121467,上海木爷机器人,上海木爷机器人技术有限公司
34,3046594,手机硬件测试工程师,深圳,昨天 10:46,6k-9k,130647,深圳市金百锐通信科技有限公司,深圳市金百锐通信科技有限公司
35,2921003,硬件测试工程师,北京,昨天 11:02,4k-8k,80717,凌宇智控科技,北京凌宇智控科技有限公司
36,2843136,硬件测试,杭州,2017-04-26,6k-10k,51263,水晶光电,浙江水晶光电科技股份有限公司
37,2959355,硬件测试工程师 急聘,北京,昨天 17:44,7k-12k,102420,迈锐数据（北京）有限公司,迈锐数据（北京）有限公司
38,2630211,硬件测试工程师,武汉,2017-04-18,6k-12k,68933,Abloomy,北京韵盛发科技有限公司
39,2462432,硬件测试工程师,深圳,2017-04-28,5k-7k,151832,信立科技,深圳市信立科技有限公司
40,2823090,硬件测试工程师,成都,2017-04-27,6k-8k,11863,易通星云,易通星云（北京）科技发展有限公司
41,2984431,硬件测试工程师,上海,2017-04-21,5k-7k,25287,乐相科技,上海算德电子科技有限公司
42,2533603,硬件测试,上海,2017-04-11,4k-8k,73979,上海贝电,上海贝电实业（集团）股份有限公司
43,2811319,硬件测试工程师,西安,2017-04-17,8k-16k,59126,华腾物联网,西安华腾物联网有限责任公司
44,2611460,硬件测试工程师,北京,2017-04-26,5k-7k,59553,飞嘀打车,北京奇华智慧交通科技有限公司
45,2706943,硬件测试工程师,深圳,2017-04-15,5K-8K,104877,火萌科技,深圳火萌科技有限公司
46,2969663,软硬件测试工程师,郑州,2017-04-20,8k-16k,13567,宇通客车,郑州宇通客车股份有限公司
47,3005075,VR硬件测试工程师,上海,今天 10:42,5k-7k,89076,HYPEREAL VR,上海幻触信息科技有限公司
